n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.308083,0.494749,0.0184,0.663133,0.669529,0.9999
10000,0.477709,0.50055,0.0191,0.676035,0.66449,1
10000,0.729274,0.49995,0.0191,0.674135,0.670608,1
10000,0.308976,0.50045,0.0198,0.667133,0.664229,0.9999
10000,0.221897,0.494749,0.0191,0.670434,0.667623,0.9999
10000,0.484288,0.50085,0.019,0.664233,0.671923,1
10000,0.589214,0.49505,0.0188,0.667033,0.663026,0.9999
10000,0.38895,0.49875,0.0191,0.667534,0.664377,1
10000,0.264606,0.50055,0.0193,0.667534,0.66622,0.9999
10000,0.370192,0.50145,0.0192,0.667534,0.66721,0.9999
10000,0.50153,0.505451,0.0185,0.667734,0.669349,1
10000,0.711486,0.49965,0.0194,0.669434,0.671461,0.9998
10000,0.267573,0.49965,0.0193,0.665433,0.66826,0.9999
10000,0.322836,0.50025,0.0193,0.671134,0.668671,0.9999
10000,0.589624,0.50125,0.0201,0.666133,0.662575,1
10000,0.798635,0.49715,0.0193,0.664533,0.67035,0.9999
10000,0.639577,0.49895,0.0188,0.669634,0.670916,0.9999
10000,0.372206,0.505251,0.0185,0.668634,0.665837,1
10000,0.398202,0.49965,0.0191,0.664033,0.661959,0.9999
10000,0.373363,0.49975,0.02,0.666633,0.661095,1
10000,0.765853,0.49885,0.0187,0.669934,0.669722,0.9997
10000,0.422266,0.50195,0.0186,0.656431,0.673927,0.9999
10000,0.525758,0.49785,0.019,0.670334,0.661806,0.9999
10000,0.471903,0.49995,0.019,0.662132,0.673097,0.9999
10000,0.571586,0.50135,0.0193,0.677335,0.669032,0.9996
10000,0.353079,0.50335,0.0194,0.672735,0.661921,0.9998
10000,0.818142,0.50305,0.019,0.667333,0.663049,1
10000,0.389266,0.50235,0.0205,0.659532,0.667279,0.9997
10000,0.570767,0.50105,0.0194,0.658832,0.667585,1
10000,0.39072,0.505951,0.0194,0.659732,0.66884,1
10000,0.470477,0.49855,0.0188,0.662933,0.665,1
10000,0.538787,0.494749,0.0196,0.667033,0.651222,1
10000,0.751095,0.49785,0.0193,0.662232,0.668789,0.9998
10000,0.288539,0.49645,0.0186,0.668834,0.670138,0.9998
10000,0.301041,0.50125,0.0198,0.662533,0.667446,1
10000,0.637684,0.50265,0.0193,0.662633,0.664721,0.9998
10000,0.819674,0.50385,0.0191,0.666733,0.661196,1
10000,0.41356,0.50155,0.019,0.665233,0.668813,0.9999
10000,0.397574,0.50375,0.0196,0.665233,0.66461,0.9999
10000,0.674826,0.50015,0.0192,0.667133,0.668208,0.9999
10000,0.319924,0.50255,0.0189,0.661032,0.666251,0.9999
10000,0.645372,0.50275,0.0182,0.668934,0.678589,0.9997
10000,0.464357,0.50075,0.0191,0.666733,0.666248,0.9999
10000,0.371876,0.50005,0.0193,0.668034,0.671113,1
10000,0.329276,0.50395,0.0192,0.666333,0.666342,0.9999
10000,0.243351,0.50445,0.0179,0.666233,0.675356,0.9997
10000,0.453696,0.50215,0.0193,0.668434,0.663977,0.9999
10000,0.60161,0.49855,0.0189,0.657431,0.67166,0.9999
10000,0.340734,0.50045,0.0197,0.673335,0.663258,0.9999
10000,0.546322,0.50095,0.0184,0.667734,0.669567,0.9999
10000,0.635883,0.50115,0.0186,0.664633,0.671529,1
10000,0.457533,0.50115,0.0198,0.670134,0.660823,1
10000,0.589997,0.50175,0.019,0.665433,0.664147,1
10000,0.638431,0.50065,0.0196,0.660232,0.66674,0.9999
10000,0.635962,0.50055,0.0187,0.676235,0.65838,0.9998
10000,0.586173,0.50325,0.0192,0.670534,0.668031,1
10000,0.446367,0.49615,0.0189,0.667233,0.670733,1
10000,0.480723,0.506451,0.0195,0.663533,0.665794,0.9999
10000,0.564733,0.49935,0.0198,0.664833,0.672196,1
10000,0.645432,0.49715,0.0194,0.656131,0.662867,1
10000,0.381948,0.50045,0.0192,0.671234,0.666023,0.9999
10000,0.287683,0.50265,0.0193,0.667734,0.671049,0.9999
10000,0.319927,0.49715,0.019,0.672134,0.663718,1
10000,0.641633,0.49985,0.0195,0.659932,0.664331,0.9999
10000,0.381364,0.50125,0.0191,0.670134,0.666419,0.9999
10000,0.286655,0.50315,0.0198,0.664333,0.661524,0.9998
10000,0.575919,0.49635,0.0186,0.663033,0.662351,0.9999
10000,0.388336,0.49795,0.0199,0.661632,0.659065,1
10000,0.266557,0.505951,0.0198,0.669134,0.663144,1
10000,0.562281,0.49915,0.0196,0.672535,0.666431,0.9998
10000,0.689986,0.50215,0.0201,0.663833,0.669404,1
10000,0.474385,0.50315,0.0194,0.660432,0.661309,0.9999
10000,0.345571,0.50425,0.0191,0.672835,0.658358,1
10000,0.466191,0.50095,0.0191,0.662733,0.667594,0.9999
10000,0.349742,0.50105,0.0202,0.669334,0.668016,0.9998
10000,0.306306,0.49845,0.0193,0.662633,0.663058,0.9999
10000,0.361759,0.50195,0.0189,0.664433,0.663998,0.9997
10000,0.306173,0.49875,0.0198,0.667433,0.667102,1
