n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.421818,0.525253,0.15,0.683673,0.616,0.99
100,0.423232,0.525253,0.18,0.653061,0.616,1
100,0.788687,0.474747,0.18,0.704082,0.5908,0.98
100,0.348687,0.555556,0.14,0.642857,0.7372,1
100,0.350707,0.484848,0.16,0.683673,0.6816,1
100,0.452929,0.525253,0.13,0.72449,0.7344,0.98
100,0.620404,0.484848,0.18,0.591837,0.5296,0.97
100,0.777778,0.545455,0.19,0.714286,0.6132,1
100,0.351313,0.494949,0.17,0.673469,0.6168,0.99
100,0.281616,0.545455,0.14,0.663265,0.6484,1
100,0.708081,0.515152,0.15,0.714286,0.778,1
100,0.446263,0.545455,0.17,0.622449,0.7104,1
100,0.412929,0.525253,0.14,0.632653,0.6884,1
100,0.719192,0.494949,0.15,0.704082,0.6852,0.99
100,0.538788,0.454545,0.17,0.632653,0.596,0.97
100,0.798384,0.535354,0.17,0.683673,0.7112,0.99
100,0.317576,0.535354,0.16,0.673469,0.7208,1
100,0.78303,0.494949,0.18,0.72449,0.6544,1
100,0.518384,0.505051,0.16,0.693878,0.6292,0.99
100,0.421818,0.464646,0.18,0.734694,0.636,0.99
100,0.26303,0.494949,0.17,0.653061,0.628,0.98
100,0.496162,0.515152,0.18,0.602041,0.6152,0.99
100,0.531111,0.434343,0.14,0.632653,0.708,0.99
100,0.73798,0.494949,0.16,0.632653,0.6712,0.98
100,0.665455,0.525253,0.15,0.591837,0.7052,1
100,0.408081,0.535354,0.17,0.612245,0.6816,0.99
100,0.21798,0.494949,0.19,0.673469,0.6372,0.99
100,0.286465,0.494949,0.17,0.653061,0.684,1
100,0.379192,0.474747,0.17,0.704082,0.6224,1
100,0.701616,0.484848,0.15,0.622449,0.7032,0.97
100,0.692323,0.535354,0.16,0.622449,0.7244,0.98
100,0.706263,0.494949,0.15,0.77551,0.7332,1
100,0.33596,0.515152,0.22,0.622449,0.5548,1
100,0.547071,0.454545,0.17,0.653061,0.7372,1
100,0.454545,0.464646,0.18,0.571429,0.6188,1
100,0.643838,0.444444,0.17,0.591837,0.6668,1
100,0.797576,0.515152,0.19,0.663265,0.6148,0.99
100,0.315758,0.444444,0.17,0.693878,0.6108,0.98
100,0.326667,0.484848,0.21,0.642857,0.6184,0.99
100,0.377172,0.454545,0.15,0.693878,0.6996,1
100,0.794141,0.474747,0.19,0.622449,0.6464,0.97
100,0.339596,0.434343,0.16,0.632653,0.6728,1
100,0.244242,0.494949,0.16,0.642857,0.6584,0.99
100,0.442828,0.454545,0.17,0.663265,0.7112,1
100,0.325657,0.444444,0.18,0.622449,0.656,1
100,0.422222,0.494949,0.14,0.683673,0.6748,0.99
100,0.697172,0.494949,0.16,0.744898,0.708,0.99
100,0.535152,0.535354,0.16,0.622449,0.6932,0.99
100,0.552727,0.484848,0.17,0.642857,0.6804,1
100,0.833939,0.505051,0.17,0.612245,0.6672,0.98
100,0.463636,0.525253,0.16,0.653061,0.652,1
100,0.732121,0.515152,0.15,0.632653,0.7264,1
100,0.293535,0.454545,0.21,0.602041,0.6304,1
100,0.662828,0.515152,0.16,0.785714,0.6628,1
100,0.519192,0.515152,0.18,0.673469,0.6564,1
100,0.681212,0.505051,0.16,0.714286,0.7404,0.98
100,0.273737,0.494949,0.16,0.653061,0.6784,0.97
100,0.471111,0.494949,0.16,0.622449,0.656,0.98
100,0.487677,0.535354,0.14,0.622449,0.72,0.99
100,0.79798,0.525253,0.17,0.744898,0.6808,1
100,0.561818,0.484848,0.17,0.704082,0.7068,1
100,0.619394,0.494949,0.16,0.734694,0.6652,0.99
100,0.448687,0.505051,0.17,0.632653,0.628,1
