n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.287879,0.494949,0.18,0.704082,0.6464,0.98
100,0.389495,0.494949,0.18,0.673469,0.5952,1
100,0.466061,0.525253,0.2,0.714286,0.6476,0.99
100,0.520808,0.515152,0.17,0.653061,0.6484,0.99
100,0.842222,0.484848,0.14,0.714286,0.754,0.99
100,0.680606,0.464646,0.18,0.72449,0.6128,1
100,0.352727,0.505051,0.15,0.612245,0.7236,1
100,0.4,0.474747,0.18,0.704082,0.6324,1
100,0.387677,0.555556,0.18,0.663265,0.6524,1
100,0.389293,0.555556,0.17,0.693878,0.6276,1
100,0.655354,0.494949,0.17,0.653061,0.6364,0.99
100,0.624646,0.464646,0.16,0.653061,0.7208,1
100,0.386465,0.535354,0.16,0.673469,0.6912,1
100,0.360202,0.525253,0.17,0.622449,0.6328,1
100,0.691313,0.525253,0.16,0.704082,0.6796,1
100,0.767475,0.484848,0.18,0.704082,0.6128,1
100,0.678384,0.515152,0.17,0.653061,0.6824,1
100,0.397778,0.535354,0.17,0.602041,0.6956,0.98
100,0.273737,0.525253,0.17,0.653061,0.614,0.98
100,0.470909,0.474747,0.16,0.673469,0.6864,0.96
100,0.706667,0.464646,0.17,0.734694,0.6776,0.99
100,0.540202,0.505051,0.17,0.714286,0.6252,0.99
100,0.592727,0.525253,0.16,0.704082,0.6208,1
100,0.341212,0.484848,0.16,0.673469,0.6404,0.97
100,0.405859,0.484848,0.15,0.663265,0.7532,1
100,0.409697,0.505051,0.15,0.602041,0.6508,1
100,0.806465,0.535354,0.16,0.673469,0.712,1
100,0.793333,0.424242,0.17,0.653061,0.6532,1
100,0.411919,0.555556,0.15,0.591837,0.6516,0.99
100,0.527273,0.535354,0.17,0.704082,0.6708,1
100,0.475152,0.505051,0.17,0.581633,0.7044,0.99
100,0.657576,0.484848,0.17,0.673469,0.6772,1
100,0.376364,0.535354,0.2,0.714286,0.6636,0.99
100,0.325051,0.484848,0.18,0.673469,0.726,1
100,0.651515,0.484848,0.17,0.653061,0.6328,0.98
100,0.486061,0.505051,0.16,0.693878,0.6444,0.99
100,0.78404,0.494949,0.18,0.72449,0.6724,1
100,0.721616,0.484848,0.15,0.673469,0.7352,1
100,0.384848,0.535354,0.17,0.653061,0.6328,0.97
100,0.344848,0.515152,0.16,0.673469,0.6576,1
100,0.653131,0.525253,0.14,0.673469,0.6964,0.99
100,0.42101,0.525253,0.14,0.632653,0.6784,0.99
100,0.677374,0.535354,0.16,0.704082,0.648,0.99
100,0.458586,0.505051,0.17,0.653061,0.7148,0.99
100,0.588687,0.505051,0.15,0.642857,0.632,0.97
100,0.33697,0.545455,0.17,0.673469,0.6516,0.98
100,0.888283,0.494949,0.17,0.673469,0.658,1
100,0.390707,0.474747,0.19,0.72449,0.6608,0.99
100,0.309899,0.565657,0.14,0.673469,0.6696,0.99
100,0.522424,0.494949,0.17,0.622449,0.6604,0.99
100,0.276768,0.444444,0.17,0.673469,0.6344,1
100,0.620606,0.464646,0.18,0.653061,0.6388,1
100,0.671515,0.535354,0.15,0.591837,0.6712,1
100,0.419192,0.424242,0.15,0.683673,0.6996,1
