n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.371717,0.515152,0.15,0.632653,0.6672,0.99
100,0.783232,0.484848,0.15,0.642857,0.668,0.99
100,0.525253,0.505051,0.19,0.612245,0.6132,0.99
100,0.335152,0.515152,0.17,0.673469,0.658,0.99
100,0.341212,0.484848,0.17,0.683673,0.7028,0.99
100,0.633535,0.545455,0.16,0.714286,0.6948,0.97
100,0.763636,0.505051,0.17,0.704082,0.6836,1
100,0.664242,0.494949,0.21,0.714286,0.5972,0.97
100,0.361616,0.525253,0.18,0.653061,0.6144,1
100,0.528081,0.505051,0.18,0.734694,0.6932,0.97
100,0.587475,0.505051,0.15,0.642857,0.6868,0.99
100,0.354141,0.464646,0.16,0.602041,0.6564,0.99
100,0.51899,0.484848,0.18,0.673469,0.5952,1
100,0.289091,0.484848,0.16,0.642857,0.6832,0.99
100,0.485253,0.494949,0.15,0.683673,0.7296,0.99
100,0.540404,0.474747,0.18,0.612245,0.6832,1
100,0.374949,0.494949,0.16,0.683673,0.6744,1
100,0.307879,0.535354,0.16,0.693878,0.6848,0.99
100,0.58404,0.515152,0.2,0.683673,0.6512,1
100,0.52,0.505051,0.16,0.642857,0.6652,0.99
100,0.497374,0.505051,0.17,0.622449,0.6288,1
100,0.603434,0.575758,0.16,0.591837,0.6968,0.99
100,0.267273,0.484848,0.18,0.693878,0.6588,0.98
100,0.795556,0.474747,0.19,0.683673,0.7292,1
100,0.515354,0.515152,0.15,0.683673,0.6992,0.99
100,0.548889,0.535354,0.14,0.704082,0.6932,1
100,0.411919,0.555556,0.16,0.642857,0.6616,0.98
100,0.313131,0.555556,0.17,0.72449,0.7288,1
100,0.374141,0.454545,0.18,0.693878,0.6336,0.99
100,0.626263,0.474747,0.17,0.642857,0.6764,0.99
100,0.277576,0.525253,0.16,0.704082,0.7248,0.99
100,0.30303,0.484848,0.17,0.642857,0.6224,1
100,0.632121,0.484848,0.16,0.673469,0.7076,0.99
100,0.531919,0.494949,0.16,0.683673,0.6884,1
100,0.39596,0.505051,0.17,0.642857,0.6608,0.99
100,0.246465,0.454545,0.17,0.612245,0.6508,0.98
100,0.290707,0.525253,0.16,0.663265,0.6544,1
100,0.422222,0.535354,0.17,0.714286,0.7028,0.97
100,0.744242,0.494949,0.15,0.704082,0.724,0.99
100,0.354949,0.535354,0.18,0.714286,0.6424,0.99
100,0.770707,0.515152,0.16,0.714286,0.6812,1
30,0.241379,0.482759,0.266667,0.821429,0.551111,0.966667
100,0.375354,0.525253,0.17,0.72449,0.682,0.99
100,0.692121,0.505051,0.18,0.683673,0.67,1
100,0.227879,0.535354,0.14,0.704082,0.6788,0.98
100,0.688283,0.525253,0.16,0.683673,0.694,0.98
100,0.433737,0.515152,0.2,0.612245,0.6228,0.99
100,0.310303,0.494949,0.16,0.612245,0.6852,0.99
100,0.190101,0.555556,0.16,0.683673,0.6792,1
100,0.21697,0.494949,0.17,0.591837,0.6792,0.99
100,0.554343,0.525253,0.18,0.673469,0.582,0.99
100,0.757576,0.515152,0.14,0.683673,0.7264,1
100,0.659596,0.464646,0.16,0.632653,0.7124,1
100,0.362424,0.464646,0.17,0.561224,0.6912,0.99
100,0.361818,0.494949,0.16,0.683673,0.6052,0.99
100,0.381818,0.424242,0.21,0.591837,0.6292,1
100,0.30202,0.505051,0.19,0.622449,0.6296,0.97
100,0.49697,0.545455,0.17,0.693878,0.6644,0.99
100,0.314949,0.505051,0.18,0.744898,0.698,1
100,0.39697,0.525253,0.17,0.653061,0.654,0.97
100,0.672121,0.505051,0.16,0.663265,0.644,1
100,0.661616,0.484848,0.17,0.612245,0.6668,0.97
100,0.386869,0.505051,0.16,0.734694,0.6128,1
100,0.515152,0.535354,0.16,0.612245,0.6816,0.99
100,0.465253,0.555556,0.17,0.571429,0.6912,1
100,0.498586,0.505051,0.18,0.622449,0.6496,1
100,0.601212,0.494949,0.15,0.663265,0.6692,0.98
100,0.293333,0.454545,0.14,0.72449,0.7236,1
100,0.393939,0.484848,0.16,0.693878,0.692,1
100,0.293939,0.444444,0.15,0.714286,0.7268,0.98
100,0.404646,0.535354,0.17,0.663265,0.6788,1
100,0.739596,0.525253,0.17,0.653061,0.6668,0.98
100,0.324242,0.494949,0.18,0.663265,0.6572,1
100,0.578788,0.494949,0.17,0.72449,0.7332,0.99
100,0.678788,0.474747,0.21,0.693878,0.6496,1
100,0.301212,0.505051,0.13,0.612245,0.7212,1
100,0.468687,0.515152,0.17,0.612245,0.66,0.99
100,0.770505,0.484848,0.16,0.642857,0.7044,0.99
100,0.682828,0.565657,0.18,0.561224,0.6736,1
100,0.532929,0.525253,0.17,0.673469,0.6828,0.99
100,0.643838,0.464646,0.17,0.704082,0.6336,0.98
100,0.657778,0.525253,0.13,0.72449,0.7208,0.99
100,0.602828,0.474747,0.15,0.602041,0.676,1
100,0.56,0.535354,0.16,0.673469,0.686,0.98
100,0.872323,0.484848,0.19,0.663265,0.6276,0.98
100,0.55596,0.464646,0.16,0.632653,0.6728,0.99
100,0.645859,0.454545,0.18,0.693878,0.6036,0.98
100,0.50404,0.565657,0.16,0.693878,0.7,0.99
100,0.475152,0.505051,0.19,0.663265,0.638,0.99
100,0.735354,0.474747,0.17,0.663265,0.6996,1
100,0.402424,0.545455,0.18,0.571429,0.6268,1
100,0.484646,0.474747,0.17,0.734694,0.5908,1
100,0.476162,0.505051,0.17,0.653061,0.6928,1
100,0.315152,0.494949,0.18,0.673469,0.6284,0.98
100,0.363838,0.535354,0.15,0.612245,0.7376,0.99
100,0.575152,0.484848,0.15,0.663265,0.7036,0.99
100,0.912727,0.555556,0.14,0.765306,0.7524,0.98
100,0.425253,0.464646,0.16,0.673469,0.6648,0.97
100,0.33697,0.474747,0.19,0.683673,0.628,0.98
100,0.734949,0.505051,0.15,0.693878,0.7016,0.98
100,0.551313,0.515152,0.18,0.683673,0.7148,1
19,0.245614,0.5,0.421053,0.705882,0.488889,0.842105
100,0.573737,0.494949,0.14,0.673469,0.7068,0.99
100,0.687071,0.454545,0.21,0.673469,0.5804,0.96
100,0.721818,0.484848,0.18,0.744898,0.678,1
100,0.685859,0.535354,0.17,0.704082,0.6252,0.97
100,0.356162,0.525253,0.17,0.612245,0.71,1
100,0.396566,0.515152,0.17,0.693878,0.6788,1
100,0.266465,0.484848,0.16,0.693878,0.6592,0.96
100,0.848889,0.474747,0.19,0.581633,0.636,1
100,0.767475,0.525253,0.16,0.714286,0.67,1
100,0.694545,0.464646,0.19,0.581633,0.6184,0.98
100,0.723232,0.494949,0.18,0.673469,0.7104,0.99
100,0.42404,0.434343,0.15,0.673469,0.7364,0.99
100,0.648283,0.505051,0.18,0.632653,0.6552,1
100,0.324848,0.464646,0.16,0.683673,0.6232,1
100,0.469293,0.494949,0.17,0.632653,0.7104,0.99
100,0.462828,0.505051,0.16,0.622449,0.6576,1
100,0.477172,0.464646,0.17,0.663265,0.708,0.99
100,0.826061,0.454545,0.18,0.77551,0.6376,0.99
100,0.546667,0.484848,0.16,0.642857,0.6316,1
100,0.755354,0.474747,0.16,0.642857,0.7176,1
15,0.266667,0.5,0.333333,0.615385,0.642857,0.933333
100,0.390909,0.434343,0.16,0.653061,0.7236,0.99
100,0.373131,0.474747,0.15,0.663265,0.686,0.97
100,0.311515,0.525253,0.15,0.693878,0.6836,1
100,0.281212,0.505051,0.18,0.653061,0.63,0.99
100,0.417576,0.525253,0.16,0.653061,0.6684,0.99
100,0.499798,0.494949,0.18,0.663265,0.66,0.99
100,0.379394,0.484848,0.16,0.683673,0.69,0.99
100,0.656768,0.484848,0.17,0.683673,0.66,1
100,0.8,0.494949,0.15,0.612245,0.7036,0.98
100,0.326465,0.474747,0.17,0.663265,0.6772,0.99
100,0.564242,0.474747,0.15,0.591837,0.6792,0.97
100,0.858384,0.515152,0.17,0.663265,0.6468,0.98
100,0.468485,0.484848,0.17,0.704082,0.5904,0.99
100,0.572929,0.525253,0.14,0.683673,0.6936,0.99
100,0.235556,0.434343,0.17,0.714286,0.712,1
100,0.611919,0.464646,0.17,0.673469,0.6656,0.99
100,0.60303,0.575758,0.16,0.622449,0.7108,0.99
100,0.445051,0.474747,0.18,0.653061,0.6968,1
100,0.627273,0.474747,0.16,0.622449,0.7176,0.99
100,0.473737,0.494949,0.18,0.683673,0.6544,0.98
100,0.23899,0.484848,0.2,0.765306,0.5536,0.98
100,0.496364,0.535354,0.16,0.683673,0.6672,1
100,0.569697,0.464646,0.17,0.693878,0.6532,0.98
100,0.607677,0.464646,0.19,0.632653,0.574,1
100,0.50404,0.515152,0.15,0.653061,0.7192,0.99
100,0.376768,0.505051,0.15,0.714286,0.6908,0.98
100,0.441818,0.515152,0.18,0.663265,0.598,0.99
100,0.327475,0.515152,0.18,0.704082,0.7232,1
100,0.450101,0.474747,0.18,0.683673,0.6292,0.99
100,0.334545,0.535354,0.16,0.632653,0.6592,0.98
100,0.351313,0.454545,0.18,0.632653,0.6444,0.98
100,0.28303,0.444444,0.18,0.734694,0.5576,1
100,0.563636,0.474747,0.16,0.632653,0.7112,1
100,0.326869,0.535354,0.15,0.683673,0.6968,1
100,0.437576,0.474747,0.17,0.622449,0.6836,0.99
100,0.333939,0.494949,0.16,0.683673,0.686,0.99
100,0.432727,0.515152,0.14,0.683673,0.6564,0.99
100,0.359192,0.505051,0.16,0.714286,0.6708,0.98
100,0.706263,0.515152,0.14,0.683673,0.7476,0.99
100,0.614141,0.505051,0.16,0.602041,0.6884,1
100,0.375354,0.484848,0.19,0.673469,0.6084,0.98
100,0.855556,0.545455,0.14,0.663265,0.7296,1
100,0.677576,0.484848,0.19,0.642857,0.5932,0.99
100,0.510505,0.464646,0.19,0.663265,0.6544,0.99
100,0.465455,0.494949,0.14,0.693878,0.6692,1
100,0.478182,0.474747,0.2,0.622449,0.556,0.99
100,0.787273,0.474747,0.17,0.663265,0.6824,0.99
100,0.563838,0.444444,0.16,0.673469,0.7052,1
100,0.745859,0.434343,0.15,0.602041,0.6876,0.99
100,0.492525,0.525253,0.14,0.653061,0.6764,0.99
100,0.352121,0.494949,0.17,0.602041,0.6512,0.99
100,0.188687,0.505051,0.15,0.755102,0.686,0.99
100,0.321616,0.525253,0.16,0.673469,0.6784,0.98
100,0.661212,0.515152,0.18,0.663265,0.6696,1
100,0.593535,0.525253,0.19,0.653061,0.6576,0.99
100,0.26101,0.474747,0.16,0.704082,0.6272,0.98
100,0.642424,0.484848,0.18,0.673469,0.6556,0.98
100,0.405253,0.484848,0.14,0.602041,0.7324,0.99
100,0.487879,0.474747,0.18,0.663265,0.6288,0.98
100,0.612525,0.494949,0.17,0.602041,0.6968,1
100,0.715152,0.484848,0.17,0.602041,0.632,1
100,0.602424,0.535354,0.14,0.55102,0.624,1
100,0.723636,0.474747,0.16,0.632653,0.6516,0.97
100,0.372525,0.535354,0.17,0.663265,0.7392,0.99
100,0.341818,0.515152,0.16,0.704082,0.6588,1
100,0.284444,0.545455,0.18,0.581633,0.5604,0.99
100,0.67798,0.494949,0.15,0.683673,0.6744,1
100,0.434949,0.474747,0.17,0.714286,0.6604,1
100,0.56404,0.484848,0.17,0.653061,0.6564,0.99
100,0.239192,0.454545,0.15,0.704082,0.634,1
100,0.838788,0.464646,0.17,0.72449,0.6572,0.98
100,0.53697,0.565657,0.14,0.704082,0.7376,1
100,0.810909,0.484848,0.19,0.683673,0.6884,0.99
100,0.460808,0.525253,0.21,0.581633,0.594,0.97
100,0.680202,0.464646,0.19,0.653061,0.6628,0.99
100,0.226869,0.525253,0.16,0.581633,0.6952,1
100,0.490707,0.515152,0.15,0.663265,0.78,0.98
100,0.377172,0.585859,0.16,0.653061,0.6524,1
100,0.358182,0.464646,0.18,0.653061,0.6436,1
100,0.655758,0.505051,0.14,0.673469,0.7372,1
100,0.331919,0.444444,0.15,0.642857,0.7352,0.97
100,0.447677,0.515152,0.22,0.755102,0.6444,0.97
100,0.892121,0.555556,0.16,0.673469,0.6576,1
100,0.63899,0.454545,0.19,0.683673,0.6772,0.99
100,0.574949,0.484848,0.18,0.602041,0.684,0.99
100,0.335354,0.484848,0.16,0.683673,0.662,1
100,0.574949,0.464646,0.16,0.714286,0.6044,1
100,0.625253,0.494949,0.16,0.734694,0.6948,1
100,0.67899,0.474747,0.17,0.663265,0.62,1
