n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.546263,0.515152,0.17,0.683673,0.6348,0.99
100,0.670101,0.535354,0.13,0.642857,0.7252,1
100,0.413939,0.515152,0.16,0.714286,0.666,1
100,0.626465,0.515152,0.16,0.704082,0.7268,0.99
100,0.37798,0.494949,0.17,0.734694,0.6976,0.99
100,0.413333,0.505051,0.14,0.734694,0.6336,0.99
100,0.540808,0.515152,0.16,0.704082,0.7136,0.99
100,0.401818,0.454545,0.18,0.653061,0.6176,1
100,0.360404,0.494949,0.19,0.693878,0.6932,0.98
100,0.743636,0.545455,0.16,0.714286,0.6672,1
100,0.298384,0.484848,0.19,0.673469,0.662,1
100,0.330505,0.535354,0.18,0.673469,0.6456,0.99
100,0.375152,0.525253,0.16,0.673469,0.7152,0.99
100,0.482626,0.565657,0.15,0.622449,0.7136,1
100,0.817374,0.494949,0.15,0.642857,0.6612,1
100,0.825859,0.515152,0.14,0.663265,0.726,0.99
100,0.452525,0.464646,0.18,0.693878,0.6004,0.99
100,0.747273,0.515152,0.17,0.683673,0.6956,0.99
100,0.51697,0.545455,0.15,0.683673,0.6696,0.99
100,0.414747,0.474747,0.18,0.653061,0.6472,1
100,0.295758,0.525253,0.18,0.612245,0.682,0.98
100,0.500404,0.494949,0.21,0.704082,0.6012,1
100,0.664242,0.454545,0.19,0.673469,0.598,1
100,0.626869,0.454545,0.19,0.642857,0.638,0.98
100,0.882424,0.555556,0.17,0.632653,0.662,0.98
100,0.359192,0.525253,0.15,0.693878,0.6304,0.99
100,0.517172,0.505051,0.13,0.622449,0.688,0.99
100,0.430303,0.494949,0.17,0.642857,0.6892,1
100,0.555152,0.545455,0.16,0.683673,0.6672,0.97
100,0.416768,0.515152,0.16,0.663265,0.6368,0.98
100,0.592323,0.555556,0.14,0.612245,0.7024,0.99
100,0.669293,0.494949,0.16,0.683673,0.638,1
100,0.673131,0.484848,0.18,0.642857,0.6436,0.99
100,0.50202,0.535354,0.18,0.734694,0.66,0.98
100,0.417172,0.474747,0.17,0.663265,0.6384,0.98
100,0.71798,0.454545,0.17,0.653061,0.6508,1
100,0.568081,0.525253,0.17,0.683673,0.6732,0.99
100,0.627273,0.535354,0.18,0.561224,0.6624,0.99
100,0.609293,0.505051,0.16,0.673469,0.6772,1
100,0.46,0.474747,0.19,0.602041,0.6532,0.97
100,0.47697,0.484848,0.16,0.663265,0.736,0.99
100,0.522828,0.474747,0.17,0.642857,0.6896,0.99
100,0.635152,0.525253,0.16,0.653061,0.6936,0.98
100,0.511313,0.484848,0.16,0.704082,0.7296,1
100,0.318788,0.515152,0.19,0.642857,0.6716,1
100,0.345253,0.545455,0.15,0.653061,0.7316,1
100,0.303838,0.505051,0.17,0.72449,0.6896,0.99
100,0.41798,0.515152,0.18,0.632653,0.644,0.99
100,0.522222,0.545455,0.18,0.673469,0.66,0.99
100,0.738182,0.494949,0.17,0.642857,0.602,0.98
100,0.668283,0.494949,0.2,0.785714,0.6996,0.99
100,0.751717,0.494949,0.15,0.795918,0.7516,0.99
100,0.447071,0.505051,0.18,0.673469,0.6152,1
100,0.382424,0.535354,0.15,0.704082,0.6952,1
100,0.305253,0.525253,0.19,0.693878,0.6824,1
100,0.682222,0.484848,0.18,0.714286,0.58,1
100,0.777172,0.434343,0.13,0.663265,0.7424,0.98
100,0.30101,0.494949,0.14,0.653061,0.6164,0.98
100,0.518586,0.515152,0.16,0.683673,0.7232,0.98
100,0.515758,0.515152,0.14,0.72449,0.6668,1
100,0.414747,0.525253,0.18,0.714286,0.6128,0.98
100,0.16101,0.474747,0.19,0.622449,0.5944,0.99
100,0.778586,0.494949,0.2,0.744898,0.6184,0.97
100,0.772525,0.474747,0.17,0.744898,0.6888,0.99
100,0.301414,0.525253,0.18,0.632653,0.5712,0.98
100,0.364848,0.474747,0.16,0.642857,0.7076,0.97
100,0.295758,0.515152,0.14,0.744898,0.7472,0.98
100,0.436162,0.515152,0.16,0.632653,0.668,0.99
100,0.428283,0.494949,0.16,0.683673,0.6668,1
100,0.513131,0.525253,0.17,0.663265,0.6376,0.97
100,0.442424,0.525253,0.17,0.591837,0.6488,0.99
100,0.633535,0.515152,0.21,0.734694,0.6172,1
100,0.291919,0.525253,0.15,0.683673,0.5924,0.99
100,0.632929,0.484848,0.14,0.693878,0.7028,0.99
100,0.671515,0.555556,0.17,0.602041,0.6704,1
100,0.407879,0.494949,0.17,0.72449,0.6796,0.98
100,0.413737,0.515152,0.17,0.571429,0.6068,0.98
100,0.480606,0.515152,0.16,0.612245,0.6508,1
100,0.292121,0.474747,0.16,0.673469,0.6412,1
100,0.353535,0.515152,0.14,0.663265,0.6708,1
100,0.684848,0.484848,0.18,0.632653,0.6208,1
100,0.630303,0.464646,0.15,0.612245,0.6996,0.97
100,0.36,0.434343,0.16,0.612245,0.6208,0.99
100,0.418586,0.535354,0.19,0.683673,0.6188,1
100,0.586263,0.505051,0.19,0.673469,0.552,0.98
100,0.523434,0.535354,0.16,0.663265,0.662,1
100,0.672929,0.484848,0.17,0.632653,0.6952,1
100,0.716162,0.515152,0.15,0.673469,0.6628,0.98
100,0.54404,0.505051,0.18,0.673469,0.6556,0.99
100,0.472121,0.525253,0.18,0.72449,0.656,0.96
100,0.470101,0.454545,0.2,0.591837,0.758,0.98
100,0.529091,0.515152,0.21,0.683673,0.5432,0.96
100,0.607273,0.494949,0.17,0.683673,0.6508,1
100,0.659798,0.545455,0.16,0.632653,0.6584,0.98
100,0.499798,0.434343,0.19,0.653061,0.6608,0.98
100,0.387879,0.555556,0.15,0.622449,0.656,0.99
100,0.398586,0.505051,0.19,0.673469,0.6924,1
100,0.476162,0.535354,0.15,0.642857,0.7708,1
100,0.358182,0.565657,0.14,0.673469,0.6836,1
100,0.503636,0.565657,0.17,0.704082,0.7188,1
100,0.847475,0.464646,0.18,0.693878,0.6664,1
100,0.720808,0.474747,0.16,0.642857,0.6548,0.97
100,0.421414,0.515152,0.15,0.714286,0.6756,0.99
100,0.570303,0.494949,0.15,0.642857,0.6992,1
100,0.580808,0.494949,0.17,0.765306,0.6576,1
100,0.314747,0.545455,0.14,0.653061,0.7152,1
100,0.481414,0.484848,0.16,0.683673,0.7108,0.98
100,0.682222,0.464646,0.14,0.561224,0.7252,1
100,0.602626,0.535354,0.16,0.683673,0.7056,0.98
100,0.547273,0.505051,0.16,0.653061,0.6476,1
100,0.668485,0.454545,0.17,0.72449,0.6088,1
100,0.438586,0.484848,0.17,0.663265,0.6688,1
100,0.460404,0.494949,0.16,0.591837,0.6524,0.98
100,0.385859,0.535354,0.17,0.683673,0.6884,0.98
100,0.372929,0.494949,0.17,0.653061,0.6508,1
100,0.501818,0.484848,0.15,0.693878,0.7768,1
100,0.513939,0.545455,0.19,0.734694,0.6424,0.99
100,0.741414,0.494949,0.18,0.683673,0.6688,0.99
100,0.44404,0.494949,0.18,0.683673,0.64,0.99
100,0.524848,0.505051,0.15,0.602041,0.7056,0.99
100,0.82404,0.494949,0.17,0.642857,0.7132,0.99
100,0.556768,0.474747,0.17,0.673469,0.7332,0.99
100,0.800606,0.515152,0.19,0.693878,0.5992,0.98
100,0.311313,0.525253,0.17,0.653061,0.6324,0.98
100,0.684646,0.535354,0.17,0.581633,0.6724,1
100,0.323434,0.525253,0.15,0.683673,0.696,0.99
100,0.73899,0.505051,0.2,0.653061,0.5924,0.98
100,0.444848,0.464646,0.17,0.642857,0.7236,0.99
100,0.41697,0.494949,0.19,0.663265,0.668,1
100,0.324444,0.474747,0.18,0.663265,0.6888,1
100,0.576768,0.525253,0.16,0.653061,0.6864,1
100,0.678586,0.484848,0.15,0.673469,0.6956,0.98
100,0.554545,0.505051,0.15,0.663265,0.6744,0.99
100,0.753333,0.505051,0.17,0.714286,0.7056,0.99
100,0.329495,0.505051,0.14,0.653061,0.7284,1
100,0.532525,0.484848,0.15,0.693878,0.6912,1
100,0.395556,0.515152,0.15,0.653061,0.6748,1
100,0.360404,0.525253,0.15,0.72449,0.6492,0.99
100,0.889091,0.494949,0.18,0.663265,0.6232,1
100,0.362424,0.555556,0.18,0.693878,0.6364,0.97
100,0.411313,0.525253,0.17,0.653061,0.6488,1
100,0.51899,0.505051,0.15,0.683673,0.6708,0.99
100,0.430101,0.464646,0.16,0.673469,0.6916,0.99
100,0.273333,0.525253,0.2,0.602041,0.6812,0.99
100,0.477778,0.484848,0.16,0.693878,0.6908,0.98
100,0.317778,0.494949,0.15,0.704082,0.6904,0.99
100,0.351919,0.555556,0.18,0.653061,0.6116,0.99
100,0.404848,0.494949,0.16,0.653061,0.6672,0.98
100,0.276162,0.494949,0.18,0.653061,0.6188,0.97
100,0.396162,0.545455,0.16,0.683673,0.6464,0.98
100,0.36,0.444444,0.2,0.612245,0.5896,0.98
100,0.64404,0.494949,0.16,0.622449,0.7296,1
100,0.282626,0.40404,0.18,0.663265,0.6372,1
100,0.754545,0.474747,0.17,0.77551,0.68,0.98
100,0.309293,0.444444,0.16,0.642857,0.672,0.98
100,0.365657,0.484848,0.17,0.663265,0.65,0.99
100,0.397374,0.464646,0.15,0.642857,0.7132,1
100,0.381414,0.484848,0.17,0.653061,0.6908,0.99
100,0.508081,0.444444,0.16,0.704082,0.686,0.98
100,0.676364,0.494949,0.18,0.683673,0.5772,0.98
100,0.317778,0.474747,0.19,0.632653,0.686,0.99
100,0.395354,0.474747,0.17,0.714286,0.63,1
100,0.592929,0.454545,0.18,0.663265,0.6912,1
100,0.340202,0.505051,0.18,0.683673,0.6932,0.98
100,0.697778,0.525253,0.17,0.642857,0.6652,1
100,0.397172,0.484848,0.16,0.734694,0.7084,0.98
100,0.27798,0.484848,0.16,0.693878,0.6252,0.99
100,0.310707,0.464646,0.16,0.734694,0.74,1
100,0.778182,0.515152,0.17,0.693878,0.6696,0.99
100,0.453737,0.515152,0.19,0.622449,0.6668,0.99
100,0.451313,0.535354,0.19,0.612245,0.6528,0.99
100,0.473131,0.484848,0.18,0.693878,0.6708,0.98
100,0.36202,0.505051,0.16,0.653061,0.6744,1
100,0.805859,0.505051,0.17,0.714286,0.6776,0.99
100,0.55596,0.535354,0.14,0.591837,0.7652,0.99
100,0.420202,0.505051,0.17,0.663265,0.6292,0.99
100,0.334545,0.474747,0.17,0.693878,0.6172,1
100,0.408889,0.505051,0.21,0.744898,0.5916,0.99
100,0.475556,0.474747,0.18,0.602041,0.708,1
100,0.375758,0.454545,0.19,0.612245,0.6208,0.99
100,0.795556,0.454545,0.18,0.632653,0.6296,0.98
100,0.799192,0.494949,0.17,0.581633,0.6588,1
100,0.361414,0.505051,0.16,0.714286,0.656,0.99
100,0.365051,0.535354,0.14,0.673469,0.6756,0.99
100,0.833737,0.484848,0.18,0.683673,0.6376,0.99
100,0.433535,0.525253,0.16,0.744898,0.6468,0.98
100,0.453535,0.464646,0.16,0.72449,0.6552,0.99
100,0.583838,0.545455,0.16,0.653061,0.73,1
100,0.315152,0.535354,0.15,0.622449,0.76,1
100,0.315152,0.464646,0.18,0.602041,0.6636,1
100,0.450707,0.474747,0.19,0.622449,0.6204,0.98
100,0.530909,0.555556,0.17,0.622449,0.684,0.99
100,0.272121,0.545455,0.17,0.622449,0.6244,0.99
100,0.516162,0.505051,0.18,0.704082,0.6396,0.99
100,0.218384,0.454545,0.18,0.663265,0.688,0.98
100,0.298384,0.565657,0.16,0.72449,0.6548,0.99
100,0.487475,0.484848,0.14,0.663265,0.67,0.98
100,0.492929,0.494949,0.17,0.673469,0.6364,1
100,0.427071,0.515152,0.16,0.755102,0.7184,1
100,0.419192,0.545455,0.15,0.653061,0.7168,0.98
100,0.853131,0.444444,0.18,0.632653,0.6672,0.99
100,0.261616,0.484848,0.17,0.693878,0.6544,0.97
100,0.502626,0.494949,0.18,0.693878,0.612,0.97
100,0.690505,0.484848,0.17,0.602041,0.6876,0.98
100,0.567071,0.505051,0.17,0.622449,0.6392,0.95
100,0.313737,0.585859,0.14,0.591837,0.7208,1
100,0.710101,0.505051,0.15,0.714286,0.6844,1
100,0.401212,0.454545,0.16,0.714286,0.6552,0.97
100,0.357778,0.515152,0.16,0.714286,0.6756,0.96
100,0.562828,0.525253,0.17,0.653061,0.6356,0.98
100,0.293333,0.484848,0.14,0.663265,0.6644,0.99
100,0.283636,0.565657,0.15,0.673469,0.6456,0.99
100,0.68,0.40404,0.19,0.642857,0.6112,0.98
100,0.738384,0.525253,0.19,0.642857,0.6308,0.99
100,0.33798,0.535354,0.18,0.663265,0.6016,0.99
100,0.636162,0.525253,0.15,0.632653,0.6836,0.99
100,0.370101,0.505051,0.18,0.663265,0.6364,0.97
