n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.289293,0.515152,0.16,0.673469,0.6792,0.99
100,0.53798,0.484848,0.18,0.622449,0.6404,0.99
100,0.316566,0.545455,0.15,0.642857,0.6532,0.99
100,0.559192,0.464646,0.18,0.714286,0.6024,1
100,0.748283,0.494949,0.15,0.683673,0.7124,0.99
100,0.731313,0.484848,0.15,0.765306,0.7084,0.99
100,0.34303,0.545455,0.15,0.653061,0.688,0.99
100,0.353939,0.474747,0.15,0.632653,0.6756,0.99
100,0.525455,0.545455,0.15,0.622449,0.6892,0.99
100,0.693131,0.494949,0.17,0.765306,0.7204,1
100,0.283232,0.474747,0.16,0.642857,0.7144,0.99
100,0.330101,0.525253,0.16,0.642857,0.6932,1
100,0.743636,0.515152,0.2,0.765306,0.6816,0.98
100,0.517778,0.535354,0.17,0.714286,0.6744,1
100,0.483434,0.484848,0.15,0.612245,0.7508,0.99
100,0.533333,0.484848,0.16,0.72449,0.656,0.99
100,0.383232,0.464646,0.17,0.755102,0.6308,0.99
100,0.320202,0.515152,0.16,0.683673,0.6736,1
100,0.374141,0.525253,0.17,0.581633,0.6552,0.99
100,0.435758,0.515152,0.17,0.663265,0.6648,1
100,0.403434,0.494949,0.21,0.673469,0.5816,0.97
100,0.321818,0.474747,0.16,0.673469,0.624,1
100,0.79596,0.464646,0.18,0.591837,0.682,1
100,0.209899,0.555556,0.16,0.673469,0.7392,0.99
100,0.588687,0.525253,0.15,0.632653,0.6936,0.98
100,0.653535,0.535354,0.15,0.653061,0.5844,1
100,0.378788,0.505051,0.16,0.663265,0.6172,0.98
100,0.804242,0.535354,0.17,0.663265,0.6544,1
100,0.731111,0.474747,0.15,0.683673,0.724,0.99
100,0.688485,0.545455,0.17,0.72449,0.6888,0.99
100,0.490707,0.555556,0.16,0.673469,0.73,1
100,0.595354,0.484848,0.16,0.591837,0.7072,0.99
100,0.423232,0.494949,0.16,0.571429,0.6928,0.99
100,0.404444,0.555556,0.15,0.642857,0.6604,0.97
100,0.365253,0.515152,0.17,0.714286,0.6504,0.99
100,0.412727,0.494949,0.18,0.72449,0.5408,0.99
100,0.365657,0.505051,0.16,0.591837,0.6332,0.98
100,0.264444,0.484848,0.16,0.704082,0.6672,1
100,0.584646,0.474747,0.16,0.72449,0.6988,1
100,0.477576,0.484848,0.17,0.612245,0.6308,1
100,0.642828,0.515152,0.17,0.704082,0.5944,0.98
100,0.690707,0.484848,0.15,0.683673,0.7468,0.99
100,0.462626,0.474747,0.17,0.663265,0.5996,0.98
100,0.661818,0.494949,0.14,0.653061,0.724,0.99
100,0.657172,0.525253,0.18,0.602041,0.676,0.97
100,0.785253,0.494949,0.15,0.673469,0.7228,0.99
100,0.648081,0.474747,0.21,0.673469,0.534,0.98
100,0.253535,0.515152,0.2,0.683673,0.5504,0.99
100,0.307475,0.464646,0.2,0.72449,0.5668,0.99
100,0.546667,0.515152,0.16,0.642857,0.696,0.98
100,0.32,0.484848,0.17,0.744898,0.6136,1
100,0.514343,0.464646,0.17,0.622449,0.6664,1
100,0.698788,0.525253,0.15,0.612245,0.7436,0.99
100,0.287879,0.515152,0.22,0.693878,0.572,0.99
100,0.683838,0.474747,0.15,0.693878,0.7084,1
100,0.49697,0.484848,0.16,0.72449,0.6412,0.98
100,0.600808,0.464646,0.17,0.653061,0.7184,0.98
100,0.652929,0.515152,0.2,0.683673,0.6596,0.97
100,0.634343,0.505051,0.14,0.642857,0.7408,0.99
100,0.402828,0.525253,0.17,0.622449,0.6556,0.99
100,0.382424,0.515152,0.16,0.602041,0.6248,1
100,0.310707,0.555556,0.16,0.663265,0.6828,0.98
100,0.393939,0.474747,0.16,0.653061,0.6604,0.98
100,0.356566,0.474747,0.17,0.642857,0.6508,0.99
100,0.389091,0.535354,0.14,0.714286,0.712,0.99
100,0.395152,0.525253,0.17,0.683673,0.6004,1
100,0.610101,0.505051,0.16,0.581633,0.6688,0.98
100,0.392323,0.484848,0.2,0.622449,0.596,0.97
100,0.590909,0.505051,0.16,0.602041,0.692,1
100,0.479192,0.515152,0.16,0.755102,0.6064,0.97
100,0.493737,0.454545,0.17,0.683673,0.7048,0.98
100,0.388687,0.515152,0.16,0.714286,0.5964,1
100,0.633939,0.505051,0.14,0.734694,0.6712,0.98
100,0.726869,0.464646,0.16,0.622449,0.7296,1
100,0.307475,0.505051,0.16,0.642857,0.6324,0.99
100,0.731313,0.484848,0.16,0.683673,0.7192,0.99
100,0.520808,0.535354,0.2,0.622449,0.6684,1
100,0.390101,0.525253,0.17,0.704082,0.6332,1
100,0.511717,0.515152,0.17,0.612245,0.6548,0.99
100,0.413737,0.484848,0.17,0.673469,0.6492,1
100,0.547071,0.505051,0.17,0.642857,0.6212,0.98
100,0.679394,0.474747,0.17,0.571429,0.6872,0.99
100,0.28202,0.494949,0.16,0.734694,0.7468,1
100,0.221212,0.494949,0.18,0.693878,0.6364,1
100,0.515152,0.444444,0.18,0.622449,0.6072,0.99
100,0.286667,0.505051,0.15,0.683673,0.758,1
100,0.308687,0.484848,0.19,0.663265,0.6368,0.99
100,0.354545,0.525253,0.16,0.632653,0.708,0.97
100,0.451919,0.474747,0.16,0.714286,0.7384,0.99
100,0.477374,0.555556,0.17,0.663265,0.6444,0.99
100,0.552929,0.444444,0.16,0.683673,0.7012,0.99
100,0.855354,0.525253,0.15,0.479592,0.6612,1
100,0.535152,0.555556,0.15,0.683673,0.6964,0.98
100,0.560404,0.505051,0.16,0.632653,0.6872,0.99
100,0.647273,0.535354,0.14,0.663265,0.7076,0.99
100,0.570303,0.464646,0.16,0.683673,0.726,1
100,0.305657,0.494949,0.17,0.693878,0.6972,1
100,0.524646,0.474747,0.17,0.693878,0.632,1
100,0.451515,0.474747,0.17,0.591837,0.69,1
100,0.266465,0.515152,0.15,0.653061,0.678,0.99
100,0.643232,0.474747,0.17,0.704082,0.7028,1
100,0.257374,0.484848,0.19,0.714286,0.6944,0.99
100,0.627677,0.474747,0.16,0.693878,0.644,0.99
100,0.278384,0.494949,0.17,0.693878,0.6652,0.99
100,0.409697,0.494949,0.18,0.673469,0.6368,0.98
100,0.467273,0.494949,0.16,0.663265,0.6148,1
100,0.51798,0.505051,0.17,0.673469,0.6664,0.99
100,0.796768,0.484848,0.16,0.622449,0.7208,0.99
100,0.84,0.525253,0.16,0.683673,0.6676,1
100,0.287677,0.505051,0.17,0.744898,0.642,0.98
100,0.799798,0.464646,0.16,0.612245,0.7064,0.95
100,0.646465,0.454545,0.16,0.683673,0.6712,1
100,0.76404,0.454545,0.15,0.632653,0.7552,0.99
100,0.804444,0.535354,0.15,0.612245,0.7104,1
100,0.71697,0.474747,0.18,0.622449,0.7048,1
100,0.500808,0.515152,0.19,0.693878,0.6224,0.98
100,0.626667,0.525253,0.19,0.632653,0.6712,1
100,0.769697,0.505051,0.16,0.693878,0.7364,1
100,0.292727,0.525253,0.18,0.673469,0.6212,1
100,0.634343,0.484848,0.19,0.622449,0.6604,1
100,0.276566,0.494949,0.15,0.693878,0.696,0.99
100,0.241616,0.484848,0.2,0.663265,0.5896,0.99
100,0.789495,0.545455,0.2,0.704082,0.5864,0.99
100,0.299596,0.484848,0.17,0.755102,0.6188,0.99
100,0.483232,0.535354,0.15,0.673469,0.6752,0.99
100,0.818586,0.535354,0.18,0.642857,0.646,1
100,0.46101,0.515152,0.16,0.653061,0.6992,0.98
100,0.47798,0.454545,0.18,0.591837,0.656,1
100,0.424646,0.474747,0.17,0.653061,0.6916,0.99
100,0.312929,0.484848,0.18,0.602041,0.6232,0.97
100,0.39596,0.464646,0.19,0.653061,0.6588,0.99
100,0.320808,0.484848,0.16,0.602041,0.5988,1
100,0.50404,0.444444,0.17,0.663265,0.6228,0.99
100,0.485253,0.535354,0.16,0.663265,0.6188,0.98
100,0.518788,0.545455,0.18,0.704082,0.658,0.99
100,0.792929,0.505051,0.17,0.714286,0.6544,0.99
100,0.514343,0.494949,0.21,0.663265,0.5844,0.98
100,0.41798,0.505051,0.15,0.632653,0.6744,1
100,0.778586,0.464646,0.2,0.642857,0.5908,0.99
100,0.640808,0.505051,0.2,0.734694,0.6164,1
100,0.394545,0.494949,0.16,0.602041,0.7288,0.99
100,0.368283,0.575758,0.17,0.642857,0.6364,1
100,0.402424,0.424242,0.15,0.622449,0.6456,0.99
100,0.553333,0.494949,0.17,0.632653,0.5992,1
100,0.284242,0.474747,0.16,0.693878,0.7056,0.99
100,0.368687,0.484848,0.19,0.530612,0.724,0.99
100,0.642828,0.505051,0.15,0.642857,0.69,1
100,0.574747,0.535354,0.15,0.663265,0.6816,0.99
100,0.523838,0.515152,0.15,0.765306,0.6996,0.99
100,0.424646,0.515152,0.15,0.704082,0.6776,0.98
100,0.283434,0.454545,0.2,0.612245,0.6392,0.97
100,0.433939,0.494949,0.17,0.744898,0.6676,0.96
100,0.406263,0.474747,0.17,0.744898,0.6396,0.99
100,0.401616,0.454545,0.16,0.622449,0.6932,0.99
100,0.482626,0.505051,0.17,0.785714,0.6324,1
100,0.46303,0.505051,0.18,0.673469,0.6952,1
100,0.555758,0.474747,0.16,0.693878,0.728,1
100,0.365455,0.545455,0.17,0.72449,0.566,1
100,0.320808,0.494949,0.2,0.693878,0.5764,0.99
100,0.63596,0.515152,0.19,0.734694,0.6976,0.99
100,0.29697,0.545455,0.18,0.704082,0.5928,0.98
100,0.498182,0.484848,0.18,0.673469,0.6236,1
100,0.782828,0.464646,0.18,0.632653,0.642,0.99
100,0.503838,0.505051,0.16,0.673469,0.694,0.99
100,0.30202,0.494949,0.17,0.663265,0.6876,0.99
100,0.826869,0.494949,0.17,0.714286,0.5912,0.97
100,0.438182,0.484848,0.16,0.653061,0.7416,0.99
100,0.436364,0.535354,0.19,0.683673,0.6292,0.99
100,0.774141,0.525253,0.15,0.663265,0.6964,0.99
100,0.652727,0.484848,0.18,0.642857,0.6284,0.98
100,0.379596,0.494949,0.14,0.704082,0.682,1
100,0.552121,0.535354,0.18,0.653061,0.6308,1
100,0.301414,0.464646,0.17,0.653061,0.6596,1
100,0.448283,0.515152,0.2,0.642857,0.6032,0.98
100,0.407879,0.474747,0.15,0.693878,0.7136,0.99
100,0.255758,0.484848,0.17,0.765306,0.5768,0.98
100,0.430707,0.515152,0.19,0.632653,0.5492,0.98
100,0.80404,0.525253,0.2,0.77551,0.5532,0.99
100,0.416566,0.535354,0.18,0.622449,0.626,0.98
100,0.332727,0.525253,0.19,0.622449,0.674,0.98
100,0.285455,0.515152,0.18,0.632653,0.6312,1
100,0.514343,0.535354,0.19,0.612245,0.714,0.98
100,0.661212,0.474747,0.18,0.683673,0.6972,0.99
100,0.478586,0.525253,0.16,0.653061,0.7124,0.99
100,0.545253,0.545455,0.15,0.714286,0.7268,1
100,0.238182,0.505051,0.17,0.632653,0.684,0.99
