n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.364848,0.505051,0.17,0.591837,0.6756,0.99
100,0.466667,0.545455,0.16,0.632653,0.7212,0.99
100,0.572323,0.464646,0.17,0.663265,0.6384,0.98
100,0.327475,0.505051,0.18,0.693878,0.6508,1
100,0.527273,0.505051,0.18,0.663265,0.6144,0.98
100,0.337778,0.515152,0.15,0.622449,0.7164,1
100,0.736768,0.505051,0.15,0.632653,0.6932,0.99
100,0.325657,0.505051,0.18,0.673469,0.616,1
100,0.355758,0.474747,0.2,0.663265,0.636,1
100,0.882626,0.474747,0.13,0.612245,0.7336,0.99
100,0.291919,0.454545,0.18,0.632653,0.6916,1
100,0.404242,0.515152,0.19,0.693878,0.5208,0.97
100,0.394949,0.505051,0.16,0.622449,0.6908,0.98
100,0.654141,0.484848,0.16,0.673469,0.6912,0.99
100,0.506263,0.535354,0.17,0.683673,0.6172,0.97
100,0.556162,0.525253,0.17,0.571429,0.7284,1
100,0.319192,0.393939,0.16,0.683673,0.6352,0.98
100,0.447071,0.505051,0.21,0.591837,0.606,0.98
100,0.625657,0.474747,0.18,0.581633,0.6544,0.99
100,0.425657,0.454545,0.17,0.683673,0.6208,1
100,0.609697,0.525253,0.15,0.591837,0.7208,1
100,0.532525,0.454545,0.18,0.632653,0.6772,0.99
100,0.703434,0.454545,0.17,0.683673,0.6176,0.99
100,0.527475,0.535354,0.14,0.673469,0.7012,0.99
100,0.474545,0.494949,0.17,0.653061,0.664,0.99
100,0.425253,0.515152,0.16,0.632653,0.6496,0.99
100,0.676566,0.484848,0.19,0.693878,0.594,1
100,0.513131,0.494949,0.16,0.744898,0.7272,0.99
100,0.460606,0.474747,0.18,0.632653,0.6944,0.99
100,0.366667,0.515152,0.2,0.642857,0.5816,0.99
100,0.495354,0.484848,0.16,0.693878,0.7364,0.99
100,0.523636,0.494949,0.15,0.72449,0.6396,1
100,0.365051,0.474747,0.18,0.653061,0.6692,0.99
100,0.768081,0.464646,0.17,0.663265,0.7064,0.98
100,0.471515,0.484848,0.16,0.642857,0.6896,1
100,0.67798,0.494949,0.17,0.632653,0.6396,0.99
100,0.393737,0.515152,0.16,0.663265,0.688,1
100,0.67697,0.484848,0.17,0.673469,0.6644,0.99
100,0.684444,0.545455,0.16,0.693878,0.6528,0.99
100,0.852525,0.474747,0.2,0.612245,0.6124,1
100,0.49596,0.555556,0.14,0.622449,0.6736,1
100,0.624646,0.494949,0.15,0.653061,0.7328,0.98
100,0.300606,0.535354,0.17,0.744898,0.7088,0.99
100,0.302424,0.525253,0.16,0.693878,0.6672,0.99
100,0.29899,0.464646,0.19,0.602041,0.6652,0.99
100,0.700606,0.535354,0.15,0.581633,0.6572,1
100,0.687273,0.515152,0.17,0.653061,0.6712,0.98
100,0.767879,0.484848,0.16,0.642857,0.7444,0.97
100,0.48202,0.474747,0.17,0.663265,0.6344,1
100,0.816364,0.494949,0.16,0.642857,0.6596,0.99
100,0.674141,0.535354,0.13,0.653061,0.7332,0.99
100,0.328081,0.474747,0.2,0.622449,0.598,1
100,0.35798,0.505051,0.19,0.653061,0.586,1
100,0.649697,0.505051,0.14,0.602041,0.7308,0.99
100,0.375758,0.494949,0.15,0.653061,0.7292,0.98
100,0.467475,0.474747,0.17,0.693878,0.6504,0.99
100,0.726061,0.494949,0.19,0.734694,0.6268,0.99
100,0.574949,0.494949,0.16,0.663265,0.5952,0.98
100,0.647475,0.535354,0.18,0.642857,0.6916,0.99
100,0.550707,0.494949,0.19,0.704082,0.6316,0.98
100,0.24101,0.484848,0.19,0.673469,0.6392,0.99
100,0.509091,0.494949,0.18,0.632653,0.6688,1
100,0.780808,0.474747,0.16,0.622449,0.6984,0.99
100,0.613535,0.525253,0.15,0.734694,0.7056,1
100,0.885455,0.565657,0.16,0.642857,0.662,0.99
100,0.368081,0.494949,0.16,0.612245,0.666,1
100,0.406667,0.515152,0.19,0.704082,0.628,1
100,0.527677,0.414141,0.17,0.714286,0.6184,0.98
100,0.659798,0.474747,0.18,0.602041,0.6992,0.99
100,0.453737,0.525253,0.14,0.693878,0.6044,0.98
100,0.837172,0.515152,0.18,0.673469,0.6472,1
100,0.74,0.464646,0.15,0.642857,0.7188,0.99
100,0.356768,0.484848,0.17,0.693878,0.6224,0.99
100,0.435758,0.494949,0.17,0.704082,0.6676,0.99
100,0.844242,0.515152,0.19,0.622449,0.6516,0.99
100,0.305455,0.515152,0.16,0.663265,0.698,1
100,0.624242,0.515152,0.19,0.632653,0.6728,0.99
100,0.519596,0.525253,0.13,0.642857,0.6984,1
100,0.407677,0.505051,0.17,0.714286,0.6708,0.98
100,0.444444,0.484848,0.16,0.704082,0.7152,0.97
100,0.266465,0.545455,0.17,0.653061,0.6288,0.98
100,0.681818,0.474747,0.14,0.693878,0.7124,1
100,0.517576,0.494949,0.18,0.663265,0.5928,0.99
100,0.420808,0.494949,0.15,0.704082,0.6948,0.99
100,0.568081,0.464646,0.17,0.653061,0.6852,0.99
100,0.281616,0.454545,0.16,0.663265,0.638,1
100,0.429293,0.515152,0.16,0.653061,0.6868,1
100,0.399798,0.484848,0.15,0.673469,0.7356,1
100,0.68101,0.515152,0.16,0.683673,0.7424,0.99
100,0.536768,0.494949,0.14,0.591837,0.7064,0.98
100,0.648283,0.494949,0.15,0.673469,0.6752,1
100,0.640202,0.525253,0.2,0.632653,0.6588,0.99
100,0.429697,0.505051,0.15,0.540816,0.6876,0.99
100,0.42101,0.484848,0.15,0.683673,0.7736,0.99
100,0.73899,0.464646,0.19,0.72449,0.6648,1
100,0.350707,0.535354,0.18,0.642857,0.6652,1
100,0.705455,0.515152,0.18,0.632653,0.618,1
100,0.293535,0.505051,0.14,0.714286,0.7284,0.96
100,0.543232,0.494949,0.15,0.642857,0.6872,0.99
100,0.552323,0.474747,0.18,0.683673,0.6484,1
100,0.247677,0.464646,0.17,0.642857,0.6336,0.99
100,0.417172,0.494949,0.17,0.673469,0.6396,0.97
100,0.747677,0.484848,0.18,0.683673,0.6676,0.97
100,0.367273,0.494949,0.15,0.683673,0.7108,0.99
100,0.399798,0.444444,0.15,0.632653,0.698,0.99
100,0.420606,0.484848,0.16,0.622449,0.65,1
100,0.348889,0.545455,0.16,0.602041,0.6692,0.98
100,0.541414,0.454545,0.19,0.693878,0.6004,1
100,0.731919,0.474747,0.16,0.663265,0.6952,0.99
100,0.343636,0.474747,0.18,0.642857,0.682,1
100,0.263636,0.525253,0.17,0.72449,0.702,0.98
100,0.320404,0.545455,0.15,0.663265,0.66,1
100,0.833939,0.505051,0.16,0.683673,0.6764,0.97
100,0.509697,0.454545,0.16,0.642857,0.6984,0.98
100,0.406263,0.484848,0.17,0.612245,0.6828,0.97
100,0.528687,0.525253,0.15,0.632653,0.6524,0.98
100,0.328485,0.545455,0.15,0.612245,0.6644,0.99
