n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.762828,0.464646,0.16,0.744898,0.6956,1
100,0.302424,0.494949,0.16,0.622449,0.6788,0.98
100,0.708687,0.575758,0.18,0.683673,0.5876,0.98
100,0.31899,0.494949,0.14,0.673469,0.7456,0.99
100,0.817374,0.484848,0.15,0.632653,0.6956,0.98
100,0.854747,0.474747,0.17,0.663265,0.7,0.99
100,0.432929,0.494949,0.17,0.683673,0.724,1
100,0.362828,0.484848,0.19,0.673469,0.6776,0.98
100,0.272727,0.494949,0.16,0.653061,0.6836,0.99
100,0.486667,0.464646,0.18,0.673469,0.6332,0.99
100,0.311111,0.505051,0.16,0.683673,0.6704,0.98
100,0.275758,0.515152,0.17,0.602041,0.7312,0.99
100,0.751313,0.474747,0.19,0.653061,0.6104,0.98
100,0.371717,0.474747,0.17,0.693878,0.6704,0.99
100,0.269293,0.535354,0.16,0.632653,0.6428,1
100,0.32202,0.505051,0.16,0.663265,0.6716,1
100,0.467677,0.505051,0.13,0.704082,0.6872,0.99
100,0.446667,0.484848,0.18,0.755102,0.6676,1
100,0.274141,0.515152,0.19,0.663265,0.6112,1
100,0.294545,0.525253,0.14,0.602041,0.6844,1
100,0.802626,0.484848,0.17,0.734694,0.696,1
100,0.495354,0.474747,0.17,0.622449,0.6412,1
100,0.360808,0.464646,0.15,0.673469,0.696,1
100,0.340202,0.484848,0.22,0.653061,0.554,0.97
100,0.348081,0.474747,0.17,0.704082,0.662,0.99
100,0.307071,0.454545,0.16,0.612245,0.668,1
100,0.281212,0.515152,0.15,0.683673,0.6424,0.99
100,0.334343,0.474747,0.16,0.581633,0.7128,0.99
100,0.771313,0.555556,0.19,0.72449,0.6868,1
100,0.364646,0.555556,0.16,0.653061,0.6292,0.97
100,0.384848,0.484848,0.14,0.602041,0.7228,1
100,0.558586,0.525253,0.17,0.663265,0.6616,0.99
100,0.518384,0.515152,0.16,0.663265,0.6556,0.99
100,0.493333,0.545455,0.14,0.653061,0.6616,0.98
100,0.346465,0.494949,0.19,0.632653,0.674,0.97
100,0.334545,0.545455,0.18,0.734694,0.6816,1
100,0.673535,0.474747,0.18,0.704082,0.6208,0.99
100,0.859192,0.484848,0.19,0.663265,0.6044,1
100,0.728081,0.484848,0.19,0.704082,0.5648,0.97
100,0.564444,0.474747,0.15,0.714286,0.6908,0.98
100,0.794141,0.545455,0.17,0.581633,0.714,0.99
100,0.632525,0.484848,0.16,0.653061,0.6456,0.99
100,0.388283,0.515152,0.16,0.632653,0.696,1
100,0.924646,0.474747,0.19,0.683673,0.6224,0.98
100,0.586465,0.484848,0.18,0.693878,0.592,0.99
100,0.418384,0.494949,0.16,0.683673,0.6608,1
100,0.501414,0.505051,0.17,0.591837,0.6656,0.99
100,0.536566,0.505051,0.15,0.632653,0.682,0.99
100,0.431919,0.525253,0.15,0.622449,0.7188,0.98
100,0.351313,0.525253,0.16,0.744898,0.6868,1
100,0.696162,0.505051,0.16,0.663265,0.7152,0.98
100,0.310707,0.555556,0.17,0.632653,0.6224,1
100,0.524242,0.545455,0.16,0.602041,0.66,0.98
100,0.774949,0.464646,0.16,0.632653,0.6652,0.98
100,0.431515,0.464646,0.18,0.72449,0.5384,0.99
100,0.377374,0.505051,0.16,0.683673,0.6536,1
100,0.622424,0.505051,0.13,0.591837,0.8032,1
100,0.668283,0.494949,0.16,0.683673,0.7212,0.99
100,0.299596,0.545455,0.17,0.642857,0.5908,0.98
100,0.583636,0.505051,0.17,0.622449,0.6828,0.98
100,0.503232,0.464646,0.2,0.632653,0.6156,0.98
100,0.798788,0.484848,0.19,0.673469,0.6264,0.99
100,0.738384,0.494949,0.18,0.622449,0.6704,1
100,0.292121,0.474747,0.15,0.683673,0.7096,1
100,0.410505,0.484848,0.17,0.673469,0.7128,1
