n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.529293,0.464646,0.16,0.673469,0.7072,1
100,0.505455,0.494949,0.18,0.714286,0.6668,0.98
100,0.515152,0.515152,0.17,0.673469,0.6868,0.99
100,0.496566,0.515152,0.19,0.663265,0.6656,0.99
100,0.469293,0.484848,0.18,0.673469,0.6252,1
100,0.494747,0.535354,0.17,0.683673,0.64,1
100,0.554747,0.555556,0.15,0.673469,0.7504,1
100,0.499798,0.575758,0.18,0.653061,0.6728,0.99
100,0.538384,0.444444,0.16,0.693878,0.73,1
100,0.500808,0.545455,0.19,0.663265,0.6812,0.99
100,0.508081,0.505051,0.17,0.663265,0.6656,0.97
100,0.492525,0.525253,0.18,0.642857,0.6552,0.94
100,0.47899,0.535354,0.18,0.653061,0.6544,1
100,0.535152,0.474747,0.15,0.663265,0.7228,0.96
100,0.532525,0.484848,0.18,0.704082,0.7156,0.99
100,0.508889,0.525253,0.16,0.642857,0.6972,1
100,0.493333,0.484848,0.18,0.734694,0.6808,1
100,0.493131,0.484848,0.2,0.642857,0.6452,0.99
100,0.463434,0.525253,0.17,0.683673,0.622,0.99
100,0.502424,0.515152,0.16,0.755102,0.6916,0.99
100,0.447273,0.494949,0.17,0.72449,0.6224,0.99
100,0.451717,0.464646,0.17,0.663265,0.6072,1
100,0.469091,0.505051,0.16,0.744898,0.6208,1
100,0.506869,0.484848,0.14,0.683673,0.7056,1
100,0.520808,0.525253,0.18,0.744898,0.682,1
100,0.488081,0.535354,0.17,0.744898,0.652,0.98
100,0.486465,0.505051,0.16,0.704082,0.6544,0.99
100,0.574141,0.474747,0.19,0.744898,0.7308,1
100,0.497576,0.545455,0.15,0.663265,0.6668,0.99
100,0.535354,0.555556,0.17,0.622449,0.7012,1
100,0.477172,0.505051,0.15,0.72449,0.6512,0.98
100,0.545657,0.515152,0.15,0.612245,0.7116,0.99
100,0.441414,0.525253,0.19,0.632653,0.598,1
100,0.539394,0.515152,0.16,0.653061,0.6884,0.99
100,0.436364,0.484848,0.19,0.663265,0.5904,0.96
100,0.457576,0.535354,0.17,0.632653,0.5908,0.98
100,0.474545,0.525253,0.18,0.540816,0.6064,0.99
100,0.487273,0.505051,0.19,0.653061,0.6348,0.99
100,0.507273,0.484848,0.16,0.72449,0.6752,1
100,0.47596,0.515152,0.17,0.704082,0.6384,1
100,0.499596,0.474747,0.16,0.663265,0.6552,0.99
100,0.581818,0.565657,0.15,0.591837,0.762,0.99
100,0.496566,0.474747,0.16,0.755102,0.6864,0.99
100,0.478182,0.515152,0.21,0.683673,0.6828,1
100,0.532121,0.464646,0.18,0.693878,0.6868,0.99
100,0.567273,0.515152,0.14,0.72449,0.7488,1
100,0.506869,0.484848,0.17,0.642857,0.646,0.99
100,0.496364,0.525253,0.2,0.653061,0.6444,0.96
100,0.480606,0.484848,0.18,0.561224,0.6376,0.99
100,0.524242,0.494949,0.15,0.673469,0.6936,1
100,0.480202,0.474747,0.18,0.704082,0.6412,0.99
100,0.515354,0.545455,0.16,0.632653,0.6848,0.98
100,0.457172,0.494949,0.19,0.561224,0.604,1
100,0.561212,0.505051,0.15,0.714286,0.748,1
100,0.518182,0.505051,0.16,0.663265,0.6704,0.97
100,0.482222,0.494949,0.19,0.602041,0.664,1
100,0.509495,0.535354,0.14,0.734694,0.6736,1
100,0.577172,0.525253,0.15,0.704082,0.7468,1
100,0.52101,0.505051,0.16,0.755102,0.698,1
100,0.504646,0.515152,0.18,0.591837,0.6616,0.99
100,0.486869,0.555556,0.17,0.693878,0.6396,1
100,0.526465,0.484848,0.15,0.704082,0.7196,1
100,0.553535,0.474747,0.16,0.673469,0.7308,1
100,0.457374,0.454545,0.16,0.663265,0.6336,0.99
100,0.464242,0.494949,0.2,0.704082,0.6096,0.99
100,0.528283,0.494949,0.18,0.642857,0.7024,0.98
100,0.473333,0.515152,0.18,0.673469,0.6252,1
100,0.379394,0.525253,0.22,0.653061,0.5024,0.98
100,0.475556,0.555556,0.18,0.642857,0.6348,0.99
100,0.486465,0.515152,0.17,0.663265,0.634,0.99
100,0.509697,0.494949,0.16,0.744898,0.6572,0.98
100,0.509495,0.484848,0.15,0.683673,0.66,1
100,0.492121,0.474747,0.15,0.734694,0.66,1
100,0.533535,0.505051,0.16,0.632653,0.698,1
100,0.521212,0.484848,0.15,0.693878,0.6948,0.98
100,0.545657,0.484848,0.18,0.673469,0.7112,0.99
100,0.452929,0.484848,0.17,0.683673,0.5992,0.98
100,0.555354,0.454545,0.15,0.642857,0.718,0.98
100,0.492121,0.545455,0.15,0.653061,0.668,0.99
100,0.485253,0.515152,0.15,0.653061,0.636,0.99
100,0.563636,0.505051,0.15,0.683673,0.7548,0.99
100,0.518182,0.494949,0.16,0.744898,0.6896,0.98
100,0.54303,0.545455,0.14,0.642857,0.7232,0.99
100,0.468081,0.474747,0.2,0.602041,0.6196,0.99
100,0.490303,0.474747,0.15,0.673469,0.6596,0.98
100,0.533939,0.545455,0.17,0.744898,0.6952,1
100,0.462222,0.555556,0.16,0.622449,0.6512,0.99
100,0.536364,0.515152,0.17,0.632653,0.6832,1
100,0.465455,0.515152,0.17,0.683673,0.6236,0.99
100,0.490909,0.565657,0.16,0.693878,0.6676,0.98
100,0.531313,0.474747,0.15,0.632653,0.716,0.99
100,0.490707,0.545455,0.16,0.704082,0.6536,1
100,0.505051,0.525253,0.16,0.714286,0.676,0.99
100,0.483838,0.434343,0.18,0.653061,0.6424,0.99
100,0.429091,0.505051,0.19,0.663265,0.582,0.99
100,0.472525,0.474747,0.18,0.714286,0.618,1
100,0.471919,0.505051,0.19,0.663265,0.6568,1
100,0.489091,0.525253,0.15,0.622449,0.6648,0.99
