n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.71798,0.474747,0.15,0.72449,0.68,1
100,0.414545,0.484848,0.18,0.673469,0.6684,0.99
100,0.475556,0.484848,0.17,0.632653,0.6892,0.98
100,0.820808,0.424242,0.17,0.683673,0.6636,0.98
100,0.385455,0.545455,0.17,0.673469,0.6808,0.99
100,0.359798,0.484848,0.14,0.663265,0.6688,0.99
100,0.632525,0.525253,0.19,0.72449,0.6092,0.99
100,0.307071,0.525253,0.15,0.673469,0.6572,1
100,0.345657,0.494949,0.18,0.72449,0.6372,1
100,0.261616,0.454545,0.16,0.632653,0.654,0.99
100,0.544242,0.505051,0.16,0.612245,0.7248,0.99
100,0.241212,0.515152,0.15,0.673469,0.6556,0.99
100,0.267879,0.484848,0.16,0.591837,0.7024,1
100,0.388889,0.545455,0.18,0.622449,0.6584,1
100,0.401212,0.484848,0.17,0.622449,0.664,0.96
100,0.672727,0.515152,0.17,0.704082,0.676,1
100,0.414343,0.535354,0.16,0.744898,0.6612,1
100,0.324444,0.565657,0.15,0.581633,0.6672,1
100,0.455758,0.464646,0.14,0.653061,0.6612,0.99
100,0.308485,0.474747,0.16,0.693878,0.694,0.99
100,0.344242,0.535354,0.15,0.704082,0.6336,0.98
100,0.394343,0.505051,0.16,0.622449,0.72,1
100,0.449697,0.484848,0.15,0.72449,0.644,1
100,0.660202,0.545455,0.14,0.704082,0.6676,0.99
100,0.58101,0.494949,0.16,0.663265,0.6016,0.99
100,0.378788,0.464646,0.18,0.653061,0.6132,1
100,0.682222,0.464646,0.18,0.622449,0.646,0.98
100,0.308081,0.474747,0.18,0.683673,0.644,0.98
100,0.651313,0.545455,0.15,0.72449,0.6588,0.98
100,0.478586,0.474747,0.16,0.653061,0.7008,0.99
100,0.271717,0.494949,0.17,0.693878,0.6576,1
100,0.328485,0.515152,0.15,0.591837,0.7016,1
100,0.333333,0.545455,0.17,0.673469,0.696,0.99
100,0.536566,0.484848,0.18,0.704082,0.6436,1
100,0.646667,0.494949,0.19,0.704082,0.6836,0.99
100,0.409091,0.484848,0.15,0.663265,0.7004,0.99
100,0.308687,0.474747,0.17,0.612245,0.7088,1
100,0.334545,0.444444,0.2,0.673469,0.5688,0.98
100,0.320202,0.545455,0.16,0.653061,0.6284,1
100,0.700202,0.535354,0.17,0.653061,0.6824,1
100,0.550505,0.484848,0.17,0.72449,0.6112,0.98
100,0.758586,0.515152,0.15,0.632653,0.7192,1
100,0.38303,0.484848,0.15,0.632653,0.6584,0.97
100,0.518384,0.525253,0.15,0.704082,0.6708,1
100,0.675152,0.484848,0.15,0.663265,0.6728,1
100,0.358586,0.494949,0.17,0.632653,0.7028,0.99
100,0.588485,0.474747,0.17,0.663265,0.6504,0.98
100,0.434545,0.484848,0.16,0.632653,0.6356,0.99
100,0.76303,0.494949,0.19,0.734694,0.6676,0.98
100,0.805455,0.494949,0.17,0.704082,0.654,0.99
100,0.349495,0.525253,0.17,0.602041,0.7008,0.99
100,0.467071,0.494949,0.17,0.632653,0.6132,1
100,0.748889,0.515152,0.13,0.734694,0.7496,0.98
100,0.6,0.494949,0.15,0.632653,0.6992,0.98
100,0.492929,0.464646,0.16,0.591837,0.664,0.99
100,0.492929,0.535354,0.16,0.72449,0.638,0.98
100,0.398788,0.494949,0.19,0.653061,0.6552,0.98
100,0.260808,0.474747,0.15,0.673469,0.6372,1
100,0.44,0.535354,0.19,0.734694,0.6836,0.99
100,0.509899,0.464646,0.16,0.632653,0.6556,0.99
100,0.398788,0.515152,0.17,0.683673,0.6204,0.98
100,0.415354,0.525253,0.16,0.693878,0.6108,0.99
100,0.708283,0.525253,0.16,0.673469,0.7244,1
100,0.341212,0.525253,0.17,0.714286,0.7456,1
100,0.489293,0.505051,0.19,0.642857,0.6212,1
100,0.399192,0.505051,0.18,0.714286,0.6888,1
100,0.31798,0.464646,0.16,0.673469,0.6308,1
100,0.726263,0.505051,0.16,0.653061,0.6708,0.99
