n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.47798,0.474747,0.16,0.642857,0.654,0.98
100,0.665253,0.545455,0.19,0.714286,0.6336,1
100,0.298586,0.515152,0.16,0.663265,0.6288,0.99
100,0.535152,0.464646,0.14,0.744898,0.6652,0.95
100,0.356364,0.464646,0.17,0.734694,0.666,1
100,0.360202,0.525253,0.16,0.744898,0.6556,1
100,0.497778,0.515152,0.16,0.581633,0.7008,0.99
100,0.725859,0.444444,0.2,0.602041,0.6728,1
100,0.878384,0.505051,0.14,0.755102,0.7264,0.97
100,0.683232,0.525253,0.16,0.622449,0.6796,1
100,0.613737,0.484848,0.17,0.704082,0.6684,0.99
100,0.873333,0.484848,0.16,0.755102,0.6412,1
100,0.411313,0.474747,0.16,0.653061,0.6656,0.99
100,0.899596,0.525253,0.16,0.642857,0.6536,0.98
100,0.367071,0.525253,0.17,0.693878,0.6464,1
100,0.629293,0.525253,0.17,0.622449,0.6836,0.99
100,0.415758,0.494949,0.17,0.663265,0.682,0.98
100,0.788889,0.464646,0.18,0.693878,0.738,1
100,0.40202,0.464646,0.17,0.734694,0.612,1
100,0.838586,0.494949,0.13,0.653061,0.7828,0.98
100,0.409091,0.535354,0.16,0.683673,0.6864,0.99
100,0.298586,0.464646,0.15,0.683673,0.6712,0.99
100,0.466061,0.484848,0.17,0.663265,0.6784,0.99
100,0.525455,0.515152,0.15,0.704082,0.688,0.98
100,0.51697,0.515152,0.17,0.653061,0.6824,0.99
100,0.218384,0.505051,0.15,0.642857,0.6812,0.99
100,0.589091,0.474747,0.17,0.704082,0.6992,0.99
100,0.453333,0.484848,0.21,0.673469,0.5832,1
100,0.266061,0.474747,0.15,0.663265,0.7116,0.99
100,0.756364,0.525253,0.17,0.653061,0.6652,1
100,0.291111,0.565657,0.13,0.602041,0.7172,0.99
100,0.738384,0.515152,0.19,0.714286,0.644,1
100,0.745253,0.525253,0.17,0.744898,0.6624,0.99
100,0.832323,0.555556,0.16,0.612245,0.7336,0.99
100,0.446263,0.494949,0.17,0.744898,0.6844,1
100,0.832727,0.474747,0.18,0.734694,0.6036,0.99
100,0.632121,0.545455,0.16,0.612245,0.7248,0.99
100,0.423636,0.494949,0.19,0.653061,0.6696,0.99
100,0.547071,0.444444,0.17,0.622449,0.6804,0.98
100,0.549899,0.535354,0.15,0.734694,0.6408,0.97
100,0.546061,0.494949,0.18,0.663265,0.6064,1
100,0.466869,0.494949,0.21,0.693878,0.6404,0.98
100,0.707475,0.454545,0.18,0.683673,0.692,1
100,0.416162,0.474747,0.14,0.693878,0.7152,0.96
100,0.530303,0.474747,0.2,0.642857,0.5876,0.98
100,0.440808,0.525253,0.16,0.683673,0.6376,0.99
100,0.407273,0.494949,0.16,0.653061,0.7056,1
100,0.600808,0.454545,0.2,0.704082,0.544,1
100,0.43798,0.535354,0.18,0.693878,0.6536,0.99
100,0.791111,0.505051,0.16,0.612245,0.6552,0.99
100,0.38,0.515152,0.15,0.683673,0.6972,0.98
100,0.361616,0.464646,0.17,0.72449,0.6544,0.99
100,0.801414,0.444444,0.17,0.714286,0.7108,1
100,0.363434,0.484848,0.16,0.612245,0.692,0.99
100,0.725859,0.484848,0.16,0.602041,0.666,1
100,0.333535,0.444444,0.19,0.714286,0.6376,0.99
100,0.625051,0.515152,0.15,0.632653,0.664,1
100,0.350707,0.474747,0.19,0.765306,0.6336,0.99
100,0.263434,0.525253,0.16,0.642857,0.6052,0.99
100,0.24202,0.494949,0.16,0.591837,0.6452,0.98
100,0.396162,0.515152,0.16,0.591837,0.6624,1
100,0.297576,0.494949,0.17,0.673469,0.7148,1
100,0.399596,0.505051,0.16,0.622449,0.6552,0.99
100,0.815354,0.474747,0.15,0.571429,0.7056,0.97
100,0.545859,0.494949,0.18,0.622449,0.6872,0.98
100,0.787273,0.444444,0.17,0.602041,0.6492,0.98
100,0.707677,0.494949,0.15,0.755102,0.7376,1
100,0.347475,0.545455,0.16,0.653061,0.6928,0.99
100,0.629091,0.505051,0.15,0.663265,0.6836,0.99
100,0.609899,0.505051,0.18,0.622449,0.7436,1
100,0.346263,0.474747,0.15,0.714286,0.6504,0.99
100,0.398182,0.515152,0.16,0.683673,0.6592,1
100,0.34303,0.474747,0.17,0.632653,0.6444,1
100,0.612525,0.464646,0.15,0.632653,0.6488,0.98
100,0.76,0.494949,0.17,0.663265,0.6288,0.99
100,0.317576,0.535354,0.17,0.581633,0.6224,1
100,0.613333,0.525253,0.15,0.653061,0.64,0.98
100,0.293737,0.494949,0.17,0.693878,0.64,0.98
100,0.44404,0.464646,0.17,0.622449,0.6956,1
100,0.758182,0.555556,0.17,0.714286,0.6996,1
100,0.668081,0.484848,0.15,0.734694,0.6924,0.98
100,0.337576,0.464646,0.2,0.632653,0.6572,1
100,0.287677,0.505051,0.18,0.673469,0.6408,0.99
100,0.494141,0.535354,0.16,0.673469,0.6264,0.98
100,0.623232,0.484848,0.16,0.704082,0.6636,0.96
100,0.413939,0.535354,0.17,0.744898,0.65,0.98
100,0.383232,0.494949,0.15,0.693878,0.6688,0.99
100,0.501616,0.515152,0.15,0.632653,0.7108,1
100,0.785253,0.494949,0.16,0.755102,0.7032,0.98
100,0.724444,0.525253,0.16,0.704082,0.6376,0.98
100,0.315556,0.515152,0.17,0.734694,0.6188,1
100,0.349495,0.535354,0.17,0.571429,0.6076,1
100,0.611313,0.464646,0.15,0.612245,0.6788,0.98
100,0.566667,0.505051,0.18,0.663265,0.6052,1
100,0.515152,0.535354,0.17,0.734694,0.6928,0.99
100,0.275556,0.505051,0.17,0.663265,0.72,0.98
100,0.308687,0.525253,0.16,0.653061,0.6308,0.99
100,0.46202,0.515152,0.18,0.683673,0.6408,0.97
100,0.758182,0.464646,0.19,0.602041,0.6164,0.99
100,0.570707,0.515152,0.13,0.571429,0.7108,1
100,0.319394,0.494949,0.16,0.683673,0.6928,0.97
100,0.287071,0.494949,0.17,0.663265,0.6752,0.99
100,0.634747,0.464646,0.19,0.673469,0.6464,0.99
100,0.435354,0.505051,0.18,0.683673,0.6412,0.99
100,0.329495,0.464646,0.16,0.622449,0.674,1
100,0.525455,0.525253,0.15,0.653061,0.652,1
100,0.857778,0.525253,0.16,0.673469,0.6568,1
100,0.377576,0.555556,0.17,0.622449,0.6908,1
100,0.382222,0.535354,0.17,0.632653,0.6756,1
