n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.648363,0.508051,0.0206,0.661832,0.659203,0.9999
10000,0.453446,0.49965,0.0187,0.666333,0.676923,0.9996
10000,0.68586,0.49595,0.0189,0.665333,0.67,0.9998
10000,0.428643,0.50225,0.0199,0.669234,0.663852,0.9997
10000,0.365454,0.50035,0.0191,0.660032,0.672,0.9996
10000,0.484153,0.49605,0.0197,0.670834,0.670497,0.9998
10000,0.778462,0.49595,0.0196,0.672835,0.667158,0.9998
10000,0.260314,0.492249,0.0198,0.671634,0.665219,0.9998
10000,0.423454,0.50295,0.0195,0.670734,0.674429,0.9998
10000,0.519815,0.49805,0.0203,0.666033,0.665559,0.9995
10000,0.284778,0.505051,0.0195,0.670134,0.667246,0.9998
10000,0.308683,0.49975,0.0199,0.671234,0.665234,1
10000,0.350165,0.49735,0.0194,0.667433,0.6652,0.9997
10000,0.455562,0.49985,0.0196,0.661832,0.670148,0.9997
10000,0.338557,0.49755,0.0196,0.666433,0.67158,0.9996
10000,0.363862,0.50035,0.0191,0.664633,0.662411,1
10000,0.411466,0.50475,0.019,0.670434,0.669184,0.9998
10000,0.326172,0.49825,0.0191,0.666533,0.673247,0.9997
10000,0.153446,0.49675,0.0194,0.661332,0.665874,0.9995
10000,0.672108,0.489849,0.0193,0.676835,0.656957,0.9996
10000,0.784198,0.49845,0.0197,0.662933,0.659044,0.9999
10000,0.61199,0.49865,0.0191,0.663433,0.661413,0.9996
10000,0.694045,0.49535,0.0191,0.670234,0.672188,0.9993
10000,0.350315,0.49945,0.0194,0.673135,0.666347,0.9996
10000,0.274308,0.50175,0.0199,0.665633,0.667201,0.9998
10000,0.32188,0.50135,0.02,0.661532,0.661952,0.9994
10000,0.742962,0.49935,0.0198,0.658432,0.661025,0.9998
10000,0.354824,0.49665,0.0191,0.668434,0.670638,0.9999
10000,0.225685,0.49655,0.0198,0.669034,0.664225,0.9994
10000,0.318401,0.50325,0.0196,0.662533,0.663996,0.9995
10000,0.227503,0.491249,0.02,0.666533,0.671491,0.9995
10000,0.504509,0.49935,0.0194,0.671534,0.666063,0.9996
10000,0.538632,0.49755,0.0191,0.663633,0.663295,0.9999
10000,0.394293,0.50035,0.0198,0.667534,0.660712,0.9995
10000,0.307338,0.49805,0.019,0.667734,0.671545,0.9997
10000,0.45919,0.49935,0.0196,0.665533,0.66987,0.9998
10000,0.472835,0.49755,0.0196,0.670734,0.664195,0.9995
10000,0.456271,0.49895,0.0192,0.667433,0.664269,0.9996
10000,0.682864,0.494649,0.0195,0.668934,0.666185,0.9997
10000,0.310769,0.50425,0.0193,0.664233,0.667852,0.9997
10000,0.372668,0.50225,0.0191,0.673735,0.669272,0.9996
10000,0.549724,0.49955,0.019,0.666433,0.661678,0.9997
10000,0.534689,0.49865,0.0197,0.662032,0.665513,0.9995
10000,0.344309,0.50375,0.0189,0.664333,0.668166,0.9996
10000,0.336054,0.50065,0.0201,0.664833,0.658356,0.9997
10000,0.292807,0.491949,0.0198,0.667133,0.66442,0.9996
10000,0.290144,0.50075,0.0196,0.665933,0.663718,0.9995
10000,0.285634,0.50075,0.0189,0.668534,0.670542,0.9998
10000,0.433199,0.50275,0.02,0.666433,0.668095,0.9998
10000,0.68831,0.49835,0.0195,0.676035,0.668067,0.9999
10000,0.36921,0.49625,0.0185,0.663233,0.6698,0.9996
10000,0.696874,0.50135,0.0192,0.663033,0.668213,0.9997
10000,0.413617,0.49925,0.0195,0.662232,0.665984,1
10000,0.326044,0.505751,0.0196,0.669934,0.665311,0.9999
10000,0.731396,0.49945,0.0191,0.668934,0.664105,0.9999
10000,0.513385,0.50285,0.0191,0.665333,0.665981,0.9997
10000,0.866044,0.49555,0.0196,0.670634,0.660223,0.9997
10000,0.377879,0.50045,0.0196,0.662432,0.660747,0.9997
10000,0.382901,0.505751,0.0195,0.667233,0.671432,0.9995
10000,0.365448,0.49745,0.0195,0.664533,0.663049,0.9997
10000,0.296058,0.49935,0.0187,0.662032,0.671515,1
10000,0.303332,0.49925,0.0203,0.660832,0.667299,0.9998
10000,0.273914,0.49995,0.0199,0.661632,0.668743,0.9999
10000,0.305192,0.49815,0.0201,0.659632,0.663943,0.9998
10000,0.196124,0.49545,0.0195,0.668334,0.66869,0.9997
10000,0.385641,0.49765,0.0187,0.667534,0.675395,0.9997
10000,0.408034,0.50105,0.0201,0.664933,0.661171,0.9997
10000,0.376525,0.50155,0.0197,0.661232,0.662185,0.9994
10000,0.335837,0.50035,0.019,0.663933,0.670555,0.9996
10000,0.402408,0.50115,0.0189,0.659532,0.669814,0.9996
10000,0.279652,0.50255,0.0199,0.675335,0.668484,0.9996
10000,0.311445,0.49935,0.0197,0.664633,0.657503,0.9991
10000,0.680865,0.50025,0.0194,0.672535,0.670236,0.9999
10000,0.283794,0.50225,0.0188,0.670134,0.666112,0.9998
10000,0.382846,0.49705,0.0196,0.663633,0.668385,0.9994
10000,0.521139,0.50395,0.0186,0.666033,0.667308,0.9997
10000,0.355366,0.50245,0.0193,0.663833,0.666418,0.9993
10000,0.616365,0.50015,0.019,0.655231,0.66587,0.9997
10000,0.611446,0.50205,0.019,0.665633,0.67594,0.9996
10000,0.277176,0.50185,0.0207,0.667133,0.662088,0.9996
10000,0.325287,0.50205,0.0196,0.667534,0.666732,0.9998
10000,0.410965,0.50395,0.0192,0.667033,0.666671,1
10000,0.53655,0.50095,0.0198,0.669934,0.665271,0.9998
10000,0.680271,0.493049,0.0188,0.673735,0.668916,0.9996
10000,0.630774,0.50105,0.0204,0.669634,0.66574,0.9996
10000,0.386851,0.50315,0.0195,0.667634,0.669529,0.9994
10000,0.303543,0.49935,0.0189,0.668934,0.667887,0.9996
10000,0.772157,0.49975,0.0195,0.663333,0.665248,0.9996
10000,0.362856,0.49725,0.0198,0.662533,0.658455,0.9998
10000,0.616991,0.49855,0.0199,0.672535,0.659319,0.9996
10000,0.367656,0.50155,0.0192,0.664433,0.671584,1
10000,0.618819,0.50195,0.019,0.665233,0.665761,0.9996
10000,0.393681,0.50285,0.0194,0.668534,0.661281,0.9995
10000,0.640273,0.49875,0.0194,0.659932,0.666176,0.9997
10000,0.409988,0.50235,0.0202,0.669234,0.6669,0.9995
10000,0.570783,0.50145,0.0205,0.665133,0.665673,0.9998
10000,0.707438,0.50075,0.0194,0.662032,0.663218,0.9997
10000,0.708363,0.49535,0.0195,0.668134,0.664745,0.9997
10000,0.660991,0.49805,0.0192,0.677936,0.670541,0.9998
10000,0.548985,0.49955,0.0188,0.666433,0.668045,0.9996
10000,0.290441,0.49775,0.0191,0.668034,0.671732,0.9998
10000,0.276044,0.49785,0.0187,0.665833,0.675339,0.9999
10000,0.525148,0.49735,0.02,0.656431,0.669704,0.9997
10000,0.39009,0.49895,0.0197,0.673735,0.66052,0.9997
10000,0.273037,0.507151,0.0197,0.668234,0.668393,0.9997
10000,0.283966,0.50265,0.0188,0.673335,0.667138,0.9999
10000,0.221139,0.494849,0.0197,0.661032,0.661664,0.9999
10000,0.576529,0.49645,0.0194,0.670734,0.663614,0.9995
10000,0.397241,0.49555,0.0191,0.663033,0.662098,0.9997
10000,0.399637,0.49865,0.0193,0.663133,0.672048,0.9998
10000,0.43025,0.50385,0.0188,0.664933,0.668379,0.9999
10000,0.256665,0.49925,0.0194,0.665633,0.665659,0.9999
10000,0.583454,0.505551,0.0189,0.666733,0.662622,0.9997
10000,0.295458,0.50005,0.0196,0.669734,0.663622,0.9997
10000,0.491137,0.50085,0.0199,0.663633,0.668823,0.9998
10000,0.543979,0.49665,0.0192,0.662232,0.671188,0.9995
10000,0.328015,0.49675,0.0195,0.662733,0.670887,0.9995
10000,0.425322,0.49945,0.0194,0.663633,0.671274,0.9997
10000,0.190363,0.50225,0.0198,0.668134,0.670245,0.9998
10000,0.380095,0.49945,0.0208,0.667734,0.663916,0.9997
10000,0.471464,0.50235,0.0193,0.663433,0.665042,0.9997
10000,0.438517,0.50195,0.0193,0.667233,0.675017,0.9995
10000,0.442055,0.50155,0.0193,0.664633,0.669672,0.9996
10000,0.484339,0.50225,0.0194,0.669934,0.666533,0.9999
10000,0.725761,0.49935,0.0189,0.665833,0.668989,0.9997
10000,0.29571,0.50075,0.0193,0.665933,0.669422,0.9997
10000,0.306007,0.49995,0.0195,0.659332,0.667672,0.9996
10000,0.313039,0.49895,0.0183,0.671734,0.664814,0.9993
10000,0.285352,0.49665,0.0198,0.669134,0.665889,0.9997
10000,0.42176,0.49925,0.0193,0.655831,0.669973,0.9994
10000,0.69534,0.50225,0.0191,0.663133,0.672981,0.9999
10000,0.272198,0.49645,0.0192,0.662533,0.664223,0.9998
10000,0.570758,0.49805,0.0196,0.659132,0.663206,0.9998
10000,0.548517,0.49665,0.0189,0.667534,0.664589,0.9996
10000,0.30532,0.50425,0.0197,0.669934,0.668701,0.9996
10000,0.44134,0.49605,0.0189,0.668034,0.671002,0.9994
10000,0.342321,0.50245,0.0191,0.654331,0.663255,0.9997
10000,0.378776,0.49745,0.0199,0.660932,0.655281,0.9995
10000,0.3162,0.49655,0.019,0.665633,0.667891,0.9999
10000,0.545311,0.50005,0.0188,0.660132,0.673765,0.9997
10000,0.401085,0.50235,0.0192,0.672234,0.67161,0.9996
10000,0.511969,0.49795,0.0194,0.665033,0.668406,0.9996
10000,0.67005,0.50035,0.0196,0.665933,0.674234,0.9995
10000,0.412865,0.49975,0.0199,0.667333,0.662574,0.9997
10000,0.322012,0.50005,0.0198,0.656731,0.664974,0.9996
10000,0.811832,0.50215,0.02,0.666133,0.669068,0.9998
10000,0.366809,0.49765,0.019,0.667233,0.663796,1
10000,0.399701,0.50355,0.0201,0.667534,0.660989,0.9998
10000,0.481896,0.49795,0.0195,0.670234,0.664806,0.9994
10000,0.316304,0.50235,0.019,0.664633,0.663864,0.9996
10000,0.437392,0.50055,0.0201,0.657932,0.662798,0.9995
10000,0.407641,0.49805,0.0197,0.665233,0.677321,0.9998
10000,0.674806,0.49595,0.0194,0.664533,0.668499,0.9996
10000,0.290535,0.49995,0.0192,0.669834,0.661774,0.9995
10000,0.365999,0.50195,0.0193,0.670334,0.670174,0.9999
10000,0.377419,0.49915,0.0191,0.660132,0.667311,0.9996
10000,0.481332,0.49845,0.0191,0.667433,0.661998,0.9999
10000,0.383681,0.50145,0.0199,0.665333,0.672329,0.9997
10000,0.358755,0.49935,0.0187,0.670234,0.664791,0.9998
10000,0.676579,0.49705,0.0191,0.663633,0.669687,1
10000,0.268058,0.494849,0.0196,0.663033,0.655194,0.9997
10000,0.419437,0.50025,0.0195,0.667233,0.670348,0.9997
10000,0.267359,0.50455,0.0191,0.660132,0.667143,0.9997
10000,0.472682,0.50245,0.0193,0.662733,0.666354,0.9999
10000,0.608265,0.50105,0.0202,0.667934,0.662703,0.9997
10000,0.387732,0.49575,0.0193,0.663633,0.669395,0.9998
10000,0.480721,0.49525,0.019,0.671834,0.672133,0.9998
10000,0.733019,0.49765,0.0196,0.665433,0.66513,0.9998
