n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.34101,0.434343,0.17,0.642857,0.658,0.99
100,0.324848,0.484848,0.17,0.663265,0.692,1
100,0.378788,0.474747,0.16,0.683673,0.6064,0.97
100,0.711717,0.515152,0.19,0.632653,0.6356,1
100,0.42303,0.454545,0.16,0.673469,0.6408,1
100,0.481818,0.474747,0.18,0.663265,0.6828,0.99
100,0.558384,0.434343,0.15,0.673469,0.7344,1
100,0.34,0.484848,0.16,0.673469,0.6424,1
100,0.80202,0.484848,0.18,0.591837,0.676,0.99
100,0.621212,0.474747,0.18,0.632653,0.614,0.99
100,0.665657,0.484848,0.14,0.632653,0.7612,1
100,0.712323,0.515152,0.17,0.663265,0.6304,0.98
100,0.693131,0.444444,0.19,0.683673,0.6572,0.99
100,0.469899,0.555556,0.17,0.612245,0.7204,0.99
100,0.367475,0.505051,0.15,0.673469,0.7516,0.99
100,0.463434,0.464646,0.17,0.714286,0.6476,0.99
100,0.500202,0.515152,0.16,0.744898,0.6228,0.98
100,0.809495,0.515152,0.16,0.642857,0.73,1
100,0.392121,0.464646,0.14,0.673469,0.7048,1
100,0.382828,0.505051,0.16,0.632653,0.628,1
100,0.552525,0.494949,0.17,0.561224,0.63,0.98
100,0.664444,0.464646,0.17,0.663265,0.696,1
100,0.682222,0.515152,0.19,0.693878,0.6268,0.98
100,0.730101,0.474747,0.17,0.683673,0.5852,0.99
100,0.330303,0.505051,0.22,0.714286,0.524,0.99
100,0.495152,0.474747,0.2,0.734694,0.6104,0.99
100,0.449899,0.474747,0.16,0.663265,0.658,0.99
100,0.476768,0.464646,0.15,0.714286,0.6208,0.99
100,0.635354,0.484848,0.17,0.653061,0.7036,0.98
100,0.641212,0.515152,0.17,0.622449,0.6656,1
100,0.341818,0.444444,0.15,0.632653,0.7232,0.99
100,0.25798,0.535354,0.15,0.673469,0.6868,0.99
100,0.568081,0.474747,0.17,0.663265,0.6776,0.97
100,0.276566,0.474747,0.16,0.704082,0.636,1
100,0.730303,0.505051,0.15,0.663265,0.686,0.99
100,0.43697,0.484848,0.19,0.642857,0.5768,0.99
100,0.653939,0.474747,0.19,0.673469,0.6592,0.99
100,0.348889,0.515152,0.2,0.714286,0.5936,0.99
100,0.710101,0.474747,0.17,0.642857,0.668,0.97
100,0.601818,0.505051,0.15,0.673469,0.6496,0.99
100,0.298788,0.555556,0.18,0.72449,0.562,0.97
100,0.539798,0.484848,0.19,0.642857,0.5588,1
100,0.274747,0.505051,0.2,0.714286,0.5984,1
100,0.363838,0.555556,0.17,0.683673,0.6548,0.98
100,0.281616,0.515152,0.17,0.653061,0.6528,1
100,0.352929,0.515152,0.17,0.673469,0.7144,0.98
100,0.825657,0.494949,0.16,0.642857,0.748,0.99
100,0.72101,0.505051,0.19,0.561224,0.6932,0.98
100,0.493939,0.494949,0.17,0.714286,0.6204,0.98
100,0.647879,0.555556,0.16,0.714286,0.6576,1
100,0.476162,0.464646,0.16,0.642857,0.716,1
100,0.369495,0.464646,0.18,0.72449,0.668,1
100,0.446465,0.474747,0.15,0.581633,0.6452,1
100,0.46303,0.474747,0.15,0.77551,0.7216,1
100,0.784242,0.505051,0.17,0.693878,0.7028,0.99
100,0.651515,0.505051,0.18,0.632653,0.6872,1
100,0.603232,0.474747,0.18,0.581633,0.6804,0.98
100,0.48,0.525253,0.17,0.663265,0.6516,0.99
100,0.601818,0.474747,0.16,0.693878,0.74,0.98
100,0.384242,0.525253,0.16,0.653061,0.6508,0.99
100,0.595556,0.525253,0.15,0.663265,0.6072,1
100,0.387879,0.525253,0.13,0.693878,0.7196,0.98
100,0.272727,0.515152,0.14,0.653061,0.708,0.96
100,0.499798,0.454545,0.17,0.663265,0.66,1
100,0.364444,0.484848,0.17,0.693878,0.6236,0.99
100,0.646061,0.535354,0.16,0.704082,0.6984,0.98
100,0.377172,0.474747,0.17,0.714286,0.6112,0.98
100,0.377778,0.424242,0.17,0.622449,0.6704,1
100,0.294141,0.505051,0.15,0.581633,0.6932,1
100,0.427879,0.515152,0.16,0.632653,0.6868,0.99
100,0.341818,0.474747,0.17,0.622449,0.6992,1
100,0.365859,0.525253,0.18,0.683673,0.6092,0.99
100,0.275758,0.494949,0.18,0.653061,0.6456,0.99
100,0.668283,0.565657,0.15,0.683673,0.732,0.99
100,0.581414,0.494949,0.14,0.663265,0.7156,0.99
100,0.305455,0.525253,0.17,0.663265,0.65,0.99
100,0.912323,0.515152,0.16,0.704082,0.7356,0.96
100,0.517778,0.535354,0.15,0.632653,0.6424,0.98
100,0.767273,0.484848,0.15,0.673469,0.722,0.98
100,0.29899,0.494949,0.19,0.72449,0.6024,0.98
100,0.595758,0.525253,0.2,0.693878,0.6352,0.98
100,0.440808,0.474747,0.19,0.693878,0.7096,0.99
100,0.586263,0.464646,0.19,0.683673,0.5976,0.99
100,0.390505,0.515152,0.16,0.612245,0.6324,0.98
100,0.381616,0.545455,0.2,0.622449,0.6548,0.99
100,0.26303,0.505051,0.13,0.663265,0.6864,1
100,0.28303,0.494949,0.16,0.704082,0.6264,0.99
100,0.392525,0.494949,0.15,0.653061,0.7448,1
100,0.561818,0.464646,0.19,0.653061,0.6316,0.99
100,0.694747,0.474747,0.17,0.714286,0.7564,0.99
100,0.764848,0.484848,0.19,0.693878,0.6088,0.98
100,0.531919,0.525253,0.17,0.642857,0.6128,1
100,0.318182,0.444444,0.17,0.704082,0.6468,0.99
100,0.460202,0.494949,0.19,0.632653,0.6256,0.99
100,0.277374,0.525253,0.17,0.653061,0.7476,1
100,0.353333,0.515152,0.17,0.673469,0.6536,0.97
100,0.581818,0.494949,0.2,0.663265,0.6876,1
100,0.328889,0.474747,0.16,0.704082,0.7116,1
100,0.337778,0.535354,0.16,0.693878,0.6692,0.99
100,0.739394,0.555556,0.17,0.683673,0.6404,1
100,0.866061,0.515152,0.19,0.72449,0.6028,0.99
100,0.771919,0.515152,0.16,0.653061,0.652,0.99
100,0.564444,0.474747,0.19,0.642857,0.6464,1
100,0.714141,0.535354,0.16,0.653061,0.6784,1
100,0.63596,0.505051,0.16,0.683673,0.7192,1
100,0.528081,0.525253,0.16,0.673469,0.6236,1
100,0.500404,0.474747,0.17,0.642857,0.6232,0.99
100,0.610707,0.525253,0.15,0.72449,0.716,0.99
100,0.336768,0.515152,0.17,0.602041,0.6712,0.98
100,0.460404,0.505051,0.16,0.663265,0.6716,1
100,0.936364,0.525253,0.17,0.581633,0.7036,0.99
100,0.301212,0.545455,0.16,0.612245,0.6748,0.98
100,0.536364,0.474747,0.18,0.653061,0.6532,1
100,0.841212,0.505051,0.14,0.714286,0.6616,1
100,0.521414,0.505051,0.15,0.602041,0.714,1
100,0.723232,0.474747,0.17,0.683673,0.678,0.99
100,0.344242,0.494949,0.14,0.704082,0.692,1
100,0.390303,0.484848,0.17,0.693878,0.6132,0.98
100,0.806869,0.484848,0.16,0.642857,0.7336,1
100,0.493333,0.484848,0.17,0.72449,0.6192,0.99
100,0.761414,0.444444,0.19,0.632653,0.6748,1
100,0.666263,0.535354,0.17,0.622449,0.6812,0.99
100,0.621616,0.484848,0.17,0.744898,0.6868,1
100,0.371313,0.494949,0.17,0.683673,0.6836,0.99
100,0.636768,0.505051,0.19,0.704082,0.6644,1
100,0.815758,0.464646,0.14,0.632653,0.7092,1
100,0.428081,0.515152,0.14,0.642857,0.7068,0.99
100,0.322828,0.505051,0.17,0.755102,0.6544,1
100,0.259798,0.525253,0.15,0.704082,0.6536,0.98
100,0.765253,0.464646,0.17,0.693878,0.7376,1
100,0.297778,0.494949,0.2,0.683673,0.5668,0.98
100,0.620606,0.494949,0.17,0.744898,0.5592,0.98
100,0.409495,0.535354,0.13,0.632653,0.7244,0.99
100,0.722626,0.464646,0.2,0.622449,0.6756,0.99
100,0.50303,0.484848,0.17,0.704082,0.6592,0.98
100,0.439394,0.494949,0.16,0.693878,0.6608,0.95
100,0.401818,0.494949,0.2,0.693878,0.59,1
100,0.259596,0.505051,0.16,0.673469,0.7208,0.98
100,0.311313,0.535354,0.14,0.612245,0.6536,1
100,0.38101,0.494949,0.17,0.663265,0.7256,0.99
100,0.301414,0.494949,0.16,0.704082,0.6468,0.98
100,0.378788,0.484848,0.17,0.642857,0.6096,0.98
100,0.841212,0.494949,0.13,0.673469,0.7296,0.98
100,0.647677,0.464646,0.17,0.612245,0.6636,0.96
100,0.294141,0.505051,0.19,0.642857,0.5488,0.95
100,0.602424,0.555556,0.16,0.77551,0.6472,0.98
100,0.424646,0.484848,0.16,0.663265,0.6656,1
100,0.291717,0.505051,0.18,0.632653,0.6584,1
100,0.446061,0.515152,0.18,0.72449,0.6724,1
100,0.724646,0.474747,0.16,0.622449,0.7164,0.99
100,0.604242,0.505051,0.17,0.632653,0.5652,0.99
100,0.495758,0.505051,0.16,0.714286,0.7084,1
100,0.803434,0.494949,0.14,0.663265,0.7716,1
100,0.664242,0.484848,0.15,0.714286,0.6492,0.99
100,0.395556,0.484848,0.15,0.653061,0.6404,1
100,0.400404,0.515152,0.16,0.683673,0.6412,0.97
100,0.57697,0.545455,0.14,0.632653,0.7032,0.99
100,0.481616,0.545455,0.17,0.642857,0.6904,0.99
100,0.597172,0.474747,0.17,0.693878,0.6316,0.98
100,0.424646,0.484848,0.16,0.642857,0.7084,1
100,0.394949,0.434343,0.2,0.663265,0.6472,0.99
100,0.713939,0.545455,0.17,0.693878,0.6572,0.99
100,0.550303,0.515152,0.17,0.622449,0.6448,1
100,0.618384,0.555556,0.17,0.632653,0.6444,0.99
100,0.394747,0.545455,0.19,0.653061,0.622,1
100,0.758788,0.505051,0.18,0.765306,0.6712,1
100,0.414141,0.434343,0.16,0.642857,0.6768,0.98
100,0.587071,0.515152,0.14,0.653061,0.7204,0.98
100,0.266465,0.494949,0.16,0.693878,0.638,0.99
100,0.400404,0.474747,0.15,0.734694,0.7272,1
100,0.670505,0.515152,0.15,0.581633,0.7104,0.99
100,0.402424,0.535354,0.15,0.653061,0.708,1
100,0.358182,0.545455,0.15,0.632653,0.7184,1
100,0.364242,0.515152,0.17,0.683673,0.7316,1
100,0.49798,0.484848,0.18,0.653061,0.6364,0.98
