n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.631313,0.515152,0.16,0.663265,0.66,0.98
100,0.472323,0.494949,0.17,0.714286,0.666,1
100,0.739394,0.515152,0.16,0.602041,0.726,0.99
100,0.473737,0.484848,0.2,0.622449,0.6264,0.96
100,0.231313,0.545455,0.17,0.602041,0.636,0.99
100,0.698586,0.434343,0.17,0.683673,0.6748,1
100,0.63798,0.474747,0.16,0.683673,0.6836,1
100,0.644848,0.515152,0.17,0.632653,0.6524,0.98
100,0.328687,0.474747,0.15,0.622449,0.6724,0.98
100,0.301616,0.494949,0.16,0.673469,0.752,1
100,0.284242,0.515152,0.15,0.714286,0.7112,0.99
100,0.425051,0.454545,0.16,0.673469,0.6732,0.98
100,0.682626,0.484848,0.17,0.622449,0.6524,0.98
100,0.32202,0.525253,0.16,0.602041,0.66,1
100,0.499798,0.474747,0.19,0.642857,0.5856,1
100,0.802424,0.535354,0.16,0.561224,0.7124,1
100,0.309697,0.525253,0.17,0.632653,0.6188,1
100,0.61697,0.484848,0.16,0.72449,0.7152,1
100,0.377374,0.474747,0.13,0.653061,0.7208,1
100,0.553939,0.525253,0.17,0.795918,0.608,0.99
100,0.483636,0.515152,0.15,0.612245,0.7064,0.99
100,0.632929,0.505051,0.15,0.765306,0.7584,0.99
100,0.766667,0.474747,0.18,0.704082,0.61,1
100,0.327071,0.484848,0.15,0.673469,0.7244,0.98
100,0.626869,0.545455,0.17,0.683673,0.7104,0.98
100,0.415152,0.474747,0.2,0.622449,0.5892,1
100,0.42404,0.474747,0.17,0.622449,0.6604,0.98
100,0.723838,0.484848,0.15,0.72449,0.672,0.98
100,0.485455,0.515152,0.17,0.673469,0.66,1
100,0.767475,0.474747,0.18,0.704082,0.6212,1
100,0.495354,0.464646,0.16,0.72449,0.6632,1
100,0.579596,0.474747,0.18,0.55102,0.5976,0.97
100,0.430303,0.494949,0.2,0.673469,0.6712,0.98
100,0.373131,0.505051,0.16,0.673469,0.6024,0.98
100,0.31899,0.515152,0.15,0.642857,0.7372,0.98
100,0.314141,0.474747,0.17,0.744898,0.6692,0.99
100,0.471515,0.525253,0.17,0.673469,0.6504,1
100,0.471313,0.494949,0.17,0.72449,0.692,1
100,0.746263,0.474747,0.15,0.602041,0.7716,0.99
100,0.751717,0.494949,0.18,0.632653,0.642,1
100,0.686263,0.505051,0.16,0.77551,0.6536,1
100,0.454545,0.474747,0.16,0.591837,0.692,1
100,0.722222,0.575758,0.15,0.642857,0.7056,0.97
100,0.729495,0.484848,0.15,0.612245,0.6812,1
100,0.714747,0.494949,0.15,0.744898,0.6548,1
100,0.491919,0.464646,0.15,0.632653,0.6956,0.99
100,0.906667,0.515152,0.17,0.673469,0.6576,0.98
