n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.468889,0.494949,0.18,0.693878,0.6176,0.99
100,0.520808,0.515152,0.15,0.632653,0.718,0.99
100,0.562222,0.474747,0.17,0.653061,0.7564,1
100,0.49596,0.525253,0.17,0.683673,0.6744,0.99
100,0.488889,0.505051,0.17,0.714286,0.6488,1
100,0.522626,0.555556,0.15,0.704082,0.6908,0.97
100,0.509293,0.525253,0.16,0.714286,0.6728,0.99
100,0.533939,0.505051,0.15,0.683673,0.7032,1
100,0.526465,0.515152,0.19,0.693878,0.7156,0.98
100,0.536162,0.474747,0.16,0.622449,0.6904,0.99
100,0.480606,0.484848,0.15,0.642857,0.6528,1
100,0.491111,0.525253,0.19,0.714286,0.6676,1
79,0.480364,0.461538,0.21519,0.649351,0.630769,0.962025
100,0.503838,0.484848,0.17,0.683673,0.6652,0.99
100,0.525051,0.535354,0.14,0.663265,0.6832,1
100,0.535152,0.484848,0.15,0.683673,0.7136,1
100,0.455758,0.535354,0.18,0.683673,0.6272,0.99
100,0.511515,0.474747,0.17,0.663265,0.666,0.99
100,0.501616,0.454545,0.15,0.663265,0.682,1
100,0.42404,0.454545,0.19,0.571429,0.5768,0.96
100,0.491919,0.515152,0.15,0.683673,0.6548,0.98
100,0.475354,0.565657,0.17,0.591837,0.6308,0.99
100,0.45798,0.484848,0.2,0.704082,0.6096,0.98
100,0.506465,0.505051,0.17,0.632653,0.6892,0.99
100,0.520202,0.505051,0.15,0.683673,0.7004,0.98
100,0.475354,0.494949,0.18,0.683673,0.6156,1
100,0.506667,0.525253,0.15,0.72449,0.6608,0.98
100,0.478384,0.505051,0.15,0.714286,0.6428,1
100,0.520606,0.535354,0.15,0.612245,0.7028,0.99
100,0.503434,0.515152,0.16,0.632653,0.6764,0.99
100,0.556364,0.434343,0.17,0.72449,0.75,0.99
100,0.491515,0.494949,0.19,0.693878,0.6276,0.99
100,0.511919,0.464646,0.19,0.642857,0.6972,1
100,0.481818,0.464646,0.18,0.673469,0.6456,0.99
100,0.497576,0.494949,0.18,0.714286,0.6584,1
100,0.524242,0.434343,0.19,0.591837,0.72,1
100,0.575152,0.494949,0.16,0.673469,0.7604,1
100,0.519596,0.484848,0.16,0.714286,0.6832,0.96
100,0.475354,0.515152,0.18,0.693878,0.6256,1
100,0.490505,0.535354,0.19,0.612245,0.6168,0.97
100,0.474141,0.515152,0.16,0.632653,0.656,0.97
100,0.457374,0.474747,0.2,0.693878,0.6144,0.98
100,0.509091,0.484848,0.16,0.602041,0.686,0.99
100,0.528485,0.484848,0.15,0.571429,0.7284,1
100,0.512727,0.474747,0.17,0.673469,0.6856,0.96
100,0.446667,0.484848,0.21,0.663265,0.5792,0.99
100,0.461212,0.545455,0.16,0.612245,0.6196,0.97
100,0.487273,0.494949,0.16,0.755102,0.6664,0.99
100,0.551515,0.494949,0.14,0.642857,0.758,1
100,0.504444,0.535354,0.17,0.693878,0.6748,0.99
100,0.47798,0.525253,0.19,0.734694,0.6548,1
100,0.51798,0.525253,0.18,0.581633,0.6584,0.99
100,0.588283,0.474747,0.17,0.693878,0.7508,1
100,0.5,0.444444,0.17,0.642857,0.6704,1
100,0.513737,0.494949,0.18,0.714286,0.69,1
