n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.462828,0.474747,0.16,0.673469,0.6764,0.99
100,0.697778,0.494949,0.15,0.795918,0.7048,0.99
100,0.690303,0.464646,0.18,0.653061,0.6772,0.98
100,0.27697,0.494949,0.18,0.612245,0.6552,0.99
100,0.577172,0.505051,0.19,0.704082,0.6992,0.99
100,0.802222,0.484848,0.17,0.663265,0.656,0.98
100,0.607677,0.535354,0.13,0.653061,0.7544,1
100,0.724646,0.464646,0.16,0.642857,0.666,0.98
100,0.479192,0.494949,0.19,0.663265,0.6632,1
100,0.335354,0.484848,0.17,0.632653,0.6532,0.99
100,0.888081,0.505051,0.16,0.673469,0.6932,1
100,0.832525,0.464646,0.14,0.653061,0.7372,1
100,0.799798,0.464646,0.18,0.77551,0.6384,0.99
100,0.612929,0.515152,0.17,0.653061,0.6692,0.99
100,0.777778,0.515152,0.16,0.642857,0.6368,1
100,0.29798,0.545455,0.15,0.591837,0.6344,1
100,0.222626,0.535354,0.14,0.663265,0.75,1
100,0.807677,0.494949,0.18,0.653061,0.7004,0.98
100,0.745657,0.494949,0.15,0.632653,0.718,0.99
100,0.40202,0.494949,0.18,0.653061,0.6756,1
100,0.447071,0.464646,0.18,0.683673,0.6228,1
100,0.34404,0.474747,0.17,0.714286,0.6208,1
100,0.423232,0.494949,0.17,0.653061,0.6528,1
100,0.303232,0.505051,0.17,0.744898,0.6828,0.99
100,0.319798,0.525253,0.15,0.591837,0.662,1
100,0.337778,0.505051,0.15,0.663265,0.6356,0.99
100,0.356566,0.494949,0.13,0.642857,0.7516,0.99
100,0.454141,0.494949,0.17,0.663265,0.6272,0.99
100,0.538384,0.464646,0.16,0.704082,0.694,0.97
100,0.252121,0.454545,0.16,0.622449,0.6628,0.98
100,0.502424,0.454545,0.18,0.704082,0.684,0.99
100,0.488283,0.505051,0.18,0.653061,0.6072,0.99
100,0.323232,0.474747,0.17,0.653061,0.7024,1
100,0.738182,0.505051,0.13,0.632653,0.73,1
100,0.413737,0.545455,0.16,0.663265,0.6764,0.99
100,0.318788,0.444444,0.17,0.683673,0.636,0.99
100,0.647879,0.535354,0.17,0.653061,0.6824,1
100,0.36,0.474747,0.17,0.642857,0.6012,0.99
100,0.397576,0.505051,0.16,0.632653,0.6408,0.97
100,0.715758,0.484848,0.15,0.642857,0.7104,1
100,0.33697,0.525253,0.16,0.704082,0.6556,1
100,0.506667,0.515152,0.18,0.632653,0.624,0.98
100,0.316566,0.464646,0.17,0.673469,0.6656,0.98
100,0.672323,0.515152,0.18,0.673469,0.6784,0.98
100,0.801212,0.505051,0.18,0.704082,0.6704,1
100,0.352727,0.535354,0.13,0.704082,0.73,0.99
100,0.89798,0.525253,0.19,0.693878,0.5732,0.98
100,0.647273,0.525253,0.19,0.673469,0.6552,1
100,0.681818,0.494949,0.17,0.72449,0.7176,0.99
100,0.574141,0.515152,0.15,0.642857,0.6592,0.99
100,0.354343,0.484848,0.16,0.642857,0.7108,0.99
100,0.275556,0.565657,0.13,0.653061,0.7036,0.99
100,0.585455,0.474747,0.15,0.755102,0.6792,0.99
100,0.284848,0.555556,0.17,0.612245,0.6124,0.97
100,0.457374,0.494949,0.18,0.663265,0.7284,0.99
100,0.663838,0.494949,0.15,0.72449,0.6928,1
100,0.379798,0.454545,0.18,0.653061,0.5768,0.98
100,0.354545,0.474747,0.16,0.693878,0.6956,0.99
100,0.396162,0.474747,0.19,0.653061,0.6152,0.99
100,0.488889,0.494949,0.17,0.663265,0.6464,0.99
100,0.59697,0.434343,0.16,0.714286,0.6516,0.98
100,0.4,0.444444,0.18,0.581633,0.6756,0.99
100,0.282424,0.555556,0.16,0.653061,0.6524,1
100,0.620606,0.484848,0.19,0.653061,0.6688,0.98
100,0.493131,0.505051,0.17,0.653061,0.6784,1
100,0.841414,0.505051,0.16,0.704082,0.6996,0.97
100,0.457172,0.494949,0.19,0.642857,0.6084,1
100,0.324848,0.474747,0.19,0.683673,0.602,0.99
100,0.338788,0.515152,0.16,0.602041,0.7208,1
100,0.787677,0.535354,0.2,0.591837,0.648,1
100,0.683232,0.464646,0.16,0.704082,0.6784,0.97
100,0.707071,0.525253,0.17,0.693878,0.624,0.97
100,0.32404,0.494949,0.17,0.622449,0.6252,0.99
100,0.332323,0.515152,0.15,0.693878,0.6812,0.98
100,0.550505,0.505051,0.15,0.72449,0.6972,1
100,0.505253,0.464646,0.17,0.602041,0.6564,0.98
100,0.526465,0.535354,0.17,0.663265,0.6152,1
100,0.271515,0.484848,0.16,0.622449,0.6524,0.99
100,0.381414,0.505051,0.16,0.714286,0.6528,0.99
100,0.413939,0.494949,0.17,0.693878,0.6132,0.99
100,0.604444,0.484848,0.16,0.683673,0.6976,1
100,0.64101,0.525253,0.18,0.612245,0.6684,0.99
100,0.708283,0.505051,0.15,0.683673,0.7668,0.98
100,0.472121,0.505051,0.16,0.72449,0.6364,0.99
100,0.308889,0.484848,0.16,0.581633,0.6892,1
100,0.366667,0.565657,0.17,0.714286,0.5864,0.99
100,0.689091,0.494949,0.15,0.704082,0.7112,0.99
100,0.293333,0.484848,0.18,0.653061,0.5848,0.97
