n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.547273,0.505051,0.17,0.683673,0.7108,1
100,0.529293,0.535354,0.16,0.734694,0.68,1
100,0.429495,0.484848,0.2,0.683673,0.5904,0.98
100,0.526061,0.515152,0.14,0.683673,0.676,0.99
100,0.480202,0.525253,0.15,0.642857,0.6608,1
100,0.442828,0.494949,0.2,0.673469,0.5848,0.99
100,0.566061,0.474747,0.14,0.704082,0.758,0.98
100,0.530101,0.454545,0.16,0.673469,0.7132,1
100,0.518384,0.464646,0.21,0.683673,0.6916,1
100,0.45798,0.454545,0.19,0.632653,0.6132,0.98
100,0.491515,0.545455,0.18,0.673469,0.6368,1
100,0.451313,0.494949,0.2,0.744898,0.6164,0.99
100,0.489293,0.474747,0.17,0.693878,0.6608,0.98
100,0.481212,0.505051,0.16,0.683673,0.6556,0.99
100,0.537172,0.484848,0.19,0.602041,0.7056,0.96
100,0.497576,0.474747,0.16,0.693878,0.658,0.97
100,0.522222,0.474747,0.19,0.693878,0.6768,1
100,0.487071,0.494949,0.17,0.714286,0.66,0.99
100,0.491717,0.505051,0.19,0.653061,0.6472,0.98
100,0.513535,0.515152,0.18,0.704082,0.6492,0.99
100,0.477374,0.505051,0.17,0.561224,0.6232,0.98
100,0.487273,0.535354,0.17,0.714286,0.6212,1
100,0.467879,0.484848,0.16,0.765306,0.6512,1
100,0.515758,0.515152,0.17,0.673469,0.6712,0.99
100,0.498384,0.494949,0.17,0.653061,0.6688,0.97
100,0.535556,0.494949,0.17,0.642857,0.728,1
100,0.46101,0.535354,0.17,0.602041,0.6252,1
100,0.475758,0.464646,0.16,0.622449,0.6372,0.99
100,0.457778,0.474747,0.18,0.642857,0.626,0.99
100,0.420808,0.545455,0.18,0.704082,0.5632,0.99
100,0.441818,0.494949,0.19,0.632653,0.6084,0.98
100,0.504848,0.545455,0.15,0.602041,0.6616,1
100,0.509091,0.505051,0.17,0.734694,0.6696,0.98
100,0.491919,0.505051,0.16,0.612245,0.6612,0.99
100,0.503434,0.515152,0.19,0.693878,0.6652,0.98
100,0.488081,0.505051,0.19,0.673469,0.6388,0.97
100,0.542222,0.494949,0.16,0.663265,0.7148,0.99
100,0.467273,0.515152,0.17,0.622449,0.6212,1
100,0.50202,0.464646,0.18,0.714286,0.6584,0.98
100,0.502424,0.515152,0.17,0.602041,0.68,0.99
100,0.52404,0.505051,0.17,0.714286,0.7024,1
100,0.524848,0.484848,0.17,0.704082,0.708,1
100,0.425859,0.525253,0.19,0.622449,0.5796,0.99
100,0.535152,0.474747,0.16,0.714286,0.7028,0.99
100,0.49899,0.515152,0.16,0.673469,0.6364,0.97
100,0.513939,0.464646,0.19,0.653061,0.6684,0.99
100,0.546263,0.464646,0.17,0.663265,0.7088,0.99
100,0.483232,0.505051,0.15,0.602041,0.6764,1
100,0.537374,0.515152,0.18,0.72449,0.6764,1
100,0.416566,0.525253,0.19,0.673469,0.5736,0.99
100,0.527475,0.505051,0.14,0.653061,0.7072,0.98
