n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.300808,0.515152,0.17,0.72449,0.68,0.98
100,0.386667,0.494949,0.18,0.683673,0.6708,1
100,0.711111,0.545455,0.15,0.673469,0.6892,1
100,0.454747,0.464646,0.19,0.591837,0.6496,0.98
100,0.240606,0.525253,0.17,0.642857,0.5864,0.98
100,0.533333,0.525253,0.17,0.673469,0.7588,1
100,0.295152,0.535354,0.18,0.693878,0.6784,0.99
100,0.827677,0.545455,0.14,0.673469,0.7108,0.99
100,0.680404,0.484848,0.18,0.642857,0.6756,1
100,0.422424,0.464646,0.17,0.612245,0.69,0.98
100,0.73596,0.525253,0.18,0.673469,0.6752,0.96
100,0.403434,0.505051,0.14,0.642857,0.7048,0.99
100,0.513131,0.484848,0.15,0.704082,0.6144,0.98
100,0.313333,0.484848,0.17,0.734694,0.6804,1
100,0.589293,0.515152,0.15,0.632653,0.6772,1
100,0.728283,0.454545,0.19,0.612245,0.664,0.99
100,0.60101,0.515152,0.17,0.714286,0.63,1
100,0.554141,0.555556,0.14,0.673469,0.6516,0.98
100,0.610303,0.515152,0.16,0.683673,0.6328,0.98
100,0.429495,0.515152,0.16,0.704082,0.6804,1
100,0.720404,0.555556,0.16,0.653061,0.642,0.98
100,0.433939,0.484848,0.17,0.663265,0.6892,0.99
100,0.533333,0.484848,0.16,0.632653,0.7096,0.98
100,0.428283,0.474747,0.16,0.663265,0.6868,1
100,0.727475,0.545455,0.14,0.683673,0.7548,1
100,0.249293,0.505051,0.15,0.653061,0.666,0.99
100,0.652323,0.484848,0.17,0.663265,0.6312,0.98
100,0.636364,0.464646,0.16,0.622449,0.7064,0.98
100,0.492727,0.535354,0.18,0.632653,0.6316,0.98
100,0.888687,0.515152,0.15,0.612245,0.6844,0.99
100,0.489495,0.474747,0.17,0.591837,0.7144,0.98
100,0.280404,0.515152,0.17,0.714286,0.65,0.99
100,0.556566,0.515152,0.15,0.683673,0.7376,0.99
100,0.365859,0.515152,0.17,0.612245,0.7012,0.98
100,0.691515,0.484848,0.15,0.693878,0.728,1
100,0.49697,0.59596,0.17,0.571429,0.6064,0.99
100,0.689091,0.515152,0.2,0.704082,0.666,0.99
100,0.699394,0.535354,0.16,0.734694,0.6624,0.99
100,0.707475,0.484848,0.16,0.642857,0.678,1
100,0.62404,0.484848,0.2,0.673469,0.5988,1
100,0.468485,0.454545,0.16,0.653061,0.7544,0.98
100,0.285051,0.505051,0.16,0.591837,0.61,0.99
100,0.788283,0.545455,0.17,0.632653,0.6472,1
100,0.37798,0.545455,0.16,0.653061,0.6472,0.98
100,0.564242,0.474747,0.18,0.693878,0.6844,1
100,0.584646,0.484848,0.17,0.683673,0.6692,0.99
100,0.362222,0.474747,0.17,0.632653,0.632,1
100,0.38,0.545455,0.17,0.72449,0.7528,1
100,0.414343,0.505051,0.18,0.622449,0.6924,0.98
100,0.665455,0.484848,0.15,0.642857,0.6852,1
100,0.748485,0.505051,0.15,0.693878,0.6868,0.99
100,0.594747,0.484848,0.15,0.673469,0.678,0.99
100,0.628889,0.474747,0.17,0.683673,0.7124,0.98
100,0.89596,0.565657,0.17,0.683673,0.652,0.99
100,0.343636,0.424242,0.16,0.673469,0.6696,0.97
100,0.579394,0.545455,0.16,0.642857,0.672,1
100,0.715556,0.545455,0.17,0.72449,0.6504,1
100,0.672929,0.454545,0.16,0.734694,0.644,0.97
100,0.679798,0.474747,0.17,0.683673,0.6508,1
100,0.381414,0.444444,0.19,0.653061,0.6084,1
100,0.336768,0.474747,0.18,0.744898,0.6088,0.99
100,0.231111,0.505051,0.14,0.653061,0.664,0.98
100,0.454949,0.494949,0.16,0.653061,0.6052,1
100,0.544646,0.525253,0.14,0.581633,0.7288,1
100,0.62101,0.515152,0.18,0.693878,0.6572,0.97
100,0.47697,0.525253,0.17,0.581633,0.6064,0.99
100,0.653131,0.484848,0.16,0.632653,0.6084,1
100,0.308283,0.515152,0.18,0.673469,0.6932,1
100,0.378788,0.515152,0.16,0.673469,0.7156,1
100,0.452323,0.525253,0.15,0.602041,0.6628,1
100,0.401414,0.454545,0.2,0.704082,0.6172,0.99
100,0.551111,0.494949,0.16,0.683673,0.6752,1
100,0.349495,0.414141,0.14,0.632653,0.7072,1
100,0.540404,0.535354,0.16,0.663265,0.6996,0.99
100,0.550909,0.454545,0.16,0.663265,0.6144,0.98
100,0.729697,0.474747,0.16,0.581633,0.6472,0.99
100,0.830707,0.505051,0.14,0.693878,0.7048,0.98
100,0.226869,0.525253,0.17,0.734694,0.6444,0.99
100,0.746061,0.454545,0.17,0.734694,0.6332,1
100,0.526263,0.494949,0.19,0.765306,0.6328,1
100,0.788081,0.474747,0.16,0.704082,0.6624,0.98
100,0.864444,0.505051,0.15,0.683673,0.6772,0.99
100,0.645455,0.535354,0.16,0.632653,0.6668,1
100,0.423232,0.474747,0.19,0.622449,0.6312,0.97
100,0.667475,0.515152,0.16,0.673469,0.6448,0.98
100,0.735556,0.464646,0.16,0.55102,0.644,1
100,0.489899,0.484848,0.15,0.683673,0.6928,0.99
100,0.725859,0.535354,0.16,0.632653,0.6472,1
100,0.480606,0.505051,0.19,0.683673,0.6272,0.97
100,0.347677,0.454545,0.16,0.734694,0.6956,1
