n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.498788,0.484848,0.16,0.683673,0.6576,0.99
100,0.527475,0.525253,0.14,0.632653,0.7148,1
100,0.540808,0.515152,0.14,0.602041,0.7308,1
100,0.442828,0.505051,0.18,0.693878,0.6044,0.99
100,0.473131,0.494949,0.16,0.612245,0.648,0.98
100,0.483434,0.515152,0.18,0.693878,0.642,0.99
100,0.575758,0.545455,0.16,0.693878,0.766,1
100,0.556566,0.545455,0.15,0.673469,0.7516,0.98
100,0.510303,0.474747,0.15,0.704082,0.6708,0.99
100,0.464444,0.444444,0.19,0.622449,0.6096,0.98
100,0.48303,0.515152,0.15,0.632653,0.6592,1
100,0.517374,0.494949,0.16,0.683673,0.6828,1
100,0.484242,0.525253,0.17,0.77551,0.644,1
100,0.458182,0.484848,0.17,0.673469,0.6028,0.97
100,0.494545,0.505051,0.18,0.612245,0.6408,0.99
100,0.522222,0.484848,0.13,0.744898,0.7224,0.99
100,0.54101,0.525253,0.15,0.591837,0.724,1
100,0.47798,0.505051,0.19,0.663265,0.6044,0.99
100,0.557374,0.505051,0.15,0.602041,0.7388,0.99
100,0.48101,0.464646,0.16,0.704082,0.6488,0.98
100,0.585253,0.464646,0.17,0.673469,0.7472,0.99
100,0.510505,0.535354,0.16,0.704082,0.7028,1
100,0.490303,0.494949,0.17,0.734694,0.6808,1
100,0.477172,0.525253,0.15,0.642857,0.64,1
100,0.505657,0.454545,0.16,0.663265,0.6516,0.98
100,0.469091,0.484848,0.17,0.704082,0.6608,0.99
100,0.530707,0.505051,0.16,0.714286,0.6984,1
100,0.505051,0.494949,0.15,0.612245,0.6744,0.98
100,0.498586,0.494949,0.18,0.591837,0.6504,1
100,0.500606,0.494949,0.16,0.683673,0.6672,0.99
100,0.479798,0.494949,0.18,0.704082,0.6552,1
100,0.541414,0.525253,0.16,0.622449,0.7312,0.99
100,0.496364,0.535354,0.18,0.602041,0.6584,1
100,0.49596,0.535354,0.18,0.683673,0.6512,0.99
100,0.492727,0.535354,0.17,0.673469,0.6476,0.99
100,0.546869,0.505051,0.15,0.714286,0.7408,0.99
100,0.490707,0.494949,0.19,0.632653,0.6552,0.99
100,0.535152,0.474747,0.16,0.653061,0.7044,0.99
100,0.511919,0.505051,0.2,0.663265,0.6632,0.96
100,0.497172,0.474747,0.18,0.632653,0.668,0.99
100,0.435758,0.494949,0.16,0.714286,0.5852,0.99
100,0.49798,0.494949,0.16,0.663265,0.694,0.99
100,0.501616,0.545455,0.18,0.663265,0.6484,0.99
100,0.473333,0.434343,0.18,0.642857,0.6556,0.99
100,0.548889,0.525253,0.15,0.642857,0.7132,0.99
100,0.466263,0.525253,0.17,0.683673,0.6272,0.99
100,0.529495,0.505051,0.18,0.632653,0.7168,0.99
100,0.452727,0.454545,0.2,0.622449,0.6148,0.98
100,0.410505,0.484848,0.19,0.612245,0.5464,0.99
100,0.479596,0.505051,0.19,0.683673,0.6408,0.99
100,0.496566,0.434343,0.16,0.642857,0.6612,0.97
100,0.461616,0.474747,0.15,0.653061,0.6328,1
100,0.477374,0.484848,0.17,0.693878,0.6412,0.98
100,0.500606,0.454545,0.16,0.622449,0.6724,0.99
100,0.493737,0.454545,0.15,0.714286,0.6628,0.99
100,0.493737,0.484848,0.15,0.622449,0.6512,0.99
100,0.505657,0.515152,0.16,0.734694,0.6896,0.99
100,0.516364,0.535354,0.14,0.571429,0.6912,0.99
100,0.506263,0.484848,0.19,0.632653,0.6916,0.99
100,0.501414,0.515152,0.19,0.734694,0.6732,1
100,0.467273,0.494949,0.17,0.602041,0.6372,0.99
100,0.56404,0.515152,0.15,0.653061,0.7416,0.99
100,0.52303,0.535354,0.16,0.622449,0.6784,0.99
100,0.459798,0.474747,0.17,0.683673,0.608,1
100,0.560606,0.515152,0.18,0.642857,0.7584,0.99
100,0.456768,0.505051,0.18,0.72449,0.62,0.98
100,0.505859,0.535354,0.13,0.642857,0.6824,1
100,0.526667,0.505051,0.18,0.602041,0.7196,1
100,0.505051,0.515152,0.16,0.704082,0.668,0.99
100,0.532121,0.515152,0.15,0.693878,0.73,1
100,0.444646,0.535354,0.18,0.581633,0.6064,1
100,0.457576,0.464646,0.17,0.683673,0.6036,0.98
