n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.3,0.515152,0.16,0.622449,0.6524,0.97
100,0.805657,0.474747,0.16,0.72449,0.7,1
100,0.368687,0.484848,0.14,0.704082,0.6808,1
100,0.643232,0.454545,0.2,0.683673,0.6812,1
100,0.772525,0.525253,0.18,0.642857,0.686,1
100,0.770101,0.474747,0.19,0.704082,0.6032,0.99
100,0.759394,0.484848,0.15,0.714286,0.664,0.98
100,0.485253,0.545455,0.16,0.663265,0.6996,0.99
100,0.603838,0.535354,0.16,0.72449,0.684,0.98
100,0.73596,0.525253,0.15,0.683673,0.6628,0.98
100,0.708889,0.464646,0.16,0.612245,0.6668,1
100,0.400808,0.484848,0.16,0.704082,0.7308,1
100,0.691717,0.545455,0.18,0.683673,0.6272,1
100,0.790303,0.525253,0.18,0.571429,0.6528,0.99
100,0.380202,0.545455,0.18,0.632653,0.6704,1
100,0.486667,0.515152,0.16,0.612245,0.654,0.98
100,0.390707,0.494949,0.17,0.704082,0.614,0.97
100,0.333939,0.525253,0.18,0.734694,0.6384,0.96
100,0.418788,0.545455,0.15,0.591837,0.7052,0.98
100,0.727475,0.484848,0.15,0.673469,0.662,1
100,0.705657,0.565657,0.16,0.734694,0.6912,0.99
100,0.309091,0.474747,0.17,0.663265,0.6144,0.98
100,0.344646,0.555556,0.16,0.673469,0.6664,0.99
100,0.467273,0.535354,0.17,0.663265,0.68,0.98
100,0.555354,0.434343,0.17,0.642857,0.6356,1
100,0.478788,0.484848,0.16,0.540816,0.6344,1
100,0.365253,0.515152,0.17,0.602041,0.626,0.98
100,0.826061,0.494949,0.18,0.755102,0.6396,0.99
100,0.379798,0.494949,0.16,0.642857,0.6172,0.98
100,0.361414,0.474747,0.15,0.622449,0.6944,1
100,0.412525,0.525253,0.17,0.653061,0.6728,0.99
100,0.702626,0.494949,0.16,0.663265,0.7204,0.97
100,0.386667,0.494949,0.18,0.734694,0.646,0.99
100,0.370909,0.515152,0.17,0.632653,0.6212,0.99
100,0.433333,0.474747,0.19,0.785714,0.584,0.99
100,0.709495,0.484848,0.17,0.642857,0.734,0.99
100,0.463636,0.535354,0.16,0.704082,0.6784,0.98
100,0.29596,0.484848,0.17,0.622449,0.6144,1
100,0.390505,0.565657,0.2,0.673469,0.5776,0.99
100,0.252929,0.525253,0.17,0.653061,0.6664,0.97
100,0.334545,0.494949,0.17,0.693878,0.7032,0.98
100,0.302424,0.484848,0.17,0.622449,0.6956,0.98
100,0.229495,0.424242,0.19,0.632653,0.6232,1
100,0.29697,0.545455,0.15,0.693878,0.7164,1
100,0.791111,0.505051,0.15,0.704082,0.7388,0.99
100,0.701414,0.515152,0.16,0.673469,0.7088,1
100,0.657778,0.474747,0.19,0.744898,0.6396,0.98
100,0.851313,0.484848,0.16,0.653061,0.6616,0.98
100,0.601414,0.505051,0.19,0.693878,0.5932,0.95
100,0.393939,0.505051,0.17,0.642857,0.6504,0.98
100,0.383232,0.515152,0.19,0.673469,0.6768,1
100,0.470909,0.525253,0.19,0.581633,0.5972,0.99
100,0.360808,0.474747,0.16,0.683673,0.6688,1
100,0.707273,0.464646,0.15,0.663265,0.7832,0.99
100,0.506061,0.454545,0.19,0.622449,0.6272,0.98
100,0.427071,0.484848,0.19,0.673469,0.6552,0.99
100,0.326465,0.505051,0.17,0.714286,0.644,0.99
100,0.351515,0.474747,0.15,0.632653,0.7008,0.98
100,0.215152,0.505051,0.19,0.663265,0.6108,0.98
100,0.419596,0.474747,0.13,0.683673,0.7484,0.99
100,0.378384,0.525253,0.16,0.653061,0.6384,1
100,0.331515,0.494949,0.17,0.714286,0.6288,0.99
100,0.365051,0.525253,0.17,0.663265,0.6828,0.98
100,0.432929,0.565657,0.16,0.653061,0.6676,0.98
100,0.521212,0.505051,0.2,0.612245,0.612,0.98
100,0.820808,0.515152,0.17,0.714286,0.6756,0.99
100,0.450707,0.505051,0.14,0.785714,0.6944,1
100,0.397778,0.474747,0.16,0.72449,0.6876,1
100,0.427879,0.545455,0.15,0.642857,0.7512,1
100,0.480404,0.515152,0.17,0.612245,0.6812,0.99
100,0.392121,0.555556,0.18,0.693878,0.6324,0.99
100,0.45596,0.505051,0.15,0.622449,0.7408,1
100,0.628283,0.575758,0.17,0.602041,0.6,0.99
100,0.513131,0.494949,0.17,0.704082,0.6724,0.99
100,0.418788,0.525253,0.17,0.632653,0.6572,0.96
100,0.698788,0.515152,0.17,0.632653,0.6936,0.98
100,0.341212,0.535354,0.17,0.622449,0.6332,1
100,0.448485,0.484848,0.15,0.663265,0.6944,0.98
100,0.393535,0.454545,0.16,0.622449,0.6928,1
100,0.260808,0.505051,0.18,0.663265,0.6668,1
100,0.436162,0.474747,0.19,0.663265,0.7048,0.99
100,0.625253,0.555556,0.17,0.632653,0.7144,1
100,0.717778,0.454545,0.15,0.693878,0.648,0.99
100,0.609495,0.494949,0.2,0.673469,0.5856,0.98
100,0.412727,0.454545,0.19,0.632653,0.6428,0.98
100,0.679394,0.545455,0.18,0.704082,0.6596,0.98
100,0.650303,0.494949,0.16,0.673469,0.6964,0.99
100,0.336162,0.484848,0.18,0.714286,0.6,0.99
100,0.310101,0.484848,0.16,0.663265,0.6796,1
100,0.510303,0.515152,0.17,0.714286,0.6756,1
100,0.427071,0.545455,0.19,0.755102,0.6944,0.99
100,0.337374,0.484848,0.17,0.72449,0.6716,0.98
100,0.352121,0.505051,0.16,0.704082,0.7044,1
100,0.483434,0.525253,0.17,0.55102,0.6092,1
100,0.447879,0.464646,0.18,0.591837,0.6332,0.99
100,0.710909,0.464646,0.18,0.622449,0.6824,0.98
100,0.420808,0.464646,0.18,0.714286,0.6168,0.99
100,0.298788,0.474747,0.13,0.653061,0.7124,0.99
100,0.567071,0.565657,0.17,0.530612,0.676,1
100,0.446061,0.525253,0.16,0.714286,0.63,0.99
100,0.581212,0.535354,0.17,0.663265,0.6448,0.99
100,0.775152,0.545455,0.2,0.663265,0.626,1
100,0.638586,0.505051,0.21,0.591837,0.6084,0.99
100,0.522828,0.515152,0.21,0.642857,0.618,0.98
100,0.468687,0.535354,0.2,0.744898,0.6136,0.98
100,0.465657,0.505051,0.16,0.663265,0.7184,0.99
100,0.47596,0.464646,0.16,0.632653,0.7144,0.99
100,0.542626,0.494949,0.21,0.693878,0.6228,0.99
100,0.490909,0.464646,0.18,0.755102,0.6668,0.99
100,0.359394,0.484848,0.16,0.72449,0.6348,0.99
100,0.61798,0.505051,0.17,0.653061,0.6584,0.97
100,0.315556,0.494949,0.17,0.673469,0.6116,0.98
100,0.399798,0.464646,0.17,0.734694,0.672,1
100,0.356162,0.474747,0.18,0.653061,0.6808,1
100,0.469697,0.535354,0.18,0.72449,0.6396,0.98
100,0.328485,0.484848,0.18,0.673469,0.6488,0.99
100,0.845051,0.505051,0.19,0.714286,0.704,0.99
100,0.301616,0.535354,0.15,0.683673,0.6868,0.99
100,0.385051,0.525253,0.15,0.663265,0.6736,0.99
100,0.381616,0.494949,0.17,0.581633,0.7044,0.99
100,0.551111,0.545455,0.18,0.734694,0.6524,0.98
100,0.474747,0.525253,0.14,0.663265,0.7064,1
100,0.350101,0.545455,0.15,0.765306,0.6888,0.99
100,0.312727,0.525253,0.19,0.663265,0.6196,0.99
100,0.314949,0.454545,0.18,0.744898,0.6684,0.98
100,0.489293,0.505051,0.19,0.714286,0.6272,0.96
100,0.27697,0.505051,0.15,0.642857,0.672,1
100,0.800606,0.474747,0.16,0.663265,0.7056,0.97
100,0.345455,0.505051,0.16,0.683673,0.672,0.99
100,0.692121,0.515152,0.16,0.602041,0.76,1
100,0.441616,0.474747,0.16,0.653061,0.6592,0.98
100,0.670909,0.464646,0.16,0.714286,0.7116,0.99
100,0.393737,0.515152,0.18,0.612245,0.6092,0.98
100,0.369091,0.494949,0.14,0.704082,0.7204,0.99
100,0.466869,0.484848,0.16,0.663265,0.6828,0.98
100,0.489293,0.555556,0.16,0.714286,0.6412,0.99
100,0.485657,0.40404,0.16,0.622449,0.702,1
100,0.308283,0.505051,0.16,0.693878,0.63,1
100,0.42,0.505051,0.15,0.693878,0.6404,1
100,0.677374,0.474747,0.18,0.704082,0.6572,0.96
100,0.50202,0.434343,0.13,0.653061,0.752,0.98
100,0.807273,0.484848,0.17,0.663265,0.6676,0.97
100,0.26303,0.505051,0.17,0.663265,0.6204,1
100,0.867273,0.474747,0.2,0.683673,0.6244,0.99
100,0.404242,0.494949,0.19,0.622449,0.5728,0.99
100,0.382424,0.515152,0.17,0.663265,0.6472,0.99
100,0.752121,0.494949,0.16,0.663265,0.736,1
100,0.638384,0.535354,0.17,0.673469,0.6356,0.98
100,0.417576,0.515152,0.13,0.622449,0.6724,1
100,0.377778,0.505051,0.16,0.704082,0.6668,0.99
100,0.416566,0.545455,0.16,0.642857,0.63,1
100,0.297172,0.535354,0.17,0.663265,0.6816,0.98
100,0.55596,0.535354,0.18,0.642857,0.6796,1
100,0.731919,0.515152,0.17,0.673469,0.5812,0.99
100,0.310909,0.454545,0.15,0.653061,0.7144,0.98
100,0.794949,0.535354,0.16,0.642857,0.722,0.99
100,0.408889,0.515152,0.15,0.683673,0.6796,1
100,0.464444,0.474747,0.19,0.673469,0.646,1
100,0.274747,0.525253,0.17,0.734694,0.6664,1
100,0.568485,0.444444,0.16,0.693878,0.6764,0.98
100,0.413333,0.484848,0.18,0.734694,0.558,1
100,0.574949,0.555556,0.13,0.683673,0.7072,0.99
100,0.751919,0.494949,0.14,0.653061,0.7548,1
100,0.364848,0.454545,0.19,0.663265,0.5924,0.98
100,0.464242,0.444444,0.16,0.693878,0.676,0.97
100,0.324242,0.515152,0.15,0.642857,0.6748,1
100,0.785657,0.525253,0.16,0.653061,0.678,0.99
100,0.628485,0.525253,0.14,0.683673,0.6868,1
100,0.214949,0.505051,0.19,0.683673,0.5804,0.99
100,0.698586,0.505051,0.14,0.653061,0.6928,1
100,0.477172,0.494949,0.16,0.622449,0.658,1
100,0.531515,0.454545,0.19,0.683673,0.6956,1
100,0.274343,0.515152,0.14,0.693878,0.6924,1
100,0.406869,0.545455,0.16,0.663265,0.6664,0.99
100,0.37697,0.494949,0.17,0.663265,0.6792,0.98
100,0.829899,0.525253,0.13,0.622449,0.6972,0.99
100,0.368889,0.505051,0.16,0.632653,0.7452,1
100,0.63596,0.515152,0.15,0.72449,0.7512,1
100,0.447273,0.505051,0.17,0.602041,0.6444,1
100,0.624848,0.474747,0.17,0.591837,0.7152,1
