n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.514343,0.494949,0.17,0.653061,0.6836,0.99
100,0.539192,0.565657,0.13,0.673469,0.7216,0.97
100,0.477778,0.464646,0.17,0.755102,0.6576,1
100,0.548081,0.505051,0.16,0.714286,0.7276,1
100,0.475556,0.535354,0.16,0.632653,0.6376,0.99
100,0.493333,0.474747,0.17,0.693878,0.6528,1
100,0.583838,0.484848,0.15,0.72449,0.752,1
100,0.480202,0.464646,0.17,0.571429,0.6712,0.99
100,0.476162,0.505051,0.18,0.693878,0.6376,0.99
100,0.480404,0.505051,0.17,0.704082,0.6468,0.99
100,0.483838,0.484848,0.16,0.612245,0.6408,0.98
100,0.549293,0.575758,0.17,0.653061,0.7308,0.99
100,0.482828,0.494949,0.17,0.663265,0.6432,1
100,0.500606,0.505051,0.16,0.653061,0.6588,0.98
100,0.530505,0.515152,0.15,0.642857,0.7092,0.99
100,0.491717,0.515152,0.2,0.704082,0.6636,0.99
100,0.491717,0.474747,0.15,0.632653,0.6908,1
100,0.563636,0.494949,0.16,0.683673,0.7356,1
100,0.440808,0.494949,0.2,0.683673,0.5624,0.96
100,0.455556,0.515152,0.18,0.673469,0.6064,1
100,0.485051,0.505051,0.17,0.602041,0.646,0.99
100,0.527879,0.525253,0.14,0.714286,0.6944,1
100,0.509091,0.494949,0.18,0.602041,0.676,0.98
100,0.497576,0.444444,0.18,0.622449,0.6832,1
100,0.508889,0.494949,0.17,0.683673,0.7072,0.99
100,0.502222,0.494949,0.17,0.72449,0.6804,1
100,0.472929,0.555556,0.15,0.693878,0.6376,0.99
100,0.537374,0.505051,0.2,0.77551,0.708,0.99
100,0.557172,0.484848,0.18,0.714286,0.748,0.99
100,0.483838,0.474747,0.19,0.653061,0.63,0.98
100,0.512727,0.464646,0.19,0.653061,0.6816,0.98
100,0.489293,0.525253,0.19,0.693878,0.6532,0.98
100,0.45798,0.484848,0.19,0.673469,0.5948,0.96
100,0.502222,0.474747,0.17,0.642857,0.6492,0.99
100,0.489495,0.525253,0.18,0.683673,0.638,1
100,0.531313,0.505051,0.17,0.622449,0.684,0.98
100,0.469293,0.444444,0.2,0.653061,0.644,0.98
100,0.468889,0.474747,0.17,0.653061,0.6092,0.99
100,0.509495,0.515152,0.15,0.653061,0.7004,1
100,0.49697,0.454545,0.18,0.755102,0.7008,0.99
100,0.457374,0.484848,0.17,0.714286,0.6232,0.99
100,0.482222,0.535354,0.16,0.765306,0.6548,0.99
100,0.496566,0.474747,0.17,0.714286,0.6728,1
100,0.474949,0.454545,0.18,0.632653,0.6412,0.99
100,0.541818,0.484848,0.17,0.632653,0.732,1
100,0.510101,0.505051,0.16,0.663265,0.6784,0.99
100,0.512525,0.474747,0.17,0.653061,0.6748,0.99
100,0.511313,0.484848,0.17,0.642857,0.6644,0.99
100,0.454343,0.505051,0.2,0.632653,0.6132,1
100,0.479596,0.535354,0.17,0.602041,0.642,0.99
100,0.501818,0.525253,0.15,0.642857,0.658,0.98
100,0.508081,0.484848,0.16,0.72449,0.6872,0.99
