n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.558182,0.454545,0.17,0.622449,0.7412,0.99
100,0.487475,0.535354,0.15,0.612245,0.664,0.99
100,0.282424,0.484848,0.16,0.693878,0.7292,1
100,0.889293,0.505051,0.17,0.734694,0.6116,0.98
100,0.326667,0.505051,0.17,0.55102,0.6904,0.99
100,0.545657,0.444444,0.18,0.663265,0.6684,1
100,0.411313,0.515152,0.15,0.77551,0.684,0.98
100,0.295152,0.464646,0.15,0.632653,0.614,0.98
100,0.377172,0.454545,0.17,0.683673,0.7772,0.99
100,0.71596,0.505051,0.15,0.704082,0.6992,1
100,0.5,0.484848,0.16,0.673469,0.7096,0.99
100,0.316768,0.464646,0.18,0.683673,0.6284,0.98
100,0.316768,0.494949,0.16,0.714286,0.7024,1
100,0.563232,0.535354,0.17,0.704082,0.6608,0.98
100,0.399192,0.535354,0.16,0.663265,0.6996,1
100,0.428283,0.494949,0.16,0.683673,0.7308,1
100,0.733535,0.535354,0.18,0.663265,0.6336,0.99
100,0.425051,0.474747,0.15,0.704082,0.688,0.98
100,0.447071,0.474747,0.2,0.704082,0.6264,0.99
100,0.354949,0.525253,0.21,0.704082,0.6236,0.98
100,0.75899,0.484848,0.16,0.683673,0.656,1
100,0.683232,0.505051,0.16,0.755102,0.6312,0.98
100,0.260808,0.494949,0.16,0.612245,0.6656,0.97
100,0.810505,0.515152,0.16,0.642857,0.6804,0.99
100,0.354141,0.515152,0.2,0.734694,0.6204,1
100,0.809899,0.565657,0.15,0.693878,0.6652,1
100,0.396768,0.525253,0.18,0.612245,0.6616,1
100,0.434141,0.505051,0.19,0.632653,0.6092,0.99
100,0.63798,0.535354,0.14,0.602041,0.684,0.99
100,0.345859,0.505051,0.15,0.612245,0.6416,1
100,0.55899,0.535354,0.15,0.602041,0.6644,1
100,0.614747,0.484848,0.17,0.642857,0.6812,1
100,0.328889,0.474747,0.18,0.693878,0.6456,0.99
100,0.396364,0.505051,0.17,0.744898,0.7696,0.97
100,0.463636,0.474747,0.21,0.734694,0.5912,0.98
100,0.70404,0.505051,0.15,0.612245,0.6908,1
100,0.386869,0.515152,0.16,0.683673,0.6012,0.99
100,0.715152,0.515152,0.18,0.663265,0.654,0.99
100,0.258182,0.414141,0.2,0.673469,0.5972,0.99
100,0.38303,0.505051,0.14,0.673469,0.7208,1
100,0.55899,0.515152,0.19,0.683673,0.682,0.99
100,0.414343,0.484848,0.19,0.673469,0.6584,0.98
100,0.81899,0.454545,0.17,0.642857,0.6664,1
100,0.670707,0.525253,0.16,0.693878,0.7264,1
100,0.335758,0.545455,0.17,0.612245,0.676,0.96
100,0.420606,0.494949,0.15,0.704082,0.7348,1
100,0.827879,0.525253,0.17,0.693878,0.7324,1
100,0.429091,0.505051,0.19,0.714286,0.6236,0.98
100,0.736566,0.434343,0.16,0.683673,0.716,1
100,0.354545,0.525253,0.17,0.663265,0.706,1
100,0.645253,0.505051,0.17,0.693878,0.6176,1
100,0.47596,0.525253,0.16,0.663265,0.6388,1
100,0.351515,0.424242,0.18,0.591837,0.7304,1
100,0.82404,0.545455,0.16,0.663265,0.6912,1
100,0.435758,0.464646,0.16,0.693878,0.644,0.98
100,0.386465,0.525253,0.16,0.653061,0.6024,0.98
100,0.314747,0.505051,0.16,0.561224,0.6012,0.98
100,0.286465,0.535354,0.17,0.673469,0.616,0.99
100,0.808889,0.424242,0.17,0.642857,0.6128,0.99
100,0.38202,0.535354,0.15,0.704082,0.6788,0.99
100,0.714141,0.505051,0.15,0.632653,0.7228,1
100,0.459798,0.525253,0.14,0.632653,0.7228,1
100,0.616566,0.505051,0.14,0.663265,0.6884,0.99
100,0.684848,0.474747,0.17,0.653061,0.6784,0.98
100,0.576566,0.505051,0.18,0.683673,0.67,0.99
100,0.348687,0.484848,0.17,0.642857,0.662,0.98
100,0.730505,0.494949,0.16,0.663265,0.6652,0.99
100,0.455152,0.515152,0.18,0.653061,0.6744,0.99
100,0.717576,0.494949,0.18,0.663265,0.6732,1
100,0.934949,0.474747,0.15,0.642857,0.6428,1
100,0.605051,0.494949,0.17,0.653061,0.6508,0.99
100,0.235556,0.535354,0.18,0.673469,0.6912,0.98
100,0.523434,0.525253,0.16,0.612245,0.6836,0.97
100,0.339798,0.484848,0.21,0.632653,0.5684,0.98
100,0.288283,0.484848,0.16,0.612245,0.698,0.99
