n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.743232,0.0606061,0.48,0.102041,0.606,1
100,0.728283,0.0808081,0.31,0.163265,0.8012,1
100,0.544848,0.0707071,0.33,0.132653,0.6856,0.94
100,0.510101,0.040404,0.51,0.0816327,0.5684,0.99
100,0.165657,0.0606061,0.5,0.122449,0.44,0.88
100,0.323636,0.0505051,0.46,0.0918367,0.8128,1
100,0.427879,0.0808081,0.43,0.132653,0.6464,1
100,0.704444,0.10101,0.42,0.173469,0.788,1
100,0.808687,0.0808081,0.36,0.142857,0.748,1
100,0.403232,0.0808081,0.64,0.153061,0.246,0.97
100,0.253333,0.0707071,0.51,0.142857,0.382,0.93
100,0.224444,0.0707071,0.47,0.142857,0.7104,1
100,0.547677,0.0505051,0.48,0.0918367,0.5856,0.95
100,0.329899,0.040404,0.51,0.0816327,0.5068,0.98
100,0.413939,0.0707071,0.38,0.142857,0.7528,1
100,0.851515,0.0707071,0.4,0.132653,0.6528,1
100,0.634747,0.0909091,0.41,0.153061,0.6756,1
100,0.289293,0.0505051,0.51,0.102041,0.4708,0.98
100,0.791717,0.0606061,0.25,0.112245,0.868,1
100,0.500404,0.0505051,0.45,0.0918367,0.6628,0.99
100,0.397374,0.0606061,0.45,0.122449,0.774,1
100,0.398586,0.0909091,0.38,0.183673,0.7596,0.98
100,0.700404,0.0606061,0.43,0.122449,0.7276,0.99
100,0.622828,0.0606061,0.51,0.102041,0.4988,0.99
100,0.478384,0.0707071,0.41,0.132653,0.7748,1
100,0.571313,0.0606061,0.32,0.122449,0.6324,1
100,0.271111,0.0505051,0.44,0.0918367,0.7824,1
100,0.291919,0.0606061,0.38,0.112245,0.4848,1
100,0.422222,0.0505051,0.49,0.102041,0.6892,1
100,0.473535,0.0505051,0.36,0.102041,0.8324,1
100,0.30202,0.0808081,0.36,0.132653,0.66,1
100,0.365051,0.0606061,0.45,0.122449,0.7176,1
100,0.312323,0.0707071,0.43,0.0918367,0.6276,0.91
100,0.74,0.0808081,0.39,0.163265,0.6228,1
100,0.675556,0.0707071,0.37,0.142857,0.7396,1
100,0.72303,0.0808081,0.45,0.163265,0.4372,1
100,0.349091,0.0707071,0.41,0.142857,0.5564,0.97
100,0.331111,0.0606061,0.48,0.112245,0.5908,1
100,0.272525,0.0909091,0.32,0.173469,0.7588,1
100,0.364242,0.10101,0.39,0.132653,0.6412,0.99
100,0.176768,0.0707071,0.48,0.132653,0.7772,1
100,0.259394,0.0707071,0.56,0.112245,0.5288,0.99
100,0.350707,0.0707071,0.5,0.142857,0.5072,1
100,0.425051,0.0505051,0.4,0.0816327,0.7624,0.99
100,0.482828,0.0808081,0.32,0.163265,0.8968,0.99
100,0.633333,0.0808081,0.3,0.142857,0.7696,1
100,0.757172,0.0808081,0.48,0.142857,0.6016,0.98
100,0.291919,0.0505051,0.5,0.102041,0.552,0.98
100,0.375758,0.0606061,0.29,0.122449,0.8096,0.99
100,0.812121,0.0707071,0.46,0.142857,0.776,0.99
100,0.46303,0.0707071,0.47,0.142857,0.7528,1
100,0.10101,0.0505051,0.56,0.102041,0.3876,0.98
100,0.813535,0.0808081,0.51,0.132653,0.6104,1
100,0.578384,0.0808081,0.44,0.132653,0.6844,0.99
100,0.245253,0.0707071,0.39,0.142857,0.7184,1
100,0.674747,0.040404,0.52,0.0816327,0.7448,0.98
100,0.350707,0.0606061,0.45,0.122449,0.5776,0.99
100,0.281616,0.0606061,0.48,0.122449,0.536,0.98
100,0.463838,0.0707071,0.32,0.142857,0.742,0.99
