n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.654747,0.111111,0.29,0.22449,0.8004,0.99
100,0.410505,0.10101,0.32,0.173469,0.6924,1
100,0.304242,0.0606061,0.4,0.122449,0.67,0.98
100,0.368687,0.0707071,0.38,0.142857,0.514,0.94
100,0.594747,0.10101,0.33,0.173469,0.6104,0.99
100,0.330707,0.0909091,0.37,0.183673,0.6952,1
100,0.716364,0.0909091,0.37,0.183673,0.6024,1
100,0.442222,0.0909091,0.28,0.183673,0.7392,1
100,0.288687,0.121212,0.41,0.244898,0.5124,0.99
100,0.874343,0.141414,0.29,0.265306,0.7464,0.98
100,0.679192,0.10101,0.31,0.193878,0.728,0.99
100,0.589293,0.111111,0.3,0.214286,0.63,1
100,0.674343,0.10101,0.25,0.204082,0.7184,1
100,0.609091,0.121212,0.3,0.244898,0.6596,0.99
100,0.421818,0.121212,0.25,0.244898,0.5288,0.99
100,0.254141,0.0808081,0.3,0.163265,0.744,1
100,0.556364,0.10101,0.31,0.204082,0.6316,0.99
100,0.345455,0.0909091,0.3,0.183673,0.704,0.99
100,0.226465,0.0808081,0.39,0.163265,0.538,0.99
100,0.791111,0.0808081,0.29,0.163265,0.7296,0.97
100,0.758788,0.10101,0.42,0.204082,0.452,0.96
100,0.350909,0.0808081,0.43,0.163265,0.5252,0.98
100,0.496566,0.121212,0.41,0.244898,0.5252,0.98
100,0.373333,0.121212,0.33,0.214286,0.7124,0.97
100,0.448283,0.10101,0.38,0.173469,0.6516,1
100,0.288081,0.111111,0.29,0.214286,0.6308,0.98
100,0.475758,0.111111,0.37,0.22449,0.5068,1
100,0.583636,0.0808081,0.28,0.163265,0.7104,0.98
100,0.329495,0.111111,0.29,0.22449,0.7892,1
100,0.337576,0.0909091,0.4,0.163265,0.3988,0.9
100,0.315556,0.121212,0.37,0.214286,0.5272,1
100,0.32404,0.131313,0.39,0.234694,0.5964,1
100,0.484444,0.10101,0.34,0.204082,0.5968,0.94
100,0.325859,0.0909091,0.39,0.183673,0.496,0.98
100,0.235758,0.10101,0.31,0.204082,0.6944,1
100,0.29798,0.10101,0.39,0.173469,0.7444,1
100,0.426667,0.111111,0.36,0.204082,0.6964,0.99
100,0.221616,0.0606061,0.42,0.122449,0.4536,0.99
100,0.43697,0.111111,0.39,0.214286,0.5412,0.99
100,0.421616,0.10101,0.44,0.183673,0.5804,0.97
100,0.61798,0.0909091,0.34,0.183673,0.6964,0.98
100,0.423636,0.10101,0.48,0.183673,0.5312,0.93
100,0.34404,0.10101,0.39,0.204082,0.4244,0.98
100,0.62202,0.0909091,0.29,0.173469,0.67,1
100,0.570707,0.131313,0.25,0.234694,0.742,0.98
100,0.488687,0.111111,0.26,0.193878,0.8728,1
100,0.586465,0.10101,0.25,0.193878,0.822,0.98
100,0.442828,0.10101,0.35,0.193878,0.5992,1
100,0.581212,0.121212,0.23,0.22449,0.8048,1
100,0.404242,0.111111,0.24,0.204082,0.858,0.99
100,0.403232,0.10101,0.35,0.193878,0.61,0.98
100,0.519394,0.121212,0.31,0.244898,0.718,0.98
100,0.754141,0.0909091,0.33,0.183673,0.7784,0.99
100,0.804444,0.10101,0.26,0.204082,0.774,1
100,0.336162,0.0909091,0.29,0.173469,0.6856,1
100,0.528889,0.131313,0.31,0.265306,0.5976,1
100,0.443838,0.0909091,0.3,0.163265,0.6304,1
100,0.470707,0.0909091,0.39,0.183673,0.5556,0.99
100,0.64,0.111111,0.29,0.22449,0.7368,0.99
100,0.518788,0.121212,0.29,0.204082,0.7012,1
100,0.391313,0.10101,0.31,0.204082,0.7864,1
100,0.698182,0.131313,0.3,0.265306,0.6808,1
100,0.657576,0.0606061,0.36,0.122449,0.6228,0.99
100,0.610303,0.0909091,0.32,0.173469,0.582,1
100,0.503434,0.111111,0.39,0.173469,0.4752,1
100,0.324242,0.10101,0.27,0.173469,0.7524,1
100,0.324444,0.111111,0.26,0.22449,0.7804,0.99
100,0.325253,0.0909091,0.33,0.183673,0.6364,1
100,0.667879,0.10101,0.38,0.204082,0.5024,1
100,0.742424,0.10101,0.32,0.204082,0.7768,1
100,0.280404,0.10101,0.3,0.183673,0.6976,1
100,0.745253,0.121212,0.27,0.214286,0.904,1
100,0.55899,0.10101,0.33,0.193878,0.6736,0.98
100,0.285859,0.10101,0.38,0.204082,0.6316,1
100,0.369091,0.10101,0.33,0.204082,0.682,1
100,0.546061,0.131313,0.33,0.234694,0.7084,0.99
100,0.692525,0.111111,0.28,0.22449,0.7752,1
100,0.36,0.10101,0.42,0.204082,0.4568,0.99
100,0.331111,0.141414,0.28,0.285714,0.5712,1
100,0.432525,0.121212,0.28,0.244898,0.6364,0.98
100,0.281616,0.10101,0.42,0.193878,0.6244,0.93
100,0.718182,0.111111,0.24,0.22449,0.7832,1
100,0.267879,0.0808081,0.42,0.163265,0.6684,1
100,0.214343,0.111111,0.41,0.153061,0.4612,0.99
100,0.436364,0.111111,0.34,0.22449,0.668,1
100,0.420404,0.111111,0.23,0.22449,0.8588,1
100,0.68404,0.121212,0.31,0.234694,0.7188,1
100,0.76303,0.10101,0.33,0.183673,0.8716,1
100,0.385051,0.0808081,0.27,0.163265,0.724,0.96
100,0.302424,0.0909091,0.37,0.183673,0.6004,0.98
100,0.742222,0.111111,0.38,0.214286,0.6468,1
100,0.477576,0.111111,0.37,0.214286,0.7072,0.98
100,0.229091,0.111111,0.33,0.204082,0.6996,0.98
100,0.639192,0.111111,0.31,0.204082,0.6476,0.99
100,0.524848,0.111111,0.33,0.22449,0.608,0.99
100,0.423636,0.0909091,0.36,0.183673,0.7108,0.99
100,0.475152,0.121212,0.33,0.22449,0.628,1
100,0.393939,0.10101,0.27,0.193878,0.7568,1
100,0.314545,0.0808081,0.37,0.163265,0.514,1
100,0.629293,0.0909091,0.35,0.183673,0.6596,0.97
100,0.273737,0.131313,0.3,0.255102,0.6284,0.96
100,0.212525,0.141414,0.3,0.244898,0.7136,1
100,0.814949,0.131313,0.35,0.234694,0.772,1
100,0.338384,0.10101,0.31,0.204082,0.8956,1
100,0.357374,0.10101,0.34,0.173469,0.6792,1
100,0.353737,0.111111,0.35,0.193878,0.6676,1
100,0.553131,0.10101,0.38,0.193878,0.4496,0.94
100,0.285859,0.0808081,0.37,0.163265,0.6332,0.99
100,0.338384,0.0909091,0.33,0.183673,0.5972,0.97
100,0.235354,0.10101,0.39,0.173469,0.5104,0.94
100,0.372929,0.111111,0.41,0.204082,0.6276,1
100,0.252121,0.0909091,0.36,0.183673,0.5008,0.91
100,0.686263,0.10101,0.29,0.204082,0.7492,0.99
100,0.366667,0.0909091,0.43,0.173469,0.4996,0.86
100,0.534141,0.111111,0.24,0.22449,0.7276,0.99
100,0.193131,0.131313,0.33,0.214286,0.6468,1
100,0.62101,0.10101,0.41,0.204082,0.602,1
100,0.397374,0.121212,0.37,0.22449,0.7176,0.99
100,0.337576,0.10101,0.31,0.204082,0.7632,1
100,0.430303,0.10101,0.35,0.204082,0.5904,1
100,0.447475,0.10101,0.34,0.193878,0.5856,0.99
100,0.475152,0.0808081,0.35,0.153061,0.5336,0.95
100,0.76101,0.111111,0.29,0.204082,0.74,0.99
100,0.397576,0.0909091,0.36,0.163265,0.6604,1
100,0.450101,0.10101,0.38,0.173469,0.5992,1
