n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.68404,0.262626,0.19,0.510204,0.658,0.99
100,0.644848,0.252525,0.2,0.510204,0.6884,0.98
100,0.597778,0.222222,0.25,0.44898,0.618,1
100,0.352727,0.242424,0.2,0.489796,0.5896,1
100,0.26202,0.252525,0.22,0.510204,0.6436,1
100,0.475354,0.282828,0.19,0.571429,0.7168,0.98
100,0.606465,0.222222,0.23,0.44898,0.686,0.95
100,0.410707,0.242424,0.21,0.489796,0.6596,1
100,0.674141,0.272727,0.21,0.55102,0.7284,1
100,0.74101,0.252525,0.29,0.5,0.6016,0.98
100,0.657778,0.262626,0.24,0.530612,0.7076,1
100,0.380808,0.212121,0.2,0.428571,0.7144,1
100,0.35596,0.222222,0.23,0.44898,0.7304,1
100,0.686869,0.262626,0.23,0.510204,0.6132,0.98
100,0.421414,0.252525,0.21,0.510204,0.64,1
100,0.281414,0.262626,0.23,0.530612,0.5824,0.98
100,0.335354,0.252525,0.2,0.510204,0.6868,0.98
100,0.754343,0.212121,0.29,0.428571,0.64,1
100,0.242828,0.242424,0.23,0.489796,0.67,1
100,0.649091,0.262626,0.19,0.530612,0.7068,0.98
100,0.629899,0.232323,0.22,0.469388,0.6764,1
100,0.748485,0.242424,0.29,0.489796,0.5452,0.97
100,0.740606,0.252525,0.29,0.510204,0.6384,1
100,0.680606,0.252525,0.24,0.510204,0.7024,0.98
100,0.253939,0.252525,0.19,0.510204,0.6548,1
100,0.775556,0.242424,0.24,0.469388,0.6816,0.98
100,0.275556,0.272727,0.21,0.55102,0.6608,0.98
100,0.226263,0.222222,0.2,0.44898,0.6552,1
100,0.580202,0.292929,0.21,0.571429,0.6348,1
100,0.455758,0.232323,0.23,0.469388,0.6604,1
100,0.247475,0.212121,0.24,0.428571,0.6228,0.97
100,0.779798,0.252525,0.27,0.510204,0.6276,0.98
100,0.617778,0.222222,0.25,0.44898,0.642,0.93
100,0.332727,0.242424,0.23,0.489796,0.5996,1
100,0.562626,0.292929,0.22,0.55102,0.6292,1
100,0.490101,0.242424,0.26,0.489796,0.74,0.98
100,0.733737,0.262626,0.2,0.530612,0.7028,0.98
100,0.431717,0.272727,0.25,0.55102,0.6076,0.99
100,0.366869,0.242424,0.25,0.469388,0.548,1
100,0.431313,0.262626,0.19,0.530612,0.6796,0.99
100,0.622828,0.242424,0.2,0.489796,0.6664,0.96
100,0.454747,0.242424,0.26,0.469388,0.6192,0.98
100,0.637576,0.252525,0.24,0.510204,0.7004,0.95
100,0.428283,0.222222,0.23,0.44898,0.6652,0.98
100,0.31899,0.242424,0.22,0.489796,0.64,0.98
100,0.531919,0.252525,0.24,0.510204,0.6448,0.98
100,0.460404,0.262626,0.21,0.530612,0.6464,1
100,0.41899,0.222222,0.2,0.44898,0.7156,1
100,0.64404,0.222222,0.2,0.44898,0.7776,1
100,0.632525,0.262626,0.19,0.530612,0.8688,1
100,0.461212,0.272727,0.23,0.540816,0.5516,0.94
100,0.72303,0.232323,0.23,0.469388,0.7512,0.98
100,0.48101,0.272727,0.24,0.55102,0.6496,0.99
100,0.365051,0.252525,0.2,0.510204,0.6892,0.97
100,0.356768,0.242424,0.21,0.44898,0.734,0.98
100,0.471919,0.272727,0.23,0.55102,0.6604,0.98
100,0.590101,0.222222,0.2,0.44898,0.7532,1
100,0.80202,0.252525,0.27,0.510204,0.5612,0.99
100,0.621818,0.262626,0.21,0.530612,0.7448,0.98
100,0.322222,0.282828,0.21,0.530612,0.68,0.98
100,0.336364,0.222222,0.27,0.44898,0.6144,1
100,0.340808,0.242424,0.26,0.469388,0.5576,1
100,0.493737,0.252525,0.24,0.510204,0.628,0.99
100,0.547677,0.252525,0.2,0.510204,0.6744,0.99
100,0.829091,0.272727,0.23,0.55102,0.6516,1
100,0.657576,0.242424,0.25,0.489796,0.6732,1
100,0.370909,0.232323,0.28,0.469388,0.6704,1
100,0.269495,0.252525,0.28,0.510204,0.5712,0.98
100,0.592727,0.272727,0.19,0.55102,0.7232,0.98
100,0.736768,0.232323,0.21,0.469388,0.6972,1
100,0.481616,0.232323,0.2,0.428571,0.7036,1
100,0.655354,0.323232,0.24,0.653061,0.552,0.94
100,0.602626,0.252525,0.23,0.510204,0.6764,0.99
100,0.345253,0.292929,0.18,0.591837,0.7232,1
100,0.558586,0.30303,0.22,0.591837,0.7812,1
100,0.643434,0.252525,0.25,0.510204,0.6268,0.97
100,0.568687,0.242424,0.23,0.489796,0.6876,0.97
100,0.427475,0.242424,0.21,0.469388,0.638,0.98
100,0.29697,0.252525,0.2,0.510204,0.6904,1
100,0.288485,0.252525,0.23,0.489796,0.5844,0.95
100,0.416768,0.232323,0.24,0.469388,0.74,1
100,0.525657,0.272727,0.23,0.530612,0.6468,0.99
