n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.286465,0.0606061,0.54,0.122449,0.424,1
100,0.508283,0.0606061,0.36,0.122449,0.7092,1
100,0.597172,0.0808081,0.34,0.163265,0.7692,0.98
100,0.376566,0.0707071,0.39,0.122449,0.5564,0.87
100,0.609091,0.0707071,0.3,0.142857,0.8256,0.98
100,0.374343,0.040404,0.5,0.0816327,0.6036,0.93
100,0.391919,0.0707071,0.42,0.122449,0.6092,0.99
100,0.452323,0.0707071,0.41,0.142857,0.6876,1
100,0.570707,0.0707071,0.31,0.142857,0.7972,1
100,0.584848,0.0505051,0.32,0.102041,0.7772,0.99
100,0.309697,0.040404,0.56,0.0816327,0.4604,0.9
100,0.332929,0.0505051,0.49,0.102041,0.5564,0.98
100,0.578788,0.0808081,0.39,0.153061,0.7592,0.99
100,0.515758,0.0707071,0.36,0.142857,0.8024,0.99
100,0.567071,0.0606061,0.3,0.122449,0.7656,0.99
100,0.448687,0.0707071,0.4,0.142857,0.6552,0.92
100,0.531717,0.0505051,0.34,0.102041,0.8404,1
100,0.378384,0.040404,0.44,0.0816327,0.5692,0.89
100,0.411111,0.0606061,0.45,0.122449,0.6052,0.97
100,0.393131,0.0707071,0.45,0.142857,0.574,1
100,0.586667,0.0808081,0.29,0.163265,0.7816,0.98
100,0.352727,0.0505051,0.52,0.102041,0.4612,0.96
100,0.513939,0.0606061,0.36,0.122449,0.7608,1
100,0.519394,0.0505051,0.34,0.102041,0.7848,0.98
100,0.33899,0.0606061,0.49,0.122449,0.5,0.99
100,0.57596,0.0808081,0.36,0.163265,0.66,0.96
100,0.445051,0.030303,0.5,0.0612245,0.6604,0.92
100,0.544242,0.0707071,0.33,0.142857,0.6944,0.91
100,0.5,0.0808081,0.33,0.142857,0.6996,1
100,0.516768,0.0707071,0.35,0.142857,0.824,1
100,0.352323,0.0808081,0.39,0.163265,0.478,1
100,0.294343,0.0505051,0.5,0.102041,0.4448,0.99
100,0.393535,0.0808081,0.33,0.163265,0.5276,0.97
100,0.217576,0.0505051,0.57,0.102041,0.3524,0.9
100,0.359798,0.0505051,0.44,0.102041,0.5532,1
100,0.478788,0.0707071,0.32,0.142857,0.6568,0.99
100,0.469899,0.0707071,0.4,0.142857,0.7096,1
100,0.345051,0.0707071,0.51,0.132653,0.4588,0.96
100,0.484242,0.0606061,0.37,0.122449,0.6228,0.92
100,0.470909,0.0505051,0.39,0.102041,0.8016,1
100,0.396768,0.0808081,0.44,0.163265,0.6216,1
100,0.300606,0.0505051,0.51,0.102041,0.4952,1
100,0.558182,0.0707071,0.4,0.142857,0.712,1
100,0.365253,0.0606061,0.58,0.122449,0.5868,1
100,0.374343,0.040404,0.42,0.0816327,0.6164,1
100,0.455354,0.0606061,0.39,0.122449,0.6516,0.98
100,0.498586,0.0505051,0.32,0.102041,0.7052,0.97
100,0.577172,0.0707071,0.49,0.142857,0.7316,0.9
100,0.339798,0.0707071,0.49,0.132653,0.4964,0.96
100,0.541616,0.0707071,0.31,0.142857,0.7964,1
100,0.512929,0.0606061,0.37,0.122449,0.8308,1
100,0.446667,0.0606061,0.35,0.122449,0.67,1
100,0.266263,0.0505051,0.48,0.102041,0.5032,0.98
100,0.655152,0.0707071,0.29,0.122449,0.8772,0.99
100,0.59596,0.0606061,0.33,0.122449,0.7848,0.99
100,0.517374,0.040404,0.4,0.0816327,0.6752,0.98
100,0.347677,0.0707071,0.53,0.142857,0.4972,0.99
100,0.418182,0.0505051,0.37,0.102041,0.6896,1
100,0.406667,0.0505051,0.39,0.102041,0.6524,1
100,0.395556,0.0606061,0.4,0.122449,0.5484,0.96
100,0.478182,0.0707071,0.35,0.142857,0.7248,1
100,0.353333,0.0606061,0.53,0.122449,0.5556,1
100,0.434949,0.0707071,0.38,0.122449,0.6808,1
100,0.430101,0.0808081,0.35,0.163265,0.6344,1
100,0.467071,0.0707071,0.38,0.142857,0.6704,1
100,0.470303,0.0707071,0.36,0.142857,0.7144,1
