n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.536768,0.434343,0.17,0.663265,0.694,0.99
100,0.496364,0.494949,0.16,0.663265,0.6692,0.98
100,0.466667,0.484848,0.17,0.693878,0.626,0.98
100,0.414545,0.464646,0.19,0.653061,0.5668,0.99
100,0.486465,0.40404,0.19,0.653061,0.67,1
100,0.535556,0.454545,0.15,0.622449,0.7244,0.99
100,0.527071,0.474747,0.14,0.602041,0.6984,0.98
100,0.517576,0.434343,0.16,0.663265,0.7176,1
100,0.490909,0.474747,0.18,0.642857,0.668,0.98
100,0.506263,0.454545,0.15,0.683673,0.6864,1
100,0.509697,0.444444,0.15,0.714286,0.6808,0.98
100,0.532727,0.424242,0.19,0.612245,0.6872,0.99
100,0.538788,0.40404,0.16,0.632653,0.7144,0.99
100,0.485051,0.454545,0.17,0.632653,0.6516,1
100,0.545657,0.424242,0.16,0.612245,0.71,1
100,0.550505,0.474747,0.16,0.673469,0.728,0.99
100,0.503838,0.414141,0.17,0.683673,0.6732,0.98
100,0.507273,0.464646,0.16,0.591837,0.6964,1
100,0.461616,0.414141,0.19,0.581633,0.6476,0.99
100,0.507475,0.444444,0.2,0.663265,0.6648,0.99
100,0.482424,0.484848,0.18,0.693878,0.6408,0.99
100,0.460808,0.454545,0.19,0.612245,0.628,1
100,0.525657,0.515152,0.16,0.622449,0.7096,0.99
100,0.549697,0.464646,0.15,0.653061,0.7328,0.99
100,0.434949,0.434343,0.2,0.642857,0.5668,0.99
100,0.54,0.444444,0.16,0.612245,0.708,0.98
100,0.484646,0.434343,0.19,0.612245,0.666,1
100,0.468485,0.40404,0.15,0.653061,0.6288,1
100,0.455354,0.454545,0.21,0.693878,0.5916,0.97
100,0.521414,0.414141,0.17,0.653061,0.6856,0.99
100,0.470303,0.424242,0.19,0.612245,0.6236,0.97
100,0.526869,0.40404,0.19,0.653061,0.6956,0.98
100,0.540202,0.474747,0.15,0.632653,0.7108,0.99
100,0.455354,0.494949,0.16,0.612245,0.632,1
100,0.465859,0.40404,0.17,0.591837,0.6368,1
100,0.572727,0.454545,0.15,0.642857,0.77,1
100,0.513333,0.434343,0.16,0.622449,0.702,0.98
100,0.464444,0.454545,0.17,0.77551,0.6236,0.99
100,0.454343,0.414141,0.2,0.612245,0.6148,1
100,0.486061,0.40404,0.19,0.591837,0.6516,0.98
100,0.464444,0.434343,0.15,0.683673,0.6396,1
100,0.506869,0.434343,0.19,0.663265,0.6628,0.98
100,0.472525,0.434343,0.16,0.673469,0.6432,0.99
100,0.469091,0.494949,0.16,0.632653,0.6256,1
100,0.472525,0.444444,0.21,0.612245,0.6256,1
100,0.533333,0.424242,0.16,0.591837,0.6952,0.99
100,0.45697,0.484848,0.17,0.663265,0.608,0.98
100,0.489697,0.444444,0.18,0.653061,0.6408,0.99
100,0.469495,0.454545,0.16,0.632653,0.6576,0.99
100,0.55697,0.454545,0.14,0.653061,0.7612,0.99
