n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.532121,0.40404,0.18,0.622449,0.7852,0.99
100,0.396768,0.343434,0.18,0.540816,0.6808,0.98
100,0.458586,0.393939,0.23,0.540816,0.5428,0.98
100,0.38404,0.373737,0.27,0.591837,0.5064,0.97
100,0.641414,0.414141,0.18,0.632653,0.72,0.99
100,0.282828,0.353535,0.24,0.540816,0.5936,1
100,0.64202,0.414141,0.21,0.571429,0.6712,0.98
100,0.346667,0.454545,0.17,0.612245,0.7596,0.99
100,0.678788,0.444444,0.23,0.530612,0.6264,1
100,0.422626,0.373737,0.21,0.622449,0.6676,0.99
100,0.916566,0.343434,0.18,0.571429,0.784,0.99
100,0.603434,0.363636,0.15,0.612245,0.7356,0.99
100,0.752525,0.373737,0.15,0.571429,0.7792,0.99
100,0.338586,0.363636,0.21,0.489796,0.6576,1
100,0.66202,0.414141,0.19,0.571429,0.7492,1
100,0.793737,0.40404,0.25,0.581633,0.5724,0.99
100,0.454949,0.363636,0.2,0.540816,0.6532,0.99
100,0.480404,0.363636,0.18,0.55102,0.7364,0.99
100,0.267879,0.373737,0.27,0.520408,0.5364,0.98
100,0.471717,0.373737,0.19,0.663265,0.5796,0.99
100,0.385859,0.414141,0.19,0.602041,0.6928,0.99
100,0.396364,0.363636,0.21,0.55102,0.6724,1
100,0.612121,0.373737,0.24,0.581633,0.6804,0.99
100,0.720404,0.40404,0.2,0.55102,0.5708,1
100,0.293535,0.363636,0.22,0.571429,0.644,0.98
100,0.581212,0.383838,0.19,0.612245,0.6936,1
100,0.591515,0.383838,0.19,0.479592,0.7024,0.99
100,0.369899,0.363636,0.22,0.5,0.6108,1
100,0.359596,0.393939,0.18,0.540816,0.7112,1
100,0.224848,0.414141,0.2,0.653061,0.6728,0.99
100,0.252323,0.393939,0.24,0.612245,0.5464,0.99
100,0.488485,0.353535,0.26,0.571429,0.5336,0.88
100,0.476364,0.373737,0.18,0.561224,0.7472,1
100,0.268687,0.434343,0.25,0.612245,0.5352,0.98
100,0.792525,0.444444,0.19,0.622449,0.7352,0.99
100,0.834343,0.393939,0.15,0.561224,0.758,0.99
100,0.486465,0.363636,0.17,0.55102,0.6856,1
100,0.843838,0.444444,0.18,0.581633,0.7496,0.99
100,0.311919,0.393939,0.21,0.591837,0.6616,1
100,0.293535,0.40404,0.22,0.622449,0.6332,0.98
100,0.652929,0.353535,0.21,0.540816,0.7332,1
100,0.715556,0.424242,0.2,0.571429,0.692,0.99
100,0.367071,0.40404,0.19,0.571429,0.6552,0.98
100,0.565657,0.373737,0.23,0.55102,0.5412,0.99
100,0.509495,0.393939,0.2,0.489796,0.64,1
100,0.717778,0.363636,0.16,0.591837,0.7608,1
100,0.547677,0.434343,0.19,0.612245,0.6748,0.99
100,0.411515,0.40404,0.26,0.602041,0.6156,0.99
100,0.507071,0.333333,0.25,0.571429,0.6072,0.99
100,0.550303,0.323232,0.24,0.571429,0.678,1
100,0.729293,0.343434,0.23,0.612245,0.6116,1
100,0.504242,0.414141,0.21,0.55102,0.668,0.99
100,0.583434,0.353535,0.25,0.602041,0.6112,1
100,0.353333,0.383838,0.2,0.591837,0.6524,0.99
100,0.631919,0.383838,0.15,0.591837,0.7392,0.99
100,0.591111,0.414141,0.22,0.591837,0.5784,1
100,0.312323,0.424242,0.2,0.642857,0.7204,1
100,0.299798,0.393939,0.21,0.561224,0.6752,0.99
100,0.364444,0.343434,0.19,0.479592,0.7172,0.99
100,0.428687,0.40404,0.23,0.571429,0.6872,0.99
100,0.383636,0.383838,0.22,0.571429,0.7164,1
100,0.520808,0.414141,0.16,0.622449,0.6812,1
100,0.771919,0.424242,0.22,0.591837,0.6472,0.99
100,0.367879,0.434343,0.21,0.642857,0.744,1
100,0.725859,0.353535,0.16,0.540816,0.7812,1
100,0.233333,0.363636,0.24,0.602041,0.504,0.99
100,0.379192,0.383838,0.25,0.5,0.6332,1
100,0.294141,0.383838,0.16,0.591837,0.678,1
100,0.678586,0.373737,0.24,0.55102,0.5968,1
100,0.407475,0.383838,0.19,0.591837,0.7332,0.99
100,0.436768,0.414141,0.15,0.581633,0.7008,0.99
100,0.607879,0.373737,0.24,0.55102,0.6188,0.98
100,0.646465,0.393939,0.21,0.622449,0.6372,0.98
100,0.677576,0.353535,0.17,0.5,0.7724,1
100,0.688889,0.333333,0.17,0.5,0.7124,0.98
100,0.525051,0.414141,0.21,0.612245,0.7496,1
100,0.500808,0.383838,0.21,0.55102,0.6612,1
100,0.827677,0.353535,0.2,0.530612,0.718,1
100,0.436364,0.414141,0.17,0.540816,0.7008,1
100,0.35697,0.393939,0.23,0.581633,0.5912,1
100,0.417778,0.40404,0.2,0.581633,0.5984,0.99
100,0.513737,0.383838,0.2,0.591837,0.6588,0.99
100,0.473333,0.40404,0.22,0.622449,0.626,0.99
100,0.534545,0.383838,0.25,0.561224,0.4704,0.98
100,0.564444,0.40404,0.23,0.571429,0.5816,1
100,0.768283,0.393939,0.24,0.561224,0.7384,1
100,0.216566,0.383838,0.22,0.673469,0.6576,1
100,0.36101,0.383838,0.16,0.581633,0.752,0.99
100,0.296566,0.40404,0.18,0.55102,0.7312,1
100,0.426667,0.373737,0.18,0.581633,0.7056,0.98
100,0.653939,0.40404,0.16,0.561224,0.7828,1
100,0.437778,0.383838,0.21,0.561224,0.5804,0.99
100,0.369495,0.383838,0.31,0.5,0.4832,1
100,0.503434,0.383838,0.19,0.571429,0.6708,0.99
100,0.810303,0.454545,0.22,0.632653,0.6316,1
100,0.404646,0.414141,0.21,0.510204,0.6808,0.98
100,0.445455,0.30303,0.2,0.530612,0.7344,0.98
100,0.387879,0.444444,0.18,0.653061,0.7312,0.99
100,0.651111,0.393939,0.21,0.591837,0.6476,1
100,0.456566,0.444444,0.2,0.540816,0.6988,0.99
100,0.305253,0.40404,0.2,0.632653,0.7252,0.97
100,0.351717,0.363636,0.28,0.591837,0.4988,1
100,0.382828,0.373737,0.17,0.591837,0.7364,0.99
100,0.774141,0.383838,0.22,0.591837,0.542,0.99
100,0.622222,0.373737,0.22,0.510204,0.6548,1
100,0.312525,0.414141,0.19,0.561224,0.7268,1
100,0.267677,0.373737,0.17,0.561224,0.7016,1
100,0.387677,0.393939,0.24,0.653061,0.5768,0.98
100,0.388485,0.434343,0.16,0.540816,0.732,1
100,0.506465,0.363636,0.21,0.540816,0.5892,1
100,0.301212,0.343434,0.22,0.55102,0.6824,1
100,0.681616,0.424242,0.16,0.561224,0.7648,1
100,0.622222,0.363636,0.23,0.571429,0.5312,1
100,0.59596,0.414141,0.24,0.673469,0.6412,1
100,0.565455,0.343434,0.24,0.581633,0.6588,1
100,0.800808,0.414141,0.21,0.55102,0.7116,0.99
100,0.652323,0.414141,0.21,0.602041,0.6988,1
100,0.794747,0.393939,0.19,0.642857,0.6352,1
100,0.588081,0.373737,0.18,0.581633,0.718,0.99
100,0.656768,0.414141,0.23,0.561224,0.6908,0.99
100,0.852323,0.40404,0.25,0.653061,0.6256,0.99
100,0.335152,0.363636,0.26,0.55102,0.5348,1
100,0.563636,0.383838,0.22,0.530612,0.6516,0.99
100,0.300606,0.383838,0.2,0.612245,0.7044,0.98
100,0.557374,0.414141,0.17,0.663265,0.7116,1
100,0.501212,0.424242,0.22,0.581633,0.594,1
100,0.320606,0.393939,0.19,0.602041,0.6768,1
100,0.383838,0.424242,0.17,0.55102,0.6272,1
100,0.58101,0.434343,0.16,0.561224,0.7428,1
100,0.53899,0.353535,0.18,0.510204,0.7428,1
100,0.886061,0.40404,0.17,0.642857,0.7012,1
100,0.70202,0.40404,0.18,0.581633,0.7208,0.99
100,0.34303,0.383838,0.21,0.571429,0.7224,0.99
100,0.618586,0.383838,0.24,0.571429,0.6168,0.99
100,0.428485,0.444444,0.16,0.561224,0.6972,1
100,0.312525,0.373737,0.2,0.591837,0.664,0.99
100,0.513535,0.333333,0.25,0.571429,0.5672,0.89
100,0.439596,0.434343,0.2,0.632653,0.6368,0.99
100,0.737778,0.40404,0.25,0.653061,0.6212,0.99
100,0.730303,0.414141,0.23,0.571429,0.724,0.97
100,0.451717,0.414141,0.16,0.632653,0.7988,1
100,0.600202,0.393939,0.22,0.540816,0.6548,0.99
100,0.723838,0.414141,0.27,0.653061,0.6112,0.97
100,0.504242,0.444444,0.17,0.591837,0.788,1
100,0.256768,0.363636,0.21,0.571429,0.6052,1
100,0.474949,0.40404,0.22,0.602041,0.6328,0.98
100,0.353939,0.353535,0.27,0.602041,0.524,0.97
100,0.371515,0.393939,0.14,0.663265,0.73,0.98
