n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.473333,0.464646,0.18,0.683673,0.6816,0.99
100,0.469495,0.444444,0.18,0.683673,0.6256,1
100,0.310101,0.525253,0.13,0.653061,0.6852,0.98
100,0.296162,0.494949,0.2,0.714286,0.5272,0.99
100,0.390505,0.464646,0.19,0.642857,0.6648,1
100,0.50202,0.494949,0.17,0.663265,0.688,0.99
100,0.46,0.474747,0.19,0.683673,0.6784,0.99
100,0.649899,0.515152,0.15,0.622449,0.7196,0.99
100,0.710101,0.474747,0.17,0.653061,0.698,1
100,0.280404,0.505051,0.17,0.642857,0.624,0.99
100,0.68303,0.505051,0.18,0.734694,0.668,0.99
100,0.607879,0.484848,0.16,0.632653,0.7408,1
100,0.591919,0.464646,0.17,0.642857,0.664,1
100,0.548889,0.474747,0.15,0.72449,0.6964,0.99
100,0.56404,0.525253,0.15,0.632653,0.7136,1
100,0.725455,0.464646,0.17,0.622449,0.6072,1
100,0.451919,0.484848,0.18,0.683673,0.6276,0.98
100,0.698586,0.484848,0.19,0.653061,0.57,0.99
100,0.830707,0.505051,0.16,0.602041,0.6716,0.98
100,0.337576,0.515152,0.18,0.612245,0.5988,0.99
100,0.338384,0.515152,0.18,0.765306,0.6572,0.97
100,0.488889,0.505051,0.17,0.642857,0.6688,0.99
100,0.585859,0.474747,0.16,0.622449,0.6216,0.99
100,0.289899,0.454545,0.18,0.602041,0.6448,0.99
100,0.533333,0.494949,0.18,0.622449,0.6388,0.97
100,0.378788,0.464646,0.18,0.642857,0.684,1
100,0.878586,0.434343,0.19,0.642857,0.612,0.99
100,0.466869,0.494949,0.18,0.714286,0.614,0.99
100,0.642626,0.494949,0.2,0.663265,0.586,0.98
100,0.382222,0.424242,0.19,0.663265,0.59,0.96
100,0.310101,0.474747,0.18,0.693878,0.6232,0.97
100,0.593333,0.444444,0.18,0.734694,0.65,1
100,0.427273,0.474747,0.2,0.622449,0.6396,0.99
100,0.298788,0.494949,0.17,0.653061,0.544,0.98
100,0.467071,0.484848,0.16,0.622449,0.6884,0.99
100,0.514747,0.474747,0.2,0.612245,0.7004,0.98
100,0.620202,0.464646,0.15,0.653061,0.7168,1
100,0.868081,0.434343,0.14,0.642857,0.6672,0.99
100,0.232121,0.515152,0.2,0.72449,0.6544,0.99
100,0.334545,0.515152,0.15,0.663265,0.7316,1
100,0.520606,0.484848,0.15,0.622449,0.6788,1
100,0.58303,0.484848,0.17,0.72449,0.68,0.99
100,0.268485,0.434343,0.19,0.612245,0.6348,1
100,0.286061,0.515152,0.16,0.653061,0.6548,0.99
