n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.52568,0.00120012,0.2065,0.00240048,0.624382,0.9995
10000,0.599829,0.00120012,0.1923,0.00240048,0.774956,0.9999
10000,0.71944,0.00120012,0.1794,0.00240048,0.690216,0.9999
10000,0.261381,0.00120012,0.1959,0.00240048,0.819526,1
10000,0.45985,0.00120012,0.2464,0.00240048,0.677903,0.9997
10000,0.489728,0.00120012,0.2132,0.00240048,0.760151,1
10000,0.303138,0.00120012,0.238,0.00240048,0.766493,0.9998
10000,0.308886,0.00120012,0.2369,0.00240048,0.710274,0.9999
10000,0.270056,0.00120012,0.248,0.00240048,0.516988,0.9978
10000,0.541317,0.00120012,0.1849,0.00240048,0.80021,0.9996
10000,0.363408,0.00120012,0.2203,0.00240048,0.658353,0.9997
10000,0.543512,0.00120012,0.199,0.00240048,0.742247,0.9997
10000,0.630936,0.00120012,0.2048,0.00240048,0.70131,0.9999
10000,0.522403,0.00120012,0.216,0.00240048,0.709691,0.9999
10000,0.524013,0.00120012,0.2343,0.00240048,0.667733,0.9996
10000,0.717204,0.00120012,0.2214,0.00240048,0.693243,0.9998
10000,0.657772,0.00120012,0.2486,0.00240048,0.633616,0.9997
10000,0.438715,0.00120012,0.1783,0.00240048,0.740024,0.9998
10000,0.743318,0.00120012,0.2425,0.00240048,0.775653,1
10000,0.550506,0.00120012,0.2014,0.00240048,0.739243,0.9998
10000,0.555346,0.00120012,0.209,0.00240048,0.626589,0.9999
10000,0.329395,0.00120012,0.2287,0.00240048,0.561093,0.9538
10000,0.556237,0.00120012,0.2088,0.00240048,0.616525,0.9998
10000,0.529032,0.00120012,0.2642,0.00240048,0.784474,0.9997
10000,0.359165,0.00120012,0.217,0.00240048,0.641452,1
10000,0.621894,0.00120012,0.2286,0.00240048,0.687951,0.9996
10000,0.577156,0.00120012,0.2116,0.00240048,0.662841,0.9998
10000,0.451446,0.00120012,0.2248,0.00240048,0.804699,1
10000,0.738749,0.00120012,0.1808,0.00240048,0.712874,1
10000,0.29341,0.00120012,0.2459,0.00240048,0.442586,0.9996
10000,0.244943,0.00120012,0.2634,0.00240048,0.583024,0.9997
10000,0.498011,0.00120012,0.2487,0.00240048,0.501923,0.9996
10000,0.260714,0.00120012,0.2411,0.00240048,0.618001,0.9803
10000,0.452303,0.00120012,0.2235,0.00240048,0.656509,0.9995
10000,0.336503,0.00120012,0.235,0.00240048,0.696929,0.9996
10000,0.631924,0.00120012,0.2261,0.00240048,0.624472,0.9999
10000,0.31823,0.00120012,0.2222,0.00240048,0.677465,0.9996
10000,0.328397,0.00120012,0.2744,0.00240048,0.625305,0.9997
10000,0.53531,0.00120012,0.1998,0.00240048,0.626619,0.9962
10000,0.451667,0.00120012,0.2879,0.00240048,0.494773,0.9883
10000,0.440086,0.00120012,0.2314,0.00240048,0.704311,0.9998
10000,0.632003,0.00120012,0.2677,0.00240048,0.6802,0.9998
10000,0.229309,0.00120012,0.2871,0.00240048,0.621054,0.9955
10000,0.633707,0.00120012,0.2258,0.00240048,0.501871,0.9999
10000,0.643021,0.00120012,0.208,0.00240048,0.720972,0.9998
10000,0.301796,0.00120012,0.2199,0.00240048,0.611047,0.9998
10000,0.398923,0.00120012,0.2421,0.00240048,0.677222,0.9998
10000,0.683928,0.00120012,0.2005,0.00240048,0.644442,0.9993
10000,0.380919,0.00120012,0.2237,0.00240048,0.776805,0.9998
