n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.804444,0.030303,0.52,0.0612245,0.7968,1
100,0.698384,0.040404,0.36,0.0816327,0.8832,1
100,0.786869,0.030303,0.52,0.0612245,0.8784,1
100,0.687475,0.030303,0.4,0.0612245,0.842,1
100,0.421414,0.030303,0.48,0.0612245,0.8544,1
100,0.349091,0.040404,0.48,0.0612245,0.6392,1
100,0.214747,0.030303,0.48,0.0612245,0.9408,1
100,0.565657,0.0505051,0.48,0.102041,0.6576,0.88
100,0.257172,0.0505051,0.49,0.102041,0.4836,0.87
100,0.693737,0.030303,0.4,0.0612245,0.936,0.99
100,0.589293,0.040404,0.49,0.0816327,0.6632,1
100,0.659394,0.030303,0.6,0.0612245,0.7296,1
100,0.339798,0.040404,0.55,0.0816327,0.586,1
100,0.287475,0.020202,0.52,0.0408163,0.8064,0.96
100,0.485859,0.040404,0.48,0.0816327,0.576,0.76
100,0.26101,0.040404,0.49,0.0816327,0.4512,0.99
100,0.267879,0.0505051,0.46,0.102041,0.688,1
100,0.628889,0.040404,0.49,0.0816327,0.9804,1
100,0.314747,0.040404,0.38,0.0816327,0.8352,0.98
100,0.199192,0.040404,0.6,0.0714286,0.6828,1
100,0.589293,0.030303,0.4,0.0612245,0.8928,1
100,0.269293,0.030303,0.56,0.0612245,0.5516,1
100,0.412525,0.040404,0.49,0.0816327,0.6668,0.87
100,0.414343,0.030303,0.5,0.0612245,0.6768,0.99
100,0.194141,0.040404,0.49,0.0816327,0.598,0.99
100,0.188081,0.030303,0.49,0.0612245,0.6864,1
100,0.305051,0.0505051,0.62,0.0918367,0.4184,0.69
100,0.550303,0.0505051,0.51,0.102041,0.5776,1
100,0.35798,0.0505051,0.37,0.102041,0.6672,1
100,0.178182,0.030303,0.73,0.0612245,0.254,0.86
100,0.349293,0.0505051,0.43,0.102041,0.626,1
100,0.34404,0.040404,0.51,0.0816327,0.5968,1
100,0.531111,0.040404,0.39,0.0816327,0.7792,1
100,0.222626,0.030303,0.6,0.0612245,0.4708,0.88
100,0.611515,0.040404,0.48,0.0816327,0.5952,1
100,0.740606,0.030303,0.5,0.0612245,0.7392,1
100,0.411717,0.040404,0.48,0.0816327,0.624,1
100,0.695758,0.040404,0.62,0.0816327,0.4944,1
100,0.209697,0.030303,0.48,0.0612245,0.9216,1
100,0.226869,0.020202,0.4,0.0408163,0.864,0.96
100,0.33596,0.030303,0.61,0.0612245,0.4764,0.87
100,0.113535,0.030303,0.63,0.0612245,0.2592,0.86
100,0.657778,0.030303,0.75,0.0612245,0.4032,0.47
100,0.428687,0.040404,0.51,0.0816327,0.5856,0.97
100,0.566263,0.040404,0.49,0.0714286,0.9216,1
100,0.24404,0.040404,0.37,0.0816327,0.7616,0.95
100,0.441616,0.030303,0.64,0.0612245,0.5376,0.88
100,0.244242,0.030303,0.6,0.0612245,0.5808,1
100,0.300606,0.040404,0.5,0.0816327,0.5616,0.99
100,0.394747,0.040404,0.49,0.0816327,0.4512,0.65
100,0.588687,0.0505051,0.38,0.102041,0.6816,1
100,0.0468687,0.030303,0.77,0.0612245,0.1204,0.61
100,0.236162,0.020202,0.76,0.0408163,0.2304,0.48
100,0.678788,0.040404,0.63,0.0816327,0.6,0.99
100,0.565455,0.040404,0.48,0.0816327,0.9216,1
100,0.533131,0.040404,0.51,0.0816327,0.594,1
100,0.594343,0.030303,0.52,0.0612245,0.7104,1
100,0.807475,0.040404,0.52,0.0816327,0.528,0.62
100,0.300808,0.030303,0.51,0.0612245,0.5904,0.87
100,0.234343,0.040404,0.51,0.0816327,0.6004,1
100,0.248687,0.030303,0.61,0.0612245,0.4224,1
100,0.208687,0.030303,0.6,0.0612245,0.446,0.76
100,0.14303,0.030303,0.61,0.0612245,0.4896,0.99
100,0.558788,0.0505051,0.38,0.0816327,0.9984,1
100,0.624242,0.030303,0.61,0.0612245,0.6144,0.76
100,0.825657,0.040404,0.37,0.0816327,0.8956,1
100,0.692323,0.030303,0.48,0.0612245,0.7392,1
100,0.555556,0.0505051,0.49,0.102041,0.98,1
100,0.697172,0.030303,0.61,0.0612245,0.5104,1
100,0.145657,0.030303,0.6,0.0612245,0.4512,0.88
100,0.335556,0.030303,0.51,0.0612245,0.7056,0.98
100,0.601212,0.030303,0.52,0.0612245,0.696,0.98
100,0.399192,0.040404,0.61,0.0714286,0.4924,1
100,0.137172,0.030303,0.63,0.0612245,0.4476,0.76
100,0.391919,0.030303,0.63,0.0612245,0.6924,0.88
100,0.586465,0.040404,0.4,0.0816327,0.744,0.88
100,0.604848,0.030303,0.52,0.0612245,0.648,0.76
100,0.140404,0.030303,0.6,0.0612245,0.4992,0.88
100,0.353737,0.040404,0.6,0.0816327,0.4656,0.88
100,0.666263,0.040404,0.54,0.0714286,0.702,0.93
100,0.579394,0.030303,0.51,0.0612245,0.7776,0.98
100,0.232525,0.040404,0.43,0.0816327,0.6876,1
100,0.725253,0.0505051,0.36,0.102041,0.9216,1
100,0.458788,0.0505051,0.48,0.0918367,0.7296,1
100,0.67697,0.030303,0.49,0.0510204,0.9364,1
100,0.517374,0.020202,0.4,0.0408163,0.8064,0.84
100,0.21697,0.020202,0.72,0.0408163,0.4752,1
100,0.111717,0.030303,0.72,0.0612245,0.2804,0.88
