n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.643232,0.020202,0.6,0.0408163,0.64,0.8
100,0.836566,0.030303,0.6,0.0612245,0.8,1
100,0.843434,0.040404,0.2,0.0816327,0.96,0.8
100,0.633737,0.010101,0.8,0.0204082,0.64,1
100,0.555152,0.020202,0.4,0.0408163,0.96,1
100,0.393535,0.020202,0.4,0.0408163,0.8,0.8
100,0.270303,0.020202,0.6,0.0408163,0.64,0.8
100,0.390505,0.020202,0.6,0.0408163,0.64,0.8
100,0.159596,0.010101,0.8,0.0204082,0.32,0.6
100,0.353131,0.020202,0.6,0.0408163,0.48,0.6
100,0.0406061,0.010101,0.8,0.0204082,0.48,0.8
100,0.683838,0.030303,0.4,0.0612245,0.64,0.6
100,0.143838,0.020202,0.65,0.0408163,0.59,1
100,0.0406061,0.010101,0.8,0.0204082,0.16,0.4
100,0.152323,0.010101,0.8,0.0204082,0.2912,0.59
100,0.135354,0.010101,0.66,0.0204082,0.8976,1
100,0.644848,0.010101,0.91,0.0204082,0.2876,1
100,0.683838,0.030303,0.4,0.0612245,0.96,1
100,0.159596,0.010101,0.6,0.0204082,0.64,1
100,0.714747,0.030303,0.4,0.0612245,0.96,0.8
100,0.490303,0.020202,0.6,0.0408163,0.48,0.4
100,0.393535,0.020202,0.4,0.0408163,0.8,0.8
100,0.441212,0.020202,0.69,0.0408163,0.48,0.74
100,0.713333,0.030303,0.48,0.0612245,0.7104,1
100,0.070101,0.010101,0.8,0.0204082,0.16,0.4
100,0.245051,0.030303,0.67,0.0612245,0.4056,1
100,0.673535,0.030303,0.56,0.0612245,0.7296,1
100,0.674141,0.020202,0.4,0.0408163,0.96,0.8
100,0.683838,0.030303,0.4,0.0612245,0.8,0.8
100,0.187879,0.030303,0.51,0.0612245,0.48,1
100,0.200202,0.020202,0.6,0.0408163,0.8,1
100,0.371111,0.020202,0.6,0.0408163,0.64,0.8
100,0.239192,0.020202,0.6,0.0408163,0.32,0.4
100,0.237778,0.020202,0.6,0.0408163,0.48,1
100,0.465051,0.020202,0.65,0.0408163,0.63,1
100,0.0406061,0.010101,0.8,0.0204082,0.16,0.4
100,0.0406061,0.010101,0.8,0.0204082,0.4056,0.8
100,0.312525,0.010101,0.8,0.0204082,0.48,0.8
100,0.270303,0.020202,0.6,0.0408163,0.48,1
100,0.0406061,0.010101,0.8,0.0204082,0.48,0.8
100,0.278586,0.030303,0.45,0.0612245,0.92,1
100,0.352929,0.010101,0.6,0.0204082,0.64,1
100,0.191313,0.010101,0.8,0.0204082,0.32,0.6
100,0.316364,0.020202,0.91,0.0408163,0.172,0.78
100,0.147475,0.020202,0.6,0.0408163,0.64,0.95
100,0.237778,0.020202,0.6,0.0408163,0.68,1
100,0.0426263,0.020202,0.77,0.0408163,0.64,1
100,0.448687,0.020202,0.47,0.0408163,0.7416,0.93
100,0.278384,0.030303,0.4,0.0612245,0.8,0.8
100,0.213939,0.020202,0.55,0.0408163,0.63,1
100,0.279798,0.030303,0.4,0.0612245,0.64,0.8
100,0.0585859,0.010101,0.8,0.0204082,0.16,0.4
100,0.172323,0.010101,0.67,0.0204082,0.3368,0.75
100,0.159596,0.010101,0.6,0.0204082,0.8,1
100,0.110505,0.010101,0.8,0.0204082,0.32,0.6
100,0.0872727,0.020202,0.71,0.0408163,0.3436,1
100,0.0781818,0.010101,0.8,0.0204082,0.16,0.4
100,0.0406061,0.010101,0.8,0.0204082,0.64,1
100,0.200202,0.020202,0.6,0.0408163,0.5392,0.8
100,0.110505,0.010101,0.8,0.0204082,0.32,0.6
100,0.683838,0.030303,0.4,0.0612245,0.64,0.6
100,0.643232,0.020202,0.6,0.0408163,0.64,0.8
100,0.352929,0.010101,0.6,0.0204082,0.64,1
100,0.555152,0.040404,0.4,0.0816327,0.96,1
100,0,0,1,0,0,0
100,0.278384,0.030303,0.4,0.0612245,0.64,0.7
100,0.0854545,0.020202,0.7,0.0408163,0.678,1
100,0.136768,0.020202,0.6,0.0408163,0.32,0.8
100,0.136768,0.020202,0.6,0.0408163,0.32,0.8
100,0.239192,0.020202,0.6,0.0408163,0.32,0.4
100,0.353131,0.020202,0.6,0.0408163,0.48,0.6
100,0.683838,0.030303,0.4,0.0612245,0.96,1
100,0,0,1,0,0,0
100,0.136768,0.020202,0.6,0.0408163,0.32,0.8
100,0.0585859,0.010101,0.8,0.0204082,0.32,0.6
100,0.499798,0.030303,0.4,0.0612245,0.64,0.8
100,0.692323,0.020202,0.6,0.0408163,0.64,0.6
100,0.110505,0.010101,0.8,0.0204082,0.32,0.6
100,0.136768,0.020202,0.6,0.0408163,0.32,0.8
100,0.159596,0.010101,0.6,0.0204082,0.64,0.8
100,0.110707,0.020202,0.6,0.0408163,0.4864,0.85
100,0.200202,0.020202,0.6,0.0408163,0.8156,1
100,0.159596,0.010101,0.6,0.0204082,0.8,1
100,0.802828,0.030303,0.4,0.0612245,0.96,0.8
100,0.683838,0.030303,0.4,0.0612245,0.96,1
100,0.229697,0.010101,0.8,0.0204082,0.32,0.6
100,0.151111,0.020202,0.6,0.0408163,0.6532,1
100,0.191313,0.010101,0.8,0.0204082,0.32,0.6
100,0.0585859,0.010101,0.8,0.0204082,0.3072,0.6
100,0.110707,0.020202,0.6,0.0408163,0.48,0.8
100,0.751111,0.020202,0.48,0.0408163,0.7232,0.8
100,0.159596,0.010101,0.6,0.0204082,0.64,0.8
100,0.312525,0.010101,0.8,0.0204082,0.48,0.8
100,0.312525,0.010101,0.6,0.0204082,0.64,0.8
100,0.204848,0.030303,0.47,0.0612245,0.7548,1
100,0.352929,0.010101,0.6,0.0204082,0.64,1
100,0.357778,0.020202,0.6,0.0408163,0.64,0.8
100,0,0,1,0,0,0
100,0.231515,0.020202,0.65,0.0408163,0.32,0.54
100,0.278384,0.030303,0.4,0.0612245,0.8,0.8
100,0.0420202,0.010101,0.82,0.0204082,0.1664,0.58
100,0.674343,0.020202,0.6,0.0408163,0.64,0.4
100,0.683838,0.030303,0.4,0.0612245,0.96,1
100,0,0,1,0,0,0
100,0.237778,0.020202,0.4,0.0408163,0.96,1
100,0.0589899,0.020202,0.68,0.0408163,0.32,0.6
100,0.159596,0.010101,0.6,0.0204082,0.96,1
100,0.159596,0.010101,0.6,0.0204082,0.4748,0.8
100,0.471717,0.020202,0.62,0.0408163,0.6384,1
100,0.353131,0.020202,0.6,0.0408163,0.48,0.6
100,0.200202,0.020202,0.6,0.0408163,0.64,0.8
100,0.658384,0.020202,0.66,0.0408163,0.64,1
100,0.492323,0.020202,0.4,0.0408163,0.8,1
100,0.0406061,0.010101,0.8,0.0204082,0.16,0.4
100,0.353131,0.020202,0.6,0.0408163,0.48,0.4
100,0.643232,0.020202,0.6,0.0408163,0.64,0.8
100,0.200202,0.020202,0.6,0.0408163,0.64,0.8
100,0.231717,0.010101,0.6,0.0204082,0.48,0.8
100,0.118788,0.020202,0.6,0.0408163,0.32,0.8
100,0.472121,0.020202,0.6,0.0408163,0.64,0.8
100,0.698384,0.030303,0.4,0.0612245,0.9176,1
100,0.643232,0.020202,0.6,0.0408163,0.8,1
100,0.0406061,0.010101,0.8,0.0204082,0.64,1
100,0.159596,0.010101,0.6,0.0204082,0.96,1
100,0.0585859,0.010101,0.8,0.0204082,0.32,0.6
100,0.159596,0.010101,0.6,0.0204082,0.8,1
100,0.191313,0.010101,0.8,0.0204082,0.32,0.6
100,0.159596,0.010101,0.6,0.0204082,0.64,0.8
100,0.270303,0.020202,0.6,0.0408163,0.64,0.8
100,0.833939,0.030303,0.4,0.0612245,0.8,0.8
100,0,0,1,0,0,0
100,0.387071,0.020202,0.74,0.0408163,0.48,0.8
100,0.200202,0.020202,0.6,0.0408163,0.5728,0.72
100,0.136768,0.020202,0.6,0.0408163,0.302,0.8
100,0.643232,0.020202,0.6,0.0408163,0.96,1
100,0.159596,0.010101,0.6,0.0204082,0.64,0.8
100,0.110707,0.020202,0.6,0.0408163,0.48,0.8
100,0.110707,0.020202,0.6,0.0408163,0.2924,0.8
100,0.643232,0.020202,0.6,0.0408163,0.96,1
100,0.0864646,0.010101,0.8,0.0204082,0.3084,1
100,0.110707,0.020202,0.6,0.0408163,0.48,0.6
100,0.683838,0.030303,0.4,0.0612245,0.9588,1
100,0.270303,0.020202,0.6,0.0408163,0.64,0.6
100,0.702626,0.030303,0.46,0.0612245,0.734,0.74
100,0.0585859,0.010101,0.8,0.0204082,0.48,0.8
100,0.279798,0.030303,0.4,0.0612245,0.8,1
100,0.213939,0.020202,0.68,0.0408163,0.32,0.6
100,0.0406061,0.010101,0.8,0.0204082,0.16,0.4
100,0.159596,0.010101,0.6,0.0204082,0.8,1
100,0.701818,0.030303,0.4,0.0612245,0.96,1
100,0.200202,0.020202,0.6,0.0408163,0.8732,1
100,0.237778,0.020202,0.6,0.0408163,0.64,1
100,0.0434343,0.010101,0.9,0.0204082,0.0644,0.3
100,0.0406061,0.010101,0.8,0.0204082,0.64,1
100,0.260202,0.020202,0.4,0.0408163,0.8,0.91
100,0.110707,0.020202,0.6,0.0408163,0.48,0.6
100,0.270303,0.020202,0.6,0.0408163,0.64,0.6
100,0.674343,0.020202,0.6,0.0408163,0.64,0.6
100,0.200202,0.020202,0.6,0.0408163,0.64,0.8
100,0.683838,0.030303,0.4,0.0612245,0.64,0.6
100,0.110707,0.020202,0.6,0.0408163,0.64,0.8
100,0.279798,0.030303,0.4,0.0612245,0.48,0.8
100,0.070101,0.010101,0.8,0.0204082,0.16,0.4
100,0.237778,0.020202,0.6,0.0408163,0.48,1
100,0.514545,0.010101,0.6,0.0204082,0.96,1
100,0.555152,0.020202,0.4,0.0408163,0.96,1
100,0.159596,0.010101,0.6,0.0204082,0.96,1
100,0.151111,0.020202,0.6,0.0408163,0.8,1
100,0.070101,0.010101,0.8,0.0204082,0.16,0.4
100,0.573131,0.020202,0.4,0.0408163,0.96,1
100,0.150909,0.020202,0.6,0.0408163,0.7996,1
100,0.441212,0.020202,0.6,0.0408163,0.48,0.6
100,0.416162,0.020202,0.4,0.0408163,0.8448,0.87
100,0.793333,0.020202,0.4,0.0408163,0.96,1
100,0.151111,0.020202,0.6,0.0408163,0.64,1
100,0.0266667,0.010101,0.94,0.0204082,0.0232,0.24
100,0.674343,0.020202,0.6,0.0408163,0.64,0.4
100,0.0406061,0.010101,0.8,0.0204082,0.64,1
100,0.200202,0.020202,0.6,0.0408163,0.32,0.4
100,0.200202,0.020202,0.6,0.0408163,0.64,0.8
100,0.0775758,0.020202,0.64,0.0408163,0.32,0.51
100,0.200202,0.020202,0.6,0.0408163,0.8,1
100,0.194545,0.020202,0.6,0.0408163,0.32,0.51
100,0.200202,0.020202,0.6,0.0408163,0.64,0.8
100,0.151111,0.020202,0.6,0.0408163,0.8,1
100,0.491111,0.010101,0.6,0.0204082,0.9136,1
100,0.15798,0.030303,0.55,0.0612245,0.51,1
100,0.361212,0.020202,0.6,0.0408163,0.4604,0.6
