n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.588485,0.0505051,0.4,0.102041,0.6904,0.9
100,0.865253,0.0606061,0.31,0.122449,0.848,1
100,0.303636,0.0606061,0.37,0.122449,0.7344,1
100,0.529899,0.0505051,0.37,0.102041,0.804,1
100,0.240606,0.0606061,0.42,0.122449,0.5208,1
100,0.273131,0.0505051,0.48,0.102041,0.4412,0.99
100,0.299798,0.040404,0.43,0.0816327,0.858,1
100,0.499394,0.0505051,0.47,0.102041,0.756,1
100,0.275556,0.0606061,0.51,0.112245,0.4156,1
100,0.742626,0.0606061,0.36,0.122449,0.7488,1
100,0.64303,0.0505051,0.44,0.102041,0.6996,0.97
100,0.452727,0.0606061,0.42,0.122449,0.6864,1
100,0.734141,0.0606061,0.28,0.122449,0.7656,0.99
100,0.398788,0.0505051,0.41,0.102041,0.7152,0.98
100,0.447677,0.0505051,0.55,0.102041,0.4104,0.77
100,0.742424,0.0707071,0.36,0.142857,0.6168,1
100,0.391313,0.0606061,0.4,0.122449,0.5908,1
100,0.492121,0.0606061,0.39,0.112245,0.6676,0.88
100,0.761818,0.0505051,0.28,0.102041,0.924,1
100,0.402828,0.0606061,0.32,0.122449,0.772,1
100,0.427273,0.0505051,0.43,0.102041,0.8664,0.99
100,0.382828,0.0707071,0.4,0.142857,0.6304,0.99
100,0.659394,0.0505051,0.46,0.102041,0.5616,0.84
100,0.605051,0.0707071,0.42,0.142857,0.72,1
100,0.526061,0.0707071,0.42,0.142857,0.6312,1
100,0.267879,0.040404,0.48,0.0816327,0.4896,0.94
100,0.745657,0.040404,0.43,0.0816327,0.7416,1
100,0.596566,0.0606061,0.36,0.122449,0.792,1
100,0.643232,0.0707071,0.31,0.142857,0.7704,1
100,0.359798,0.0606061,0.48,0.122449,0.4752,0.94
100,0.329899,0.0606061,0.37,0.122449,0.6552,0.88
100,0.708687,0.0505051,0.52,0.102041,0.5224,0.86
100,0.209899,0.0505051,0.44,0.102041,0.6532,0.94
100,0.427273,0.0505051,0.43,0.102041,0.708,0.94
100,0.390505,0.0505051,0.42,0.102041,0.7152,1
100,0.369293,0.040404,0.54,0.0816327,0.5664,0.99
100,0.506061,0.0707071,0.3,0.142857,0.878,0.94
100,0.375758,0.0707071,0.36,0.132653,0.5688,0.94
100,0.319596,0.0505051,0.48,0.0918367,0.6936,1
100,0.604848,0.030303,0.46,0.0612245,0.5376,0.88
100,0.351717,0.0606061,0.31,0.122449,0.708,0.88
100,0.713535,0.0606061,0.4,0.122449,0.6408,0.99
100,0.518384,0.0505051,0.4,0.102041,0.72,0.96
100,0.204242,0.0707071,0.42,0.142857,0.4416,0.88
100,0.578182,0.0707071,0.36,0.142857,0.872,1
100,0.262424,0.0808081,0.42,0.163265,0.5004,1
100,0.849495,0.0505051,0.4,0.102041,0.9408,1
100,0.407273,0.0707071,0.48,0.142857,0.6072,1
100,0.235758,0.040404,0.42,0.0816327,0.6144,0.94
100,0.7,0.0606061,0.4,0.122449,0.7272,0.99
100,0.671313,0.0707071,0.38,0.142857,0.9552,1
100,0.134949,0.030303,0.6,0.0612245,0.5112,0.88
100,0.574949,0.0606061,0.52,0.122449,0.5072,0.97
100,0.669091,0.0505051,0.34,0.102041,0.7872,0.99
100,0.371313,0.0606061,0.36,0.122449,0.6956,1
100,0.305859,0.0606061,0.39,0.122449,0.4844,1
100,0.320808,0.040404,0.48,0.0816327,0.7836,1
100,0.692929,0.0707071,0.48,0.142857,0.52,1
100,0.443636,0.040404,0.54,0.0816327,0.7008,1
100,0.385657,0.0606061,0.5,0.122449,0.5032,0.99
100,0.753131,0.0606061,0.34,0.122449,0.69,0.94
100,0.661414,0.0606061,0.4,0.122449,0.8688,1
100,0.395556,0.0707071,0.46,0.142857,0.542,0.88
100,0.455556,0.0505051,0.42,0.102041,0.7256,1
100,0.374141,0.0606061,0.42,0.112245,0.662,1
100,0.702626,0.0606061,0.36,0.122449,0.9096,1
100,0.651515,0.0505051,0.42,0.102041,0.7984,1
100,0.526061,0.040404,0.49,0.0816327,0.5916,0.99
100,0.155354,0.0707071,0.43,0.142857,0.5736,0.93
100,0.130505,0.0505051,0.66,0.102041,0.3168,0.94
100,0.0787879,0.040404,0.62,0.0816327,0.2908,0.84
100,0.398586,0.040404,0.42,0.0816327,0.716,1
100,0.309697,0.0505051,0.48,0.102041,0.6456,1
100,0.308283,0.0707071,0.46,0.142857,0.5256,0.93
100,0.214949,0.0505051,0.45,0.102041,0.4872,1
100,0.323838,0.0505051,0.4,0.102041,0.5568,1
100,0.717778,0.0505051,0.49,0.102041,0.606,1
100,0.760202,0.0505051,0.5,0.102041,0.722,1
100,0.470101,0.0505051,0.67,0.0816327,0.4152,0.88
100,0.179596,0.040404,0.61,0.0816327,0.4464,0.93
100,0.198586,0.030303,0.76,0.0612245,0.1796,0.6
100,0.492929,0.0606061,0.41,0.122449,0.5476,1
100,0.819192,0.0707071,0.37,0.142857,0.96,1
100,0.439596,0.0808081,0.3,0.163265,0.7776,1
100,0.5,0.0505051,0.34,0.102041,0.7908,1
100,0.200202,0.030303,0.52,0.0612245,0.506,0.78
100,0.372727,0.0505051,0.39,0.102041,0.7764,1
100,0.245051,0.0606061,0.48,0.122449,0.716,1
100,0.259192,0.040404,0.5,0.0816327,0.688,0.98
100,0.328283,0.0606061,0.42,0.122449,0.912,1
100,0.146263,0.0505051,0.51,0.102041,0.6796,0.99
100,0.247071,0.040404,0.62,0.0816327,0.3768,0.88
100,0.229697,0.0505051,0.43,0.102041,0.7584,1
100,0.345455,0.0606061,0.3,0.122449,0.8448,1
100,0.346263,0.0505051,0.42,0.102041,0.696,1
100,0.663232,0.040404,0.42,0.0816327,0.5948,1
100,0.764444,0.0808081,0.4,0.163265,0.5576,0.94
100,0.271515,0.0707071,0.36,0.142857,0.7088,0.99
100,0.377778,0.0606061,0.36,0.122449,0.6984,1
100,0.515758,0.0606061,0.34,0.122449,0.6768,0.96
100,0.29596,0.0505051,0.42,0.102041,0.5016,0.94
100,0.222828,0.0606061,0.37,0.122449,0.6184,1
100,0.77697,0.0808081,0.46,0.163265,0.7916,1
100,0.153333,0.0505051,0.68,0.102041,0.336,1
100,0.515556,0.0606061,0.36,0.122449,0.7104,1
100,0.349899,0.0505051,0.44,0.102041,0.5304,1
100,0.376768,0.0707071,0.48,0.132653,0.6696,1
100,0.563838,0.0606061,0.36,0.122449,0.744,1
100,0.232525,0.040404,0.4,0.0816327,0.6728,0.96
100,0.145657,0.040404,0.5,0.0816327,0.5536,1
100,0.180202,0.0505051,0.5,0.102041,0.5072,0.86
100,0.391313,0.0505051,0.4,0.102041,0.5884,0.94
100,0.601212,0.0606061,0.43,0.122449,0.7728,1
100,0.73596,0.0505051,0.46,0.102041,0.788,1
100,0.290101,0.0505051,0.34,0.102041,0.742,0.92
100,0.479394,0.0707071,0.35,0.142857,0.7284,0.94
100,0.84202,0.0505051,0.39,0.102041,0.7744,1
100,0.358788,0.0505051,0.48,0.102041,0.5256,0.94
100,0.442424,0.0505051,0.6,0.102041,0.4176,0.82
100,0.246061,0.0505051,0.48,0.102041,0.5664,0.94
100,0.388889,0.0606061,0.31,0.122449,0.6936,0.99
100,0.705455,0.0606061,0.34,0.122449,0.7632,0.94
100,0.237778,0.0606061,0.44,0.122449,0.548,0.93
100,0.427879,0.040404,0.42,0.0816327,0.8964,1
100,0.36202,0.0707071,0.38,0.142857,0.6212,1
100,0.243232,0.040404,0.37,0.0816327,0.6004,0.93
100,0.336162,0.0606061,0.47,0.122449,0.5796,1
100,0.292727,0.0505051,0.42,0.102041,0.6504,1
100,0.289293,0.0505051,0.42,0.102041,0.6288,1
100,0.463434,0.0505051,0.5,0.102041,0.4776,0.74
100,0.198384,0.040404,0.48,0.0816327,0.696,1
100,0.644444,0.0707071,0.54,0.122449,0.474,1
100,0.647273,0.0505051,0.52,0.102041,0.5472,0.96
100,0.680606,0.0606061,0.5,0.122449,0.6468,0.93
100,0.448687,0.0606061,0.49,0.122449,0.57,1
100,0.191919,0.040404,0.48,0.0816327,0.5896,0.94
100,0.318384,0.0606061,0.4,0.122449,0.7152,0.94
100,0.442828,0.0606061,0.42,0.122449,0.768,0.94
100,0.534343,0.0505051,0.49,0.102041,0.6456,0.99
100,0.292323,0.0606061,0.44,0.122449,0.5128,1
100,0.2,0.0606061,0.42,0.122449,0.72,1
100,0.282424,0.0606061,0.48,0.122449,0.504,1
100,0.410909,0.0505051,0.42,0.102041,0.7632,1
100,0.778182,0.0707071,0.39,0.142857,0.684,1
100,0.37596,0.0505051,0.55,0.102041,0.5272,0.99
100,0.448081,0.0505051,0.43,0.102041,0.636,0.99
100,0.514949,0.0606061,0.28,0.122449,0.8448,0.94
100,0.788283,0.0505051,0.52,0.102041,0.528,1
100,0.544242,0.0606061,0.39,0.122449,0.96,1
100,0.266263,0.0606061,0.42,0.122449,0.6508,1
100,0.193131,0.0505051,0.54,0.102041,0.4824,1
100,0.667677,0.040404,0.4,0.0816327,0.9264,1
100,0.378182,0.0707071,0.36,0.142857,0.5252,1
100,0.322626,0.0505051,0.43,0.102041,0.8712,0.99
100,0.694545,0.0808081,0.34,0.163265,0.6868,1
100,0.297172,0.0606061,0.48,0.122449,0.5708,1
100,0.137576,0.0707071,0.44,0.142857,0.612,0.94
100,0.191111,0.0606061,0.44,0.122449,0.6096,0.94
100,0.152525,0.0606061,0.44,0.122449,0.5764,0.99
100,0.375152,0.0505051,0.4,0.102041,0.6748,0.93
100,0.621212,0.0606061,0.3,0.122449,0.8328,1
100,0.427273,0.0505051,0.37,0.102041,0.6816,0.99
100,0.418384,0.0606061,0.46,0.122449,0.6768,0.96
100,0.461818,0.0606061,0.4,0.122449,0.7652,0.94
100,0.288687,0.0606061,0.4,0.122449,0.6948,0.98
100,0.685859,0.0606061,0.37,0.122449,0.696,1
100,0.59798,0.0606061,0.34,0.122449,0.6672,0.94
100,0.387273,0.0505051,0.36,0.102041,0.7392,1
100,0.0872727,0.0505051,0.62,0.102041,0.3032,0.87
100,0.457576,0.0808081,0.48,0.132653,0.4632,1
100,0.533333,0.0505051,0.44,0.102041,0.8952,0.93
100,0.478384,0.0606061,0.36,0.122449,0.7008,0.94
100,0.627273,0.040404,0.46,0.0816327,0.6512,0.86
100,0.300202,0.040404,0.54,0.0816327,0.4796,1
100,0.505455,0.030303,0.42,0.0612245,0.9,1
100,0.262222,0.040404,0.58,0.0816327,0.36,0.78
100,0.343232,0.040404,0.46,0.0816327,0.73,1
100,0.523232,0.0505051,0.43,0.102041,0.6744,0.94
100,0.370303,0.0606061,0.36,0.122449,0.604,1
100,0.726465,0.0606061,0.46,0.122449,0.5104,0.82
100,0.240404,0.0505051,0.42,0.102041,0.6268,1
100,0.76404,0.0606061,0.34,0.122449,0.8124,0.93
100,0.411313,0.0606061,0.37,0.122449,0.6432,0.99
100,0.199596,0.0505051,0.41,0.102041,0.558,0.95
100,0.423232,0.0606061,0.43,0.122449,0.6476,1
100,0.477374,0.0707071,0.36,0.142857,0.7488,1
100,0.303434,0.0505051,0.42,0.102041,0.7776,1
100,0.629899,0.0505051,0.26,0.102041,0.8972,1
100,0.389091,0.040404,0.4,0.0816327,0.7328,0.94
100,0.266869,0.0505051,0.48,0.102041,0.5228,0.82
100,0.267879,0.0505051,0.43,0.102041,0.4464,0.97
100,0.586667,0.0606061,0.48,0.122449,0.4536,1
100,0.291111,0.0606061,0.49,0.122449,0.5648,0.94
100,0.27596,0.0606061,0.48,0.122449,0.55,0.88
100,0.161212,0.040404,0.52,0.0816327,0.4052,0.9
100,0.438384,0.0505051,0.43,0.102041,0.7184,1
100,0.534343,0.0606061,0.42,0.122449,0.6724,1
100,0.170505,0.020202,0.58,0.0408163,0.5352,0.86
100,0.39798,0.0606061,0.36,0.122449,0.6312,0.94
100,0.526465,0.0606061,0.54,0.122449,0.6216,1
100,0.168485,0.0707071,0.42,0.122449,0.3396,1
100,0.345455,0.0505051,0.46,0.102041,0.6296,1
100,0.363434,0.040404,0.36,0.0816327,0.6696,0.97
100,0.409091,0.0505051,0.4,0.102041,0.744,1
100,0.554343,0.030303,0.46,0.0612245,0.6336,0.96
100,0.287677,0.0505051,0.4,0.102041,0.5184,0.84
100,0.170303,0.040404,0.6,0.0816327,0.384,0.88
100,0.177576,0.0606061,0.48,0.122449,0.4468,1
100,0.230303,0.030303,0.42,0.0612245,0.644,0.94
100,0.65697,0.0505051,0.4,0.102041,0.7488,0.99
100,0.601414,0.0505051,0.38,0.102041,0.7488,1
100,0.170101,0.040404,0.49,0.0816327,0.4044,0.94
100,0.186869,0.0505051,0.48,0.102041,0.604,1
100,0.279798,0.0606061,0.39,0.122449,0.6764,1
100,0.746465,0.0606061,0.43,0.122449,0.6504,0.94
100,0.325859,0.0505051,0.45,0.102041,0.7224,0.97
100,0.472727,0.0606061,0.39,0.112245,0.742,1
100,0.568081,0.040404,0.42,0.0816327,0.7144,1
100,0.627273,0.0606061,0.34,0.122449,0.7936,0.97
100,0.239192,0.0606061,0.57,0.122449,0.396,0.99
100,0.387071,0.0707071,0.37,0.142857,0.6624,0.93
100,0.238788,0.040404,0.36,0.0816327,0.6576,0.94
100,0.241616,0.040404,0.54,0.0816327,0.8616,1
100,0.741818,0.0505051,0.52,0.102041,0.5068,0.86
100,0.539596,0.0808081,0.43,0.163265,0.6068,1
100,0.635152,0.0606061,0.3,0.122449,0.744,1
100,0.304848,0.0707071,0.47,0.142857,0.3952,0.93
100,0.235354,0.0505051,0.47,0.102041,0.6216,1
100,0.411717,0.0606061,0.42,0.122449,0.57,0.96
100,0.167273,0.0606061,0.46,0.122449,0.48,0.98
100,0.531717,0.040404,0.54,0.0816327,0.5696,0.94
100,0.568889,0.0707071,0.3,0.142857,0.6144,0.94
100,0.812727,0.0707071,0.3,0.142857,0.7512,0.94
100,0.263232,0.0707071,0.42,0.142857,0.8256,1
100,0.327273,0.0707071,0.39,0.142857,0.5332,0.94
100,0.105657,0.030303,0.72,0.0612245,0.324,1
100,0.30404,0.0505051,0.43,0.102041,0.864,0.99
100,0.462828,0.0808081,0.43,0.163265,0.5708,0.88
100,0.342424,0.0606061,0.39,0.122449,0.72,1
