n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.221212,0.0505051,0.4,0.102041,0.4,0.8
100,0.703838,0.040404,0.3,0.0816327,0.92,1
100,0.669091,0.0606061,0.4,0.122449,0.72,0.9
100,0.362626,0.030303,0.49,0.0612245,0.64,1
100,0.189697,0.030303,0.5,0.0612245,0.5424,1
100,0.178586,0.030303,0.6,0.0612245,0.72,1
100,0.491313,0.040404,0.4,0.0816327,0.64,0.9
100,0.413737,0.020202,0.7,0.0408163,0.52,0.9
100,0.139596,0.030303,0.6,0.0612245,0.4432,0.94
100,0.411919,0.040404,0.4,0.0816327,0.72,0.93
100,0.437172,0.040404,0.4,0.0816327,0.64,1
100,0.584848,0.040404,0.4,0.0816327,0.96,1
100,0.411515,0.030303,0.4,0.0612245,0.72,1
100,0.280606,0.030303,0.4,0.0612245,0.6912,0.98
100,0.608687,0.040404,0.38,0.0816327,0.88,1
100,0.301212,0.030303,0.6,0.0612245,0.36,0.9
100,0.231919,0.030303,0.5,0.0612245,0.64,0.9
100,0.138182,0.020202,0.7,0.0408163,0.4888,0.8
100,0.171515,0.030303,0.6,0.0612245,0.8,1
100,0.452121,0.030303,0.4,0.0612245,0.68,0.9
100,0.28404,0.0505051,0.5,0.102041,0.4,0.9
100,0.411717,0.030303,0.5,0.0612245,0.56,0.8
100,0.60303,0.030303,0.6,0.0612245,0.48,0.9
100,0.51596,0.030303,0.5,0.0612245,0.8024,1
100,0.132323,0.030303,0.6,0.0612245,0.44,0.8
100,0.416566,0.0505051,0.4,0.102041,0.6412,1
100,0.537172,0.030303,0.42,0.0612245,0.8232,1
100,0.367475,0.0505051,0.4,0.102041,0.84,0.9
100,0.232323,0.0505051,0.52,0.102041,0.53,1
100,0.118182,0.040404,0.56,0.0816327,0.406,0.95
100,0.616162,0.040404,0.32,0.0816327,0.76,1
100,0.74,0.0505051,0.3,0.102041,1,1
100,0.613333,0.0505051,0.4,0.102041,0.8376,0.9
100,0.712727,0.030303,0.4,0.0612245,0.72,1
100,0.300202,0.040404,0.4,0.0816327,0.8,1
100,0.191717,0.020202,0.5,0.0408163,0.88,1
100,0.331111,0.040404,0.6,0.0816327,0.674,1
100,0.421212,0.0505051,0.46,0.102041,0.8,1
100,0.339596,0.040404,0.5,0.0816327,0.56,0.9
100,0.693939,0.040404,0.43,0.0816327,0.7884,1
100,0.102626,0.040404,0.5,0.0816327,0.68,1
100,0.768889,0.040404,0.3,0.0816327,0.88,0.8
100,0.492121,0.040404,0.4,0.0816327,0.616,0.9
100,0.151111,0.020202,0.6,0.0408163,0.56,1
100,0.317576,0.0505051,0.42,0.102041,0.758,1
100,0.563232,0.030303,0.3,0.0612245,0.84,0.9
100,0.371919,0.040404,0.5,0.0816327,0.56,0.9
100,0.239394,0.030303,0.5,0.0612245,0.64,1
100,0.326061,0.0505051,0.3,0.102041,0.92,0.92
100,0.326061,0.0505051,0.3,0.102041,0.6,0.7
100,0.35798,0.0505051,0.4,0.102041,0.8,0.9
100,0.18202,0.030303,0.6,0.0612245,0.48,0.9
100,0.26101,0.030303,0.61,0.0612245,0.6276,0.9
100,0.789495,0.0606061,0.4,0.122449,0.64,0.9
100,0.355354,0.0505051,0.4,0.102041,0.72,1
100,0.29899,0.0505051,0.5,0.102041,0.3804,1
100,0.309899,0.0505051,0.4,0.102041,0.64,1
100,0.349899,0.0505051,0.4,0.102041,0.5948,0.91
100,0.468485,0.030303,0.5,0.0612245,0.6352,1
100,0.440808,0.0505051,0.3,0.102041,0.7056,0.9
100,0.393333,0.010101,0.6,0.0204082,0.72,1
100,0.580202,0.040404,0.4,0.0816327,0.6892,0.95
100,0.67899,0.030303,0.6,0.0612245,0.52,0.7
100,0.503232,0.020202,0.5,0.0408163,0.64,0.9
100,0.724444,0.040404,0.4,0.0816327,0.88,1
100,0.805253,0.0505051,0.3,0.102041,0.8132,0.77
100,0.287879,0.040404,0.4,0.0816327,0.76,0.9
100,0.472727,0.020202,0.5,0.0408163,0.8,1
100,0.360606,0.040404,0.5,0.0816327,0.48,1
100,0.0705051,0.030303,0.7,0.0612245,0.2,0.6
100,0.732323,0.040404,0.3,0.0816327,1,1
100,0.354545,0.030303,0.6,0.0612245,0.7188,1
100,0.491313,0.040404,0.4,0.0816327,0.8152,1
100,0.489899,0.030303,0.5,0.0612245,0.6,0.9
100,0.209293,0.040404,0.5,0.0816327,0.28,0.7
100,0.555152,0.030303,0.4,0.0612245,0.84,0.8
100,0.380808,0.040404,0.43,0.0816327,0.64,1
100,0.272121,0.010101,0.8,0.0204082,0.4,0.8
100,0.470303,0.040404,0.4,0.0816327,0.6,0.8
100,0.528081,0.040404,0.4,0.0816327,0.92,1
100,0.251919,0.020202,0.7,0.0408163,0.48,0.7
100,0.499394,0.0505051,0.4,0.102041,0.72,0.9
100,0.181616,0.030303,0.63,0.0612245,0.4012,1
100,0.653535,0.0505051,0.3,0.102041,0.96,1
100,0.485657,0.0505051,0.34,0.102041,0.8,1
100,0.349091,0.040404,0.4,0.0816327,0.68,0.9
100,0.661414,0.040404,0.4,0.0816327,0.76,0.9
100,0.130909,0.020202,0.6,0.0408163,0.68,1
100,0.381616,0.030303,0.6,0.0612245,0.602,0.95
100,0.371313,0.030303,0.59,0.0612245,0.4484,0.9
100,0.773333,0.030303,0.5,0.0612245,0.6744,1
100,0.228283,0.030303,0.48,0.0612245,0.606,1
100,0.232323,0.020202,0.7,0.0408163,0.2812,0.61
100,0.423232,0.040404,0.4,0.0816327,0.56,0.82
100,0.191515,0.030303,0.5,0.0612245,0.68,1
100,0.541818,0.040404,0.58,0.0816327,0.4816,0.82
100,0.539798,0.0606061,0.3,0.122449,0.68,0.94
100,0.178788,0.030303,0.7,0.0612245,0.76,1
100,0.429899,0.030303,0.5,0.0612245,0.72,0.8
100,0.393535,0.030303,0.5,0.0612245,0.64,0.9
100,0.319596,0.0505051,0.5,0.102041,0.64,1
100,0.437576,0.040404,0.5,0.0816327,0.64,0.7
100,0.600808,0.030303,0.61,0.0612245,0.4364,0.89
100,0.532929,0.040404,0.5,0.0816327,0.48,0.9
100,0.341212,0.040404,0.4,0.0816327,0.72,1
100,0.432121,0.030303,0.5,0.0612245,0.64,1
100,0.535556,0.0505051,0.5,0.102041,0.6,0.9
100,0.300202,0.040404,0.35,0.0816327,0.8112,1
100,0.684848,0.030303,0.4,0.0612245,1,1
100,0.353131,0.020202,0.8,0.0408163,0.28,0.5
100,0.382828,0.040404,0.5,0.0816327,0.4416,0.67
100,0.674141,0.030303,0.5,0.0612245,0.64,1
100,0.436768,0.040404,0.5,0.0816327,0.68,0.9
