n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.401616,0.10101,0.3,0.204082,0.5728,1
100,0.557576,0.111111,0.26,0.22449,0.7664,1
100,0.510303,0.10101,0.24,0.204082,0.6832,1
100,0.582626,0.111111,0.24,0.22449,0.8328,1
100,0.461414,0.10101,0.32,0.204082,0.6864,1
100,0.569293,0.0707071,0.22,0.142857,0.8008,1
100,0.529293,0.10101,0.26,0.204082,0.7384,0.99
100,0.508889,0.0909091,0.28,0.183673,0.7184,0.98
100,0.362626,0.10101,0.3,0.204082,0.5072,0.94
100,0.610505,0.0909091,0.22,0.183673,0.8304,1
100,0.427071,0.111111,0.3,0.22449,0.612,0.98
100,0.629091,0.10101,0.2,0.204082,0.7936,0.98
100,0.5,0.111111,0.28,0.22449,0.6924,1
100,0.489899,0.10101,0.28,0.204082,0.69,0.98
100,0.480404,0.0909091,0.24,0.183673,0.7024,1
100,0.565253,0.111111,0.28,0.22449,0.7216,0.98
100,0.438788,0.10101,0.3,0.204082,0.648,1
100,0.505253,0.10101,0.26,0.204082,0.7024,0.98
100,0.525253,0.121212,0.3,0.244898,0.7776,1
100,0.488889,0.0909091,0.24,0.183673,0.6944,0.98
100,0.429899,0.10101,0.26,0.204082,0.616,1
100,0.355152,0.111111,0.32,0.22449,0.5084,0.9
100,0.400404,0.111111,0.28,0.22449,0.5968,0.96
100,0.559394,0.111111,0.28,0.22449,0.7924,0.98
100,0.50404,0.10101,0.28,0.204082,0.6912,0.98
100,0.467475,0.10101,0.26,0.204082,0.6776,0.96
100,0.487475,0.10101,0.26,0.204082,0.6704,1
100,0.592525,0.0909091,0.28,0.183673,0.8296,1
100,0.495556,0.111111,0.2,0.22449,0.6896,1
100,0.329697,0.10101,0.3,0.204082,0.464,1
100,0.421818,0.10101,0.32,0.204082,0.5968,1
100,0.314141,0.0909091,0.32,0.183673,0.4524,0.98
100,0.409899,0.10101,0.3,0.204082,0.592,0.98
100,0.462424,0.0909091,0.3,0.183673,0.6096,0.98
100,0.521818,0.0909091,0.28,0.183673,0.72,1
100,0.461414,0.10101,0.26,0.204082,0.6512,0.96
100,0.490303,0.111111,0.22,0.22449,0.676,0.96
100,0.435556,0.111111,0.3,0.22449,0.608,0.96
100,0.439798,0.121212,0.28,0.244898,0.6052,0.96
100,0.344444,0.10101,0.34,0.204082,0.5024,0.92
100,0.497778,0.111111,0.24,0.22449,0.7216,0.98
100,0.49596,0.111111,0.32,0.22449,0.6784,0.98
100,0.450101,0.0707071,0.34,0.142857,0.612,0.98
100,0.328889,0.0909091,0.29,0.183673,0.4848,0.95
100,0.495152,0.10101,0.27,0.204082,0.7108,1
100,0.450101,0.10101,0.28,0.204082,0.6368,0.96
100,0.512525,0.111111,0.3,0.22449,0.72,0.98
100,0.461414,0.10101,0.28,0.204082,0.6348,0.96
100,0.541212,0.0909091,0.28,0.183673,0.774,1
100,0.485051,0.10101,0.24,0.204082,0.6488,0.94
100,0.505253,0.111111,0.26,0.22449,0.6992,1
100,0.392121,0.10101,0.28,0.204082,0.5584,0.98
100,0.324848,0.10101,0.36,0.204082,0.48,1
100,0.471919,0.111111,0.28,0.22449,0.6808,0.98
100,0.449293,0.121212,0.28,0.244898,0.6348,0.99
100,0.344646,0.0909091,0.29,0.183673,0.5204,1
100,0.416162,0.10101,0.32,0.204082,0.5936,0.98
100,0.497778,0.111111,0.26,0.22449,0.7208,0.98
100,0.42404,0.111111,0.34,0.22449,0.59,1
100,0.487677,0.0909091,0.3,0.183673,0.6472,1
100,0.583434,0.111111,0.23,0.22449,0.7552,1
100,0.51899,0.111111,0.22,0.22449,0.7548,0.96
100,0.404242,0.111111,0.34,0.22449,0.576,0.97
100,0.547071,0.10101,0.24,0.204082,0.7568,0.96
100,0.524444,0.10101,0.3,0.204082,0.6944,1
100,0.662828,0.111111,0.18,0.22449,0.8464,0.96
100,0.548485,0.111111,0.26,0.22449,0.76,1
100,0.428485,0.0909091,0.28,0.183673,0.6036,0.94
100,0.49596,0.111111,0.28,0.22449,0.6768,0.98
100,0.320404,0.111111,0.34,0.22449,0.4516,0.98
100,0.374949,0.0909091,0.36,0.183673,0.5272,0.94
100,0.556566,0.0909091,0.24,0.183673,0.802,0.98
100,0.496768,0.10101,0.26,0.204082,0.6976,0.97
100,0.354343,0.10101,0.3,0.204082,0.5072,0.96
100,0.30404,0.10101,0.36,0.204082,0.4988,1
100,0.396566,0.10101,0.3,0.204082,0.5996,0.95
100,0.344848,0.121212,0.28,0.244898,0.5104,0.98
100,0.429091,0.0808081,0.28,0.163265,0.5952,1
100,0.429091,0.111111,0.3,0.22449,0.6224,1
100,0.37798,0.0808081,0.34,0.163265,0.566,0.96
100,0.283232,0.10101,0.4,0.204082,0.4508,0.93
100,0.464646,0.111111,0.28,0.22449,0.6592,0.98
100,0.502626,0.10101,0.28,0.204082,0.7456,0.98
100,0.676364,0.121212,0.2,0.244898,0.9076,1
100,0.547475,0.10101,0.26,0.204082,0.7864,0.96
100,0.453131,0.0808081,0.28,0.163265,0.6516,0.95
100,0.482424,0.10101,0.24,0.204082,0.6976,1
100,0.386061,0.10101,0.36,0.204082,0.5596,0.96
100,0.440808,0.0909091,0.36,0.183673,0.598,0.96
100,0.492727,0.111111,0.33,0.22449,0.6856,1
100,0.485859,0.10101,0.3,0.204082,0.6868,0.98
100,0.408687,0.10101,0.28,0.204082,0.5744,0.96
100,0.402222,0.111111,0.24,0.22449,0.5788,0.94
100,0.489899,0.10101,0.24,0.204082,0.6784,0.98
100,0.470303,0.111111,0.32,0.22449,0.6992,1
100,0.407677,0.0909091,0.34,0.183673,0.5436,0.94
100,0.478384,0.0909091,0.28,0.183673,0.68,1
100,0.540202,0.121212,0.28,0.244898,0.7156,0.94
100,0.467071,0.0909091,0.36,0.183673,0.6,0.96
100,0.473939,0.121212,0.28,0.244898,0.6988,0.98
100,0.431111,0.10101,0.3,0.204082,0.6128,0.98
100,0.454747,0.0909091,0.24,0.183673,0.6688,1
100,0.414141,0.111111,0.28,0.22449,0.6136,1
100,0.401414,0.10101,0.3,0.204082,0.5504,0.96
100,0.550909,0.10101,0.2,0.204082,0.7452,1
100,0.397576,0.10101,0.28,0.204082,0.5728,0.94
100,0.548485,0.111111,0.26,0.22449,0.7536,1
100,0.488283,0.0909091,0.3,0.183673,0.7172,1
100,0.409697,0.0808081,0.34,0.163265,0.608,0.99
100,0.443838,0.0808081,0.29,0.163265,0.6112,0.96
100,0.449697,0.111111,0.28,0.22449,0.656,0.96
100,0.472525,0.10101,0.28,0.204082,0.64,0.98
100,0.493939,0.10101,0.22,0.204082,0.6812,0.96
100,0.511717,0.111111,0.28,0.22449,0.7316,1
100,0.399394,0.10101,0.35,0.204082,0.5716,1
