n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.678182,0.0505051,0.4,0.102041,0.8,1
100,0.594747,0.0505051,0.5,0.102041,0.6544,1
100,0.592323,0.0505051,0.3,0.102041,1,1
100,0.496768,0.040404,0.4,0.0816327,0.76,0.9
100,0.3,0.040404,0.4,0.0816327,0.64,1
100,0.403232,0.0606061,0.3,0.122449,0.76,0.9
100,0.732323,0.040404,0.3,0.0816327,1,1
100,0.286667,0.030303,0.66,0.0612245,0.4504,0.84
100,0.308081,0.040404,0.4,0.0816327,0.5868,0.8
100,0.281818,0.0505051,0.35,0.102041,0.81,1
100,0.285455,0.040404,0.4,0.0816327,0.68,0.8
100,0.286061,0.0505051,0.5,0.102041,0.6364,0.9
100,0.390707,0.030303,0.5,0.0612245,0.64,1
100,0.41596,0.0505051,0.4,0.102041,0.7192,1
100,0.487475,0.0505051,0.5,0.102041,0.44,0.7
100,0.891111,0.0606061,0.3,0.122449,0.8,0.9
100,0.729495,0.0606061,0.3,0.122449,0.84,1
100,0.396162,0.030303,0.46,0.0612245,0.6328,0.95
100,0.16202,0.030303,0.53,0.0612245,0.76,0.93
100,0.350707,0.040404,0.4,0.0816327,0.52,0.9
100,0.111717,0.0606061,0.45,0.122449,0.48,0.9
100,0.457576,0.030303,0.7,0.0612245,0.4168,1
100,0.391313,0.030303,0.4,0.0612245,0.68,1
100,0.650303,0.0505051,0.4,0.102041,0.84,0.9
100,0.630101,0.0505051,0.4,0.102041,0.68,0.8
100,0.26303,0.0505051,0.36,0.102041,0.7004,1
100,0.739798,0.0505051,0.4,0.102041,0.72,0.8
100,0.588687,0.0505051,0.3,0.102041,0.7104,0.9
100,0.244242,0.030303,0.41,0.0612245,0.6244,1
100,0.21697,0.040404,0.5,0.0816327,0.44,0.9
100,0.338788,0.030303,0.5,0.0612245,0.52,0.7
100,0.285657,0.0505051,0.4,0.102041,0.4328,0.9
100,0.421212,0.0505051,0.4,0.102041,0.7044,1
100,0.826667,0.040404,0.4,0.0816327,0.64,0.8
100,0.437778,0.0606061,0.46,0.122449,0.7136,0.9
100,0.396162,0.030303,0.5,0.0612245,0.6,1
100,0.482424,0.040404,0.4,0.0816327,0.88,1
100,0.304848,0.040404,0.4,0.0816327,0.84,1
100,0.519798,0.040404,0.4,0.0816327,0.8,1
100,0.421818,0.020202,0.56,0.0408163,0.486,0.94
100,0.544242,0.040404,0.4,0.0816327,0.96,1
100,0.677172,0.040404,0.69,0.0816327,0.64,1
100,0.326061,0.0505051,0.4,0.102041,0.6,0.8
100,0.465657,0.0505051,0.5,0.102041,0.68,0.9
100,0.585859,0.040404,0.4,0.0816327,0.686,0.86
100,0.488687,0.0505051,0.4,0.102041,0.84,1
