n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.591111,0.111111,0.25,0.22449,0.6116,1
100,0.822626,0.121212,0.22,0.244898,0.7804,1
100,0.561616,0.10101,0.2,0.204082,0.6972,1
100,0.287677,0.121212,0.21,0.244898,0.806,1
100,0.442222,0.111111,0.26,0.22449,0.68,1
100,0.306263,0.111111,0.22,0.22449,0.7588,1
100,0.677576,0.111111,0.24,0.22449,0.7816,1
100,0.509495,0.111111,0.24,0.22449,0.7356,1
100,0.326263,0.121212,0.26,0.244898,0.5244,0.98
100,0.354343,0.111111,0.2,0.22449,0.8072,1
100,0.401212,0.111111,0.24,0.22449,0.674,1
100,0.692525,0.111111,0.21,0.22449,0.7432,0.98
100,0.728081,0.111111,0.21,0.22449,0.7048,0.99
100,0.374545,0.111111,0.23,0.22449,0.706,0.97
100,0.491515,0.0909091,0.27,0.183673,0.6684,1
100,0.812727,0.111111,0.22,0.22449,0.6908,1
100,0.567475,0.10101,0.27,0.204082,0.6248,1
100,0.546869,0.111111,0.2,0.22449,0.7496,1
100,0.212929,0.121212,0.25,0.244898,0.7516,1
100,0.431717,0.121212,0.21,0.244898,0.7588,1
100,0.464242,0.111111,0.21,0.22449,0.644,0.97
100,0.439798,0.121212,0.27,0.244898,0.5652,0.96
100,0.627879,0.121212,0.23,0.244898,0.6192,0.98
100,0.660808,0.111111,0.27,0.22449,0.7732,0.99
100,0.550101,0.121212,0.25,0.244898,0.638,0.99
100,0.24303,0.111111,0.24,0.22449,0.6904,0.99
100,0.687071,0.111111,0.24,0.22449,0.6492,0.99
100,0.527273,0.111111,0.26,0.22449,0.8012,1
100,0.354343,0.111111,0.2,0.22449,0.696,0.98
100,0.256768,0.111111,0.28,0.22449,0.4432,0.99
100,0.278384,0.111111,0.27,0.22449,0.5732,0.98
100,0.614545,0.111111,0.29,0.22449,0.5052,0.99
100,0.47697,0.121212,0.26,0.244898,0.6396,0.96
100,0.742626,0.121212,0.23,0.244898,0.6584,1
100,0.521212,0.121212,0.26,0.244898,0.6884,0.98
100,0.645657,0.111111,0.25,0.22449,0.6164,0.99
100,0.360404,0.111111,0.23,0.22449,0.6788,0.99
100,0.414545,0.10101,0.28,0.204082,0.6312,0.97
100,0.474949,0.121212,0.24,0.244898,0.6312,0.99
100,0.443232,0.121212,0.29,0.244898,0.4976,0.95
100,0.569899,0.111111,0.23,0.22449,0.7008,1
100,0.371717,0.111111,0.28,0.22449,0.6836,0.99
