n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.568889,0.121212,0.25,0.244898,0.6304,0.99
100,0.345051,0.111111,0.22,0.22449,0.7604,0.97
100,0.578384,0.0909091,0.22,0.183673,0.6744,0.99
100,0.571111,0.121212,0.22,0.244898,0.8288,1
100,0.288687,0.111111,0.27,0.22449,0.6888,0.97
100,0.547071,0.111111,0.23,0.22449,0.764,0.99
100,0.431515,0.10101,0.27,0.204082,0.7344,1
100,0.498788,0.111111,0.26,0.22449,0.7312,0.99
100,0.228889,0.111111,0.29,0.22449,0.5104,1
100,0.575354,0.10101,0.2,0.204082,0.7716,1
100,0.331919,0.111111,0.25,0.22449,0.6584,1
100,0.57697,0.10101,0.22,0.204082,0.798,1
100,0.871313,0.111111,0.25,0.22449,0.7172,0.97
100,0.469697,0.111111,0.24,0.22449,0.7016,1
100,0.633737,0.10101,0.24,0.204082,0.71,0.97
100,0.797374,0.111111,0.22,0.22449,0.7172,1
100,0.526263,0.10101,0.31,0.204082,0.6224,1
100,0.729091,0.111111,0.23,0.22449,0.7464,0.98
100,0.297778,0.121212,0.29,0.244898,0.734,0.98
100,0.488889,0.0808081,0.23,0.163265,0.7508,0.99
100,0.658586,0.111111,0.24,0.22449,0.644,1
100,0.519798,0.121212,0.3,0.244898,0.5516,0.93
100,0.383838,0.121212,0.25,0.244898,0.6188,1
100,0.566869,0.111111,0.28,0.22449,0.7884,1
100,0.397576,0.121212,0.25,0.244898,0.6412,0.97
100,0.539798,0.111111,0.26,0.22449,0.6888,0.97
100,0.666465,0.111111,0.28,0.22449,0.64,0.99
100,0.446465,0.111111,0.28,0.22449,0.8044,1
100,0.669495,0.121212,0.2,0.244898,0.71,1
100,0.338788,0.111111,0.28,0.22449,0.4656,0.98
100,0.485455,0.111111,0.3,0.22449,0.58,0.99
100,0.360202,0.111111,0.3,0.22449,0.5072,0.97
100,0.359192,0.111111,0.27,0.22449,0.5968,0.97
100,0.545455,0.10101,0.28,0.204082,0.64,0.99
100,0.521212,0.10101,0.29,0.204082,0.6948,0.99
100,0.434141,0.111111,0.27,0.22449,0.6304,0.99
100,0.347071,0.111111,0.25,0.22449,0.6596,0.98
100,0.619394,0.111111,0.29,0.22449,0.6344,1
100,0.580404,0.121212,0.26,0.244898,0.6196,1
100,0.40303,0.10101,0.3,0.204082,0.504,0.99
100,0.404444,0.111111,0.24,0.22449,0.69,1
100,0.406667,0.121212,0.26,0.244898,0.7016,1
100,0.485455,0.0808081,0.29,0.163265,0.632,0.99
100,0.237374,0.111111,0.27,0.22449,0.5116,1
100,0.581616,0.111111,0.24,0.22449,0.7732,1
100,0.252525,0.121212,0.27,0.244898,0.5824,0.98
100,0.824848,0.121212,0.27,0.244898,0.6704,0.99
100,0.312727,0.111111,0.25,0.22449,0.636,0.98
100,0.308687,0.111111,0.23,0.22449,0.7968,0.98
100,0.800808,0.111111,0.23,0.22449,0.646,0.98
100,0.459596,0.111111,0.25,0.22449,0.73,0.99
100,0.237778,0.0909091,0.27,0.183673,0.5456,0.98
100,0.312323,0.111111,0.34,0.22449,0.4064,0.98
100,0.580808,0.111111,0.29,0.22449,0.6832,0.96
100,0.661818,0.121212,0.21,0.244898,0.7236,0.99
100,0.242222,0.0909091,0.3,0.183673,0.5164,0.99
100,0.391717,0.10101,0.26,0.204082,0.6372,1
100,0.372525,0.111111,0.26,0.22449,0.68,0.97
100,0.435354,0.121212,0.26,0.244898,0.5848,1
100,0.699596,0.111111,0.3,0.22449,0.6264,0.99
100,0.824646,0.111111,0.19,0.22449,0.7636,0.99
100,0.335354,0.111111,0.23,0.22449,0.6884,0.97
100,0.439596,0.111111,0.28,0.22449,0.5468,0.98
100,0.512525,0.111111,0.24,0.22449,0.768,1
100,0.556364,0.111111,0.27,0.22449,0.7092,1
100,0.764444,0.111111,0.18,0.22449,0.8412,1
100,0.733333,0.10101,0.23,0.204082,0.806,0.99
100,0.545455,0.0909091,0.25,0.183673,0.6328,0.99
100,0.694949,0.10101,0.25,0.204082,0.6644,0.98
100,0.241818,0.111111,0.33,0.22449,0.4176,0.97
100,0.337576,0.10101,0.33,0.204082,0.5084,0.98
100,0.496768,0.111111,0.24,0.22449,0.808,1
100,0.36404,0.111111,0.25,0.22449,0.7388,0.99
100,0.616768,0.0909091,0.33,0.183673,0.5692,1
100,0.347677,0.10101,0.34,0.204082,0.5052,1
100,0.29697,0.10101,0.28,0.204082,0.6256,1
100,0.732121,0.121212,0.24,0.244898,0.5732,1
100,0.71697,0.0909091,0.28,0.183673,0.572,0.94
100,0.335152,0.121212,0.27,0.244898,0.6356,0.99
100,0.181212,0.10101,0.3,0.204082,0.5628,1
100,0.264848,0.0909091,0.33,0.183673,0.4796,0.98
100,0.440202,0.111111,0.24,0.22449,0.6432,0.97
100,0.429293,0.10101,0.24,0.204082,0.6956,1
100,0.693535,0.121212,0.19,0.244898,0.8804,0.99
100,0.471515,0.121212,0.26,0.244898,0.7912,1
100,0.473535,0.111111,0.29,0.22449,0.6356,1
100,0.304848,0.10101,0.24,0.204082,0.7104,1
100,0.23697,0.111111,0.27,0.22449,0.5984,0.98
100,0.417576,0.111111,0.31,0.22449,0.566,1
100,0.737172,0.111111,0.3,0.22449,0.7568,0.98
100,0.352323,0.10101,0.29,0.204082,0.6448,0.99
100,0.561212,0.111111,0.28,0.22449,0.5924,0.99
100,0.338182,0.10101,0.28,0.204082,0.5692,0.99
100,0.192929,0.10101,0.23,0.204082,0.6976,1
100,0.252121,0.111111,0.31,0.22449,0.6556,0.99
100,0.329495,0.0909091,0.31,0.183673,0.4968,0.97
100,0.51697,0.111111,0.24,0.22449,0.6892,0.99
100,0.333131,0.111111,0.25,0.22449,0.706,0.98
100,0.408283,0.111111,0.3,0.22449,0.6536,0.98
100,0.429899,0.121212,0.22,0.244898,0.692,0.97
100,0.253939,0.10101,0.27,0.204082,0.6692,1
100,0.293535,0.111111,0.24,0.22449,0.6244,0.98
100,0.587677,0.111111,0.31,0.22449,0.6052,1
100,0.38,0.111111,0.24,0.22449,0.6344,0.99
100,0.291313,0.111111,0.23,0.22449,0.714,1
100,0.362626,0.121212,0.26,0.244898,0.6068,1
100,0.391313,0.111111,0.27,0.22449,0.688,1
100,0.285455,0.10101,0.28,0.204082,0.7264,0.99
100,0.314545,0.10101,0.27,0.204082,0.6908,1
100,0.26202,0.0909091,0.26,0.183673,0.6048,1
100,0.557172,0.10101,0.25,0.204082,0.628,0.96
100,0.667677,0.111111,0.25,0.22449,0.6432,0.99
100,0.677576,0.0909091,0.23,0.183673,0.6616,1
100,0.376768,0.111111,0.24,0.22449,0.7296,1
100,0.334545,0.111111,0.31,0.22449,0.5652,1
100,0.491111,0.10101,0.23,0.204082,0.82,1
100,0.569697,0.111111,0.27,0.22449,0.6872,1
100,0.449293,0.111111,0.3,0.22449,0.5972,0.97
100,0.34404,0.10101,0.31,0.204082,0.492,1
100,0.364242,0.111111,0.25,0.22449,0.7248,0.99
100,0.618384,0.111111,0.19,0.22449,0.8016,0.99
100,0.664242,0.111111,0.26,0.22449,0.6012,0.99
100,0.247071,0.111111,0.26,0.22449,0.4448,0.95
