n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.481212,0.111111,0.28,0.22449,0.6744,0.98
100,0.606061,0.10101,0.24,0.204082,0.8336,1
100,0.523838,0.0909091,0.24,0.183673,0.6928,1
100,0.563232,0.111111,0.25,0.22449,0.8224,0.99
100,0.49899,0.10101,0.3,0.204082,0.7136,0.98
100,0.58303,0.0909091,0.23,0.183673,0.8064,1
100,0.470101,0.0808081,0.35,0.163265,0.664,0.9
100,0.414343,0.0909091,0.36,0.163265,0.5984,1
100,0.398384,0.111111,0.27,0.22449,0.5692,0.95
100,0.578384,0.10101,0.22,0.204082,0.8064,1
100,0.492929,0.111111,0.26,0.22449,0.6772,0.98
100,0.597576,0.10101,0.24,0.204082,0.7756,1
100,0.476566,0.10101,0.31,0.204082,0.6876,1
100,0.446061,0.0909091,0.26,0.183673,0.674,1
100,0.529495,0.10101,0.28,0.183673,0.7176,0.98
100,0.536364,0.111111,0.26,0.22449,0.6716,0.98
100,0.390101,0.10101,0.38,0.204082,0.5552,0.99
100,0.519798,0.111111,0.27,0.22449,0.75,1
100,0.44101,0.121212,0.28,0.244898,0.66,1
100,0.443434,0.0909091,0.31,0.183673,0.6424,1
100,0.426667,0.10101,0.27,0.204082,0.626,0.99
100,0.42202,0.121212,0.3,0.244898,0.608,0.95
100,0.394545,0.111111,0.27,0.22449,0.57,0.99
100,0.555152,0.0909091,0.3,0.183673,0.7852,1
100,0.368687,0.10101,0.4,0.204082,0.5472,1
100,0.401616,0.0909091,0.3,0.183673,0.5924,1
100,0.503636,0.0909091,0.26,0.183673,0.7088,0.99
100,0.614545,0.111111,0.26,0.22449,0.854,1
100,0.488889,0.111111,0.27,0.22449,0.7152,1
100,0.277778,0.10101,0.38,0.204082,0.4084,0.95
100,0.368081,0.10101,0.32,0.204082,0.5612,0.98
100,0.424444,0.10101,0.29,0.204082,0.5912,1
100,0.441212,0.0909091,0.32,0.183673,0.6208,0.97
100,0.381212,0.0909091,0.39,0.183673,0.536,1
100,0.433131,0.0909091,0.32,0.183673,0.6136,0.99
100,0.449697,0.111111,0.27,0.22449,0.6404,0.99
100,0.532929,0.111111,0.23,0.22449,0.7192,0.98
100,0.44,0.10101,0.29,0.204082,0.6448,1
100,0.453333,0.111111,0.26,0.22449,0.6488,0.99
100,0.342424,0.10101,0.38,0.204082,0.52,0.99
100,0.424444,0.10101,0.29,0.204082,0.646,0.99
100,0.554545,0.111111,0.34,0.22449,0.7376,0.98
100,0.354141,0.0808081,0.42,0.142857,0.4976,0.99
100,0.366061,0.0808081,0.4,0.163265,0.536,1
100,0.562222,0.111111,0.21,0.22449,0.79,1
100,0.444444,0.121212,0.25,0.244898,0.6212,0.98
100,0.500808,0.111111,0.29,0.22449,0.6748,0.98
100,0.391919,0.10101,0.31,0.204082,0.5368,0.96
100,0.571111,0.111111,0.27,0.22449,0.8064,1
100,0.372323,0.111111,0.32,0.22449,0.5456,0.99
100,0.510909,0.10101,0.3,0.204082,0.7428,1
100,0.291919,0.10101,0.41,0.204082,0.4208,0.89
100,0.340404,0.10101,0.36,0.204082,0.4836,0.96
100,0.473535,0.10101,0.35,0.204082,0.7124,0.98
100,0.549091,0.111111,0.21,0.22449,0.768,1
100,0.379596,0.10101,0.29,0.204082,0.5676,0.99
100,0.408687,0.0909091,0.3,0.183673,0.572,0.94
100,0.450707,0.10101,0.33,0.204082,0.666,1
100,0.383838,0.111111,0.29,0.22449,0.5544,0.99
100,0.420404,0.10101,0.29,0.204082,0.598,0.99
100,0.637576,0.111111,0.22,0.22449,0.7912,0.99
100,0.52404,0.10101,0.25,0.204082,0.7496,0.98
100,0.332929,0.0909091,0.34,0.183673,0.4816,1
100,0.585455,0.0909091,0.34,0.183673,0.8288,0.99
100,0.534949,0.0808081,0.37,0.163265,0.7164,1
100,0.581414,0.10101,0.24,0.204082,0.8112,0.99
100,0.593737,0.10101,0.23,0.204082,0.7992,0.99
100,0.396566,0.0909091,0.35,0.183673,0.5668,0.99
100,0.504242,0.10101,0.28,0.204082,0.6632,0.99
100,0.330909,0.111111,0.4,0.204082,0.4496,0.94
100,0.374747,0.10101,0.33,0.204082,0.566,0.99
100,0.564848,0.10101,0.28,0.204082,0.8648,1
100,0.454141,0.10101,0.28,0.204082,0.684,0.99
100,0.315758,0.0909091,0.46,0.183673,0.464,0.99
100,0.293131,0.10101,0.36,0.204082,0.494,1
100,0.365657,0.0909091,0.31,0.183673,0.5516,0.98
100,0.407879,0.111111,0.27,0.22449,0.588,0.98
100,0.458384,0.10101,0.28,0.204082,0.6392,1
100,0.441414,0.10101,0.3,0.204082,0.63,0.99
100,0.409899,0.0909091,0.36,0.183673,0.6284,1
100,0.321212,0.10101,0.35,0.204082,0.5088,1
100,0.371313,0.111111,0.34,0.22449,0.5276,0.98
100,0.528283,0.121212,0.23,0.244898,0.7628,1
100,0.702828,0.111111,0.21,0.22449,0.9512,1
100,0.599596,0.111111,0.33,0.204082,0.8644,1
100,0.483636,0.0909091,0.3,0.183673,0.6776,1
100,0.380202,0.0909091,0.32,0.183673,0.5812,0.99
100,0.440202,0.111111,0.33,0.22449,0.614,0.98
100,0.469495,0.111111,0.29,0.22449,0.6552,0.98
100,0.541414,0.0909091,0.29,0.183673,0.734,0.99
100,0.443636,0.0909091,0.35,0.183673,0.6372,1
100,0.377172,0.0808081,0.33,0.163265,0.538,0.99
100,0.362828,0.111111,0.36,0.22449,0.5328,0.99
100,0.567273,0.111111,0.25,0.204082,0.7752,1
100,0.359394,0.10101,0.31,0.204082,0.5568,1
100,0.433535,0.0808081,0.3,0.163265,0.5832,0.98
100,0.492929,0.0909091,0.26,0.183673,0.7012,1
100,0.513333,0.10101,0.28,0.204082,0.6892,0.99
100,0.512121,0.10101,0.34,0.204082,0.6524,0.99
100,0.469697,0.111111,0.26,0.22449,0.6932,1
100,0.425657,0.0909091,0.29,0.183673,0.6064,0.98
100,0.39899,0.0909091,0.31,0.183673,0.5704,1
100,0.402424,0.111111,0.38,0.22449,0.5988,1
100,0.411515,0.10101,0.29,0.204082,0.5856,0.98
100,0.403232,0.0909091,0.34,0.183673,0.5888,1
100,0.386869,0.0808081,0.36,0.163265,0.5928,1
100,0.562626,0.111111,0.23,0.22449,0.7776,1
100,0.460808,0.0909091,0.36,0.183673,0.6776,1
100,0.438182,0.111111,0.32,0.22449,0.6448,1
100,0.400202,0.0808081,0.29,0.163265,0.5864,1
100,0.485859,0.111111,0.3,0.22449,0.6704,0.99
100,0.480404,0.10101,0.29,0.183673,0.6552,1
100,0.447071,0.10101,0.25,0.204082,0.624,1
100,0.457374,0.10101,0.31,0.204082,0.6708,1
100,0.298586,0.10101,0.41,0.204082,0.4452,0.99
100,0.535152,0.10101,0.27,0.183673,0.8312,1
100,0.590101,0.121212,0.24,0.244898,0.7728,0.99
100,0.529697,0.0909091,0.3,0.183673,0.692,0.97
100,0.332121,0.0909091,0.36,0.183673,0.498,0.96
100,0.410909,0.111111,0.31,0.22449,0.6124,1
100,0.578586,0.121212,0.21,0.244898,0.7664,1
100,0.388283,0.10101,0.34,0.204082,0.5688,1
100,0.335354,0.111111,0.35,0.22449,0.4616,0.94
100,0.664848,0.0909091,0.25,0.183673,0.9548,1
100,0.430707,0.111111,0.26,0.204082,0.6536,1
100,0.519798,0.10101,0.25,0.204082,0.748,1
100,0.392121,0.10101,0.32,0.204082,0.5776,0.99
100,0.425051,0.0808081,0.32,0.163265,0.6256,1
100,0.316566,0.10101,0.35,0.204082,0.5236,0.99
100,0.519798,0.10101,0.28,0.204082,0.7452,0.99
100,0.489899,0.0808081,0.29,0.163265,0.6932,1
100,0.425455,0.10101,0.31,0.204082,0.5888,0.99
