n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.379685,0.09991,0.022,0.19984,0.681051,0.9996
10000,0.392994,0.09991,0.0211,0.19984,0.673482,0.9996
10000,0.276225,0.09991,0.0216,0.19944,0.646765,0.9999
10000,0.38414,0.09991,0.023,0.19984,0.633069,0.9997
10000,0.417258,0.09991,0.023,0.19964,0.654829,0.9999
10000,0.344361,0.09991,0.0244,0.19964,0.665596,0.9998
10000,0.314502,0.09991,0.0214,0.19984,0.667886,0.9999
10000,0.37996,0.09991,0.0208,0.19944,0.670731,0.9999
10000,0.423368,0.09991,0.0215,0.19964,0.664252,0.9998
10000,0.589483,0.09991,0.0221,0.19944,0.653094,0.9998
10000,0.527016,0.09991,0.0218,0.19984,0.651786,0.9999
10000,0.33382,0.09991,0.0214,0.19984,0.674711,0.9999
10000,0.351822,0.09991,0.0217,0.19964,0.65914,0.9999
10000,0.662726,0.09991,0.0219,0.19964,0.660809,0.9998
10000,0.441604,0.09991,0.0215,0.19964,0.664629,0.9997
10000,0.357918,0.09991,0.0212,0.19984,0.645673,0.9998
10000,0.581331,0.09991,0.0224,0.19944,0.641109,0.9996
10000,0.363383,0.09991,0.0207,0.19964,0.66515,0.9998
10000,0.409597,0.09991,0.023,0.19984,0.660819,0.9994
10000,0.382607,0.09991,0.0219,0.19944,0.653908,0.9998
10000,0.566533,0.09991,0.0216,0.19964,0.645004,0.9995
10000,0.529801,0.09991,0.0205,0.19944,0.661515,0.9997
10000,0.553313,0.09991,0.0209,0.19924,0.653155,0.9996
10000,0.327324,0.09991,0.0215,0.19944,0.670091,0.9998
10000,0.32478,0.09991,0.021,0.19904,0.663183,0.9995
10000,0.325857,0.09991,0.0211,0.19984,0.655389,0.9999
10000,0.611407,0.09991,0.0201,0.19944,0.667386,0.9998
10000,0.340092,0.09991,0.0205,0.19924,0.672992,0.9998
10000,0.280451,0.09991,0.0209,0.19944,0.663081,0.9997
10000,0.587992,0.09991,0.0208,0.19984,0.684749,0.9994
10000,0.522223,0.09991,0.0216,0.19944,0.661479,0.9997
10000,0.418011,0.09991,0.0217,0.19944,0.644659,0.9997
10000,0.564614,0.09991,0.0222,0.19944,0.667186,0.9994
10000,0.293267,0.09991,0.0221,0.19964,0.66984,0.9996
10000,0.293298,0.09991,0.0217,0.19984,0.662234,0.9998
10000,0.318054,0.09991,0.021,0.19904,0.684009,0.9999
10000,0.296238,0.09991,0.0199,0.19944,0.681496,1
10000,0.516268,0.09991,0.0218,0.19964,0.673029,0.9999
10000,0.414802,0.09991,0.022,0.19964,0.656283,0.9998
10000,0.426653,0.09991,0.0213,0.19944,0.666977,0.9995
10000,0.757043,0.09991,0.022,0.19944,0.63616,0.9997
10000,0.553261,0.09991,0.0219,0.19964,0.675182,0.9997
10000,0.539977,0.09991,0.0207,0.19964,0.687563,0.9997
10000,0.786573,0.09991,0.0216,0.19984,0.664396,0.9999
10000,0.410635,0.09991,0.0211,0.19984,0.664197,0.9999
10000,0.341976,0.09991,0.0217,0.19944,0.656732,0.9999
10000,0.452862,0.09991,0.0208,0.19964,0.653516,0.9997
10000,0.507346,0.09991,0.0208,0.19984,0.668893,0.9998
10000,0.446438,0.09991,0.0223,0.19964,0.662348,0.9997
10000,0.317625,0.09991,0.0213,0.19964,0.674289,0.9995
10000,0.291256,0.09991,0.0224,0.19984,0.657153,0.9996
10000,0.368319,0.09991,0.0218,0.19964,0.659131,0.9998
10000,0.243637,0.09991,0.0208,0.19984,0.653279,0.9996
10000,0.304298,0.09991,0.0214,0.19964,0.64494,0.9997
10000,0.339646,0.09991,0.0204,0.19964,0.691087,1
10000,0.550509,0.09991,0.021,0.19944,0.669323,0.9999
10000,0.361571,0.09991,0.0214,0.19964,0.658512,0.9997
10000,0.32073,0.09991,0.0221,0.19984,0.658899,0.9998
10000,0.691753,0.09991,0.0215,0.19964,0.649508,0.9999
10000,0.489069,0.09991,0.0206,0.19964,0.674919,0.9997
10000,0.503532,0.09991,0.021,0.19964,0.673317,0.9997
10000,0.488837,0.09991,0.0208,0.19964,0.666906,0.9999
10000,0.331509,0.09991,0.022,0.19964,0.636683,0.9997
10000,0.311366,0.09991,0.0202,0.19984,0.67915,0.9993
10000,0.368155,0.09991,0.0197,0.19964,0.678877,0.9999
10000,0.724804,0.09991,0.0206,0.19984,0.676304,0.9999
10000,0.406843,0.09991,0.022,0.19964,0.667812,1
10000,0.412095,0.09991,0.0213,0.19964,0.655656,1
10000,0.471891,0.09991,0.0214,0.19964,0.69299,0.9999
10000,0.550795,0.09991,0.0216,0.19924,0.658792,0.9997
10000,0.294823,0.09991,0.0215,0.19984,0.648037,0.9999
