n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.476162,0.171717,0.29,0.295918,0.676,1
100,0.463232,0.141414,0.32,0.255102,0.6512,0.98
100,0.46101,0.151515,0.24,0.285714,0.6624,0.99
100,0.35596,0.121212,0.37,0.204082,0.5072,1
100,0.541212,0.141414,0.27,0.285714,0.68,1
100,0.421414,0.151515,0.32,0.306122,0.544,1
100,0.417778,0.131313,0.37,0.214286,0.5588,0.99
100,0.461414,0.171717,0.27,0.295918,0.6416,1
100,0.543838,0.141414,0.21,0.265306,0.7504,0.99
100,0.507879,0.131313,0.28,0.255102,0.6944,1
100,0.489899,0.141414,0.28,0.255102,0.6848,0.99
100,0.351313,0.141414,0.39,0.255102,0.4796,1
100,0.529697,0.121212,0.24,0.234694,0.7004,0.99
100,0.576364,0.141414,0.23,0.255102,0.7904,0.99
100,0.498788,0.191919,0.22,0.306122,0.6892,1
100,0.57899,0.171717,0.23,0.295918,0.7904,0.99
100,0.408485,0.131313,0.28,0.244898,0.5912,0.99
100,0.460202,0.151515,0.27,0.27551,0.6556,1
100,0.345859,0.151515,0.27,0.295918,0.4952,1
100,0.433737,0.141414,0.32,0.255102,0.5752,0.97
100,0.519798,0.131313,0.27,0.265306,0.6788,0.99
100,0.413131,0.131313,0.34,0.244898,0.5416,0.96
100,0.316566,0.121212,0.38,0.234694,0.46,1
100,0.387273,0.151515,0.29,0.285714,0.5236,1
100,0.437172,0.121212,0.28,0.234694,0.6348,1
100,0.422828,0.151515,0.29,0.234694,0.5704,0.98
100,0.406263,0.131313,0.34,0.265306,0.562,0.98
100,0.543232,0.141414,0.23,0.234694,0.8004,1
100,0.434545,0.131313,0.27,0.255102,0.6152,0.98
100,0.627879,0.171717,0.2,0.326531,0.8384,1
100,0.406869,0.141414,0.34,0.27551,0.572,0.98
100,0.528485,0.151515,0.24,0.295918,0.692,1
100,0.571919,0.161616,0.24,0.306122,0.7236,0.97
100,0.545657,0.161616,0.22,0.295918,0.7724,1
100,0.538182,0.121212,0.24,0.234694,0.7136,1
100,0.473939,0.131313,0.34,0.244898,0.6136,0.99
100,0.482424,0.121212,0.25,0.244898,0.6648,1
100,0.400404,0.151515,0.31,0.265306,0.5504,0.98
100,0.360202,0.131313,0.31,0.255102,0.4928,0.94
100,0.454343,0.121212,0.34,0.22449,0.64,1
100,0.479192,0.161616,0.24,0.27551,0.6856,0.99
100,0.546263,0.141414,0.28,0.255102,0.8244,1
100,0.482424,0.151515,0.25,0.285714,0.6536,0.99
100,0.486263,0.121212,0.25,0.244898,0.6676,0.98
100,0.498788,0.121212,0.3,0.204082,0.724,0.99
100,0.541414,0.151515,0.27,0.306122,0.7368,1
100,0.467273,0.151515,0.24,0.285714,0.662,0.99
