n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.40202,0.30303,0.19,0.591837,0.6104,0.99
100,0.635758,0.30303,0.17,0.571429,0.7176,0.98
100,0.517172,0.333333,0.19,0.653061,0.7208,0.99
100,0.710707,0.313131,0.21,0.571429,0.7256,0.99
100,0.286465,0.272727,0.22,0.530612,0.6052,1
100,0.763434,0.282828,0.17,0.571429,0.7592,0.99
100,0.741414,0.313131,0.17,0.591837,0.7248,1
100,0.406869,0.252525,0.19,0.469388,0.6736,0.99
100,0.395354,0.30303,0.24,0.540816,0.7064,0.99
100,0.666667,0.30303,0.21,0.55102,0.6708,1
100,0.595354,0.272727,0.24,0.55102,0.5176,0.94
100,0.354545,0.262626,0.21,0.510204,0.628,0.99
100,0.313939,0.323232,0.22,0.571429,0.6396,0.99
100,0.553535,0.282828,0.21,0.530612,0.634,1
100,0.273333,0.272727,0.23,0.510204,0.6392,1
100,0.46101,0.292929,0.18,0.581633,0.7196,1
100,0.331717,0.30303,0.2,0.571429,0.604,0.98
100,0.392323,0.282828,0.18,0.530612,0.7336,1
100,0.521212,0.262626,0.2,0.510204,0.6516,0.98
100,0.77596,0.313131,0.23,0.510204,0.6228,1
100,0.774747,0.272727,0.21,0.540816,0.7548,0.99
100,0.282626,0.323232,0.21,0.591837,0.6684,0.99
100,0.530505,0.313131,0.19,0.612245,0.6524,1
100,0.735354,0.313131,0.16,0.612245,0.746,0.99
100,0.485859,0.232323,0.23,0.44898,0.6244,0.98
100,0.668687,0.262626,0.21,0.530612,0.5808,0.98
100,0.499394,0.313131,0.18,0.612245,0.7132,0.99
100,0.478788,0.313131,0.19,0.591837,0.7376,0.99
100,0.506465,0.272727,0.21,0.55102,0.6848,0.98
100,0.562424,0.323232,0.2,0.530612,0.64,1
100,0.49596,0.343434,0.22,0.612245,0.6304,1
100,0.450505,0.30303,0.25,0.571429,0.5704,0.98
100,0.488687,0.313131,0.2,0.561224,0.6884,0.98
