n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.540202,0.191919,0.27,0.357143,0.7436,1
100,0.502626,0.181818,0.21,0.326531,0.6748,0.99
100,0.55899,0.181818,0.23,0.346939,0.7756,0.99
100,0.462828,0.171717,0.25,0.346939,0.6432,1
100,0.451313,0.181818,0.27,0.336735,0.6232,0.99
100,0.525253,0.171717,0.28,0.326531,0.7184,0.99
100,0.55697,0.181818,0.23,0.346939,0.7644,1
100,0.467879,0.161616,0.27,0.326531,0.6368,0.99
100,0.489293,0.212121,0.22,0.428571,0.6964,1
100,0.514545,0.171717,0.23,0.346939,0.6988,1
100,0.656162,0.222222,0.19,0.44898,0.848,1
100,0.586465,0.191919,0.2,0.367347,0.8116,1
100,0.430101,0.20202,0.24,0.387755,0.5828,1
100,0.514949,0.141414,0.25,0.265306,0.6964,0.99
100,0.463232,0.181818,0.29,0.346939,0.6388,0.98
100,0.389495,0.161616,0.29,0.306122,0.5444,1
100,0.510101,0.20202,0.21,0.397959,0.69,1
100,0.542222,0.171717,0.26,0.326531,0.7264,1
100,0.426465,0.20202,0.28,0.387755,0.5992,0.99
100,0.578586,0.181818,0.2,0.346939,0.7756,0.99
100,0.46202,0.171717,0.24,0.326531,0.6064,0.99
100,0.51798,0.181818,0.23,0.326531,0.7236,1
100,0.426667,0.181818,0.21,0.346939,0.6044,0.99
100,0.534747,0.191919,0.26,0.316327,0.7124,0.99
100,0.578182,0.191919,0.28,0.346939,0.7648,0.99
100,0.436566,0.191919,0.27,0.326531,0.6292,1
100,0.542222,0.181818,0.25,0.367347,0.7084,0.99
100,0.564646,0.171717,0.19,0.346939,0.7808,1
100,0.523636,0.181818,0.22,0.326531,0.7348,1
100,0.542222,0.141414,0.22,0.285714,0.7856,0.99
100,0.473131,0.20202,0.22,0.408163,0.6364,1
100,0.499596,0.151515,0.26,0.285714,0.678,0.99
100,0.535354,0.161616,0.28,0.295918,0.7204,1
100,0.421212,0.20202,0.28,0.377551,0.6304,0.96
100,0.467273,0.171717,0.25,0.346939,0.6448,1
100,0.475354,0.171717,0.24,0.326531,0.6196,0.99
100,0.674747,0.181818,0.2,0.367347,0.8348,0.96
100,0.481414,0.151515,0.29,0.306122,0.712,0.99
100,0.421414,0.171717,0.32,0.306122,0.5668,1
100,0.314949,0.161616,0.29,0.295918,0.4364,0.96
100,0.536768,0.171717,0.21,0.346939,0.738,1
100,0.573333,0.151515,0.24,0.306122,0.7328,0.97
100,0.502424,0.181818,0.21,0.346939,0.7212,1
100,0.438384,0.171717,0.24,0.326531,0.612,1
100,0.462222,0.171717,0.26,0.285714,0.6812,1
100,0.582626,0.181818,0.22,0.367347,0.7796,0.99
100,0.426667,0.171717,0.26,0.326531,0.5828,1
100,0.493131,0.171717,0.25,0.346939,0.6636,0.99
100,0.46303,0.151515,0.29,0.285714,0.638,1
100,0.491919,0.191919,0.26,0.387755,0.7052,1
100,0.486263,0.141414,0.21,0.255102,0.6844,1
100,0.432525,0.171717,0.28,0.326531,0.586,0.97
100,0.431313,0.181818,0.29,0.346939,0.634,0.99
100,0.392525,0.151515,0.29,0.306122,0.5704,0.99
100,0.600606,0.171717,0.21,0.326531,0.7948,1
100,0.442626,0.181818,0.29,0.346939,0.6516,0.99
100,0.411717,0.171717,0.27,0.306122,0.5908,1
100,0.450505,0.181818,0.26,0.326531,0.6404,0.97
100,0.503636,0.181818,0.23,0.367347,0.6828,1
100,0.415556,0.171717,0.23,0.326531,0.6004,1
100,0.438182,0.161616,0.31,0.316327,0.6252,1
100,0.552929,0.191919,0.23,0.357143,0.7164,0.99
100,0.541212,0.212121,0.2,0.408163,0.7104,0.99
100,0.527677,0.171717,0.23,0.306122,0.7192,0.97
100,0.494343,0.212121,0.18,0.367347,0.7124,1
100,0.468687,0.181818,0.23,0.336735,0.624,1
100,0.352525,0.181818,0.3,0.357143,0.478,0.97
100,0.438788,0.131313,0.29,0.265306,0.6184,1
100,0.458586,0.171717,0.27,0.336735,0.6772,1
100,0.504646,0.212121,0.28,0.408163,0.6804,1
100,0.445455,0.181818,0.25,0.326531,0.6032,0.99
