n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.654545,0.484848,0.16,0.632653,0.7132,0.99
100,0.456566,0.525253,0.17,0.673469,0.5528,0.98
100,0.486667,0.505051,0.17,0.663265,0.6256,0.99
100,0.450505,0.494949,0.18,0.693878,0.6324,0.98
100,0.571919,0.434343,0.17,0.663265,0.6068,0.98
100,0.394545,0.484848,0.24,0.632653,0.5924,0.98
100,0.439394,0.484848,0.18,0.632653,0.6772,1
100,0.432727,0.484848,0.18,0.72449,0.5712,0.99
100,0.385859,0.494949,0.15,0.663265,0.7196,0.99
100,0.582222,0.494949,0.18,0.673469,0.6088,0.99
100,0.622424,0.505051,0.17,0.602041,0.6204,0.98
100,0.249293,0.484848,0.18,0.693878,0.612,0.99
100,0.493131,0.454545,0.15,0.714286,0.71,0.97
100,0.668889,0.555556,0.15,0.591837,0.654,1
100,0.645455,0.535354,0.19,0.714286,0.6016,0.99
100,0.687273,0.515152,0.13,0.673469,0.6568,0.99
100,0.521212,0.494949,0.17,0.642857,0.6936,1
100,0.523838,0.464646,0.15,0.653061,0.6888,0.98
100,0.365455,0.505051,0.16,0.602041,0.7256,0.98
100,0.559798,0.454545,0.18,0.72449,0.67,1
100,0.267273,0.494949,0.19,0.612245,0.6832,1
100,0.602828,0.505051,0.17,0.683673,0.6568,1
100,0.526465,0.525253,0.16,0.673469,0.6392,1
100,0.614949,0.474747,0.16,0.693878,0.7284,1
100,0.386465,0.474747,0.19,0.673469,0.6496,1
100,0.746061,0.494949,0.17,0.744898,0.6448,0.99
100,0.47899,0.464646,0.19,0.673469,0.6424,0.98
100,0.612727,0.505051,0.2,0.622449,0.6668,0.99
100,0.436768,0.474747,0.18,0.663265,0.674,1
100,0.679798,0.515152,0.17,0.622449,0.6568,0.97
100,0.260202,0.454545,0.18,0.642857,0.6732,1
100,0.332121,0.535354,0.17,0.632653,0.632,0.99
100,0.800606,0.424242,0.16,0.653061,0.6504,0.99
100,0.267475,0.494949,0.16,0.77551,0.6504,0.98
100,0.43899,0.484848,0.17,0.55102,0.618,1
100,0.458586,0.464646,0.14,0.653061,0.7284,1
100,0.35697,0.505051,0.15,0.683673,0.6976,1
100,0.318586,0.535354,0.15,0.683673,0.7024,0.99
100,0.543232,0.505051,0.17,0.653061,0.714,1
100,0.539596,0.555556,0.16,0.632653,0.6912,0.98
100,0.550909,0.525253,0.19,0.663265,0.6552,0.99
100,0.468485,0.444444,0.19,0.642857,0.6484,1
100,0.691313,0.484848,0.16,0.663265,0.692,0.99
100,0.445455,0.494949,0.13,0.734694,0.7208,0.97
100,0.299596,0.515152,0.18,0.632653,0.6852,1
100,0.769697,0.525253,0.2,0.693878,0.63,1
100,0.442424,0.515152,0.14,0.72449,0.7152,0.99
100,0.622828,0.535354,0.19,0.714286,0.6352,0.99
100,0.467071,0.525253,0.18,0.612245,0.6816,0.98
100,0.408283,0.494949,0.17,0.714286,0.728,1
100,0.58303,0.505051,0.14,0.663265,0.7188,0.99
100,0.348283,0.484848,0.16,0.714286,0.6632,1
100,0.466869,0.505051,0.2,0.714286,0.6716,0.98
100,0.741616,0.535354,0.21,0.72449,0.6504,0.99
100,0.787677,0.494949,0.14,0.663265,0.7604,0.98
100,0.563232,0.515152,0.16,0.704082,0.7076,0.98
100,0.286263,0.464646,0.19,0.683673,0.5816,0.99
100,0.536566,0.505051,0.16,0.683673,0.6428,0.99
100,0.349697,0.505051,0.17,0.683673,0.6292,0.99
100,0.487475,0.575758,0.15,0.673469,0.6752,1
100,0.345253,0.474747,0.16,0.602041,0.602,0.98
100,0.585455,0.464646,0.2,0.704082,0.6504,1
100,0.359394,0.515152,0.16,0.653061,0.6604,1
100,0.343636,0.494949,0.19,0.632653,0.6744,0.98
100,0.278384,0.484848,0.19,0.642857,0.6448,1
100,0.460808,0.505051,0.19,0.693878,0.65,0.97
100,0.348283,0.494949,0.17,0.683673,0.6108,0.99
100,0.224646,0.525253,0.15,0.704082,0.6316,1
100,0.813333,0.494949,0.15,0.683673,0.7676,0.99
100,0.845859,0.505051,0.17,0.704082,0.6116,0.99
100,0.327071,0.505051,0.19,0.673469,0.6108,0.99
100,0.336566,0.494949,0.18,0.642857,0.6276,0.99
100,0.454949,0.474747,0.17,0.704082,0.6496,1
100,0.430101,0.525253,0.17,0.734694,0.7008,0.99
100,0.404444,0.505051,0.16,0.714286,0.644,0.99
100,0.455354,0.474747,0.16,0.693878,0.7172,0.99
100,0.174949,0.484848,0.22,0.622449,0.624,1
100,0.676768,0.505051,0.15,0.673469,0.6888,0.99
100,0.424242,0.515152,0.15,0.704082,0.666,1
100,0.501212,0.535354,0.14,0.693878,0.7064,0.98
100,0.435556,0.484848,0.17,0.622449,0.658,1
100,0.36303,0.494949,0.18,0.693878,0.688,0.99
100,0.680606,0.494949,0.14,0.653061,0.6476,0.99
100,0.602424,0.505051,0.16,0.673469,0.7204,0.96
100,0.328081,0.474747,0.16,0.653061,0.724,0.99
100,0.345859,0.525253,0.15,0.673469,0.6264,0.98
100,0.462424,0.464646,0.18,0.755102,0.6684,1
100,0.611919,0.515152,0.17,0.663265,0.6936,0.98
100,0.327273,0.464646,0.18,0.561224,0.6224,0.99
100,0.840404,0.505051,0.16,0.663265,0.7152,0.97
100,0.586667,0.474747,0.17,0.72449,0.66,0.97
100,0.631515,0.535354,0.16,0.714286,0.7784,1
100,0.869495,0.525253,0.18,0.765306,0.5636,0.97
100,0.665455,0.494949,0.18,0.693878,0.6752,1
100,0.715354,0.484848,0.14,0.632653,0.7408,1
100,0.36303,0.515152,0.17,0.72449,0.6324,0.98
100,0.630303,0.484848,0.14,0.612245,0.65,0.99
100,0.617374,0.515152,0.15,0.591837,0.666,0.99
100,0.612121,0.484848,0.15,0.693878,0.7208,0.99
100,0.532525,0.505051,0.18,0.683673,0.5924,1
100,0.667475,0.515152,0.15,0.622449,0.6636,0.97
100,0.522222,0.474747,0.17,0.642857,0.6184,0.99
100,0.367071,0.494949,0.15,0.663265,0.7216,1
100,0.314949,0.484848,0.19,0.673469,0.6424,1
100,0.576566,0.484848,0.17,0.704082,0.6764,0.99
100,0.725657,0.505051,0.19,0.673469,0.6436,0.99
100,0.365253,0.484848,0.18,0.653061,0.612,0.99
100,0.589091,0.505051,0.19,0.653061,0.6264,0.99
