n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.237778,0.040404,0.58,0.0816327,0.7576,1
100,0.332929,0.0505051,0.46,0.102041,0.584,1
100,0.403434,0.0505051,0.3,0.0918367,0.8248,1
100,0.714747,0.0606061,0.38,0.122449,0.63,0.99
100,0.449293,0.040404,0.3,0.0816327,0.9324,1
100,0.638788,0.0606061,0.34,0.122449,0.6388,1
100,0.437778,0.0505051,0.46,0.102041,0.5152,0.97
100,0.806465,0.0505051,0.6,0.102041,0.7236,1
100,0.37798,0.0505051,0.4,0.102041,0.7708,0.99
100,0.252323,0.0505051,0.51,0.102041,0.7972,1
100,0.767071,0.0505051,0.27,0.102041,0.7752,0.99
100,0.421414,0.040404,0.55,0.0816327,0.6232,1
100,0.496162,0.0505051,0.44,0.102041,0.6184,0.91
100,0.174141,0.0505051,0.46,0.102041,0.3696,0.99
100,0.626869,0.040404,0.25,0.0816327,0.9568,1
100,0.412121,0.0505051,0.46,0.102041,0.5876,1
100,0.75697,0.040404,0.36,0.0816327,0.8436,1
100,0.718182,0.040404,0.34,0.0816327,0.8392,1
100,0.354545,0.0505051,0.4,0.102041,0.4772,1
100,0.443838,0.040404,0.44,0.0816327,0.85,0.99
100,0.543434,0.0505051,0.46,0.102041,0.694,1
100,0.65798,0.0505051,0.43,0.0918367,0.8028,1
100,0.657374,0.040404,0.39,0.0816327,0.4628,0.96
100,0.459394,0.0505051,0.54,0.102041,0.6396,1
100,0.776364,0.0606061,0.42,0.122449,0.5956,0.98
100,0.605657,0.0606061,0.57,0.112245,0.4976,1
100,0.288889,0.040404,0.45,0.0816327,0.654,1
100,0.376768,0.0505051,0.37,0.102041,0.7188,0.99
100,0.234747,0.0505051,0.27,0.102041,0.8404,0.98
100,0.335354,0.0606061,0.51,0.122449,0.5284,1
100,0.295758,0.0505051,0.36,0.102041,0.6308,1
100,0.490101,0.0606061,0.43,0.122449,0.5824,0.99
100,0.375152,0.0505051,0.3,0.102041,0.7552,1
100,0.595354,0.0505051,0.45,0.102041,0.7888,0.99
100,0.512323,0.040404,0.43,0.0816327,0.7912,1
100,0.342828,0.0606061,0.33,0.122449,0.912,1
100,0.404444,0.0505051,0.37,0.0918367,0.726,1
100,0.265455,0.040404,0.43,0.0816327,0.6144,1
100,0.757172,0.040404,0.5,0.0816327,0.5696,0.97
100,0.40404,0.0505051,0.45,0.102041,0.8564,1
100,0.509495,0.030303,0.47,0.0612245,0.674,1
100,0.349495,0.0606061,0.33,0.122449,0.746,0.99
100,0.243232,0.0505051,0.52,0.0918367,0.5976,1
100,0.642222,0.0505051,0.43,0.102041,0.3852,0.98
100,0.586869,0.0505051,0.32,0.102041,0.8376,0.99
100,0.532323,0.0505051,0.34,0.102041,0.8324,1
100,0.319596,0.0505051,0.75,0.102041,0.214,1
100,0.250707,0.0606061,0.33,0.122449,0.744,0.97
100,0.415556,0.0505051,0.33,0.102041,0.5924,0.99
100,0.421212,0.0505051,0.36,0.102041,0.8832,1
100,0.606667,0.0606061,0.32,0.122449,0.7772,0.99
100,0.243838,0.0606061,0.4,0.122449,0.6724,0.96
100,0.353939,0.0606061,0.28,0.122449,0.7704,1
100,0.233333,0.040404,0.38,0.0816327,0.7304,1
52,0.741327,0.0784314,0.576923,0.16,0.423077,1
100,0.74303,0.0505051,0.45,0.102041,0.4768,1
100,0.669091,0.0606061,0.38,0.122449,0.5704,1
100,0.749697,0.0505051,0.54,0.102041,0.472,1
100,0.348283,0.030303,0.6,0.0612245,0.6328,0.99
100,0.698182,0.0505051,0.62,0.102041,0.4828,1
100,0.300404,0.040404,0.52,0.0816327,0.6872,0.99
100,0.454141,0.0606061,0.36,0.122449,0.7268,0.99
100,0.273535,0.0707071,0.6,0.142857,0.3084,0.91
100,0.732525,0.040404,0.38,0.0816327,0.5516,1
100,0.438586,0.0505051,0.39,0.102041,0.5892,1
100,0.254949,0.040404,0.45,0.0816327,0.5244,0.98
100,0.421818,0.040404,0.57,0.0816327,0.6272,0.98
100,0.503434,0.040404,0.55,0.0714286,0.3348,0.98
100,0.711919,0.0505051,0.27,0.102041,0.8928,0.98
100,0.450303,0.040404,0.33,0.0816327,0.7224,0.99
100,0.437576,0.0505051,0.33,0.102041,0.8124,1
100,0.395152,0.0505051,0.46,0.102041,0.654,1
100,0.270909,0.0505051,0.33,0.102041,0.7884,0.98
100,0.257576,0.0505051,0.33,0.102041,0.6972,1
100,0.679394,0.040404,0.44,0.0816327,0.7412,1
100,0.392525,0.040404,0.5,0.0816327,0.5352,1
100,0.643232,0.0606061,0.39,0.122449,0.62,0.97
100,0.494141,0.040404,0.4,0.0816327,0.6072,1
100,0.321818,0.0505051,0.41,0.102041,0.534,1
100,0.486869,0.0505051,0.41,0.102041,0.7268,0.99
100,0.43899,0.0606061,0.44,0.122449,0.6744,1
100,0.369899,0.0505051,0.42,0.102041,0.5188,0.99
100,0.328889,0.040404,0.53,0.0816327,0.5384,0.99
100,0.279798,0.040404,0.44,0.0816327,0.6968,1
100,0.564444,0.040404,0.42,0.0816327,0.8748,1
100,0.203232,0.040404,0.56,0.0816327,0.2948,1
100,0.621212,0.0505051,0.34,0.0918367,0.9816,1
100,0.37798,0.0505051,0.33,0.102041,0.9632,1
100,0.296364,0.040404,0.42,0.0816327,0.7112,1
100,0.595152,0.0606061,0.4,0.122449,0.5892,0.98
100,0.720808,0.0505051,0.33,0.102041,0.8488,1
100,0.548687,0.0505051,0.44,0.102041,0.462,0.97
100,0.461616,0.0505051,0.55,0.102041,0.4324,1
100,0.467475,0.0606061,0.45,0.122449,0.5908,0.99
100,0.379192,0.0505051,0.41,0.102041,0.604,0.99
100,0.631515,0.040404,0.52,0.0816327,0.4408,1
100,0.284646,0.0505051,0.43,0.102041,0.5416,0.99
100,0.490303,0.0606061,0.5,0.112245,0.6988,0.99
100,0.429495,0.040404,0.38,0.0816327,0.9212,1
100,0.516566,0.0505051,0.41,0.102041,0.876,1
100,0.282828,0.040404,0.47,0.0816327,0.7624,1
100,0.213737,0.0505051,0.35,0.102041,0.6372,0.99
100,0.532727,0.0505051,0.51,0.102041,0.3648,0.99
100,0.736566,0.0505051,0.43,0.102041,0.728,1
100,0.496364,0.0505051,0.34,0.102041,0.6636,0.98
100,0.521414,0.0505051,0.35,0.102041,0.8396,1
100,0.80404,0.0505051,0.45,0.102041,0.8276,1
100,0.228889,0.040404,0.38,0.0816327,0.5476,1
100,0.535152,0.0505051,0.44,0.0918367,0.804,1
100,0.52,0.0505051,0.3,0.0918367,0.9672,1
100,0.685859,0.0505051,0.43,0.102041,0.5992,0.99
100,0.849899,0.0505051,0.4,0.0918367,0.5656,1
100,0.652727,0.0505051,0.36,0.102041,0.9196,1
100,0.296566,0.0505051,0.36,0.102041,0.7488,0.98
100,0.654747,0.0505051,0.55,0.0918367,0.7244,1
100,0.652929,0.040404,0.31,0.0816327,0.828,0.99
100,0.366061,0.0606061,0.46,0.122449,0.4464,0.98
100,0.703838,0.0505051,0.43,0.0918367,0.9016,1
100,0.413939,0.0505051,0.44,0.102041,0.5516,0.99
100,0.504848,0.040404,0.47,0.0816327,0.8456,1
100,0.616364,0.0505051,0.47,0.102041,0.6184,1
100,0.553939,0.0505051,0.5,0.102041,0.3464,0.97
100,0.394545,0.0505051,0.44,0.102041,0.624,1
100,0.497374,0.0505051,0.57,0.102041,0.4448,1
100,0.314545,0.0505051,0.38,0.102041,0.532,1
100,0.343434,0.0505051,0.43,0.102041,0.9092,1
100,0.49899,0.0606061,0.45,0.122449,0.496,1
100,0.292525,0.040404,0.51,0.0816327,0.5044,0.99
100,0.330303,0.040404,0.68,0.0816327,0.5356,0.99
100,0.805051,0.0505051,0.44,0.102041,0.5504,1
100,0.26101,0.0505051,0.41,0.102041,0.624,1
100,0.37697,0.0505051,0.32,0.102041,0.8572,1
100,0.492323,0.0505051,0.55,0.102041,0.5224,1
100,0.315354,0.0606061,0.34,0.122449,0.7204,0.99
100,0.417172,0.040404,0.4,0.0816327,0.6772,0.99
100,0.523434,0.0505051,0.36,0.102041,0.73,1
100,0.27798,0.0505051,0.38,0.102041,0.736,1
100,0.324242,0.0505051,0.4,0.102041,0.6716,0.99
100,0.32202,0.040404,0.7,0.0816327,0.2936,0.95
100,0.564848,0.040404,0.35,0.0816327,0.9732,0.99
100,0.260202,0.0606061,0.32,0.122449,0.802,0.99
100,0.353131,0.040404,0.45,0.0816327,0.548,0.97
100,0.484242,0.0505051,0.42,0.102041,0.4428,1
100,0.207879,0.030303,0.62,0.0612245,0.284,0.87
100,0.567071,0.0707071,0.31,0.132653,0.604,1
100,0.37899,0.0505051,0.38,0.102041,0.5232,0.86
100,0.710707,0.0505051,0.39,0.102041,0.7244,0.99
100,0.203838,0.040404,0.55,0.0816327,0.376,0.98
100,0.302222,0.0505051,0.42,0.102041,0.6552,1
100,0.362626,0.0606061,0.5,0.122449,0.3808,0.97
100,0.538586,0.040404,0.51,0.0816327,0.6252,0.99
100,0.656566,0.0606061,0.37,0.122449,0.5444,1
100,0.318384,0.0505051,0.45,0.102041,0.502,1
100,0.366061,0.0606061,0.34,0.122449,0.6488,0.97
100,0.264646,0.040404,0.5,0.0816327,0.7696,1
100,0.327071,0.040404,0.5,0.0816327,0.662,1
100,0.318788,0.040404,0.4,0.0816327,0.7016,0.98
100,0.461818,0.0606061,0.42,0.122449,0.664,1
100,0.587879,0.0505051,0.33,0.102041,0.5508,0.98
100,0.712929,0.0505051,0.34,0.102041,0.89,1
100,0.217778,0.0505051,0.54,0.102041,0.7168,0.99
100,0.3,0.0606061,0.31,0.122449,0.798,0.99
100,0.250505,0.0505051,0.44,0.102041,0.6948,0.95
100,0.709899,0.040404,0.51,0.0816327,0.7152,0.98
100,0.241212,0.0505051,0.47,0.102041,0.8492,1
100,0.578788,0.040404,0.5,0.0816327,0.4688,0.99
100,0.271313,0.040404,0.62,0.0816327,0.5432,1
100,0.248687,0.040404,0.52,0.0816327,0.4188,0.8
100,0.669293,0.0505051,0.45,0.102041,0.5468,0.99
100,0.218384,0.040404,0.46,0.0816327,0.5792,0.89
100,0.321414,0.0505051,0.38,0.102041,0.8936,1
100,0.569495,0.0606061,0.41,0.112245,0.7824,1
100,0.754545,0.0606061,0.48,0.122449,0.4268,0.9
100,0.256566,0.040404,0.33,0.0816327,0.8316,1
100,0.222222,0.0505051,0.43,0.102041,0.4868,0.99
100,0.423636,0.040404,0.33,0.0816327,0.8108,1
100,0.346061,0.040404,0.65,0.0816327,0.5324,0.99
100,0.413333,0.0505051,0.37,0.102041,0.6364,1
100,0.471111,0.040404,0.45,0.0816327,0.7444,0.99
100,0.460606,0.0505051,0.49,0.102041,0.6664,1
100,0.465859,0.0606061,0.39,0.122449,0.7448,1
100,0.624646,0.0707071,0.32,0.142857,0.6904,1
100,0.206869,0.040404,0.47,0.0816327,0.9648,1
100,0.437576,0.0505051,0.55,0.0918367,0.344,1
100,0.445657,0.0505051,0.46,0.102041,0.6756,0.99
100,0.730707,0.0707071,0.37,0.142857,0.7564,1
100,0.321212,0.0505051,0.46,0.102041,0.592,1
100,0.377172,0.0505051,0.66,0.0918367,0.2692,0.98
100,0.274949,0.040404,0.42,0.0816327,0.7196,1
100,0.357576,0.0505051,0.47,0.102041,0.5212,0.94
100,0.808687,0.0505051,0.46,0.102041,0.5916,0.97
100,0.394141,0.0505051,0.37,0.0918367,0.8664,0.97
