n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.457778,0.40404,0.18,0.632653,0.6584,0.99
100,0.325051,0.444444,0.2,0.571429,0.5896,1
100,0.738384,0.474747,0.2,0.561224,0.6136,0.99
100,0.411515,0.454545,0.19,0.632653,0.6328,0.99
100,0.292525,0.484848,0.17,0.581633,0.6652,0.99
100,0.469697,0.434343,0.2,0.693878,0.6008,1
100,0.466869,0.464646,0.21,0.55102,0.6552,0.98
100,0.38202,0.424242,0.18,0.602041,0.6024,0.99
100,0.507677,0.434343,0.17,0.642857,0.7036,0.99
100,0.366263,0.434343,0.18,0.663265,0.6636,1
100,0.524242,0.494949,0.15,0.561224,0.6988,1
100,0.278586,0.434343,0.18,0.642857,0.6728,1
100,0.423636,0.505051,0.13,0.632653,0.8168,0.98
100,0.854545,0.414141,0.2,0.55102,0.6316,0.96
100,0.493535,0.434343,0.17,0.571429,0.6984,0.99
100,0.438586,0.434343,0.15,0.612245,0.6768,0.99
100,0.311919,0.474747,0.15,0.663265,0.7068,0.98
100,0.599192,0.40404,0.17,0.612245,0.6348,0.99
100,0.492525,0.444444,0.16,0.632653,0.7248,1
100,0.590101,0.535354,0.15,0.642857,0.7784,0.99
100,0.426061,0.444444,0.16,0.612245,0.7144,1
100,0.362626,0.434343,0.19,0.571429,0.654,1
100,0.309091,0.484848,0.19,0.622449,0.636,0.98
100,0.591313,0.414141,0.16,0.632653,0.7024,1
100,0.345253,0.464646,0.18,0.653061,0.6448,0.99
100,0.523434,0.474747,0.16,0.653061,0.6544,1
100,0.40101,0.484848,0.18,0.693878,0.6404,0.99
100,0.401212,0.454545,0.18,0.653061,0.65,0.98
100,0.553131,0.515152,0.16,0.622449,0.6532,1
100,0.774141,0.454545,0.19,0.622449,0.634,0.99
100,0.225859,0.454545,0.17,0.642857,0.6076,1
100,0.587879,0.454545,0.2,0.581633,0.6112,0.99
100,0.559192,0.434343,0.17,0.642857,0.6184,0.99
100,0.661212,0.424242,0.22,0.693878,0.5564,1
100,0.571717,0.464646,0.19,0.663265,0.65,1
100,0.606869,0.424242,0.17,0.683673,0.6688,0.99
100,0.564242,0.494949,0.17,0.612245,0.6672,1
100,0.236768,0.444444,0.22,0.612245,0.6008,1
100,0.914545,0.464646,0.18,0.642857,0.6964,1
100,0.666667,0.515152,0.14,0.693878,0.744,1
100,0.247677,0.454545,0.16,0.714286,0.6572,1
100,0.762626,0.464646,0.15,0.581633,0.6376,0.99
100,0.768889,0.494949,0.17,0.683673,0.6652,1
100,0.39798,0.414141,0.21,0.591837,0.6084,0.98
100,0.352727,0.454545,0.19,0.693878,0.5852,0.98
100,0.423636,0.424242,0.2,0.612245,0.6504,0.99
100,0.652525,0.454545,0.16,0.642857,0.7056,0.98
100,0.403636,0.454545,0.16,0.714286,0.7112,0.99
100,0.77596,0.414141,0.18,0.571429,0.6336,1
100,0.539192,0.464646,0.21,0.673469,0.5476,0.98
100,0.497576,0.40404,0.18,0.653061,0.6636,0.96
100,0.818182,0.535354,0.16,0.673469,0.6996,0.97
100,0.441414,0.484848,0.17,0.653061,0.6232,1
100,0.674343,0.494949,0.14,0.622449,0.7216,1
100,0.332929,0.434343,0.17,0.602041,0.6972,1
100,0.470303,0.414141,0.16,0.642857,0.7068,0.97
100,0.397576,0.434343,0.18,0.642857,0.6856,0.98
100,0.448283,0.454545,0.21,0.622449,0.6196,0.97
100,0.316566,0.444444,0.21,0.632653,0.564,0.98
100,0.33596,0.505051,0.16,0.622449,0.6356,1
100,0.598384,0.40404,0.18,0.602041,0.7168,0.99
100,0.633131,0.40404,0.2,0.642857,0.6684,0.97
100,0.32202,0.484848,0.19,0.622449,0.6512,1
100,0.694747,0.484848,0.16,0.632653,0.6936,0.99
100,0.794545,0.444444,0.15,0.622449,0.622,1
100,0.524242,0.40404,0.17,0.622449,0.6664,0.98
100,0.285051,0.474747,0.18,0.642857,0.7316,0.99
100,0.72404,0.484848,0.17,0.673469,0.6868,0.99
100,0.432727,0.444444,0.14,0.602041,0.7572,0.99
100,0.772727,0.464646,0.15,0.642857,0.672,1
100,0.401616,0.444444,0.21,0.653061,0.5716,0.96
100,0.904646,0.464646,0.19,0.602041,0.5888,1
100,0.358788,0.434343,0.17,0.581633,0.67,0.99
100,0.564242,0.454545,0.19,0.683673,0.684,0.99
100,0.408081,0.444444,0.15,0.683673,0.7024,0.99
100,0.439192,0.454545,0.16,0.642857,0.6548,0.99
100,0.626263,0.464646,0.17,0.683673,0.6376,1
100,0.466869,0.434343,0.16,0.581633,0.6684,1
100,0.252121,0.484848,0.17,0.683673,0.6848,0.99
