n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.670505,0.262626,0.2,0.510204,0.6232,0.99
100,0.771313,0.292929,0.23,0.530612,0.7532,0.99
100,0.754949,0.282828,0.19,0.5,0.7316,0.99
100,0.666667,0.282828,0.16,0.510204,0.8164,1
100,0.312323,0.252525,0.17,0.428571,0.7504,0.98
100,0.344242,0.252525,0.18,0.479592,0.6744,1
100,0.738788,0.232323,0.2,0.469388,0.6484,1
100,0.770505,0.282828,0.27,0.530612,0.5072,0.99
100,0.667475,0.30303,0.17,0.55102,0.7032,0.99
100,0.450707,0.272727,0.21,0.469388,0.648,0.99
100,0.308081,0.262626,0.19,0.489796,0.74,0.99
100,0.74303,0.232323,0.18,0.438776,0.6872,0.99
100,0.394545,0.242424,0.25,0.44898,0.564,1
100,0.859192,0.252525,0.23,0.418367,0.6808,1
100,0.546869,0.272727,0.21,0.479592,0.6232,1
100,0.718384,0.282828,0.22,0.510204,0.6768,1
100,0.82101,0.262626,0.16,0.5,0.7584,0.99
100,0.36101,0.282828,0.25,0.510204,0.5748,0.94
100,0.621818,0.252525,0.2,0.44898,0.7524,1
100,0.323434,0.282828,0.21,0.5,0.652,0.99
100,0.293939,0.222222,0.19,0.428571,0.7268,1
100,0.500606,0.252525,0.18,0.5,0.6612,1
100,0.401818,0.252525,0.24,0.44898,0.56,1
100,0.302626,0.30303,0.18,0.530612,0.6456,1
100,0.848687,0.262626,0.19,0.44898,0.7336,1
100,0.341212,0.262626,0.17,0.5,0.748,1
100,0.468889,0.272727,0.22,0.530612,0.7,0.98
100,0.708283,0.262626,0.2,0.510204,0.7192,0.99
100,0.345253,0.272727,0.19,0.510204,0.7292,1
100,0.744848,0.242424,0.23,0.469388,0.6472,0.99
100,0.405051,0.262626,0.22,0.510204,0.6808,0.99
100,0.312929,0.292929,0.18,0.510204,0.6772,0.98
100,0.338182,0.232323,0.17,0.459184,0.7564,0.99
100,0.522626,0.252525,0.18,0.510204,0.6912,0.99
100,0.786061,0.262626,0.2,0.479592,0.75,1
100,0.667475,0.232323,0.21,0.44898,0.6248,0.96
100,0.37697,0.242424,0.26,0.438776,0.4908,1
100,0.764444,0.252525,0.21,0.489796,0.532,0.97
100,0.534747,0.252525,0.15,0.489796,0.7704,0.98
100,0.432929,0.282828,0.16,0.479592,0.7816,0.99
100,0.561414,0.282828,0.2,0.479592,0.6668,1
100,0.521818,0.323232,0.22,0.55102,0.5864,0.99
100,0.365051,0.272727,0.22,0.428571,0.6112,1
100,0.41596,0.242424,0.19,0.438776,0.6436,0.98
100,0.701212,0.232323,0.21,0.44898,0.6724,1
100,0.451515,0.292929,0.22,0.530612,0.5968,0.99
100,0.772121,0.272727,0.19,0.510204,0.7392,0.99
100,0.531717,0.272727,0.19,0.510204,0.7164,1
100,0.6,0.252525,0.18,0.469388,0.7144,0.98
100,0.307475,0.262626,0.19,0.459184,0.728,1
100,0.748889,0.242424,0.2,0.469388,0.7528,0.99
100,0.221414,0.262626,0.24,0.5,0.5196,0.99
100,0.809293,0.252525,0.22,0.438776,0.6436,1
100,0.620606,0.222222,0.18,0.387755,0.708,0.99
100,0.451111,0.242424,0.18,0.438776,0.6104,0.96
100,0.425051,0.252525,0.24,0.459184,0.618,0.98
100,0.318384,0.232323,0.21,0.44898,0.6036,0.99
100,0.411919,0.242424,0.21,0.44898,0.6212,0.98
100,0.521212,0.272727,0.25,0.469388,0.564,0.99
100,0.621414,0.272727,0.23,0.5,0.5772,1
100,0.27899,0.242424,0.2,0.459184,0.7764,0.99
100,0.406869,0.292929,0.19,0.530612,0.6592,1
100,0.760404,0.242424,0.19,0.44898,0.6468,0.99
100,0.719192,0.222222,0.23,0.408163,0.6776,0.99
100,0.711919,0.282828,0.23,0.520408,0.7352,1
100,0.330909,0.232323,0.21,0.44898,0.6412,0.99
100,0.464444,0.252525,0.26,0.510204,0.6416,0.99
100,0.393333,0.252525,0.21,0.469388,0.6324,0.99
100,0.352525,0.272727,0.2,0.5,0.7292,0.99
100,0.750707,0.282828,0.21,0.561224,0.6804,0.99
100,0.412323,0.252525,0.25,0.479592,0.6636,0.98
100,0.545253,0.272727,0.2,0.510204,0.6708,1
