n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.520404,0.252525,0.21,0.510204,0.6904,1
100,0.56404,0.232323,0.2,0.438776,0.7572,0.99
100,0.525455,0.292929,0.23,0.540816,0.7232,1
100,0.571515,0.252525,0.18,0.44898,0.7848,0.99
100,0.454949,0.333333,0.19,0.530612,0.636,0.99
100,0.588283,0.292929,0.17,0.540816,0.8048,0.99
100,0.568889,0.30303,0.19,0.561224,0.7492,1
100,0.574949,0.262626,0.18,0.510204,0.7944,1
100,0.453131,0.292929,0.19,0.479592,0.6308,1
100,0.449697,0.232323,0.22,0.428571,0.6208,0.98
100,0.486869,0.292929,0.19,0.591837,0.652,1
100,0.450101,0.282828,0.22,0.510204,0.612,1
100,0.510101,0.252525,0.22,0.489796,0.6936,0.99
100,0.491515,0.262626,0.2,0.520408,0.6912,0.99
100,0.542828,0.262626,0.16,0.489796,0.7272,1
100,0.540202,0.353535,0.21,0.591837,0.758,1
100,0.489293,0.292929,0.19,0.5,0.6632,1
100,0.552929,0.292929,0.18,0.520408,0.7804,0.99
100,0.442424,0.272727,0.23,0.520408,0.602,0.99
100,0.481818,0.282828,0.22,0.530612,0.656,1
100,0.455152,0.313131,0.22,0.55102,0.6072,0.98
100,0.481818,0.252525,0.2,0.469388,0.6928,1
100,0.481414,0.262626,0.23,0.438776,0.7076,1
100,0.445253,0.242424,0.22,0.479592,0.6252,1
100,0.530505,0.323232,0.18,0.55102,0.698,0.96
100,0.588889,0.313131,0.17,0.571429,0.7728,1
100,0.486263,0.30303,0.21,0.55102,0.6496,0.97
100,0.503434,0.292929,0.21,0.530612,0.6884,0.99
100,0.444444,0.282828,0.25,0.520408,0.5972,0.97
100,0.52,0.30303,0.2,0.530612,0.7088,0.99
100,0.437576,0.30303,0.23,0.581633,0.5876,0.98
100,0.527273,0.272727,0.18,0.520408,0.7012,1
100,0.467273,0.222222,0.21,0.438776,0.6248,0.98
100,0.372727,0.292929,0.22,0.520408,0.5276,0.98
100,0.489091,0.222222,0.19,0.387755,0.7004,0.99
100,0.476768,0.262626,0.19,0.489796,0.6976,0.99
100,0.497374,0.272727,0.19,0.520408,0.6488,0.99
100,0.485657,0.242424,0.17,0.469388,0.6672,0.99
100,0.496162,0.323232,0.19,0.591837,0.678,0.98
100,0.451313,0.30303,0.22,0.520408,0.6004,0.99
100,0.514747,0.282828,0.2,0.510204,0.6996,0.99
100,0.485455,0.252525,0.21,0.489796,0.658,0.99
100,0.474747,0.30303,0.2,0.510204,0.6408,0.99
100,0.428889,0.282828,0.22,0.459184,0.6056,1
100,0.388081,0.292929,0.23,0.571429,0.528,0.99
100,0.532929,0.262626,0.17,0.469388,0.7236,1
100,0.56,0.272727,0.17,0.438776,0.7372,1
100,0.410303,0.252525,0.24,0.428571,0.5536,0.98
100,0.472727,0.252525,0.21,0.44898,0.6456,1
100,0.486061,0.262626,0.19,0.5,0.6712,1
100,0.425859,0.262626,0.21,0.469388,0.6112,0.98
100,0.455556,0.272727,0.26,0.459184,0.6548,1
100,0.561616,0.282828,0.21,0.520408,0.6996,1
100,0.514343,0.30303,0.18,0.530612,0.6852,1
100,0.474949,0.30303,0.18,0.55102,0.6284,1
100,0.448889,0.313131,0.2,0.510204,0.6184,0.98
100,0.482626,0.262626,0.21,0.5,0.6324,1
100,0.434747,0.252525,0.22,0.489796,0.5908,1
100,0.47596,0.313131,0.2,0.530612,0.6548,0.98
100,0.416768,0.252525,0.27,0.479592,0.576,0.98
100,0.464848,0.272727,0.25,0.5,0.6512,0.99
100,0.516162,0.30303,0.18,0.510204,0.6924,0.97
100,0.581212,0.272727,0.18,0.5,0.7768,0.99
100,0.472121,0.272727,0.2,0.479592,0.6116,0.99
100,0.480808,0.262626,0.23,0.489796,0.624,0.97
100,0.53798,0.292929,0.17,0.510204,0.7328,1
100,0.460202,0.282828,0.17,0.55102,0.6472,0.98
100,0.446465,0.252525,0.24,0.459184,0.65,0.99
100,0.610505,0.262626,0.19,0.479592,0.81,0.99
100,0.573939,0.272727,0.17,0.510204,0.7204,0.99
100,0.425859,0.252525,0.24,0.510204,0.5672,0.99
100,0.528687,0.282828,0.22,0.5,0.6836,0.98
100,0.518182,0.242424,0.2,0.469388,0.6772,1
100,0.50404,0.272727,0.19,0.489796,0.6772,0.98
100,0.52202,0.282828,0.22,0.459184,0.6844,0.99
100,0.550707,0.272727,0.17,0.438776,0.7388,1
100,0.56303,0.272727,0.2,0.489796,0.7528,0.99
100,0.501616,0.282828,0.22,0.459184,0.6732,0.99
100,0.550505,0.262626,0.16,0.489796,0.76,1
100,0.458586,0.262626,0.19,0.479592,0.6152,0.96
100,0.530303,0.282828,0.2,0.530612,0.6992,1
100,0.501414,0.282828,0.2,0.428571,0.6756,0.99
100,0.548889,0.262626,0.21,0.489796,0.6952,0.97
100,0.581212,0.272727,0.17,0.438776,0.7732,1
100,0.538384,0.30303,0.2,0.540816,0.6852,0.98
100,0.53899,0.212121,0.19,0.408163,0.7296,0.97
100,0.538384,0.282828,0.16,0.540816,0.6876,0.99
100,0.487677,0.292929,0.2,0.5,0.6916,1
100,0.492727,0.242424,0.22,0.479592,0.6556,0.98
100,0.484646,0.292929,0.2,0.5,0.6552,0.97
100,0.50202,0.30303,0.19,0.571429,0.6868,0.99
100,0.446465,0.292929,0.21,0.561224,0.6332,1
100,0.54303,0.262626,0.18,0.489796,0.7544,0.99
100,0.473535,0.292929,0.21,0.520408,0.6856,0.99
100,0.436768,0.30303,0.22,0.459184,0.6088,0.99
100,0.595152,0.252525,0.18,0.5,0.7708,0.99
100,0.55899,0.292929,0.19,0.520408,0.7504,0.99
100,0.468081,0.232323,0.21,0.459184,0.634,0.99
100,0.515354,0.262626,0.16,0.510204,0.716,0.99
100,0.48404,0.242424,0.21,0.428571,0.7116,1
100,0.509091,0.313131,0.2,0.561224,0.69,1
100,0.616364,0.242424,0.16,0.469388,0.8092,1
100,0.539394,0.292929,0.2,0.530612,0.7304,1
100,0.368485,0.262626,0.26,0.510204,0.504,0.95
100,0.517576,0.272727,0.19,0.520408,0.708,0.99
100,0.465657,0.282828,0.17,0.510204,0.6376,0.97
100,0.573131,0.252525,0.17,0.44898,0.7612,1
100,0.535354,0.292929,0.17,0.469388,0.6968,1
100,0.510505,0.313131,0.2,0.581633,0.6948,1
100,0.453333,0.252525,0.21,0.469388,0.6356,0.98
100,0.379596,0.242424,0.27,0.428571,0.502,0.98
