n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.267273,0.474747,0.18,0.602041,0.6664,1
100,0.701616,0.555556,0.17,0.663265,0.6212,1
100,0.490707,0.525253,0.17,0.72449,0.6132,1
100,0.383636,0.545455,0.19,0.612245,0.6352,0.98
100,0.551919,0.464646,0.17,0.642857,0.6836,1
100,0.512929,0.505051,0.15,0.683673,0.6692,0.99
100,0.383434,0.535354,0.16,0.673469,0.6824,1
100,0.250505,0.545455,0.16,0.632653,0.732,0.97
100,0.461818,0.555556,0.16,0.704082,0.622,0.99
100,0.348687,0.545455,0.16,0.683673,0.6352,0.99
100,0.221414,0.484848,0.17,0.714286,0.6612,0.99
100,0.315354,0.464646,0.15,0.663265,0.6216,1
100,0.41596,0.464646,0.16,0.642857,0.6916,0.99
100,0.643838,0.414141,0.18,0.663265,0.7028,0.99
100,0.293535,0.474747,0.16,0.683673,0.7204,0.99
100,0.642222,0.474747,0.16,0.673469,0.6684,0.99
100,0.34404,0.484848,0.13,0.632653,0.7664,0.99
100,0.256566,0.454545,0.15,0.612245,0.7508,1
100,0.516364,0.545455,0.17,0.704082,0.6244,1
100,0.522626,0.494949,0.17,0.632653,0.6292,0.99
100,0.487273,0.555556,0.18,0.602041,0.5452,0.98
100,0.606061,0.494949,0.14,0.704082,0.7148,0.99
100,0.474141,0.444444,0.17,0.734694,0.6432,0.99
100,0.283838,0.474747,0.17,0.693878,0.6764,1
100,0.56404,0.444444,0.17,0.642857,0.6544,1
100,0.408081,0.494949,0.14,0.663265,0.67,0.98
100,0.373131,0.525253,0.15,0.612245,0.6688,0.99
100,0.592121,0.474747,0.19,0.653061,0.6444,1
100,0.479596,0.464646,0.19,0.663265,0.5648,1
100,0.332727,0.474747,0.17,0.663265,0.7176,0.98
100,0.506061,0.505051,0.18,0.632653,0.6,0.98
100,0.300202,0.484848,0.17,0.622449,0.5996,1
100,0.449697,0.545455,0.15,0.72449,0.678,0.98
100,0.496768,0.505051,0.16,0.72449,0.6496,0.99
100,0.499192,0.515152,0.15,0.673469,0.6772,0.98
100,0.510303,0.505051,0.17,0.683673,0.6948,0.97
100,0.361212,0.545455,0.16,0.642857,0.6924,1
100,0.723838,0.525253,0.16,0.663265,0.7036,1
100,0.594141,0.494949,0.17,0.612245,0.62,0.98
100,0.749293,0.464646,0.14,0.632653,0.6416,1
100,0.465859,0.474747,0.16,0.744898,0.662,1
100,0.346061,0.494949,0.18,0.693878,0.6884,1
100,0.357172,0.464646,0.15,0.673469,0.7096,0.99
100,0.659394,0.464646,0.16,0.663265,0.6292,0.99
100,0.292525,0.535354,0.17,0.693878,0.598,1
100,0.581414,0.464646,0.16,0.693878,0.6624,0.99
100,0.394343,0.474747,0.14,0.683673,0.6856,1
100,0.490707,0.484848,0.17,0.683673,0.6768,1
100,0.554343,0.515152,0.19,0.663265,0.6612,0.99
100,0.591717,0.555556,0.17,0.704082,0.5872,1
100,0.486869,0.474747,0.15,0.744898,0.7256,0.99
100,0.592121,0.464646,0.17,0.714286,0.6756,1
100,0.34,0.555556,0.16,0.673469,0.7324,0.99
100,0.682222,0.454545,0.2,0.755102,0.71,0.99
100,0.693939,0.575758,0.15,0.632653,0.6864,1
100,0.34404,0.494949,0.18,0.622449,0.6332,0.99
100,0.64404,0.494949,0.18,0.642857,0.6588,1
100,0.730707,0.454545,0.18,0.622449,0.6232,0.99
100,0.734747,0.535354,0.15,0.663265,0.7056,0.98
100,0.285859,0.515152,0.16,0.673469,0.6484,0.99
100,0.369697,0.474747,0.15,0.653061,0.682,1
100,0.445455,0.555556,0.16,0.653061,0.6788,1
100,0.293131,0.515152,0.15,0.673469,0.764,1
100,0.386667,0.515152,0.17,0.632653,0.684,0.99
100,0.78,0.515152,0.18,0.632653,0.6516,0.99
100,0.625859,0.464646,0.15,0.571429,0.736,0.98
100,0.422424,0.484848,0.18,0.704082,0.6636,1
100,0.567071,0.525253,0.16,0.632653,0.6856,1
100,0.834141,0.555556,0.16,0.683673,0.6748,1
100,0.466263,0.464646,0.18,0.663265,0.5924,1
100,0.438384,0.525253,0.18,0.683673,0.6152,0.96
100,0.502222,0.525253,0.18,0.642857,0.6492,0.99
100,0.557374,0.464646,0.17,0.653061,0.6636,0.99
100,0.707879,0.484848,0.17,0.581633,0.6976,0.98
100,0.653939,0.434343,0.18,0.663265,0.6532,0.99
100,0.55596,0.505051,0.17,0.714286,0.6352,1
100,0.753737,0.494949,0.15,0.714286,0.7244,0.99
100,0.323838,0.525253,0.18,0.663265,0.6964,0.97
100,0.367071,0.444444,0.17,0.663265,0.6868,0.99
100,0.52303,0.454545,0.2,0.642857,0.6348,0.99
100,0.774949,0.505051,0.13,0.663265,0.742,0.99
