n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.288485,0.474747,0.19,0.663265,0.6092,0.99
100,0.433333,0.525253,0.15,0.683673,0.7024,1
100,0.404848,0.464646,0.18,0.602041,0.6632,1
100,0.350101,0.515152,0.17,0.683673,0.6868,0.99
100,0.241212,0.535354,0.15,0.663265,0.6336,1
100,0.407879,0.525253,0.17,0.673469,0.6488,0.99
100,0.38101,0.474747,0.16,0.653061,0.7224,0.99
100,0.758586,0.444444,0.18,0.693878,0.7072,1
100,0.547475,0.525253,0.17,0.663265,0.7072,1
100,0.781212,0.464646,0.17,0.704082,0.6712,0.99
100,0.38101,0.474747,0.19,0.612245,0.6264,0.97
100,0.713535,0.515152,0.16,0.571429,0.6684,0.99
100,0.617576,0.494949,0.15,0.704082,0.6632,0.99
100,0.433535,0.505051,0.2,0.673469,0.584,0.99
100,0.516162,0.474747,0.17,0.663265,0.6932,0.99
100,0.688687,0.545455,0.16,0.714286,0.7528,1
100,0.618182,0.484848,0.15,0.653061,0.698,1
100,0.790303,0.444444,0.21,0.632653,0.6396,1
100,0.688081,0.535354,0.17,0.642857,0.6156,0.98
100,0.323232,0.494949,0.2,0.602041,0.5644,0.98
100,0.651919,0.545455,0.16,0.622449,0.676,1
100,0.540808,0.525253,0.18,0.632653,0.6396,0.99
100,0.238384,0.494949,0.17,0.734694,0.6972,0.98
100,0.666667,0.494949,0.19,0.653061,0.6732,0.99
100,0.66404,0.535354,0.15,0.602041,0.7208,1
100,0.780404,0.464646,0.15,0.632653,0.7144,0.99
100,0.770505,0.484848,0.15,0.663265,0.7268,1
100,0.278586,0.505051,0.2,0.642857,0.6492,1
100,0.659192,0.525253,0.17,0.693878,0.6852,0.97
100,0.535354,0.474747,0.16,0.653061,0.6804,0.99
100,0.399394,0.545455,0.19,0.642857,0.624,1
100,0.36303,0.454545,0.16,0.602041,0.644,0.99
100,0.575758,0.555556,0.17,0.612245,0.6604,1
100,0.306667,0.505051,0.17,0.673469,0.58,0.99
100,0.746869,0.555556,0.15,0.714286,0.7044,1
100,0.804848,0.535354,0.16,0.683673,0.6756,0.99
100,0.426869,0.555556,0.19,0.693878,0.5852,0.98
100,0.406061,0.484848,0.16,0.632653,0.6788,1
100,0.393737,0.515152,0.17,0.632653,0.6612,0.99
100,0.63697,0.515152,0.17,0.653061,0.6388,1
100,0.45697,0.494949,0.18,0.704082,0.6532,0.98
100,0.532121,0.525253,0.18,0.663265,0.6696,0.98
100,0.433939,0.484848,0.15,0.693878,0.698,0.99
100,0.432525,0.515152,0.16,0.673469,0.63,1
100,0.497576,0.545455,0.15,0.673469,0.6788,0.99
100,0.582626,0.515152,0.19,0.602041,0.6192,0.98
100,0.691717,0.545455,0.15,0.673469,0.7224,0.99
100,0.348889,0.484848,0.15,0.704082,0.662,0.99
100,0.572727,0.515152,0.16,0.72449,0.6628,0.99
100,0.749091,0.525253,0.19,0.714286,0.6344,0.99
100,0.542222,0.515152,0.2,0.673469,0.6468,0.99
100,0.616768,0.484848,0.16,0.622449,0.672,0.98
100,0.325859,0.464646,0.18,0.673469,0.682,0.97
100,0.827071,0.474747,0.17,0.663265,0.6688,0.99
100,0.427273,0.494949,0.19,0.673469,0.6492,0.99
100,0.766061,0.525253,0.14,0.673469,0.6692,1
100,0.252525,0.484848,0.15,0.704082,0.6664,0.99
100,0.69798,0.494949,0.17,0.734694,0.6568,1
100,0.520202,0.515152,0.15,0.663265,0.69,1
100,0.731313,0.505051,0.19,0.673469,0.6272,0.99
100,0.358788,0.535354,0.18,0.663265,0.6812,0.99
100,0.77596,0.535354,0.15,0.683673,0.646,0.99
100,0.385859,0.454545,0.18,0.663265,0.6824,1
100,0.526667,0.494949,0.18,0.632653,0.6256,0.97
100,0.393535,0.494949,0.16,0.632653,0.6996,0.99
100,0.324848,0.484848,0.16,0.602041,0.7152,0.98
100,0.225455,0.454545,0.18,0.642857,0.6596,1
100,0.499192,0.515152,0.16,0.663265,0.6796,1
100,0.498182,0.484848,0.16,0.714286,0.6868,1
100,0.588889,0.545455,0.14,0.683673,0.7296,0.99
100,0.548889,0.505051,0.15,0.663265,0.6804,0.99
100,0.555354,0.505051,0.14,0.632653,0.7084,1
100,0.799192,0.494949,0.15,0.683673,0.6764,0.99
100,0.607273,0.535354,0.14,0.683673,0.6756,0.97
100,0.354141,0.494949,0.16,0.744898,0.69,0.98
100,0.366263,0.525253,0.16,0.673469,0.6568,1
100,0.303232,0.515152,0.17,0.704082,0.6036,0.98
100,0.330707,0.474747,0.17,0.663265,0.6592,0.99
100,0.301414,0.525253,0.18,0.663265,0.62,0.98
100,0.316364,0.494949,0.18,0.602041,0.6216,1
100,0.835758,0.484848,0.16,0.683673,0.7148,0.99
100,0.297778,0.494949,0.16,0.622449,0.6508,1
100,0.409293,0.484848,0.12,0.693878,0.6928,1
100,0.854747,0.474747,0.14,0.602041,0.7272,0.99
100,0.43697,0.545455,0.21,0.642857,0.6768,0.99
100,0.413131,0.525253,0.18,0.704082,0.6516,0.99
100,0.366263,0.494949,0.16,0.673469,0.6268,0.99
100,0.586263,0.525253,0.18,0.622449,0.73,0.99
100,0.351919,0.474747,0.18,0.673469,0.6444,1
100,0.387071,0.505051,0.16,0.734694,0.6412,1
100,0.882626,0.484848,0.17,0.653061,0.6628,0.99
100,0.674545,0.464646,0.19,0.673469,0.6036,0.98
100,0.604242,0.494949,0.14,0.612245,0.7208,0.99
100,0.268485,0.484848,0.17,0.714286,0.6248,0.99
100,0.326869,0.484848,0.17,0.581633,0.6212,0.96
100,0.367071,0.444444,0.18,0.653061,0.6836,0.98
100,0.322424,0.474747,0.18,0.602041,0.6552,0.99
100,0.278384,0.494949,0.18,0.612245,0.6132,0.97
100,0.366061,0.484848,0.17,0.683673,0.6332,0.99
100,0.731313,0.494949,0.19,0.693878,0.618,0.99
100,0.673131,0.494949,0.16,0.642857,0.7508,0.99
100,0.32101,0.525253,0.17,0.744898,0.6536,0.99
100,0.868687,0.454545,0.16,0.673469,0.6992,0.98
100,0.574141,0.505051,0.18,0.755102,0.7172,0.99
100,0.360808,0.525253,0.17,0.693878,0.6096,0.99
100,0.433737,0.515152,0.15,0.693878,0.7044,1
100,0.42404,0.515152,0.14,0.653061,0.7196,0.98
100,0.776566,0.484848,0.16,0.653061,0.7444,1
100,0.287475,0.575758,0.15,0.653061,0.7,0.99
100,0.530101,0.454545,0.19,0.632653,0.6312,1
100,0.716364,0.474747,0.15,0.663265,0.6792,0.97
100,0.471717,0.484848,0.18,0.693878,0.7788,1
100,0.481616,0.505051,0.15,0.673469,0.7256,1
100,0.338788,0.454545,0.15,0.72449,0.6628,1
100,0.862626,0.545455,0.16,0.673469,0.6752,1
100,0.346061,0.525253,0.15,0.683673,0.6528,1
100,0.380202,0.494949,0.14,0.683673,0.7296,0.99
100,0.831515,0.535354,0.14,0.642857,0.7172,0.99
100,0.452727,0.434343,0.2,0.622449,0.6264,0.99
100,0.32404,0.494949,0.2,0.755102,0.6,0.99
100,0.303434,0.434343,0.17,0.663265,0.6372,0.99
100,0.292121,0.494949,0.16,0.653061,0.6864,0.98
100,0.517778,0.494949,0.18,0.72449,0.608,1
100,0.770707,0.525253,0.17,0.571429,0.726,1
100,0.351111,0.515152,0.15,0.795918,0.6732,0.98
100,0.215556,0.505051,0.18,0.653061,0.6432,1
100,0.506263,0.525253,0.16,0.734694,0.62,0.98
100,0.329697,0.444444,0.13,0.714286,0.756,1
100,0.506667,0.494949,0.15,0.693878,0.706,0.98
100,0.496566,0.484848,0.16,0.622449,0.6728,0.99
100,0.374949,0.494949,0.15,0.693878,0.6404,0.99
100,0.661414,0.555556,0.16,0.795918,0.6024,0.97
100,0.324444,0.565657,0.14,0.673469,0.6812,1
100,0.445253,0.505051,0.17,0.653061,0.7052,0.99
100,0.630909,0.505051,0.16,0.581633,0.7068,1
100,0.477172,0.494949,0.14,0.714286,0.6728,1
100,0.400606,0.474747,0.17,0.72449,0.6832,1
100,0.604848,0.525253,0.15,0.653061,0.6392,0.97
100,0.373535,0.505051,0.17,0.714286,0.6368,1
100,0.566667,0.474747,0.15,0.653061,0.6852,0.99
100,0.755556,0.505051,0.17,0.591837,0.7252,0.99
100,0.470303,0.454545,0.15,0.683673,0.6828,0.98
100,0.478586,0.474747,0.18,0.602041,0.6548,1
100,0.391313,0.494949,0.2,0.683673,0.6684,0.98
100,0.241414,0.454545,0.18,0.663265,0.6728,1
100,0.427879,0.474747,0.17,0.704082,0.6212,1
100,0.661212,0.464646,0.15,0.632653,0.7544,1
100,0.474747,0.535354,0.17,0.632653,0.5956,1
100,0.734343,0.494949,0.13,0.642857,0.7076,0.99
100,0.594343,0.505051,0.18,0.693878,0.6428,0.99
100,0.522828,0.505051,0.16,0.602041,0.7092,0.98
100,0.614545,0.494949,0.16,0.693878,0.65,0.99
100,0.376162,0.484848,0.15,0.632653,0.666,0.99
100,0.591313,0.484848,0.19,0.622449,0.6728,0.98
100,0.387879,0.545455,0.17,0.693878,0.6276,0.97
100,0.546263,0.606061,0.14,0.663265,0.7176,0.99
100,0.315152,0.494949,0.17,0.653061,0.6416,1
100,0.545455,0.484848,0.15,0.642857,0.7436,0.99
100,0.723838,0.484848,0.18,0.612245,0.6068,0.99
100,0.413535,0.494949,0.15,0.663265,0.7004,1
100,0.54202,0.515152,0.17,0.72449,0.6664,0.98
100,0.888485,0.515152,0.15,0.642857,0.7324,1
100,0.25798,0.515152,0.17,0.632653,0.6848,1
100,0.529899,0.505051,0.15,0.653061,0.6916,0.98
100,0.427273,0.515152,0.2,0.683673,0.6788,0.99
100,0.313131,0.494949,0.18,0.72449,0.6556,1
100,0.284646,0.515152,0.2,0.642857,0.558,0.98
100,0.415758,0.525253,0.16,0.612245,0.6908,1
100,0.54202,0.505051,0.16,0.683673,0.6924,1
100,0.320404,0.525253,0.19,0.632653,0.6104,0.98
100,0.420606,0.454545,0.15,0.622449,0.67,0.99
100,0.385455,0.505051,0.16,0.734694,0.608,0.98
100,0.289091,0.545455,0.15,0.653061,0.6408,1
100,0.788889,0.474747,0.19,0.744898,0.6296,0.98
