n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
10000,0.280623,0.00990099,0.0579,0.019804,0.664272,0.9998
10000,0.318778,0.00990099,0.0664,0.019804,0.676061,1
10000,0.622548,0.00990099,0.0659,0.019804,0.690507,0.9998
10000,0.591553,0.00990099,0.0584,0.019804,0.62604,0.9996
10000,0.687031,0.00990099,0.0651,0.019804,0.681571,0.9996
10000,0.426924,0.00990099,0.0624,0.019804,0.672113,0.9999
10000,0.171305,0.00990099,0.0645,0.019804,0.596581,0.9999
10000,0.280525,0.00990099,0.0563,0.019804,0.613519,0.9997
10000,0.751185,0.00990099,0.0574,0.019804,0.645499,0.9999
10000,0.638707,0.00990099,0.0597,0.019804,0.656175,0.9998
10000,0.290046,0.00990099,0.0585,0.019804,0.687185,1
10000,0.413813,0.00990099,0.0533,0.019804,0.711797,1
10000,0.283102,0.00990099,0.0681,0.019804,0.599555,0.9995
10000,0.717434,0.00990099,0.0656,0.019804,0.658199,0.9996
10000,0.335387,0.00990099,0.0745,0.019804,0.658757,0.9999
10000,0.568489,0.00990099,0.066,0.019804,0.642573,0.9996
10000,0.276328,0.00990099,0.0682,0.019804,0.746226,0.9994
10000,0.395191,0.00990099,0.061,0.019804,0.616125,0.9998
10000,0.593069,0.00990099,0.0571,0.019804,0.681742,0.9999
10000,0.596176,0.00990099,0.0532,0.019804,0.732441,0.9998
10000,0.577005,0.00990099,0.0597,0.019804,0.687933,0.9999
10000,0.656669,0.00990099,0.0548,0.019804,0.677201,0.9997
10000,0.294333,0.00990099,0.0576,0.019804,0.668944,0.9998
10000,0.463883,0.00990099,0.0653,0.019804,0.702616,0.9995
10000,0.660196,0.00990099,0.0724,0.019804,0.609038,0.9999
10000,0.367075,0.00990099,0.0659,0.019804,0.657284,0.9998
10000,0.406268,0.00990099,0.0665,0.019804,0.609227,0.9998
10000,0.36097,0.00990099,0.0675,0.019804,0.663408,0.9997
10000,0.63623,0.00990099,0.0608,0.019804,0.64889,1
10000,0.48614,0.00990099,0.0577,0.019804,0.62993,0.9998
10000,0.435373,0.00990099,0.0636,0.019804,0.629388,0.9998
10000,0.42646,0.00990099,0.0619,0.019804,0.694763,0.9998
10000,0.487446,0.00990099,0.0639,0.019804,0.651632,0.9999
10000,0.33913,0.00990099,0.0603,0.019804,0.605915,0.9999
10000,0.568984,0.00990099,0.0678,0.019804,0.678409,0.9997
10000,0.374563,0.00990099,0.0599,0.019804,0.662897,0.9998
10000,0.58406,0.00990099,0.0615,0.019804,0.675974,0.9999
10000,0.391615,0.00990099,0.0586,0.019804,0.66472,0.9997
10000,0.505752,0.00990099,0.0599,0.019804,0.64575,0.9995
10000,0.476621,0.00990099,0.0568,0.019804,0.635193,0.9998
10000,0.618836,0.00990099,0.062,0.019804,0.704561,0.9996
10000,0.691558,0.00990099,0.0649,0.019804,0.695204,0.9997
10000,0.374909,0.00990099,0.0612,0.019804,0.587306,0.9995
10000,0.45021,0.00990099,0.0617,0.019804,0.71085,1
10000,0.356377,0.00990099,0.0714,0.019804,0.631716,0.9994
10000,0.693239,0.00990099,0.0621,0.019804,0.701168,0.9998
10000,0.45225,0.00990099,0.0599,0.019804,0.603644,0.9998
10000,0.495655,0.00990099,0.0591,0.019804,0.691235,0.9998
10000,0.327319,0.00990099,0.0605,0.019804,0.688,0.9997
10000,0.201114,0.00990099,0.0681,0.019804,0.658668,0.9997
10000,0.270449,0.00990099,0.0596,0.019804,0.713223,0.9999
10000,0.493856,0.00990099,0.0601,0.019804,0.637833,0.9999
10000,0.380157,0.00990099,0.0712,0.019804,0.667736,0.9998
10000,0.27831,0.00990099,0.0635,0.019804,0.697824,0.9996
10000,0.255894,0.00990099,0.0781,0.019804,0.601315,0.9997
10000,0.376376,0.00990099,0.0595,0.019804,0.636194,0.9996
10000,0.328964,0.00990099,0.0585,0.019804,0.671824,0.9999
10000,0.282782,0.00990099,0.0715,0.019804,0.668481,1
10000,0.281595,0.00990099,0.0635,0.019804,0.656907,0.9998
10000,0.399555,0.00990099,0.0704,0.019804,0.667243,0.9999
10000,0.671044,0.00990099,0.0637,0.019804,0.64589,1
10000,0.721701,0.00990099,0.055,0.019804,0.659754,0.9998
10000,0.38815,0.00990099,0.0613,0.019804,0.67095,0.9997
10000,0.748755,0.00990099,0.068,0.019804,0.634564,0.9996
10000,0.393508,0.00990099,0.0584,0.019804,0.689571,0.9999
10000,0.189242,0.00990099,0.0543,0.019804,0.673387,0.9998
10000,0.662048,0.00990099,0.0611,0.019804,0.631943,0.9998
10000,0.293404,0.00990099,0.0647,0.019804,0.660778,0.9998
10000,0.454658,0.00990099,0.0696,0.019804,0.621853,0.9999
10000,0.377095,0.00990099,0.0672,0.019804,0.649745,1
10000,0.402373,0.00990099,0.0589,0.019804,0.69873,0.9999
10000,0.501218,0.00990099,0.0676,0.019804,0.652008,1
10000,0.429477,0.00990099,0.0607,0.019804,0.69554,1
10000,0.481809,0.00990099,0.0644,0.019804,0.632737,0.9999
10000,0.237445,0.00990099,0.0733,0.019804,0.609729,1
10000,0.679955,0.00990099,0.053,0.019804,0.671188,0.9999
10000,0.394625,0.00990099,0.0671,0.019804,0.704533,0.9999
10000,0.359535,0.00990099,0.0638,0.019804,0.647136,0.9997
10000,0.638294,0.00990099,0.0586,0.019804,0.692791,0.9999
10000,0.651886,0.00990099,0.0599,0.019804,0.642991,0.9998
10000,0.662993,0.00990099,0.0594,0.019804,0.677006,0.9997
10000,0.612508,0.00990099,0.0499,0.019804,0.671176,0.9997
10000,0.600951,0.00990099,0.0582,0.019804,0.623332,0.9998
10000,0.321054,0.00990099,0.0651,0.019804,0.611076,0.9999
10000,0.532608,0.00990099,0.0611,0.019804,0.66045,0.9998
10000,0.508242,0.00990099,0.0627,0.019804,0.713224,0.9999
10000,0.331235,0.00990099,0.069,0.019804,0.673784,0.9997
10000,0.641138,0.00990099,0.0701,0.019804,0.675788,0.9996
10000,0.416633,0.00990099,0.067,0.019804,0.647502,0.9999
10000,0.724948,0.00990099,0.0611,0.019804,0.662849,0.9997
10000,0.60697,0.00990099,0.0574,0.019804,0.666768,0.9997
10000,0.37729,0.00990099,0.0678,0.019804,0.685391,0.9999
10000,0.259184,0.00990099,0.0606,0.019804,0.743201,0.9997
10000,0.403943,0.00990099,0.061,0.019804,0.67458,0.9995
10000,0.678797,0.00990099,0.0656,0.019804,0.679127,0.9998
10000,0.367904,0.00990099,0.065,0.019804,0.660917,0.9995
10000,0.304993,0.00990099,0.059,0.019804,0.660779,0.9999
10000,0.617422,0.00990099,0.0602,0.019804,0.597796,0.9997
10000,0.633853,0.00990099,0.059,0.019804,0.641838,0.9998
10000,0.747031,0.00990099,0.0576,0.019804,0.634368,0.9998
10000,0.350283,0.00990099,0.0617,0.019804,0.61792,0.9998
10000,0.539835,0.00990099,0.0663,0.019804,0.621702,0.9998
10000,0.611987,0.00990099,0.0602,0.019804,0.654049,0.9998
10000,0.45181,0.00990099,0.0667,0.019804,0.704483,0.9997
10000,0.632076,0.00990099,0.0594,0.019804,0.660747,0.9999
10000,0.687934,0.00990099,0.0556,0.019804,0.658983,0.9998
10000,0.360217,0.00990099,0.0716,0.019804,0.64371,1
10000,0.546381,0.00990099,0.0627,0.019804,0.633651,0.9999
10000,0.540818,0.00990099,0.0722,0.019804,0.677589,0.9999
10000,0.651154,0.00990099,0.0626,0.019804,0.645752,0.9999
10000,0.333166,0.00990099,0.067,0.019804,0.64574,0.9999
10000,0.421678,0.00990099,0.0602,0.019804,0.699398,0.9999
10000,0.426796,0.00990099,0.0582,0.019804,0.681205,1
10000,0.791189,0.00990099,0.0533,0.019804,0.691813,0.9999
10000,0.23143,0.00990099,0.0641,0.019804,0.635906,0.9998
