n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.576768,0.0505051,0.37,0.102041,0.6768,0.98
100,0.489091,0.0606061,0.5,0.122449,0.5364,1
100,0.513131,0.040404,0.34,0.0816327,0.7776,0.95
100,0.606667,0.0606061,0.47,0.112245,0.856,1
100,0.275556,0.0606061,0.45,0.112245,0.6116,0.91
100,0.672727,0.0606061,0.33,0.102041,0.81,1
100,0.490707,0.0505051,0.38,0.102041,0.6132,0.99
100,0.181414,0.0606061,0.57,0.0918367,0.7492,1
100,0.214141,0.0606061,0.35,0.122449,0.5712,1
100,0.243838,0.0505051,0.56,0.102041,0.4668,0.97
100,0.791313,0.0808081,0.48,0.132653,0.7056,1
100,0.291111,0.0606061,0.47,0.102041,0.6892,0.99
100,0.235354,0.0707071,0.49,0.112245,0.5088,1
100,0.257778,0.0606061,0.44,0.122449,0.6312,1
100,0.315152,0.0606061,0.37,0.122449,0.6172,0.99
100,0.322626,0.0505051,0.48,0.102041,0.6716,1
100,0.227879,0.0606061,0.53,0.122449,0.4492,0.96
100,0.280404,0.0505051,0.37,0.102041,0.6184,1
100,0.620404,0.040404,0.36,0.0816327,0.7916,0.91
100,0.192121,0.0808081,0.32,0.153061,0.5884,1
100,0.59596,0.0707071,0.44,0.142857,0.7236,1
100,0.225253,0.0707071,0.47,0.112245,0.4308,1
100,0.225253,0.0606061,0.42,0.112245,0.6968,1
100,0.595152,0.0505051,0.38,0.0918367,0.8332,1
100,0.630707,0.0707071,0.45,0.122449,0.6404,1
100,0.202424,0.040404,0.52,0.0816327,0.632,1
100,0.155152,0.040404,0.61,0.0816327,0.5244,1
100,0.45798,0.0606061,0.41,0.122449,0.7356,1
100,0.49899,0.040404,0.63,0.0816327,0.4708,0.75
100,0.248889,0.0505051,0.51,0.102041,0.6016,1
100,0.650707,0.0606061,0.26,0.122449,0.874,1
100,0.447071,0.0606061,0.36,0.112245,0.7004,0.96
100,0.713737,0.0606061,0.49,0.112245,0.734,0.98
100,0.532727,0.0606061,0.38,0.122449,0.628,1
100,0.832727,0.0808081,0.33,0.153061,0.9308,1
100,0.694343,0.0505051,0.56,0.0918367,0.5308,1
100,0.312727,0.0707071,0.51,0.122449,0.4292,1
100,0.696162,0.0606061,0.36,0.122449,0.5628,1
100,0.638384,0.040404,0.39,0.0714286,0.9008,1
100,0.362626,0.0606061,0.5,0.122449,0.5064,0.99
100,0.359394,0.0505051,0.4,0.102041,0.6352,0.93
100,0.318586,0.0707071,0.36,0.132653,0.7196,0.99
100,0.527071,0.040404,0.57,0.0714286,0.472,0.98
100,0.434949,0.030303,0.48,0.0612245,0.6676,1
100,0.753939,0.0707071,0.35,0.142857,0.7944,0.99
100,0.278182,0.0707071,0.47,0.122449,0.68,0.98
100,0.454141,0.040404,0.5,0.0816327,0.6912,0.84
100,0.418788,0.0707071,0.41,0.132653,0.6344,1
100,0.599192,0.0606061,0.37,0.122449,0.9728,1
100,0.332929,0.0505051,0.48,0.102041,0.5652,1
100,0.349899,0.0505051,0.58,0.0918367,0.5204,0.88
100,0.336768,0.0808081,0.38,0.112245,0.682,1
100,0.649293,0.0707071,0.5,0.132653,0.6728,1
100,0.444646,0.0606061,0.58,0.122449,0.5248,1
100,0.37697,0.0505051,0.5,0.0918367,0.6976,1
100,0.591919,0.0707071,0.28,0.142857,0.7968,0.98
100,0.413737,0.0606061,0.36,0.122449,0.8368,1
100,0.266465,0.0606061,0.55,0.102041,0.7192,1
100,0.400606,0.10101,0.32,0.173469,0.544,0.98
100,0.592727,0.0505051,0.38,0.102041,0.8372,0.98
100,0.613939,0.0808081,0.46,0.132653,0.4676,1
100,0.355354,0.0707071,0.38,0.132653,0.6416,1
100,0.201818,0.0505051,0.61,0.102041,0.6044,1
100,0.264848,0.0505051,0.48,0.0918367,0.5664,1
100,0.255152,0.0606061,0.49,0.122449,0.6668,0.91
100,0.465657,0.040404,0.5,0.0816327,0.7292,1
100,0.426263,0.0808081,0.3,0.132653,0.8784,1
100,0.370909,0.0707071,0.55,0.112245,0.5796,0.98
100,0.266061,0.040404,0.6,0.0612245,0.504,0.97
100,0.268485,0.0505051,0.58,0.102041,0.6372,1
100,0.240202,0.0606061,0.53,0.0816327,0.5516,1
100,0.570707,0.030303,0.48,0.0612245,0.8672,1
100,0.801818,0.020202,0.52,0.0408163,0.6412,0.95
100,0.138182,0.040404,0.6,0.0714286,0.5052,1
100,0.407475,0.0505051,0.39,0.0918367,0.8552,0.99
100,0.618586,0.0505051,0.37,0.102041,0.9136,1
