n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.665051,0.040404,0.36,0.0816327,0.96,0.97
100,0.323232,0.020202,0.6,0.0408163,0.64,1
100,0.613535,0.0505051,0.39,0.102041,0.8452,0.98
100,0.143434,0.030303,0.65,0.0612245,0.252,0.92
100,0.288889,0.020202,0.6,0.0408163,0.558,0.99
100,0.374747,0.030303,0.61,0.0612245,0.598,1
100,0.297172,0.010101,0.6,0.0204082,0.5884,0.8
100,0.509495,0.040404,0.5,0.0816327,0.7892,0.99
100,0.325657,0.020202,0.56,0.0408163,0.64,1
100,0.32404,0.020202,0.6,0.0408163,0.64,0.8
100,0.272727,0.030303,0.66,0.0612245,0.5116,1
100,0.658788,0.0505051,0.31,0.102041,0.96,1
100,0.607879,0.030303,0.43,0.0612245,0.7724,1
100,0.509495,0.040404,0.48,0.0816327,0.6956,1
100,0.645657,0.040404,0.4,0.0816327,0.8,0.8
100,0.403232,0.030303,0.5,0.0612245,0.6496,1
100,0.339798,0.040404,0.59,0.0714286,0.472,0.98
100,0.416162,0.030303,0.58,0.0612245,0.6644,0.99
100,0.27697,0.0505051,0.46,0.102041,0.4132,0.96
100,0.564646,0.020202,0.49,0.0408163,0.902,0.99
100,0.389495,0.030303,0.48,0.0612245,0.6572,1
100,0.305657,0.030303,0.65,0.0612245,0.5436,0.8
100,0.36101,0.020202,0.6,0.0408163,0.48,0.56
100,0.499192,0.030303,0.41,0.0612245,0.7188,0.96
100,0.274949,0.020202,0.6,0.0408163,0.508,1
100,0.242424,0.020202,0.6,0.0408163,0.48,0.8
100,0.161616,0.020202,0.6,0.0408163,0.32,0.8
100,0.644848,0.030303,0.4,0.0612245,0.96,1
100,0.707273,0.030303,0.4,0.0612245,0.9204,0.97
100,0.174545,0.030303,0.57,0.0612245,0.3456,1
100,0.709495,0.040404,0.38,0.0816327,0.9544,1
100,0.260808,0.010101,0.69,0.0204082,0.5164,0.91
100,0.254343,0.010101,0.71,0.0204082,0.5036,1
100,0.272727,0.030303,0.41,0.0612245,0.4648,0.99
100,0.492929,0.030303,0.53,0.0612245,0.6968,0.99
100,0.573333,0.030303,0.4,0.0612245,0.96,1
100,0.22303,0.040404,0.6,0.0816327,0.376,0.99
