n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.676566,0.0909091,0.31,0.173469,0.742,0.99
100,0.392525,0.0909091,0.35,0.183673,0.7916,1
100,0.341212,0.0909091,0.36,0.173469,0.5464,1
100,0.772323,0.0909091,0.32,0.183673,0.6912,0.97
100,0.346869,0.0808081,0.39,0.163265,0.6912,1
100,0.389091,0.0909091,0.3,0.183673,0.8464,1
100,0.248485,0.10101,0.36,0.204082,0.7056,1
100,0.290707,0.111111,0.42,0.22449,0.5028,0.94
100,0.417576,0.10101,0.36,0.204082,0.6836,1
100,0.732929,0.10101,0.3,0.193878,0.7744,1
100,0.447879,0.121212,0.34,0.214286,0.6868,1
100,0.708283,0.0909091,0.33,0.173469,0.83,1
100,0.192525,0.0707071,0.36,0.142857,0.5936,0.99
100,0.359798,0.0808081,0.38,0.163265,0.6828,0.96
100,0.335152,0.111111,0.26,0.22449,0.6764,0.95
100,0.431717,0.0909091,0.39,0.183673,0.6956,0.98
100,0.643232,0.10101,0.25,0.204082,0.8524,1
100,0.470909,0.0909091,0.46,0.183673,0.454,0.97
100,0.778586,0.111111,0.27,0.22449,0.7376,0.99
100,0.682828,0.111111,0.3,0.193878,0.7624,1
100,0.38,0.0707071,0.31,0.142857,0.812,0.99
100,0.322828,0.0808081,0.28,0.163265,0.768,1
100,0.227273,0.121212,0.3,0.234694,0.7892,1
100,0.605253,0.0909091,0.39,0.173469,0.642,0.99
100,0.186465,0.0707071,0.49,0.142857,0.4724,1
100,0.308081,0.10101,0.3,0.204082,0.7968,1
100,0.206465,0.0909091,0.44,0.173469,0.5216,0.96
100,0.753939,0.0909091,0.3,0.183673,0.7808,0.99
100,0.268081,0.0808081,0.31,0.163265,0.5988,1
100,0.335354,0.10101,0.37,0.204082,0.57,0.92
100,0.702222,0.10101,0.35,0.204082,0.7236,1
100,0.349091,0.0909091,0.26,0.183673,0.8336,1
100,0.671111,0.10101,0.3,0.173469,0.6964,0.97
100,0.312727,0.0909091,0.29,0.183673,0.766,1
100,0.625051,0.0707071,0.43,0.142857,0.5332,1
100,0.350909,0.0909091,0.41,0.183673,0.6084,1
100,0.520808,0.0808081,0.37,0.163265,0.6336,1
100,0.420606,0.0909091,0.3,0.183673,0.724,0.94
100,0.352323,0.141414,0.25,0.255102,0.7788,0.99
100,0.333333,0.0808081,0.36,0.163265,0.5876,0.96
100,0.291111,0.0808081,0.37,0.163265,0.6916,1
100,0.175152,0.0909091,0.39,0.173469,0.7352,1
100,0.466667,0.111111,0.33,0.22449,0.6388,1
100,0.68,0.0808081,0.44,0.163265,0.7468,1
100,0.313939,0.0808081,0.4,0.122449,0.6404,0.97
100,0.794545,0.10101,0.36,0.193878,0.6488,1
100,0.631111,0.0707071,0.46,0.132653,0.5768,1
100,0.352727,0.0808081,0.35,0.163265,0.7168,1
100,0.263636,0.10101,0.4,0.173469,0.5252,1
100,0.345455,0.0808081,0.33,0.153061,0.6748,0.98
100,0.65596,0.0909091,0.31,0.183673,0.6848,0.94
100,0.51798,0.0808081,0.28,0.163265,0.784,1
100,0.489091,0.10101,0.28,0.204082,0.6828,1
100,0.874747,0.0808081,0.27,0.163265,0.8944,1
100,0.365051,0.0909091,0.38,0.183673,0.6532,1
100,0.391919,0.0808081,0.37,0.163265,0.7764,1
100,0.280606,0.10101,0.36,0.204082,0.664,1
100,0.473939,0.10101,0.32,0.173469,0.7096,1
100,0.188081,0.0909091,0.45,0.183673,0.4672,1
100,0.360202,0.0909091,0.36,0.183673,0.7216,1
100,0.46202,0.10101,0.35,0.204082,0.6492,1
100,0.245657,0.111111,0.33,0.214286,0.5176,0.99
100,0.48101,0.0808081,0.33,0.163265,0.6212,0.94
100,0.25697,0.0707071,0.48,0.142857,0.4968,1
100,0.876768,0.131313,0.24,0.234694,0.7472,0.98
100,0.685051,0.0808081,0.43,0.163265,0.5672,1
100,0.288081,0.10101,0.43,0.183673,0.6,1
100,0.323636,0.0909091,0.36,0.183673,0.6096,1
100,0.367879,0.0909091,0.26,0.183673,0.7628,1
100,0.478384,0.0909091,0.3,0.163265,0.5836,1
100,0.431515,0.10101,0.38,0.183673,0.6364,0.98
100,0.254545,0.0808081,0.32,0.163265,0.6308,0.92
100,0.446869,0.10101,0.38,0.193878,0.69,1
100,0.750303,0.111111,0.34,0.214286,0.6416,1
100,0.220808,0.0707071,0.48,0.142857,0.4664,1
100,0.652323,0.121212,0.32,0.234694,0.7224,1
100,0.491717,0.0909091,0.3,0.183673,0.7732,1
100,0.254545,0.0707071,0.32,0.142857,0.6844,1
100,0.33596,0.111111,0.35,0.214286,0.7552,1
100,0.230101,0.0808081,0.57,0.132653,0.4264,0.99
100,0.233939,0.0909091,0.29,0.183673,0.8416,1
100,0.49899,0.111111,0.33,0.204082,0.6752,0.96
100,0.194141,0.10101,0.47,0.204082,0.4284,1
100,0.707677,0.10101,0.38,0.193878,0.7736,1
100,0.347071,0.111111,0.37,0.22449,0.658,0.94
100,0.59697,0.111111,0.27,0.22449,0.7844,1
100,0.792929,0.10101,0.28,0.193878,0.8292,1
100,0.498788,0.0909091,0.37,0.183673,0.6784,1
100,0.82303,0.0909091,0.31,0.163265,0.826,1
100,0.802626,0.0909091,0.24,0.183673,0.816,0.95
100,0.327273,0.0808081,0.39,0.163265,0.6248,1
100,0.638788,0.0909091,0.27,0.183673,0.6924,1
100,0.316768,0.10101,0.33,0.193878,0.6948,0.99
100,0.518788,0.0808081,0.4,0.163265,0.6552,0.99
100,0.364242,0.121212,0.36,0.214286,0.6264,1
100,0.500606,0.121212,0.32,0.234694,0.7044,1
100,0.516364,0.0808081,0.47,0.132653,0.5644,0.94
100,0.570707,0.0909091,0.38,0.183673,0.6932,0.99
100,0.399596,0.0808081,0.54,0.153061,0.4656,0.88
100,0.88101,0.0909091,0.28,0.183673,0.804,1
100,0.272525,0.10101,0.33,0.204082,0.648,1
100,0.720808,0.111111,0.31,0.204082,0.8132,1
100,0.488081,0.111111,0.26,0.193878,0.794,1
100,0.218384,0.0909091,0.31,0.183673,0.68,1
100,0.689899,0.0909091,0.32,0.183673,0.7124,1
100,0.739596,0.111111,0.31,0.22449,0.6104,0.94
100,0.305253,0.0808081,0.32,0.163265,0.6996,1
100,0.452727,0.0909091,0.27,0.183673,0.7288,1
100,0.265859,0.121212,0.31,0.22449,0.7208,0.91
100,0.492121,0.0909091,0.42,0.183673,0.5108,0.88
100,0.296162,0.0808081,0.26,0.163265,0.814,1
100,0.334141,0.10101,0.4,0.193878,0.582,0.99
100,0.639394,0.121212,0.39,0.214286,0.6216,1
100,0.363232,0.0909091,0.27,0.183673,0.7556,1
100,0.506869,0.121212,0.3,0.22449,0.7712,0.98
100,0.70303,0.0808081,0.33,0.163265,0.8332,1
100,0.358182,0.0808081,0.39,0.163265,0.612,1
100,0.828889,0.10101,0.36,0.193878,0.6408,1
100,0.350101,0.111111,0.33,0.204082,0.5464,0.99
100,0.246061,0.0909091,0.42,0.173469,0.5496,0.97
100,0.327273,0.0707071,0.31,0.142857,0.8296,1
100,0.450303,0.10101,0.39,0.204082,0.4956,0.98
100,0.284444,0.0909091,0.44,0.183673,0.5204,0.98
100,0.510303,0.10101,0.4,0.193878,0.5496,0.99
100,0.39697,0.0909091,0.38,0.153061,0.6324,1
100,0.247879,0.10101,0.39,0.183673,0.486,0.84
100,0.367273,0.0909091,0.37,0.183673,0.5844,1
100,0.62303,0.0808081,0.37,0.163265,0.7004,0.99
100,0.767475,0.0909091,0.34,0.183673,0.712,1
100,0.517172,0.0808081,0.3,0.163265,0.872,1
100,0.730707,0.0808081,0.3,0.153061,0.7796,0.94
100,0.724444,0.121212,0.26,0.234694,0.8288,1
100,0.415758,0.0909091,0.4,0.183673,0.6008,1
100,0.267475,0.0707071,0.46,0.142857,0.4896,1
100,0.667071,0.0909091,0.33,0.163265,0.664,1
100,0.285051,0.10101,0.36,0.204082,0.7128,0.97
100,0.218788,0.10101,0.35,0.204082,0.634,1
100,0.369899,0.111111,0.3,0.22449,0.7556,0.94
100,0.714141,0.121212,0.28,0.214286,0.7744,1
100,0.574949,0.10101,0.4,0.204082,0.6188,0.97
100,0.307677,0.111111,0.32,0.214286,0.6492,0.99
100,0.265253,0.0808081,0.29,0.163265,0.6744,1
100,0.352929,0.121212,0.3,0.244898,0.6864,0.97
100,0.319192,0.0909091,0.32,0.183673,0.6628,0.99
100,0.289091,0.111111,0.31,0.193878,0.584,1
100,0.379192,0.0909091,0.31,0.183673,0.7256,0.97
100,0.411717,0.10101,0.26,0.204082,0.6996,0.93
100,0.604242,0.0808081,0.48,0.163265,0.5256,0.98
100,0.371717,0.10101,0.3,0.183673,0.5996,0.94
100,0.585657,0.0707071,0.34,0.142857,0.7176,1
100,0.425253,0.111111,0.26,0.193878,0.7248,0.99
100,0.274545,0.10101,0.3,0.193878,0.7928,1
100,0.451515,0.0909091,0.49,0.183673,0.584,1
100,0.440202,0.0707071,0.41,0.142857,0.5424,0.91
100,0.742424,0.0909091,0.39,0.183673,0.596,1
100,0.694141,0.141414,0.3,0.285714,0.6528,1
100,0.387475,0.0808081,0.4,0.163265,0.5708,0.94
100,0.872929,0.111111,0.31,0.214286,0.7356,1
100,0.577374,0.10101,0.31,0.183673,0.8444,1
100,0.351313,0.111111,0.34,0.173469,0.662,1
100,0.28303,0.10101,0.31,0.204082,0.6152,1
100,0.343232,0.0909091,0.45,0.173469,0.628,1
100,0.410707,0.121212,0.27,0.22449,0.786,1
100,0.756566,0.111111,0.31,0.22449,0.6816,1
100,0.684646,0.111111,0.3,0.183673,0.924,1
100,0.446869,0.10101,0.3,0.193878,0.7388,0.94
100,0.524444,0.0707071,0.42,0.142857,0.792,1
100,0.34,0.0909091,0.27,0.183673,0.7556,1
100,0.265859,0.0808081,0.37,0.163265,0.5976,1
100,0.512121,0.0808081,0.39,0.163265,0.65,0.94
100,0.585455,0.0909091,0.28,0.183673,0.7324,0.95
100,0.469697,0.111111,0.34,0.193878,0.6824,1
100,0.354747,0.10101,0.31,0.173469,0.6388,0.93
100,0.798788,0.111111,0.26,0.214286,0.8636,1
100,0.22,0.0707071,0.49,0.132653,0.3776,0.98
100,0.360202,0.0707071,0.36,0.142857,0.5332,0.9
100,0.714141,0.10101,0.33,0.183673,0.6948,0.99
100,0.337374,0.0808081,0.37,0.163265,0.6684,1
100,0.76,0.111111,0.38,0.22449,0.68,0.91
100,0.193333,0.10101,0.41,0.183673,0.4692,0.93
100,0.276566,0.10101,0.3,0.193878,0.664,0.99
100,0.581818,0.0808081,0.37,0.142857,0.6416,1
100,0.282626,0.10101,0.31,0.193878,0.642,1
100,0.685859,0.0909091,0.36,0.163265,0.6264,1
100,0.745455,0.0606061,0.49,0.122449,0.594,1
100,0.270101,0.0808081,0.34,0.163265,0.6004,0.9
100,0.235758,0.0808081,0.36,0.142857,0.6768,0.95
100,0.257374,0.0606061,0.34,0.122449,0.6456,1
100,0.382424,0.0808081,0.26,0.163265,0.8412,1
100,0.476162,0.0808081,0.42,0.163265,0.6268,1
100,0.392929,0.111111,0.4,0.22449,0.5592,1
100,0.401212,0.111111,0.4,0.204082,0.53,1
100,0.242424,0.0909091,0.36,0.153061,0.704,0.99
100,0.342626,0.0707071,0.42,0.142857,0.6388,1
100,0.231111,0.0808081,0.36,0.163265,0.5168,1
100,0.606869,0.0909091,0.26,0.183673,0.7436,0.99
100,0.441616,0.0909091,0.34,0.183673,0.7188,1
100,0.648485,0.0909091,0.31,0.183673,0.8036,0.99
100,0.477172,0.0909091,0.42,0.183673,0.44,1
100,0.489697,0.10101,0.37,0.204082,0.7064,1
100,0.478182,0.0808081,0.43,0.163265,0.4928,0.88
100,0.441212,0.0707071,0.31,0.142857,0.6824,1
100,0.743232,0.0808081,0.38,0.163265,0.6848,1
100,0.368283,0.0606061,0.4,0.122449,0.684,1
100,0.196364,0.0606061,0.46,0.122449,0.6424,1
100,0.691717,0.10101,0.3,0.204082,0.6704,1
