n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0,0,1,0,0,0
100,0.507475,0.010101,0.55,0.0204082,0.99,1
100,0,0,1,0,0,0
100,0.0406061,0.010101,0.8,0.0204082,0.6092,1
100,0.658384,0.020202,0.56,0.0408163,0.6852,1
100,0.135758,0.010101,0.65,0.0204082,0.9048,1
100,0.157778,0.010101,0.63,0.0204082,0.9324,1
100,0.101616,0.010101,0.86,0.0204082,0.1712,0.66
100,0.492929,0.020202,0.71,0.0408163,0.5804,1
100,0.158384,0.010101,0.61,0.0204082,0.9516,1
100,0.512929,0.010101,0.58,0.0204082,0.9744,1
100,0.379394,0.010101,0.63,0.0204082,0.684,0.96
100,0.545051,0.010101,0.68,0.0204082,0.8704,1
100,0.00040404,0.010101,0.99,0.0102041,0.0396,1
100,0.514545,0.010101,0.71,0.0204082,0.7584,1
100,0.0333333,0.010101,0.85,0.0204082,0.2288,0.58
100,0.53899,0.010101,0.67,0.0204082,0.8844,1
100,0.0189899,0.010101,0.97,0.0204082,0.028,0.29
100,0.63899,0.010101,0.82,0.0204082,0.5904,1
100,0.0339394,0.010101,0.83,0.0204082,0.5644,1
100,0.135354,0.010101,0.66,0.0204082,0.8976,1
100,0,0,1,0,0,0
100,0,0,1,0,0,0
100,0.0315152,0.010101,0.88,0.0204082,0.4224,1
100,0.128687,0.010101,0.7,0.0204082,0.84,1
100,0.567879,0.020202,0.82,0.0306122,0.4284,1
100,0.0339394,0.010101,0.83,0.0204082,0.5644,1
100,0.547677,0.010101,0.72,0.0204082,0.8064,1
100,0.116768,0.010101,0.79,0.0204082,0.2312,0.74
100,0.606869,0.010101,0.82,0.0204082,0.5268,1
100,0.157778,0.010101,0.63,0.0204082,0.9324,1
100,0.0434343,0.010101,0.76,0.0204082,0.7296,1
100,0,0,1,0,0,0
100,0.0339394,0.010101,0.83,0.0204082,0.5644,1
100,0.166667,0.010101,0.65,0.0204082,0.4576,0.79
100,0.00727273,0.010101,0.94,0.0204082,0.2256,1
100,0.00222222,0.010101,0.96,0.0204082,0.016,0.14
100,0.0315152,0.010101,0.88,0.0204082,0.1244,0.39
100,0,0,1,0,0,0
100,0.158384,0.010101,0.61,0.0204082,0.5164,0.8
100,0.323232,0.010101,0.82,0.0204082,0.2552,0.89
100,0.169495,0.010101,0.52,0.0204082,0.9984,1
100,0.671717,0.010101,0.94,0.0204082,0.2256,1
100,0.242222,0.010101,0.98,0.0204082,0.0444,0.65
100,0.040404,0.010101,0.81,0.0204082,0.6156,1
100,0.198788,0.010101,0.99,0.0204082,0.0268,0.68
100,0.548283,0.010101,0.73,0.0204082,0.7884,1
100,0.511313,0.020202,0.75,0.0408163,0.488,0.97
100,0,0,1,0,0,0
100,0.674545,0.010101,0.98,0.0204082,0.0784,1
100,0,0,1,0,0,0
100,0.633131,0.010101,0.78,0.0204082,0.6864,1
100,0.0430303,0.010101,0.99,0.0204082,0.0128,0.33
100,0.507273,0.020202,0.61,0.0408163,0.9184,1
100,0.0406061,0.010101,0.8,0.0204082,0.2264,0.53
100,0.547677,0.010101,0.72,0.0204082,0.8064,1
100,0.0406061,0.010101,0.8,0.0204082,0.2412,0.55
100,0.674545,0.010101,0.98,0.0204082,0.0784,1
100,0.0947475,0.010101,0.91,0.0204082,0.1176,0.63
100,0.0319192,0.010101,0.87,0.0204082,0.4524,1
100,0.339596,0.010101,0.61,0.0204082,0.6624,0.91
100,0.673333,0.010101,0.97,0.0204082,0.1152,1
100,0.437778,0.010101,0.51,0.0204082,0.8656,1
100,0.158182,0.010101,0.62,0.0204082,0.6564,0.96
100,0.0432323,0.010101,0.77,0.0204082,0.7084,1
100,0.0424242,0.010101,0.79,0.0204082,0.1848,0.46
100,0.0333333,0.010101,0.85,0.0204082,0.51,1
100,0.127475,0.010101,0.92,0.0204082,0.1372,0.64
100,0.538788,0.010101,0.66,0.0204082,0.8976,1
100,0.135758,0.010101,0.65,0.0204082,0.5172,0.77
100,0,0,1,0,0,0
100,0.507273,0.010101,0.54,0.0204082,0.9936,1
100,0.166869,0.010101,0.55,0.0204082,0.7464,1
100,0.0959596,0.010101,0.81,0.0204082,0.176,0.48
100,0.452121,0.020202,0.63,0.0408163,0.8976,1
100,0.342828,0.010101,0.61,0.0204082,0.6112,1
100,0.133535,0.010101,0.69,0.0204082,0.8464,1
100,0.166263,0.010101,0.57,0.0204082,0.9804,1
100,0,0,1,0,0,0
100,0.53899,0.010101,0.67,0.0204082,0.8844,1
100,0.128687,0.010101,0.7,0.0204082,0.84,1
100,0.507273,0.010101,0.54,0.0204082,0.9936,1
100,0.633939,0.010101,0.82,0.0204082,0.5804,1
100,0.158182,0.010101,0.62,0.0204082,0.9356,1
100,0.0507071,0.010101,0.94,0.0204082,0.1004,0.56
100,0.613939,0.010101,0.75,0.0204082,0.7156,1
100,0.631919,0.010101,0.77,0.0204082,0.7084,1
100,0.303838,0.010101,0.55,0.0204082,0.596,0.97
100,0,0,1,0,0,0
100,0.629495,0.020202,0.81,0.0408163,0.5048,1
100,0,0,1,0,0,0
100,0.00787879,0.010101,0.92,0.0204082,0.2944,1
100,0.470505,0.020202,0.69,0.0408163,0.7688,1
100,0.168889,0.010101,0.53,0.0204082,0.9964,1
100,0.538384,0.010101,0.65,0.0204082,0.91,1
100,0.616364,0.010101,0.77,0.0204082,0.6776,1
100,0.611111,0.010101,0.9,0.0204082,0.254,1
100,0.0432323,0.010101,0.77,0.0204082,0.7084,1
100,0.0337374,0.010101,0.84,0.0204082,0.2392,0.55
100,0,0,1,0,0,0
100,0.0337374,0.010101,0.84,0.0204082,0.4536,0.95
100,0.159394,0.010101,0.83,0.0204082,0.288,0.69
100,0.665051,0.010101,0.91,0.0204082,0.3276,1
100,0.309697,0.020202,0.84,0.0408163,0.51,1
100,0,0,1,0,0,0
100,0.133535,0.010101,0.69,0.0204082,0.8556,1
100,0.16,0.010101,0.75,0.0204082,0.3236,0.66
100,0.419798,0.010101,0.62,0.0204082,0.7112,1
100,0,0,1,0,0,0
100,0.631919,0.010101,0.77,0.0204082,0.7084,1
