n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.438788,0.0505051,0.4,0.102041,0.6848,1
100,0.434949,0.040404,0.41,0.0816327,0.6612,0.9
100,0.470707,0.0505051,0.34,0.102041,0.6916,1
100,0.269293,0.0505051,0.42,0.102041,0.4532,0.98
100,0.572727,0.0505051,0.5,0.102041,0.7424,1
100,0.568283,0.0505051,0.41,0.102041,0.848,1
100,0.366869,0.0606061,0.46,0.122449,0.596,0.9
100,0.513131,0.0707071,0.4,0.142857,0.6696,0.97
100,0.369495,0.0505051,0.49,0.102041,0.6404,1
100,0.456162,0.0505051,0.5,0.102041,0.68,1
100,0.620202,0.0606061,0.35,0.102041,0.7952,0.89
100,0.337778,0.0606061,0.4,0.122449,0.4292,0.89
100,0.391515,0.0505051,0.46,0.102041,0.62,1
100,0.607879,0.0606061,0.4,0.122449,0.88,1
100,0.42101,0.0505051,0.44,0.102041,0.638,1
100,0.338586,0.040404,0.55,0.0816327,0.5064,0.88
100,0.451919,0.0505051,0.37,0.102041,0.6768,0.92
100,0.538788,0.0606061,0.4,0.122449,0.7168,0.95
100,0.480606,0.0505051,0.35,0.102041,0.6612,0.98
100,0.590303,0.0505051,0.33,0.102041,0.8272,0.99
100,0.583434,0.0505051,0.31,0.102041,0.8388,1
100,0.527273,0.0606061,0.4,0.122449,0.7904,1
100,0.377172,0.040404,0.46,0.0816327,0.5136,1
100,0.489899,0.0606061,0.31,0.122449,0.6876,1
100,0.477172,0.0505051,0.35,0.102041,0.6628,0.97
100,0.590303,0.040404,0.31,0.0816327,0.8012,1
100,0.637778,0.0707071,0.3,0.142857,0.7972,1
100,0.359798,0.040404,0.45,0.0816327,0.5932,1
100,0.38404,0.0606061,0.43,0.122449,0.5816,1
100,0.196566,0.0505051,0.59,0.102041,0.3132,1
100,0.148687,0.040404,0.66,0.0816327,0.2904,0.9
100,0.703838,0.0707071,0.3,0.142857,0.8136,0.78
100,0.533737,0.0505051,0.34,0.102041,0.8164,1
100,0.398384,0.0505051,0.48,0.102041,0.5184,0.96
100,0.411515,0.040404,0.48,0.0816327,0.658,0.9
100,0.56101,0.0505051,0.31,0.102041,0.7912,1
100,0.562424,0.040404,0.4,0.0816327,0.8028,0.98
100,0.481414,0.0606061,0.36,0.122449,0.6792,0.97
100,0.632525,0.0606061,0.4,0.122449,0.86,1
100,0.530303,0.0606061,0.39,0.122449,0.7516,1
100,0.51798,0.0707071,0.29,0.142857,0.7312,0.99
100,0.449495,0.0505051,0.4,0.102041,0.6608,0.9
100,0.388081,0.0606061,0.37,0.122449,0.5972,1
100,0.382424,0.0505051,0.45,0.102041,0.4888,0.77
100,0.151717,0.040404,0.55,0.0816327,0.2508,0.7
100,0.292929,0.0505051,0.48,0.102041,0.5032,1
100,0.339798,0.0606061,0.35,0.122449,0.5296,1
100,0.654545,0.0707071,0.3,0.142857,0.8408,0.99
100,0.534545,0.0505051,0.38,0.102041,0.8268,1
100,0.302626,0.0606061,0.45,0.122449,0.3952,0.72
100,0.582626,0.040404,0.3,0.0816327,0.84,1
100,0.538182,0.0606061,0.4,0.122449,0.7392,0.89
100,0.448283,0.0505051,0.49,0.102041,0.6476,0.85
100,0.578586,0.0505051,0.3,0.102041,0.88,1
100,0.46303,0.0606061,0.41,0.122449,0.7076,1
100,0.309293,0.040404,0.6,0.0816327,0.4576,0.7
100,0.364242,0.040404,0.5,0.0816327,0.6388,0.9
100,0.653535,0.0808081,0.26,0.163265,0.8528,1
100,0.343434,0.0505051,0.5,0.102041,0.524,1
100,0.501616,0.0505051,0.38,0.102041,0.6964,1
100,0.441616,0.0606061,0.31,0.122449,0.6756,1
100,0.409293,0.0505051,0.48,0.102041,0.58,0.94
100,0.77798,0.0606061,0.27,0.122449,0.9432,0.93
100,0.457172,0.030303,0.4,0.0612245,0.6832,0.85
100,0.588485,0.0707071,0.4,0.142857,0.6772,0.72
100,0.374747,0.0707071,0.41,0.132653,0.6028,0.98
100,0.271515,0.0505051,0.49,0.102041,0.466,0.98
100,0.432727,0.0505051,0.38,0.102041,0.748,1
100,0.474141,0.040404,0.42,0.0816327,0.6988,1
100,0.597172,0.0707071,0.36,0.142857,0.818,1
100,0.314545,0.040404,0.6,0.0816327,0.4644,0.9
100,0.393333,0.040404,0.4,0.0816327,0.6604,0.9
100,0.513737,0.0606061,0.39,0.122449,0.692,0.96
100,0.387273,0.0606061,0.42,0.122449,0.594,0.99
100,0.581414,0.0606061,0.3,0.122449,0.7968,1
100,0.399798,0.0505051,0.5,0.102041,0.6356,0.9
100,0.512525,0.0505051,0.42,0.102041,0.7192,1
100,0.565859,0.0707071,0.36,0.142857,0.8068,1
100,0.46202,0.0606061,0.39,0.122449,0.626,0.89
100,0.341414,0.040404,0.51,0.0816327,0.5216,0.93
100,0.427475,0.0606061,0.51,0.122449,0.562,1
100,0.247475,0.0505051,0.54,0.102041,0.3944,0.9
100,0.598384,0.0606061,0.33,0.122449,0.7788,0.99
100,0.327677,0.0707071,0.45,0.142857,0.4292,1
100,0.273333,0.0505051,0.47,0.102041,0.4168,0.8
100,0.413131,0.0606061,0.45,0.122449,0.6156,1
100,0.541616,0.0606061,0.37,0.122449,0.6924,1
100,0.41697,0.040404,0.43,0.0816327,0.614,0.84
100,0.371515,0.040404,0.5,0.0816327,0.582,1
100,0.308283,0.040404,0.6,0.0816327,0.4364,1
100,0.38303,0.0606061,0.5,0.122449,0.6248,1
100,0.345051,0.040404,0.47,0.0816327,0.5368,0.9
100,0.299798,0.040404,0.5,0.0816327,0.4976,1
100,0.395354,0.040404,0.44,0.0816327,0.5976,1
100,0.338384,0.030303,0.5,0.0612245,0.55,1
100,0.389293,0.0606061,0.4,0.122449,0.5292,0.98
100,0.473535,0.0505051,0.39,0.102041,0.6804,0.9
100,0.392525,0.0505051,0.38,0.102041,0.596,0.99
100,0.564848,0.040404,0.5,0.0816327,0.816,1
100,0.454343,0.040404,0.4,0.0816327,0.64,0.88
100,0.425859,0.040404,0.4,0.0816327,0.6092,0.9
100,0.433939,0.0505051,0.51,0.102041,0.6592,1
100,0.13899,0.040404,0.64,0.0816327,0.2476,0.9
100,0.592727,0.040404,0.36,0.0816327,0.8184,1
100,0.436768,0.0707071,0.36,0.142857,0.6416,1
100,0.454141,0.0505051,0.4,0.102041,0.7016,0.96
100,0.502626,0.0606061,0.36,0.122449,0.8304,1
100,0.549293,0.0707071,0.38,0.142857,0.7016,0.95
100,0.493737,0.0606061,0.37,0.122449,0.7556,1
100,0.451313,0.0505051,0.4,0.102041,0.7404,1
