n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.486869,0.282828,0.18,0.571429,0.6436,1
100,0.509293,0.212121,0.23,0.428571,0.6488,1
100,0.549293,0.232323,0.21,0.469388,0.7508,1
100,0.506869,0.252525,0.21,0.510204,0.678,1
100,0.559798,0.262626,0.18,0.530612,0.7316,1
100,0.513939,0.242424,0.23,0.489796,0.6768,0.99
100,0.437778,0.262626,0.26,0.530612,0.6016,0.97
100,0.456364,0.242424,0.21,0.489796,0.6432,1
100,0.444646,0.20202,0.23,0.408163,0.6412,1
100,0.466667,0.242424,0.27,0.489796,0.6256,0.99
100,0.431717,0.252525,0.24,0.510204,0.5844,0.96
100,0.522626,0.262626,0.22,0.530612,0.7216,1
100,0.481414,0.262626,0.21,0.530612,0.628,0.99
100,0.42202,0.242424,0.25,0.489796,0.5904,0.98
100,0.457778,0.242424,0.26,0.44898,0.602,0.95
100,0.448485,0.232323,0.23,0.469388,0.624,0.96
100,0.545253,0.252525,0.2,0.489796,0.7048,1
100,0.448687,0.232323,0.24,0.44898,0.6164,0.99
100,0.506263,0.262626,0.24,0.510204,0.6628,0.98
100,0.573535,0.232323,0.16,0.469388,0.7352,0.98
100,0.491313,0.262626,0.26,0.510204,0.644,0.97
100,0.499394,0.262626,0.21,0.530612,0.6768,0.99
100,0.562222,0.262626,0.21,0.530612,0.7412,0.99
100,0.424242,0.232323,0.25,0.469388,0.6092,1
100,0.431111,0.282828,0.26,0.571429,0.5696,1
100,0.551717,0.272727,0.22,0.55102,0.7688,1
100,0.464444,0.282828,0.23,0.571429,0.6352,1
100,0.454747,0.232323,0.21,0.44898,0.62,1
100,0.486263,0.272727,0.21,0.55102,0.6596,0.98
100,0.449293,0.222222,0.24,0.44898,0.6552,1
100,0.428081,0.252525,0.27,0.510204,0.5688,0.96
100,0.531919,0.212121,0.18,0.428571,0.7232,0.98
100,0.511515,0.232323,0.21,0.469388,0.684,0.98
100,0.412525,0.222222,0.24,0.44898,0.5876,1
100,0.560404,0.212121,0.21,0.428571,0.7288,0.97
100,0.462828,0.212121,0.2,0.428571,0.6424,1
100,0.512121,0.232323,0.21,0.469388,0.6576,0.98
100,0.539798,0.252525,0.2,0.510204,0.7088,1
100,0.467475,0.242424,0.27,0.489796,0.6016,1
100,0.511919,0.242424,0.19,0.479592,0.6848,1
100,0.596364,0.252525,0.19,0.510204,0.7828,0.97
100,0.547475,0.252525,0.19,0.489796,0.7432,0.96
100,0.378586,0.262626,0.22,0.489796,0.5268,1
100,0.48202,0.232323,0.2,0.469388,0.6508,1
100,0.475758,0.212121,0.28,0.428571,0.6268,0.96
100,0.552727,0.252525,0.2,0.489796,0.7396,1
100,0.483838,0.242424,0.24,0.489796,0.6508,0.99
100,0.533333,0.252525,0.22,0.510204,0.6952,0.97
100,0.468283,0.222222,0.24,0.44898,0.6268,0.98
100,0.498384,0.242424,0.2,0.489796,0.632,0.99
100,0.500808,0.212121,0.26,0.428571,0.6988,1
100,0.504444,0.272727,0.21,0.55102,0.6804,0.98
100,0.493333,0.252525,0.25,0.5,0.658,1
100,0.490101,0.272727,0.2,0.530612,0.684,1
100,0.464242,0.242424,0.24,0.489796,0.644,0.96
100,0.526667,0.242424,0.21,0.489796,0.676,0.96
100,0.475354,0.232323,0.25,0.469388,0.6328,1
100,0.417576,0.262626,0.25,0.520408,0.5828,0.98
100,0.542222,0.252525,0.17,0.510204,0.7516,1
100,0.530101,0.212121,0.21,0.428571,0.7356,0.99
100,0.517778,0.212121,0.22,0.428571,0.7072,1
100,0.561414,0.242424,0.18,0.489796,0.7436,0.99
100,0.442222,0.252525,0.24,0.489796,0.6116,0.94
100,0.516768,0.232323,0.24,0.44898,0.6852,0.98
100,0.463232,0.262626,0.23,0.530612,0.6284,0.98
100,0.519192,0.292929,0.2,0.591837,0.7168,0.99
100,0.470707,0.242424,0.26,0.469388,0.6232,0.99
100,0.525657,0.232323,0.25,0.469388,0.686,1
100,0.486061,0.222222,0.24,0.428571,0.6596,0.98
100,0.482424,0.242424,0.26,0.489796,0.6732,0.98
100,0.513535,0.232323,0.22,0.469388,0.694,0.98
100,0.480404,0.272727,0.2,0.55102,0.646,0.97
100,0.537576,0.242424,0.24,0.489796,0.7012,1
100,0.402222,0.212121,0.23,0.428571,0.5632,0.98
100,0.469293,0.242424,0.22,0.489796,0.6196,1
100,0.5,0.242424,0.23,0.489796,0.6664,0.95
100,0.496162,0.252525,0.25,0.510204,0.714,0.98
100,0.469899,0.272727,0.23,0.55102,0.6252,0.95
100,0.491717,0.262626,0.18,0.530612,0.6992,0.98
100,0.496364,0.232323,0.22,0.44898,0.6828,0.98
100,0.445859,0.242424,0.22,0.489796,0.5996,0.99
100,0.533333,0.232323,0.19,0.459184,0.6976,0.96
100,0.455758,0.252525,0.22,0.510204,0.6264,1
100,0.487677,0.212121,0.26,0.428571,0.658,0.97
100,0.494141,0.272727,0.18,0.55102,0.6536,1
100,0.564646,0.232323,0.22,0.469388,0.7548,1
100,0.490909,0.262626,0.22,0.530612,0.6492,0.98
100,0.448485,0.20202,0.24,0.408163,0.616,1
100,0.505051,0.252525,0.21,0.510204,0.6584,0.99
100,0.545657,0.252525,0.19,0.489796,0.726,1
100,0.490505,0.222222,0.21,0.44898,0.6744,1
100,0.448283,0.212121,0.22,0.408163,0.616,1
100,0.633333,0.272727,0.19,0.55102,0.792,1
100,0.547677,0.272727,0.24,0.55102,0.6952,1
100,0.550101,0.262626,0.2,0.530612,0.7548,1
100,0.460606,0.20202,0.22,0.408163,0.652,1
100,0.51596,0.232323,0.22,0.469388,0.6764,1
100,0.476566,0.252525,0.26,0.489796,0.6364,0.98
100,0.489899,0.232323,0.29,0.44898,0.6836,1
100,0.46,0.212121,0.27,0.428571,0.6428,1
100,0.418384,0.252525,0.22,0.510204,0.5744,1
100,0.402424,0.242424,0.23,0.489796,0.566,0.98
100,0.529495,0.262626,0.18,0.510204,0.7052,1
100,0.508687,0.252525,0.2,0.510204,0.7176,1
100,0.536566,0.222222,0.18,0.44898,0.7104,1
100,0.515556,0.262626,0.26,0.530612,0.6916,0.98
100,0.396566,0.252525,0.26,0.510204,0.5576,1
100,0.430101,0.232323,0.26,0.469388,0.606,0.98
100,0.521616,0.242424,0.21,0.489796,0.6896,0.99
100,0.529899,0.252525,0.22,0.510204,0.6896,0.98
100,0.451515,0.242424,0.27,0.489796,0.612,0.97
100,0.485253,0.222222,0.22,0.44898,0.658,0.98
