n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.580404,0.131313,0.3,0.265306,0.5812,0.97
100,0.23798,0.0909091,0.37,0.183673,0.6276,1
100,0.359192,0.10101,0.37,0.204082,0.524,0.98
100,0.761818,0.0707071,0.35,0.142857,0.6196,0.95
100,0.668889,0.0909091,0.3,0.183673,0.7192,1
100,0.350909,0.0909091,0.35,0.183673,0.6236,1
100,0.331919,0.10101,0.36,0.204082,0.554,1
100,0.273333,0.10101,0.29,0.204082,0.5268,0.98
100,0.62101,0.121212,0.32,0.244898,0.642,1
100,0.405051,0.10101,0.42,0.204082,0.6456,1
100,0.229697,0.0909091,0.34,0.183673,0.7184,1
100,0.403434,0.111111,0.25,0.22449,0.802,0.99
100,0.562828,0.10101,0.29,0.204082,0.7156,0.99
100,0.899596,0.121212,0.3,0.244898,0.8332,0.95
100,0.295556,0.10101,0.27,0.204082,0.758,0.98
100,0.675354,0.10101,0.36,0.183673,0.63,1
100,0.470303,0.131313,0.31,0.244898,0.69,1
100,0.333131,0.0707071,0.42,0.142857,0.5672,0.98
100,0.706869,0.10101,0.3,0.204082,0.7732,1
100,0.380606,0.10101,0.32,0.204082,0.618,1
100,0.26202,0.0808081,0.32,0.163265,0.7692,1
100,0.687071,0.10101,0.35,0.204082,0.73,1
100,0.256364,0.111111,0.33,0.22449,0.6076,1
100,0.257778,0.0909091,0.35,0.183673,0.718,1
100,0.220808,0.111111,0.35,0.22449,0.7976,1
100,0.272121,0.0909091,0.38,0.183673,0.504,1
100,0.440606,0.131313,0.37,0.244898,0.5648,0.95
100,0.424444,0.0909091,0.36,0.183673,0.6516,0.99
100,0.700202,0.10101,0.34,0.204082,0.6044,1
100,0.729899,0.0909091,0.25,0.183673,0.712,1
100,0.529495,0.0808081,0.3,0.163265,0.702,1
100,0.503232,0.121212,0.26,0.244898,0.738,0.99
100,0.217374,0.0909091,0.4,0.183673,0.666,1
100,0.334343,0.121212,0.28,0.244898,0.6092,1
100,0.702222,0.111111,0.25,0.22449,0.7568,1
100,0.331515,0.111111,0.3,0.22449,0.65,1
100,0.581616,0.111111,0.33,0.22449,0.6824,1
100,0.570101,0.0909091,0.31,0.183673,0.7296,1
100,0.796768,0.111111,0.3,0.22449,0.7096,0.99
100,0.538182,0.111111,0.33,0.22449,0.6652,1
100,0.627475,0.121212,0.25,0.244898,0.7624,1
100,0.159596,0.121212,0.36,0.22449,0.7376,1
100,0.295758,0.0909091,0.4,0.183673,0.5368,1
100,0.753333,0.131313,0.25,0.244898,0.872,1
100,0.563232,0.0909091,0.42,0.183673,0.5052,0.9
100,0.498586,0.0909091,0.35,0.183673,0.6604,0.97
100,0.43596,0.10101,0.33,0.204082,0.6748,1
100,0.693333,0.121212,0.35,0.244898,0.7688,1
100,0.528485,0.121212,0.3,0.244898,0.6648,0.95
100,0.294747,0.121212,0.27,0.22449,0.76,1
100,0.347879,0.10101,0.27,0.204082,0.7684,0.96
100,0.446061,0.131313,0.26,0.265306,0.6336,0.98
100,0.677172,0.111111,0.34,0.22449,0.8192,1
100,0.345051,0.111111,0.37,0.214286,0.7292,1
100,0.407879,0.121212,0.33,0.244898,0.6856,1
100,0.665657,0.111111,0.36,0.22449,0.7912,0.99
100,0.529697,0.0909091,0.36,0.183673,0.6964,0.99
100,0.440808,0.121212,0.35,0.244898,0.5936,1
100,0.611717,0.0707071,0.3,0.142857,0.776,1
100,0.421414,0.121212,0.31,0.244898,0.6588,1
100,0.710101,0.121212,0.24,0.22449,0.7012,1
100,0.196566,0.131313,0.35,0.265306,0.6212,0.98
100,0.712727,0.10101,0.37,0.204082,0.6628,1
100,0.727879,0.121212,0.28,0.244898,0.6032,1
100,0.418788,0.111111,0.33,0.22449,0.6124,1
100,0.328687,0.111111,0.25,0.22449,0.7908,1
100,0.442222,0.10101,0.26,0.204082,0.7092,1
100,0.269091,0.10101,0.36,0.204082,0.6832,1
100,0.291919,0.121212,0.32,0.22449,0.6192,1
100,0.310505,0.10101,0.35,0.204082,0.562,1
100,0.762424,0.10101,0.29,0.204082,0.7304,1
100,0.594343,0.10101,0.35,0.204082,0.6752,1
100,0.430303,0.0808081,0.35,0.163265,0.5972,0.91
100,0.346061,0.10101,0.34,0.204082,0.708,1
100,0.283232,0.10101,0.39,0.204082,0.4496,1
100,0.512929,0.0909091,0.35,0.163265,0.6956,1
100,0.509293,0.0909091,0.3,0.183673,0.6088,0.95
100,0.564646,0.10101,0.3,0.204082,0.7492,1
100,0.345253,0.111111,0.29,0.22449,0.7156,1
100,0.268687,0.111111,0.34,0.22449,0.5772,1
100,0.279192,0.0808081,0.35,0.163265,0.6148,0.97
100,0.492121,0.111111,0.27,0.22449,0.7856,1
100,0.218384,0.121212,0.35,0.244898,0.6892,1
100,0.36101,0.0808081,0.3,0.163265,0.7296,1
100,0.294747,0.121212,0.3,0.244898,0.6488,0.99
100,0.667071,0.121212,0.25,0.244898,0.7668,1
100,0.536768,0.10101,0.39,0.204082,0.6028,0.89
100,0.396364,0.10101,0.35,0.204082,0.5532,0.94
100,0.468283,0.0808081,0.45,0.163265,0.6164,1
100,0.28101,0.111111,0.3,0.22449,0.5724,1
100,0.371111,0.0909091,0.4,0.183673,0.5212,1
100,0.518182,0.121212,0.28,0.244898,0.78,0.95
100,0.751111,0.10101,0.3,0.204082,0.684,0.98
100,0.397172,0.10101,0.4,0.204082,0.492,0.94
100,0.663232,0.10101,0.34,0.204082,0.7276,1
100,0.305455,0.111111,0.29,0.22449,0.75,0.99
100,0.68,0.121212,0.29,0.244898,0.796,0.98
100,0.450909,0.10101,0.37,0.204082,0.5432,0.99
100,0.774949,0.131313,0.3,0.265306,0.6712,0.95
100,0.238586,0.111111,0.35,0.22449,0.4248,0.97
100,0.538384,0.111111,0.32,0.22449,0.678,0.95
100,0.491515,0.0808081,0.32,0.163265,0.6628,0.98
100,0.424848,0.0909091,0.31,0.183673,0.7048,1
100,0.589899,0.121212,0.26,0.244898,0.7636,1
100,0.531111,0.121212,0.3,0.244898,0.6172,0.98
100,0.772929,0.0808081,0.39,0.163265,0.82,1
100,0.643838,0.111111,0.39,0.22449,0.4956,0.9
100,0.209091,0.0808081,0.4,0.163265,0.5036,0.92
100,0.289293,0.121212,0.36,0.244898,0.5836,0.95
