n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.318384,0.444444,0.15,0.693878,0.6544,1
100,0.702424,0.464646,0.15,0.714286,0.7012,0.99
100,0.508485,0.393939,0.16,0.72449,0.7256,1
100,0.576162,0.454545,0.17,0.673469,0.6344,0.98
100,0.478182,0.434343,0.15,0.683673,0.6968,1
100,0.218384,0.444444,0.18,0.714286,0.6092,0.99
100,0.352323,0.464646,0.17,0.683673,0.62,1
100,0.350101,0.424242,0.17,0.571429,0.6348,1
100,0.642626,0.484848,0.17,0.673469,0.6184,1
100,0.393333,0.393939,0.19,0.612245,0.674,0.99
100,0.34,0.434343,0.18,0.693878,0.624,0.99
100,0.571515,0.474747,0.14,0.653061,0.7424,1
100,0.502424,0.454545,0.19,0.734694,0.6084,1
100,0.412929,0.444444,0.15,0.632653,0.7108,1
100,0.502222,0.505051,0.17,0.581633,0.6548,1
100,0.411313,0.393939,0.19,0.622449,0.6572,1
100,0.31899,0.414141,0.17,0.602041,0.75,0.98
100,0.707475,0.424242,0.17,0.632653,0.6508,0.98
100,0.734141,0.414141,0.18,0.622449,0.6548,0.98
100,0.600808,0.393939,0.16,0.581633,0.7632,1
100,0.291717,0.454545,0.17,0.642857,0.6764,0.98
100,0.570909,0.464646,0.17,0.571429,0.7012,0.99
100,0.63798,0.454545,0.18,0.683673,0.6116,0.99
100,0.416162,0.424242,0.15,0.612245,0.6996,0.99
100,0.399798,0.454545,0.18,0.693878,0.6688,0.99
100,0.59697,0.424242,0.2,0.653061,0.6596,1
100,0.417778,0.454545,0.2,0.642857,0.5624,0.99
100,0.31596,0.454545,0.16,0.622449,0.6332,0.98
100,0.373333,0.444444,0.19,0.571429,0.6192,1
100,0.338788,0.454545,0.18,0.653061,0.576,0.99
100,0.487677,0.494949,0.18,0.673469,0.5964,0.98
100,0.314747,0.424242,0.16,0.663265,0.6596,0.99
100,0.300202,0.454545,0.17,0.673469,0.7172,1
100,0.325455,0.474747,0.19,0.673469,0.5356,0.99
100,0.549091,0.444444,0.17,0.622449,0.6536,1
100,0.355556,0.424242,0.18,0.622449,0.6632,0.98
100,0.722828,0.444444,0.17,0.734694,0.6316,1
100,0.587273,0.424242,0.17,0.632653,0.6648,0.99
100,0.45798,0.424242,0.18,0.642857,0.6128,1
100,0.610707,0.434343,0.18,0.642857,0.6412,0.98
100,0.40404,0.40404,0.18,0.622449,0.6656,0.99
100,0.271919,0.474747,0.19,0.642857,0.656,1
100,0.275354,0.474747,0.2,0.683673,0.5292,0.99
100,0.22,0.444444,0.16,0.571429,0.6736,1
100,0.51596,0.414141,0.19,0.653061,0.6632,0.99
100,0.570303,0.454545,0.17,0.632653,0.7428,0.97
100,0.373737,0.494949,0.16,0.581633,0.622,1
100,0.328687,0.444444,0.16,0.632653,0.7536,0.99
100,0.499192,0.454545,0.15,0.714286,0.7444,1
100,0.352727,0.444444,0.17,0.663265,0.6256,0.99
100,0.642222,0.434343,0.18,0.622449,0.7188,1
100,0.799798,0.434343,0.16,0.632653,0.6656,0.99
100,0.405253,0.464646,0.18,0.642857,0.6712,0.99
100,0.516364,0.434343,0.14,0.653061,0.696,1
100,0.327273,0.414141,0.17,0.571429,0.5784,0.98
100,0.354949,0.424242,0.16,0.632653,0.6756,0.99
100,0.419596,0.373737,0.18,0.561224,0.6976,1
100,0.45899,0.454545,0.15,0.591837,0.706,0.99
100,0.23697,0.494949,0.16,0.622449,0.6432,1
100,0.574949,0.444444,0.18,0.653061,0.6264,1
100,0.417374,0.464646,0.16,0.704082,0.6584,1
100,0.739192,0.464646,0.17,0.663265,0.6268,0.98
