n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.48202,0.383838,0.17,0.591837,0.6712,0.99
100,0.537374,0.393939,0.18,0.653061,0.7248,0.98
100,0.577576,0.363636,0.18,0.591837,0.7796,1
100,0.427071,0.434343,0.21,0.653061,0.5708,1
100,0.525253,0.363636,0.18,0.530612,0.6816,0.95
100,0.512929,0.40404,0.19,0.653061,0.6708,1
100,0.405859,0.393939,0.18,0.591837,0.5516,0.98
100,0.472929,0.363636,0.17,0.653061,0.6456,0.98
100,0.464444,0.40404,0.18,0.622449,0.6304,0.99
100,0.449697,0.393939,0.19,0.612245,0.5872,0.97
100,0.559798,0.40404,0.15,0.673469,0.7648,0.98
100,0.514141,0.414141,0.16,0.602041,0.6952,1
100,0.456768,0.424242,0.18,0.602041,0.6244,0.99
100,0.49697,0.363636,0.16,0.55102,0.6464,0.99
100,0.44202,0.424242,0.24,0.642857,0.592,0.99
100,0.444848,0.393939,0.21,0.591837,0.5996,1
100,0.644242,0.444444,0.14,0.673469,0.8144,0.97
100,0.461212,0.424242,0.18,0.632653,0.5864,0.99
100,0.47697,0.363636,0.19,0.612245,0.6392,0.96
100,0.560808,0.40404,0.14,0.653061,0.7432,1
100,0.473737,0.363636,0.17,0.612245,0.6404,1
100,0.497778,0.373737,0.15,0.632653,0.6528,0.97
100,0.532525,0.393939,0.16,0.612245,0.6952,0.98
100,0.533737,0.40404,0.17,0.683673,0.7148,0.99
100,0.483636,0.343434,0.19,0.55102,0.6432,0.97
100,0.489899,0.40404,0.17,0.55102,0.6656,0.99
100,0.472727,0.414141,0.18,0.632653,0.6192,0.99
100,0.475758,0.434343,0.19,0.653061,0.6444,0.99
100,0.462424,0.414141,0.18,0.612245,0.6152,0.98
100,0.453333,0.393939,0.16,0.673469,0.624,1
100,0.495354,0.383838,0.18,0.602041,0.674,1
100,0.539798,0.383838,0.14,0.632653,0.7192,0.99
100,0.456162,0.363636,0.18,0.561224,0.6224,1
100,0.429091,0.434343,0.18,0.632653,0.5852,1
100,0.489293,0.363636,0.2,0.612245,0.6656,1
100,0.473737,0.383838,0.17,0.612245,0.6444,1
100,0.469899,0.393939,0.19,0.581633,0.6188,0.97
100,0.535354,0.454545,0.16,0.704082,0.7256,1
100,0.546061,0.464646,0.15,0.704082,0.6936,0.98
100,0.467879,0.373737,0.15,0.653061,0.6336,0.99
100,0.480404,0.383838,0.22,0.591837,0.6248,0.99
100,0.500808,0.40404,0.18,0.612245,0.6728,0.98
100,0.449091,0.434343,0.21,0.632653,0.6064,0.99
100,0.556566,0.343434,0.16,0.591837,0.754,0.98
100,0.454141,0.363636,0.22,0.642857,0.6084,0.99
100,0.495758,0.393939,0.2,0.602041,0.6588,0.99
100,0.414747,0.343434,0.2,0.530612,0.5576,0.98
100,0.504848,0.383838,0.16,0.653061,0.6916,1
100,0.547071,0.393939,0.15,0.571429,0.7668,0.99
100,0.485657,0.40404,0.19,0.632653,0.6296,1
100,0.486465,0.424242,0.18,0.622449,0.6636,0.99
100,0.461212,0.434343,0.2,0.663265,0.614,0.99
100,0.447475,0.40404,0.21,0.693878,0.6028,0.98
100,0.562222,0.40404,0.15,0.714286,0.7492,1
100,0.497778,0.40404,0.17,0.591837,0.6668,0.98
100,0.508081,0.383838,0.18,0.591837,0.6572,1
100,0.511313,0.383838,0.17,0.55102,0.6948,0.99
100,0.480404,0.454545,0.19,0.663265,0.632,0.99
100,0.484242,0.424242,0.16,0.72449,0.674,0.99
100,0.514949,0.353535,0.18,0.510204,0.692,0.98
100,0.428283,0.424242,0.21,0.561224,0.5924,0.99
100,0.470101,0.444444,0.18,0.673469,0.6364,0.97
100,0.488687,0.383838,0.19,0.612245,0.6444,1
100,0.491717,0.454545,0.18,0.632653,0.6444,1
100,0.537778,0.393939,0.18,0.642857,0.7076,0.98
100,0.496566,0.40404,0.2,0.612245,0.6656,0.96
100,0.512525,0.353535,0.17,0.632653,0.682,0.99
100,0.52404,0.343434,0.17,0.591837,0.7224,1
100,0.440202,0.40404,0.19,0.653061,0.598,0.98
100,0.46202,0.424242,0.18,0.571429,0.6276,0.98
100,0.527677,0.414141,0.16,0.602041,0.696,0.99
100,0.501818,0.393939,0.18,0.561224,0.68,0.99
100,0.540808,0.373737,0.17,0.591837,0.708,0.96
100,0.468283,0.40404,0.19,0.632653,0.642,0.97
100,0.42101,0.444444,0.23,0.653061,0.5812,0.98
100,0.479798,0.343434,0.23,0.591837,0.6236,0.98
100,0.482626,0.393939,0.18,0.632653,0.668,0.99
100,0.454141,0.393939,0.19,0.561224,0.6128,0.99
100,0.498384,0.393939,0.17,0.591837,0.6912,0.99
100,0.495152,0.434343,0.18,0.72449,0.6588,1
100,0.536364,0.414141,0.17,0.632653,0.6896,0.98
100,0.479596,0.40404,0.16,0.642857,0.642,0.98
100,0.540606,0.434343,0.19,0.520408,0.716,0.98
100,0.423838,0.383838,0.2,0.55102,0.5916,0.99
100,0.471717,0.393939,0.22,0.561224,0.6024,1
100,0.519394,0.424242,0.21,0.632653,0.6836,0.98
100,0.51798,0.363636,0.17,0.632653,0.6876,0.98
100,0.469899,0.353535,0.17,0.55102,0.6328,1
100,0.493535,0.373737,0.18,0.632653,0.6668,0.98
100,0.491919,0.414141,0.17,0.581633,0.6612,0.99
100,0.498586,0.414141,0.18,0.581633,0.666,0.99
100,0.562626,0.393939,0.17,0.642857,0.7524,0.99
100,0.579394,0.444444,0.15,0.653061,0.7624,1
100,0.508687,0.40404,0.16,0.591837,0.6828,0.99
100,0.512525,0.444444,0.2,0.653061,0.6964,0.99
100,0.46404,0.40404,0.18,0.571429,0.6184,1
100,0.511111,0.373737,0.2,0.591837,0.656,0.99
100,0.485455,0.373737,0.18,0.571429,0.6632,1
100,0.51697,0.373737,0.18,0.479592,0.6856,0.99
100,0.467677,0.363636,0.18,0.520408,0.6228,0.99
100,0.478788,0.434343,0.17,0.632653,0.6508,0.99
100,0.421616,0.383838,0.21,0.540816,0.5764,0.96
100,0.503838,0.383838,0.17,0.571429,0.666,1
100,0.48404,0.373737,0.2,0.571429,0.67,0.99
100,0.530303,0.454545,0.17,0.612245,0.7096,0.99
100,0.507677,0.393939,0.18,0.642857,0.6652,0.99
100,0.596768,0.40404,0.17,0.591837,0.7772,0.98
100,0.499596,0.424242,0.18,0.714286,0.6484,0.98
100,0.556364,0.414141,0.16,0.653061,0.7364,0.99
100,0.505455,0.40404,0.17,0.612245,0.6524,0.96
100,0.449697,0.363636,0.19,0.561224,0.6176,1
100,0.482424,0.373737,0.17,0.55102,0.6668,0.97
100,0.460404,0.393939,0.17,0.622449,0.6376,0.99
100,0.491717,0.383838,0.18,0.571429,0.6464,0.99
100,0.496162,0.363636,0.19,0.581633,0.662,1
100,0.398586,0.424242,0.24,0.734694,0.5268,0.99
100,0.485455,0.424242,0.17,0.622449,0.6588,0.99
100,0.56101,0.444444,0.15,0.683673,0.746,1
100,0.517576,0.414141,0.18,0.571429,0.6768,0.99
100,0.571717,0.414141,0.13,0.591837,0.7752,1
100,0.467273,0.353535,0.16,0.561224,0.6492,1
100,0.475758,0.414141,0.16,0.704082,0.6808,0.99
100,0.478788,0.373737,0.19,0.612245,0.6568,0.99
100,0.541212,0.424242,0.18,0.571429,0.7156,1
100,0.520404,0.464646,0.15,0.540816,0.7104,1
100,0.488485,0.383838,0.21,0.530612,0.6504,1
100,0.475556,0.373737,0.19,0.571429,0.6376,0.99
100,0.409293,0.393939,0.22,0.622449,0.5592,0.97
100,0.484848,0.424242,0.18,0.591837,0.65,1
100,0.507677,0.393939,0.18,0.602041,0.704,1
100,0.474545,0.343434,0.17,0.632653,0.6368,0.98
100,0.600202,0.424242,0.16,0.653061,0.7796,1
100,0.529293,0.454545,0.16,0.612245,0.6948,0.99
100,0.520808,0.414141,0.16,0.571429,0.7032,0.98
100,0.538586,0.434343,0.16,0.653061,0.706,0.98
100,0.570101,0.414141,0.18,0.642857,0.7476,1
100,0.515354,0.434343,0.17,0.653061,0.7192,0.99
100,0.540202,0.414141,0.16,0.673469,0.6984,0.99
100,0.52404,0.40404,0.16,0.602041,0.7012,0.99
100,0.488687,0.373737,0.21,0.622449,0.6376,1
100,0.523838,0.363636,0.18,0.55102,0.7064,0.97
100,0.500808,0.353535,0.16,0.653061,0.6848,0.99
100,0.559394,0.373737,0.17,0.632653,0.7388,0.99
100,0.511515,0.414141,0.16,0.653061,0.7092,1
100,0.52404,0.414141,0.19,0.612245,0.6708,0.99
100,0.459596,0.353535,0.17,0.530612,0.6264,0.99
100,0.52303,0.363636,0.18,0.653061,0.6872,0.98
100,0.52,0.424242,0.18,0.591837,0.6736,0.98
100,0.517374,0.383838,0.16,0.55102,0.6636,0.98
100,0.523434,0.393939,0.18,0.591837,0.7164,1
100,0.423636,0.434343,0.21,0.581633,0.582,1
100,0.49899,0.383838,0.17,0.653061,0.6592,0.99
100,0.474343,0.40404,0.17,0.642857,0.6468,0.99
100,0.504646,0.353535,0.21,0.571429,0.6516,0.99
100,0.490707,0.373737,0.2,0.612245,0.686,0.98
100,0.476364,0.373737,0.19,0.571429,0.6352,1
100,0.500202,0.40404,0.18,0.663265,0.6664,0.99
100,0.50404,0.383838,0.19,0.612245,0.6384,1
100,0.518788,0.373737,0.17,0.55102,0.6836,0.98
100,0.521818,0.363636,0.16,0.591837,0.7084,1
100,0.433333,0.414141,0.21,0.673469,0.602,1
100,0.520404,0.454545,0.17,0.622449,0.6992,1
100,0.512727,0.40404,0.17,0.612245,0.6776,1
100,0.488485,0.434343,0.17,0.591837,0.6712,1
100,0.444646,0.40404,0.21,0.632653,0.598,0.98
100,0.480404,0.414141,0.17,0.632653,0.6464,0.99
100,0.494343,0.40404,0.18,0.612245,0.674,0.99
100,0.528081,0.434343,0.17,0.693878,0.6788,0.99
100,0.486263,0.434343,0.17,0.612245,0.6664,1
100,0.529495,0.383838,0.15,0.602041,0.7092,1
100,0.528283,0.393939,0.17,0.632653,0.69,0.98
100,0.485253,0.383838,0.19,0.571429,0.6436,0.99
100,0.49697,0.373737,0.21,0.55102,0.652,0.98
100,0.501212,0.40404,0.2,0.622449,0.6592,0.97
100,0.552929,0.373737,0.17,0.561224,0.7288,0.98
