n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.250909,0.292929,0.32,0.520408,0.7096,1
100,0.363232,0.272727,0.35,0.469388,0.6912,1
100,0.472121,0.30303,0.34,0.459184,0.6984,1
100,0.479394,0.272727,0.31,0.408163,0.734,0.99
100,0.498384,0.30303,0.23,0.489796,0.7928,1
100,0.459798,0.262626,0.3,0.428571,0.8176,1
100,0.361818,0.272727,0.4,0.44898,0.4552,0.99
100,0.338384,0.343434,0.32,0.540816,0.7448,0.99
100,0.353333,0.313131,0.34,0.469388,0.7588,0.99
100,0.362828,0.30303,0.3,0.459184,0.6244,0.97
100,0.472929,0.252525,0.34,0.357143,0.68,1
100,0.62404,0.242424,0.36,0.367347,0.6768,1
100,0.309091,0.262626,0.36,0.428571,0.598,1
100,0.325253,0.262626,0.39,0.469388,0.5896,1
100,0.766263,0.252525,0.39,0.469388,0.446,0.98
100,0.594949,0.242424,0.39,0.418367,0.462,0.99
100,0.51899,0.292929,0.3,0.44898,0.652,1
100,0.718182,0.282828,0.38,0.469388,0.4996,1
100,0.672929,0.242424,0.29,0.367347,0.8388,0.98
100,0.533737,0.282828,0.32,0.510204,0.7668,1
100,0.57798,0.30303,0.4,0.428571,0.4656,0.99
100,0.308687,0.282828,0.33,0.44898,0.8356,0.99
100,0.686465,0.313131,0.33,0.489796,0.7564,1
100,0.313737,0.30303,0.34,0.510204,0.7332,1
100,0.640808,0.252525,0.31,0.489796,0.7624,0.99
100,0.277576,0.272727,0.32,0.408163,0.7716,1
100,0.610505,0.313131,0.29,0.469388,0.6168,0.97
100,0.27798,0.30303,0.36,0.489796,0.4872,0.98
100,0.353333,0.313131,0.34,0.5,0.6752,1
100,0.608687,0.262626,0.35,0.367347,0.5316,0.95
100,0.426869,0.282828,0.36,0.510204,0.75,1
100,0.501818,0.292929,0.32,0.44898,0.6076,1
100,0.394343,0.323232,0.4,0.520408,0.39,1
100,0.381212,0.313131,0.26,0.479592,0.7128,0.99
100,0.530505,0.232323,0.38,0.387755,0.568,1
100,0.326263,0.30303,0.3,0.438776,0.822,1
100,0.56101,0.262626,0.37,0.469388,0.4968,1
100,0.727879,0.282828,0.34,0.520408,0.6392,0.99
100,0.64303,0.262626,0.35,0.469388,0.6508,0.97
100,0.690101,0.272727,0.33,0.469388,0.7244,1
100,0.739192,0.252525,0.32,0.408163,0.7204,1
100,0.459798,0.252525,0.31,0.428571,0.7816,1
100,0.254949,0.272727,0.34,0.438776,0.6936,0.98
100,0.547677,0.30303,0.35,0.459184,0.7772,1
100,0.798788,0.242424,0.36,0.367347,0.7376,0.99
100,0.452525,0.262626,0.39,0.387755,0.5008,0.99
100,0.229495,0.282828,0.33,0.428571,0.4772,0.99
100,0.807273,0.262626,0.34,0.377551,0.8224,0.99
100,0.408081,0.272727,0.31,0.377551,0.8256,0.98
100,0.367879,0.30303,0.32,0.5,0.7536,0.99
100,0.849293,0.292929,0.32,0.510204,0.7864,1
100,0.751919,0.212121,0.39,0.367347,0.5964,0.99
100,0.381818,0.30303,0.31,0.489796,0.7396,1
100,0.759192,0.242424,0.3,0.408163,0.8032,0.99
100,0.38303,0.333333,0.41,0.44898,0.3404,0.98
100,0.387879,0.262626,0.4,0.489796,0.4828,1
100,0.475556,0.30303,0.3,0.418367,0.728,0.99
100,0.370505,0.252525,0.28,0.387755,0.7908,1
100,0.452525,0.313131,0.36,0.469388,0.4984,0.99
100,0.336566,0.232323,0.36,0.408163,0.5956,1
100,0.408687,0.252525,0.34,0.428571,0.6712,1
100,0.456566,0.282828,0.32,0.479592,0.7168,1
100,0.473535,0.30303,0.23,0.479592,0.7372,1
100,0.753535,0.323232,0.36,0.510204,0.4956,0.98
100,0.841212,0.313131,0.33,0.489796,0.7712,1
100,0.293333,0.252525,0.38,0.44898,0.6432,1
100,0.670707,0.242424,0.4,0.387755,0.4528,0.96
100,0.233737,0.242424,0.32,0.428571,0.7652,1
100,0.268889,0.262626,0.28,0.387755,0.686,0.98
100,0.537374,0.272727,0.29,0.469388,0.634,1
100,0.770505,0.262626,0.31,0.357143,0.816,0.99
100,0.333939,0.252525,0.35,0.459184,0.6236,1
100,0.610303,0.232323,0.28,0.397959,0.5692,1
100,0.82303,0.282828,0.3,0.408163,0.77,1
100,0.585253,0.212121,0.27,0.387755,0.6616,0.99
100,0.329697,0.252525,0.32,0.408163,0.786,1
100,0.345859,0.252525,0.39,0.459184,0.49,0.99
100,0.48404,0.282828,0.32,0.479592,0.7916,0.97
100,0.782626,0.313131,0.34,0.428571,0.6472,0.99
100,0.293131,0.282828,0.29,0.479592,0.6632,0.99
100,0.84,0.232323,0.27,0.428571,0.922,0.99
100,0.353737,0.262626,0.26,0.44898,0.8692,1
100,0.267677,0.272727,0.39,0.408163,0.3932,1
100,0.615152,0.272727,0.28,0.44898,0.9012,1
100,0.821818,0.292929,0.39,0.387755,0.6868,1
100,0.411313,0.292929,0.41,0.438776,0.4172,0.98
