n,inv_norm,runs_norm,rem_norm,osc_norm,dis_norm,ham_norm
100,0.485657,0.424242,0.16,0.704082,0.662,0.99
100,0.500404,0.393939,0.18,0.673469,0.6744,0.97
100,0.545051,0.474747,0.18,0.653061,0.7072,0.99
100,0.485859,0.434343,0.17,0.540816,0.6408,0.99
100,0.529293,0.424242,0.16,0.642857,0.702,0.98
100,0.489697,0.505051,0.16,0.673469,0.6536,0.98
100,0.452727,0.484848,0.18,0.653061,0.6108,0.99
100,0.442222,0.40404,0.16,0.571429,0.62,1
100,0.451515,0.484848,0.15,0.653061,0.6128,0.98
100,0.53899,0.424242,0.19,0.653061,0.692,0.99
100,0.483434,0.434343,0.19,0.673469,0.6568,1
100,0.513737,0.505051,0.15,0.622449,0.6804,1
100,0.427475,0.414141,0.19,0.510204,0.5708,0.99
100,0.506667,0.414141,0.15,0.693878,0.6948,1
100,0.508283,0.434343,0.17,0.612245,0.676,0.99
100,0.470707,0.444444,0.2,0.581633,0.6224,0.99
100,0.600606,0.393939,0.16,0.591837,0.7856,1
100,0.460808,0.505051,0.2,0.663265,0.6044,0.99
100,0.540808,0.393939,0.16,0.642857,0.7208,0.99
100,0.564444,0.444444,0.16,0.581633,0.7456,1
100,0.524444,0.444444,0.16,0.561224,0.7112,1
100,0.485253,0.424242,0.18,0.612245,0.6564,0.98
100,0.485657,0.454545,0.17,0.683673,0.644,0.96
100,0.508687,0.444444,0.16,0.734694,0.7096,0.99
100,0.467879,0.434343,0.22,0.693878,0.622,1
100,0.468283,0.424242,0.17,0.632653,0.6308,1
100,0.452323,0.454545,0.19,0.642857,0.6072,0.99
100,0.51596,0.474747,0.16,0.612245,0.6852,0.99
100,0.474747,0.494949,0.18,0.673469,0.6332,0.97
100,0.473737,0.444444,0.16,0.591837,0.6556,1
100,0.465455,0.444444,0.17,0.602041,0.636,0.98
100,0.540202,0.373737,0.17,0.653061,0.7352,0.97
100,0.510101,0.434343,0.16,0.612245,0.6776,0.99
100,0.452727,0.444444,0.18,0.653061,0.5908,0.98
100,0.490505,0.444444,0.16,0.602041,0.6632,0.99
100,0.468081,0.494949,0.16,0.683673,0.634,0.99
100,0.519596,0.454545,0.18,0.653061,0.6624,0.99
100,0.495354,0.474747,0.16,0.653061,0.6832,0.99
100,0.453333,0.444444,0.17,0.673469,0.6072,0.99
100,0.454141,0.474747,0.16,0.673469,0.6308,0.96
100,0.507273,0.454545,0.16,0.663265,0.6852,1
100,0.519596,0.434343,0.18,0.612245,0.7136,0.99
100,0.412929,0.474747,0.21,0.704082,0.5516,0.97
100,0.523838,0.424242,0.16,0.632653,0.6908,0.99
100,0.470101,0.444444,0.19,0.632653,0.6252,0.99
100,0.504848,0.434343,0.18,0.642857,0.6668,1
100,0.468283,0.474747,0.18,0.622449,0.6116,0.98
100,0.487273,0.434343,0.19,0.612245,0.6708,1
100,0.553131,0.424242,0.15,0.591837,0.7552,0.98
100,0.502828,0.444444,0.18,0.673469,0.6648,1
100,0.512929,0.424242,0.16,0.653061,0.69,1
100,0.454141,0.464646,0.2,0.714286,0.5868,0.98
100,0.464646,0.40404,0.16,0.591837,0.6212,0.99
100,0.511919,0.434343,0.15,0.602041,0.672,1
100,0.398384,0.494949,0.18,0.632653,0.5396,0.99
100,0.492323,0.444444,0.16,0.622449,0.646,1
100,0.50101,0.484848,0.15,0.72449,0.664,1
100,0.503434,0.494949,0.15,0.632653,0.6868,0.99
100,0.500606,0.484848,0.17,0.704082,0.6624,0.99
100,0.454343,0.414141,0.19,0.571429,0.6068,1
100,0.486061,0.414141,0.16,0.642857,0.6696,0.97
100,0.504646,0.424242,0.15,0.642857,0.6788,1
100,0.535556,0.464646,0.17,0.693878,0.692,1
100,0.463636,0.444444,0.16,0.622449,0.602,0.98
100,0.520808,0.484848,0.16,0.663265,0.7016,1
100,0.481212,0.464646,0.17,0.642857,0.6552,1
100,0.453535,0.414141,0.18,0.653061,0.6168,0.97
100,0.482222,0.454545,0.18,0.683673,0.632,0.97
100,0.495758,0.414141,0.19,0.591837,0.6416,0.97
100,0.508485,0.464646,0.18,0.653061,0.676,1
100,0.528081,0.444444,0.16,0.683673,0.71,0.99
100,0.505657,0.464646,0.18,0.632653,0.6788,0.98
100,0.489899,0.434343,0.19,0.653061,0.6496,1
100,0.434747,0.484848,0.19,0.581633,0.5804,1
100,0.456768,0.454545,0.17,0.591837,0.6356,0.99
100,0.530303,0.444444,0.16,0.683673,0.6952,0.98
100,0.517172,0.434343,0.17,0.581633,0.7044,1
100,0.459394,0.464646,0.17,0.612245,0.6004,1
100,0.516364,0.454545,0.16,0.571429,0.6948,0.99
100,0.440404,0.444444,0.17,0.704082,0.6004,1
100,0.531919,0.444444,0.16,0.663265,0.7124,1
100,0.503434,0.414141,0.17,0.683673,0.6812,1
100,0.498384,0.484848,0.16,0.581633,0.6408,1
100,0.439192,0.464646,0.2,0.693878,0.5956,0.98
100,0.507071,0.434343,0.19,0.663265,0.6704,0.98
100,0.548283,0.494949,0.16,0.765306,0.73,1
100,0.497172,0.414141,0.18,0.602041,0.6516,0.99
100,0.486263,0.414141,0.15,0.591837,0.6572,0.99
100,0.483636,0.414141,0.18,0.622449,0.642,0.98
100,0.512323,0.434343,0.18,0.72449,0.6704,1
100,0.462222,0.454545,0.19,0.72449,0.6232,1
100,0.517778,0.414141,0.17,0.632653,0.6936,1
100,0.561414,0.434343,0.16,0.632653,0.752,1
100,0.54101,0.474747,0.17,0.693878,0.6856,0.99
100,0.498586,0.424242,0.17,0.642857,0.6756,1
100,0.469495,0.414141,0.21,0.632653,0.6412,1
100,0.529697,0.474747,0.16,0.571429,0.7016,1
100,0.468889,0.424242,0.18,0.612245,0.6368,0.99
100,0.462222,0.454545,0.19,0.653061,0.6148,1
100,0.520808,0.484848,0.13,0.642857,0.6916,0.99
100,0.46202,0.434343,0.16,0.632653,0.6208,1
100,0.432929,0.444444,0.19,0.744898,0.588,0.98
100,0.470909,0.424242,0.18,0.704082,0.6036,0.97
100,0.508485,0.454545,0.13,0.622449,0.7044,1
100,0.514747,0.454545,0.15,0.693878,0.6688,0.98
100,0.491313,0.474747,0.18,0.642857,0.6376,1
100,0.527475,0.434343,0.17,0.693878,0.6904,0.99
100,0.420202,0.424242,0.18,0.602041,0.5744,0.97
100,0.492323,0.444444,0.18,0.602041,0.6536,1
100,0.490101,0.414141,0.18,0.663265,0.6608,1
100,0.50101,0.434343,0.15,0.683673,0.6624,0.98
100,0.474949,0.444444,0.17,0.653061,0.656,0.98
100,0.491515,0.454545,0.18,0.622449,0.6656,0.99
100,0.491111,0.464646,0.17,0.734694,0.6468,0.99
100,0.461212,0.434343,0.17,0.683673,0.6268,0.97
100,0.476566,0.40404,0.18,0.693878,0.6308,1
100,0.489697,0.424242,0.15,0.653061,0.6684,1
100,0.519798,0.454545,0.18,0.642857,0.68,1
100,0.497576,0.444444,0.16,0.622449,0.66,0.99
100,0.566263,0.484848,0.15,0.642857,0.7432,0.97
100,0.490303,0.434343,0.15,0.591837,0.6588,1
100,0.465859,0.424242,0.19,0.581633,0.6432,1
100,0.406263,0.464646,0.2,0.653061,0.55,1
100,0.437576,0.464646,0.17,0.622449,0.5888,1
100,0.505657,0.494949,0.16,0.663265,0.6896,1
100,0.494545,0.505051,0.17,0.622449,0.672,1
100,0.529293,0.444444,0.17,0.642857,0.7196,1
100,0.433535,0.414141,0.17,0.693878,0.586,0.98
100,0.541818,0.454545,0.18,0.632653,0.702,0.99
100,0.528081,0.424242,0.16,0.55102,0.7116,1
100,0.454949,0.424242,0.2,0.581633,0.61,0.99
100,0.523232,0.464646,0.16,0.653061,0.692,0.99
100,0.47798,0.484848,0.2,0.632653,0.6336,0.99
100,0.485859,0.454545,0.16,0.622449,0.6544,1
100,0.51798,0.464646,0.18,0.673469,0.684,1
100,0.49798,0.474747,0.18,0.561224,0.6744,0.98
100,0.531313,0.484848,0.15,0.693878,0.724,1
100,0.551919,0.434343,0.15,0.612245,0.738,0.99
100,0.52101,0.464646,0.16,0.602041,0.6944,0.98
100,0.490909,0.464646,0.18,0.704082,0.6456,1
100,0.487475,0.424242,0.18,0.714286,0.6608,1
100,0.50303,0.474747,0.15,0.632653,0.7036,0.99
100,0.559394,0.434343,0.16,0.632653,0.7556,0.98
100,0.490707,0.474747,0.17,0.622449,0.686,1
100,0.500202,0.444444,0.17,0.693878,0.6712,1
100,0.405859,0.444444,0.18,0.714286,0.5648,0.98
100,0.569899,0.505051,0.16,0.642857,0.7416,1
100,0.483232,0.444444,0.17,0.581633,0.6264,0.99
100,0.531313,0.454545,0.17,0.571429,0.7072,0.99
100,0.549697,0.414141,0.17,0.673469,0.742,0.99
100,0.456162,0.484848,0.19,0.744898,0.6188,0.97
100,0.498384,0.464646,0.15,0.632653,0.6552,0.99
100,0.483434,0.454545,0.16,0.663265,0.656,0.99
100,0.428889,0.454545,0.17,0.653061,0.5664,0.97
100,0.462828,0.424242,0.17,0.622449,0.642,1
100,0.529697,0.464646,0.14,0.673469,0.7148,0.99
100,0.453535,0.424242,0.18,0.653061,0.6084,0.98
100,0.526667,0.434343,0.16,0.581633,0.6768,0.99
100,0.542424,0.474747,0.17,0.673469,0.7228,1
100,0.537172,0.40404,0.16,0.571429,0.7064,1
100,0.489697,0.444444,0.16,0.704082,0.6764,1
100,0.505859,0.424242,0.17,0.55102,0.6908,1
100,0.531111,0.434343,0.17,0.673469,0.7112,0.99
100,0.512323,0.414141,0.14,0.622449,0.6852,1
100,0.474141,0.464646,0.16,0.673469,0.6328,1
100,0.455354,0.434343,0.14,0.591837,0.6456,0.98
100,0.515556,0.464646,0.16,0.673469,0.7124,1
100,0.505657,0.454545,0.17,0.683673,0.6604,1
100,0.517778,0.434343,0.16,0.653061,0.7184,1
100,0.54404,0.40404,0.16,0.55102,0.7192,0.97
100,0.514949,0.444444,0.16,0.683673,0.6708,0.99
100,0.553131,0.484848,0.15,0.642857,0.7248,1
100,0.531515,0.444444,0.17,0.602041,0.7196,1
100,0.490101,0.484848,0.19,0.612245,0.668,0.99
100,0.499394,0.363636,0.19,0.663265,0.6632,1
100,0.497172,0.525253,0.17,0.540816,0.6872,0.99
100,0.466869,0.454545,0.15,0.622449,0.6352,0.97
100,0.468889,0.434343,0.16,0.642857,0.6272,0.98
100,0.448081,0.474747,0.18,0.642857,0.6132,0.99
100,0.5,0.383838,0.15,0.571429,0.6716,1
100,0.555152,0.474747,0.17,0.683673,0.732,0.97
100,0.424848,0.515152,0.17,0.612245,0.5752,0.99
100,0.49899,0.414141,0.19,0.704082,0.664,1
100,0.507475,0.373737,0.15,0.632653,0.7036,1
100,0.498384,0.444444,0.19,0.571429,0.646,0.99
100,0.496364,0.40404,0.16,0.632653,0.6572,0.99
100,0.480606,0.444444,0.18,0.622449,0.634,0.98
100,0.519596,0.464646,0.15,0.571429,0.6992,1
100,0.500808,0.424242,0.15,0.632653,0.6676,0.99
100,0.518586,0.414141,0.16,0.632653,0.6868,0.99
100,0.491919,0.414141,0.2,0.591837,0.6424,1
100,0.520606,0.464646,0.17,0.642857,0.6876,1
100,0.465657,0.454545,0.19,0.622449,0.632,0.99
100,0.546667,0.444444,0.15,0.714286,0.7384,0.99
100,0.423636,0.434343,0.19,0.663265,0.5588,0.96
100,0.478586,0.464646,0.18,0.653061,0.6668,0.98
100,0.441616,0.444444,0.19,0.581633,0.5984,1
100,0.457374,0.474747,0.15,0.622449,0.5996,1
100,0.513333,0.414141,0.16,0.602041,0.6624,1
100,0.466465,0.40404,0.18,0.591837,0.6388,0.99
100,0.467273,0.383838,0.18,0.653061,0.62,0.96
100,0.522222,0.424242,0.16,0.632653,0.708,1
100,0.445859,0.414141,0.17,0.632653,0.6068,1
100,0.502828,0.494949,0.16,0.622449,0.6668,0.99
100,0.450101,0.474747,0.2,0.612245,0.5956,0.96
100,0.529697,0.434343,0.15,0.622449,0.6996,0.99
100,0.536768,0.454545,0.18,0.622449,0.7028,0.98
100,0.533737,0.464646,0.14,0.642857,0.6928,1
100,0.53596,0.484848,0.16,0.602041,0.702,0.99
100,0.498384,0.424242,0.19,0.632653,0.6528,0.99
100,0.506263,0.454545,0.17,0.683673,0.676,0.99
100,0.444444,0.464646,0.17,0.642857,0.6092,0.98
100,0.518384,0.454545,0.15,0.642857,0.7008,1
100,0.480202,0.444444,0.2,0.683673,0.6372,1
100,0.575354,0.444444,0.18,0.653061,0.7472,1
100,0.530707,0.424242,0.16,0.632653,0.7032,0.99
100,0.576768,0.444444,0.14,0.683673,0.7628,1
100,0.454343,0.414141,0.19,0.632653,0.6224,1
100,0.501818,0.424242,0.17,0.642857,0.6748,1
100,0.432323,0.434343,0.19,0.602041,0.5596,0.97
100,0.520808,0.414141,0.15,0.632653,0.6912,1
100,0.438182,0.40404,0.18,0.622449,0.59,0.98
100,0.445253,0.474747,0.16,0.653061,0.6344,0.99
100,0.477172,0.424242,0.19,0.622449,0.6336,1
100,0.465455,0.484848,0.18,0.612245,0.6412,1
100,0.461818,0.393939,0.18,0.612245,0.6128,1
100,0.471111,0.454545,0.18,0.602041,0.6012,0.99
100,0.480202,0.40404,0.19,0.622449,0.6436,1
100,0.514747,0.444444,0.15,0.642857,0.6828,0.98
100,0.518586,0.434343,0.16,0.653061,0.6868,0.99
100,0.534141,0.434343,0.16,0.693878,0.704,1
100,0.489293,0.434343,0.17,0.612245,0.6396,0.99
100,0.513737,0.444444,0.14,0.622449,0.6968,0.99
100,0.432727,0.414141,0.19,0.622449,0.6056,0.99
100,0.477172,0.444444,0.2,0.663265,0.6352,0.99
100,0.475758,0.464646,0.18,0.663265,0.6204,0.98
100,0.472323,0.414141,0.16,0.632653,0.6456,1
100,0.529091,0.464646,0.15,0.693878,0.6968,0.98
100,0.466869,0.434343,0.18,0.612245,0.6312,0.97
100,0.531313,0.40404,0.18,0.632653,0.7352,1
100,0.427677,0.414141,0.18,0.663265,0.5968,0.97
100,0.488889,0.414141,0.16,0.632653,0.6628,1
100,0.428081,0.454545,0.18,0.622449,0.5928,0.99
100,0.434141,0.414141,0.2,0.612245,0.5876,0.98
100,0.513939,0.444444,0.14,0.642857,0.696,0.99
100,0.57798,0.424242,0.14,0.571429,0.7448,1
100,0.505253,0.444444,0.16,0.612245,0.6852,0.98
100,0.541818,0.454545,0.17,0.612245,0.708,0.99
100,0.558384,0.494949,0.14,0.653061,0.7256,1
100,0.478586,0.40404,0.17,0.591837,0.6384,0.99
100,0.434343,0.424242,0.19,0.683673,0.5968,0.96
100,0.503636,0.474747,0.17,0.693878,0.6668,1
100,0.486465,0.505051,0.17,0.591837,0.652,0.99
100,0.505657,0.484848,0.16,0.632653,0.6952,1
100,0.475758,0.434343,0.18,0.632653,0.6464,1
100,0.549495,0.484848,0.15,0.663265,0.7168,0.97
100,0.445253,0.454545,0.21,0.663265,0.5904,1
100,0.51798,0.424242,0.18,0.642857,0.6952,0.97
100,0.528485,0.393939,0.15,0.632653,0.7176,0.99
100,0.475354,0.454545,0.18,0.704082,0.6368,1
100,0.460202,0.424242,0.19,0.673469,0.634,1
100,0.49899,0.444444,0.15,0.653061,0.6744,1
100,0.562626,0.454545,0.14,0.673469,0.7596,0.99
100,0.456162,0.484848,0.19,0.602041,0.6044,0.99
100,0.536364,0.454545,0.17,0.683673,0.6932,1
100,0.556162,0.414141,0.18,0.642857,0.74,0.99
100,0.451515,0.424242,0.19,0.632653,0.5912,0.99
100,0.553535,0.464646,0.18,0.642857,0.7076,1
100,0.511717,0.494949,0.16,0.663265,0.6776,0.98
100,0.510505,0.424242,0.16,0.693878,0.6884,0.99
100,0.464242,0.484848,0.17,0.714286,0.6188,0.99
100,0.434141,0.474747,0.18,0.591837,0.5796,1
100,0.48101,0.40404,0.18,0.622449,0.6468,1
100,0.464848,0.40404,0.21,0.632653,0.6324,0.99
100,0.447071,0.373737,0.2,0.622449,0.5904,0.99
100,0.536162,0.474747,0.18,0.632653,0.6868,0.99
100,0.518788,0.434343,0.14,0.561224,0.7264,1
100,0.524848,0.444444,0.15,0.581633,0.7024,0.99
100,0.518182,0.434343,0.17,0.714286,0.686,0.97
100,0.483434,0.434343,0.16,0.673469,0.646,0.98
100,0.527879,0.464646,0.17,0.602041,0.7092,1
100,0.558586,0.414141,0.16,0.612245,0.7416,0.98
100,0.524444,0.434343,0.15,0.632653,0.6944,0.99
100,0.457374,0.434343,0.17,0.612245,0.61,1
100,0.534343,0.434343,0.16,0.663265,0.722,0.99
100,0.536162,0.414141,0.17,0.653061,0.7268,1
100,0.464646,0.444444,0.19,0.734694,0.6376,0.98
100,0.554949,0.444444,0.15,0.602041,0.7196,1
100,0.456566,0.40404,0.21,0.714286,0.6008,0.99
100,0.434141,0.393939,0.2,0.704082,0.5848,0.99
100,0.502424,0.383838,0.17,0.632653,0.6836,1
100,0.495354,0.484848,0.14,0.591837,0.6668,1
100,0.506465,0.424242,0.17,0.653061,0.664,1
100,0.516162,0.414141,0.18,0.612245,0.6992,0.95
100,0.53697,0.444444,0.19,0.663265,0.6892,0.99
100,0.531717,0.434343,0.16,0.581633,0.6988,1
100,0.448889,0.454545,0.19,0.663265,0.6096,1
100,0.445253,0.383838,0.19,0.632653,0.6016,0.98
100,0.506061,0.444444,0.19,0.704082,0.6956,0.99
100,0.488485,0.474747,0.16,0.663265,0.6256,0.98
100,0.502626,0.454545,0.16,0.683673,0.642,0.97
100,0.508889,0.434343,0.21,0.612245,0.6564,0.97
100,0.515152,0.454545,0.16,0.642857,0.7156,0.99
100,0.533535,0.444444,0.18,0.602041,0.7084,0.98
100,0.487071,0.40404,0.17,0.693878,0.658,0.97
100,0.508687,0.444444,0.18,0.591837,0.6892,1
100,0.466061,0.434343,0.16,0.673469,0.6396,1
100,0.534545,0.444444,0.15,0.612245,0.6972,0.98
100,0.496364,0.474747,0.17,0.653061,0.6608,0.99
100,0.431919,0.444444,0.18,0.673469,0.584,1
100,0.446263,0.454545,0.23,0.622449,0.608,0.99
100,0.515758,0.515152,0.16,0.683673,0.6896,0.99
100,0.495152,0.515152,0.16,0.714286,0.6712,1
100,0.447071,0.474747,0.18,0.642857,0.6168,1
100,0.491717,0.414141,0.22,0.612245,0.626,1
100,0.519596,0.454545,0.16,0.622449,0.692,0.99
100,0.509495,0.474747,0.15,0.642857,0.7024,1
100,0.455556,0.424242,0.2,0.683673,0.6132,0.99
100,0.440202,0.414141,0.16,0.663265,0.6272,0.99
100,0.543838,0.434343,0.18,0.602041,0.716,0.98
100,0.550101,0.474747,0.18,0.693878,0.7152,1
100,0.391919,0.505051,0.2,0.632653,0.5432,0.99
100,0.493535,0.464646,0.17,0.571429,0.6668,1
100,0.496364,0.393939,0.19,0.622449,0.6644,1
